Odiya,Tamil
ଆବଦ୍ଧ,குறைப்பு
ସଂକ୍ଷିପ୍ତକରଣ,சுருக்கம்
ଅପହରଣ,கடத்தல்
ଆବେରୀ,நிறுத்துதல்
ଦକ୍ଷତା,திறன்
Ab initio,Ab initio
ସକ୍ଷମ,முடியும்
ଅସ୍ୱାଭାବିକ |,அசாதாரணமானது
ଚତୁରତା,ஒழிப்பு
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,இடுகை ஒழிப்பு
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,மேலே குறிப்பிட்டுள்ள
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
ଉପରେ କହିଲା,மேலே கூறினார்
ଅନୁପସ୍ଥିତି,இல்லாதது
ଅଧ୍ୟାପୀ,வராதவர்
ଅନୁପସ୍ଥିତତା,இல்லாதது
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,இல்லாத அறிக்கை
ସଂପୂର୍ଣ୍ଣ,அறுதி
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,முழுமையான ஏகபோகம்
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,முழுமையான உரிமை
ଶୋଷଣ,உறிஞ்சுதல்
ବିସ୍ତୃତ,சுருக்கம்
ବିସ୍ତୃତ,சுருக்கம்
ଅବ urd ଧ |,அபத்தமான
ପ୍ରଚୁରତା,ஏராளமாக
ଶକ୍ତିର ଅପବ୍ୟବହାର |,அதிகார துஷ்பிரயோகம்
ଅପମାନଜନକ ଭାଷା |,தவறான மொழி
ଏକାଡେମିକ୍ |,கல்வி
ଏକାଡେମିକ୍ ଆଲୋଚନା,கல்வி விவாதம்
ଏକାଡେମିକ୍ ଛୁଟି |,கல்வி விடுப்பு
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,கல்வி தகுதி
ଏକାଡେମିକ୍ ରେକର୍ଡ |,கல்வி சாதனையை
ଧ୍ୟାନଦେଇ,ஏற்றுக்கொள்ளுங்கள்
ଗ୍ରହଣ କର,ஏற்றுக்கொள்
ଗ୍ରହଣ,ஏற்றுக்கொள்ளல்
ଅଫିସ୍ ଗ୍ରହଣ,பதவியை ஏற்றுக்கொள்வது
ଟେଣ୍ଡର ଗ୍ରହଣ,டெண்டரை ஏற்றுக்கொள்வது
ପ୍ରବେଶ,அணுகல்
ପ୍ରବେଶ,அணுகல்
ଆନୁଷଙ୍ଗିକ,துணை
ଦୁର୍ଘଟଣା,விபத்து
ସୁକମ୍ଲାଇଜେସନ୍,பழக்கவழக்கமயமாக்கல்
ଆବାସ,தங்குமிடம்
ସାଥୀ,துணையுடன்
ଆକର୍ଡ,உடன்பாடு
ସମ୍ପତ୍ତୀ,ஒப்புதல்
ସେହି ଅନୁଯାୟୀ |,அதன்படி
ଖାତା,கணக்கு
ଉତ୍ତରଦାୟିତ୍ୱ,பொறுப்புக்கூறல்
ଉତ୍ତରଦାୟୀ |,பொறுப்பு
ଆକାଉଣ୍ଟାଣ୍ଟି,கணக்கியல்
ଆକାଉଣ୍ଟାଣ୍ଟ,கணக்காளர்
ଖାତା ପାଇଁ,கணக்கு
ଖାତା ହେଡ୍,கணக்கு தலை
ଅଭିଯୋଗ ଲାଭ,திரட்டப்பட்ட நன்மை
ପେନ୍ ପେନ୍ସନ୍,திரட்டப்பட்ட ஓய்வூதியம்
ଜମା,குவிப்பு
ସଠିକତା,துல்லியம்
ସଠିକ୍,துல்லியமானது
ଅଭିଯୋଗ,குற்றம்
ଅଭିଯୁକ୍ତ,குற்றம் சாட்டப்பட்டவர்
ସଫଳତା,சாதனை
ସ୍ୱୀକୃତି,ஒப்புதல்
ସ୍ୱୀକୃତି ଦେବାର |,ஒப்புதல் காரணமாக
ପରିଚୟ,அறிமுகம்
ଅଧିଗ୍ରହଣ,கையகப்படுத்தல்
ନିର୍ଦ୍ଦୋଷ,விடுவித்தல்
କାର୍ଯ୍ୟ କର,நாடகம்
ଅଭିନୟ ଭତ୍ତା,நடிப்பு கொடுப்பனவு
କାର୍ଯ୍ୟ,செயல்
କ୍ରିୟା ଯୋଜନା,செயல் திட்டம்
ସକ୍ରିୟ,செயலில்
ସକ୍ରିୟ ଭାବରେ |,சுறுசுறுப்பாக
କାର୍ଯ୍ୟକର୍ତ୍ତା,ஆர்வலர்
God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ,கடவுளின் செயல்
ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ,தவறான நடத்தை செயல்
କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
ପ୍ରକୃତ,உண்மையான
କାର୍ଯ୍ୟ,உண்மையான
ଆଡାପ୍ଟେସନ୍,தழுவல்
