Odiya,Punjabi
ଆବାକସ୍ |,abacus
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
ପରିତ୍ୟାଗ,ਅਧੂਰਾ ਛੱਡੋ
ସଂପୂର୍ଣ୍ଣ,ਅਸੀਮ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ਪੂਰਾ ਪਤਾ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ਪੂਰਨ ਸੰਬੋਧਨ
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,ਪੂਰਨ ਅਸੈਂਬਲਰ
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,ਪੂਰਨ ਕੋਡ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,ਪੂਰਨ ਹੁਕਮ
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,ਪੂਰਨ ਡਾਟਾ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,ਪੂਰਨ ਹਿਦਾਇਤ
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,ਪੂਰਨ ਮੋਡ
ସଂପୂର୍ଣ୍ଣ ପଥ,ਪੂਰਨ ਮਾਰਗ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
ବିସ୍ତୃତ ମେସିନ୍ |,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
ବିସ୍ତୃତ ପ୍ରତୀକ |,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,ਸੰਖੇਪ ਸੰਟੈਕਸ
ଗ୍ରହଣ ପରୀକ୍ଷା,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
ପ୍ରବେଶ କୋଡ୍,ਐਕਸੈਸ ਕੋਡ
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,ਪਹੁੰਚ ਕੰਟਰੋਲ
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,ਐਕਸੈਸ ਸਕੈਨ
ଆନୁଷଙ୍ଗିକ,ਸਹਾਇਕ
ଖାତା,ਖਾਤਾ
ଖାତା ID,ਖਾਤਾ ID
ଜମାକାରୀ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ସଠିକତା,ਸ਼ੁੱਧਤਾ
acess,ਪਹੁੰਚ
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
acess index,ਐਕਸੈਸ ਇੰਡੈਕਸ
acess କି,ਪਹੁੰਚ ਕੁੰਜੀ
acess matrix,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
acess ମୋଡ୍ |,ਪਹੁੰਚ ਮੋਡ
acess ଅଧିକାର,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
acess ସୁରକ୍ଷା |,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
acess ସର୍ଭର |,ਪਹੁੰਚ ਸਰਵਰ
ଆକସେସ୍ ସମୟ |,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
ସ୍ୱୀକୃତି,ਮਾਨਤਾ
ଆକାଶବାଣୀ,ਧੁਨੀ ਵਿਗਿਆਨ
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,ਸੰਖੇਪ ਸ਼ਬਦ
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
ସକ୍ରିୟ,ਸਰਗਰਮੀ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
ସକ୍ରିୟ ସଂସ୍କରଣ |,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
acyclic,acyclic
acyclic ଗ୍ରାଫ୍ |,acyclic ਗ੍ਰਾਫ਼
ଅଦା ଭାଷା |,ਅਦਾ ਭਾਸ਼ਾ
ଆଡାପ୍ଟର,ਅਡਾਪਟਰ
ଯୋଡନ୍ତୁ |,ਸ਼ਾਮਲ ਕਰੋ
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
ଆଡର୍,ਜੋੜਨ ਵਾਲਾ
ଠିକଣା,ਪਤਾ
ଠିକଣା ବସ୍,ਪਤਾ ਬੱਸ
ଠିକଣା ଫାଇଲ୍ |,ਐਡਰੈੱਸ ਫਾਈਲ
ଠିକଣା ଫର୍ମାଟ୍,ਪਤਾ ਫਾਰਮੈਟ
ଠିକଣା ଜେନେରେଟର,ਪਤਾ ਜਨਰੇਟਰ
ଠିକଣା ରେଖା,ਐਡਰੈੱਸ ਲਾਈਨ
ଠିକଣା ମ୍ୟାପିଂ,ਪਤਾ ਮੈਪਿੰਗ
ଠିକଣା ସୂଚକ,ਪਤਾ ਸੰਕੇਤਕ
ଠିକଣା ରେଜିଷ୍ଟର,ਪਤਾ ਰਜਿਸਟਰ
ଠିକଣା ରେଜୋଲୁସନ,ਪਤਾ ਹੱਲ
ଠିକଣା ଅନୁବାଦ,ਪਤਾ ਅਨੁਵਾਦ
ଠିକଣା ସ୍ମୃତି,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
ଠିକଣା,ਸੰਬੋਧਨ
ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ,ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ
ଯୋଗ,adjoint
ପ୍ରଶାସନ,ਪ੍ਰਸ਼ਾਸਨ
ପ୍ରଶାସକ,ਪ੍ਰਬੰਧਕ
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,ਅਡੋਬ ਐਕਰੋਬੈਟ
ଆଡୋବ ଫଟୋଶପ୍ |,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP),ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP)
ଉନ୍ନତ ତଥ୍ୟ,ਉੱਨਤ ਡਾਟਾ
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT),ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
ଏଜେଣ୍ଟ,ਏਜੰਟ
ଏକୀକରଣ,ਏਕੀਕਰਨ
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
aldus ପୃଷ୍ଠା ନିର୍ମାତା |,aldus ਪੇਜ ਮੇਕਰ
ଆଲର୍ଟ ବାକ୍ସ,ਚੇਤਾਵਨੀ ਬਾਕਸ
ଆଲଗୋଲ୍,ਐਲਗੋਲ
ଆଲଗୋରିଦମ |,ਐਲਗੋਰਿਦਮ
ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |,ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ
ଛଦ୍ମନାମ,ਉਪਨਾਮ
ଶ୍ରେଣୀବଦ୍ଧତା |,ਅਲਾਈਨਮੈਂਟ
ଆବଣ୍ଟନ,ਵੰਡ
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,ਵਰਣਮਾਲਾ
ବର୍ଣ୍ଣମାଳା,ਅੱਖਰ ਅੰਕੀ
ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |,ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ
ଆଲଫା-ପରୀକ୍ଷା,ਅਲਫ਼ਾ-ਟੈਸਟ
ଆଲଫା-ସଂସ୍କରଣ |,ਅਲਫ਼ਾ-ਵਰਜਨ
alt କି,alt ਕੁੰਜੀ
altavista,altavista
ଅସ୍ପଷ୍ଟତା |,ਅਸਪਸ਼ਟਤਾ
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ
ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI),ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI)
ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII),ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII)
analog,ਐਨਾਲਾਗ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
analog ଉପକରଣ,ਐਨਾਲਾਗ ਜੰਤਰ
ଆନାଗଲ୍ ମୋଡେମ୍ |,ਐਨਾਲਾਗ ਮਾਡਮ
ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC),ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC)
ଏବଂ,ਅਤੇ
ଏବଂ ସର୍କିଟ |,ਅਤੇ ਸਰਕਟ
ଏବଂ ଫାଟକ |,ਅਤੇ ਗੇਟ
ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର),ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ)
ଆନିମେସନ୍,ਐਨੀਮੇਸ਼ਨ
ଟିପ୍ପଣୀ,ਐਨੋਟੇਸ਼ਨ
ଅନୋମାଲିୟା |,ਅਸੰਗਤਤਾ
ପ୍ରାଚୀନ,ਪੂਰਵ
ଆଶାକର୍ମୀ ପେଜିଂ |,ਅਗਾਊਂ ਪੇਜਿੰਗ
ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |,ਵਿਰੋਧੀ ਸਮਰੂਪ
ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |,ਐਂਟੀਵਾਇਰਸ ਪ੍ਰੋਗਰਾਮ
ଆପଲେଟ୍,ਐਪਲਿਟ
ପ୍ରୟୋଗ ବିକାଶକାରୀ,ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
