Kannada,Punjabi
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
ವ್ಯಭಿಚಾರ,ਨਿਮਰਤਾ
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
ಮೂಲನಿವಾಸಿಗಳು,ਆਦਿਵਾਸੀ
ಅಬ್ರಹಾಂ ಯುಗ,ਅਬਰਾਹਮ ਯੁੱਗ
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
ಅಕಾಡೆಮಿ,ਅਕੈਡਮੀ
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,ਅਕਰਾ ਕਾਨਫਰੰਸ
ಸಂಚಯಗಳು,ਪ੍ਰਾਪਤੀ
ಸಂಸ್ಕಾರ,ਐਕਲਚਰੇਸ਼ਨ
ಅಸೆಲ್ಡಾಮಾ,ਐਸੇਲਡਾਮਾ
ಅಚೆಯನ್ (=ಅಚಿಯನ್),ਅਚੀਅਨ (=ਅਚੀਅਨ)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
ಆಕ್ರೊಪೊಲಿಸ್,ਐਕ੍ਰੋਪੋਲਿਸ
ಆಕ್ಟಾ ಡೈರ್ನಾ,ਐਕਟਾ ਦਿਉਰਨਾ
ಆಕ್ಟಾ ಸೆನಾಟಸ್,ਐਕਟਾ ਸੇਨੇਟਸ
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,ਐਕਟ ਐਡੀਸ਼ਨਲ
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
ವಸಾಹತು ಕಾಯಿದೆ,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
ಅಡುಲಮೈಟ್ಸ್,ਅਦੁਲਾਮਾਈਟਸ
ಎದುರಾಳಿ,ਵਿਰੋਧੀ
ಎದುರಾಳಿ,ਵਿਰੋਧੀ
ಏಯಾನ್,ਏਯੋਨ
ಏರೋರಿಯಮ್,ਏਰੈਰੀਅਮ
ವೈಮಾನಿಕ ಯುದ್ಧ,ਹਵਾਈ ਜੰਗ
ಏಟೋಲಿಯನ್ ಲೀಗ್,ਏਟੋਲੀਅਨ ਲੀਗ
ವಯಸ್ಸು,ਉਮਰ
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
ಅಗೆಲೈ,ਅਗੇਲੈ
ಅಶ್ವದಳದ ವಯಸ್ಸು,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,ਗਿਆਨ ਦੀ ਉਮਰ
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
ಕಾರಣದ ವಯಸ್ಸು,ਕਾਰਨ ਦੀ ਉਮਰ
