Bengali,Punjabi
আবেলিয়ান গ্রুপ,ਅਬੇਲੀਅਨ ਸਮੂਹ
আবেলিয়ান সেমিগ্রুপ,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
abscissa,abscissa
পরম,ਅਸੀਮ
পরম মিলন,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
পরম ত্রুটি,ਪੂਰਨ ਗਲਤੀ
পরম সর্বোচ্চ,ਪੂਰਨ ਅਧਿਕਤਮ
পরম সর্বনিম্ন,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
পরম মান,ਸਹੀ ਮੁੱਲ
পরম বেগ,ਪੂਰਨ ਗਤੀ
বিমূর্ত বীজগণিত,ਸਾਰ ਅਲਜਬਰਾ
বিমূর্ত গ্রুপ তত্ত্ব,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ত্বরণ,ਪ੍ਰਵੇਗ
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
গ্রহণযোগ্য পছন্দ সেট,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
গ্রহণযোগ্য মানের স্তর,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
গ্রহণযোগ্য পরিসীমা,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
গ্রহণযোগ্য নমুনা,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
সঞ্চিত ত্রুটি,ਸੰਚਿਤ ਗਲਤੀ
সঠিকতা,ਸ਼ੁੱਧਤਾ
অভিনয় শক্তি,ਐਕਟਿੰਗ ਫੋਰਸ
কর্ম,ਕਾਰਵਾਈ
কর্ম এবং প্রতিক্রিয়া,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
বাস্তব বিজ্ঞান,ਅਸਲ ਵਿਗਿਆਨ
তীব্র কোণযুক্ত ত্রিভুজ,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
অ্যাসাইক্লিক,acyclic
যোগ করুন,ਸ਼ਾਮਲ ਕਰੋ
যোগকারী,ਜੋੜਨ ਵਾਲਾ
সংযোজন,ਇਸ ਤੋਂ ਇਲਾਵਾ
সংযোজন সূত্র,ਜੋੜ ਫਾਰਮੂਲਾ
জটিল সংখ্যার সংযোজন,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
ফাংশন সংযোজন,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
ম্যাট্রিক্সের সংযোজন,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
বহুপদ সংযোজন,ਬਹੁਪਦ ਦਾ ਜੋੜ
সম্ভাবনার সংযোজন,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
ভেক্টর সংযোজন,ਵੈਕਟਰ ਦਾ ਜੋੜ
সংযোজন উপপাদ্য,ਵਾਧੂ ਪ੍ਰਮੇਯ
সংযোজনকারী গ্রুপ,additive ਗਰੁੱਪ
সংযোজন বিপরীত,additive ਉਲਟ
সংযোজক সম্পত্তি,additive ਸੰਪਤੀ
সংযোজন,additivity
অন্তিক ম্যাট্রিক্স,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
সংলগ্ন,ਨੇੜੇ
সন্নিহিত কোণ,ਨੇੜੇ ਦੇ ਕੋਣ
সংলগ্ন শীর্ষবিন্দু,ਨੇੜੇ ਦਾ ਸਿਰਾ
সংলগ্ন,ਨਾਲ ਜੁੜੋ
সংলগ্ন,ਨਾਲ ਲੱਗਦੇ
সংলগ্ন নির্ধারক,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
সংলগ্ন সমীকরণ,ਸੰਜੋਗ ਸਮੀਕਰਨ
সংলগ্ন ম্যাট্রিক্স,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
ম্যাট্রিক্সের সংলগ্ন,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
গ্রহণযোগ্য অনুমান,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
এরোডাইনামিক বল,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
বায়ুগতিবিদ্যা,ਐਰੋਡਾਇਨਾਮਿਕਸ
affine জ্যামিতি,affine ਜਿਓਮੈਟਰੀ
affine ম্যাপিং,affine ਮੈਪਿੰਗ
affine রূপান্তর,affine ਪਰਿਵਰਤਨ
একত্রিত ভেরিয়েবল,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
বীজগণিত,ਅਲਜਬਰਾ
বীজগণিতভাবে বন্ধ,ਬੀਜਗਣਿਤ ਬੰਦ
বীজগণিত সমীকরণ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগাণিতিক এক্সপ্রেশন,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগাণিতিক ফর্ম,ਬੀਜਗਣਿਤ ਰੂਪ
বীজগণিতীয় ফাংশন,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
বীজগণিত জ্যামিতি,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
বীজগণিতের বহুত্ব,ਬੀਜਗਣਿਤ ਗੁਣਾ
বীজগণিত ব্যবস্থা,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
সমস্ত পূর্ণসংখ্যা সমস্যা,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
বরাদ্দ সমস্যা,ਵੰਡ ਸਮੱਸਿਆ
বর্ণানুক্রমিক স্বরলিপি,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
বর্ণানুক্রমিক অক্ষর,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
বিকল্প কোণ,ਵਿਕਲਪਕ ਕੋਣ
বিকল্প ফর্ম,ਬਦਲਵੇਂ ਰੂਪ
বিকল্প গোষ্ঠী,ਬਦਲਵੇਂ ਸਮੂਹ
বিকল্প ম্যাট্রিক্স,ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ
বিকল্প সিরিজ,ਬਦਲਵੀਂ ਲੜੀ
বিকল্প অনুমান,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
বিকল্প অপটিমা,ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ
বিকল্প ফলাফল,ਵਿਕਲਪਕ ਨਤੀਜਾ
এনালগ থেকে ডিজিটাল রূপান্তরকারী,ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ
অ্যানালগ কম্পিউটার,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
বিশ্লেষণ,ਵਿਸ਼ਲੇਸ਼ਣ
সহভক্তির বিশ্লেষণ,ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
গণনা তথ্য বিশ্লেষণ,ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
বৈচিত্র্যের বিশ্লেষণ,ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
বিশ্লেষণাত্মক জ্যামিতি,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
বিশ্লেষণমূলক ফাংশন,ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ
কোণ,ਕੋਣ
যোগাযোগের কোণ,ਸੰਪਰਕ ਦਾ ਕੋਣ
বিচ্যুতি কোণ,ਭਟਕਣ ਦਾ ਕੋਣ
বিষণ্নতা কোণ,ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ
বিচ্যুতি কোণ,ਭਟਕਣ ਦਾ ਕੋਣ
বিবর্তন কোণ,ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ
উচ্চতা কোণ,ਉਚਾਈ ਦਾ ਕੋਣ
ঘটনার কোণ,ਘਟਨਾ ਦਾ ਕੋਣ
