Gujarati,Kannada
એબેલિયન જૂથ,ಅಬೆಲಿಯನ್ ಗುಂಪು
અબેલીયન સેમીગ્રુપ,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
એબ્સીસા,ಅಬ್ಸಿಸ್ಸಾ
સંપૂર્ણ,ಸಂಪೂರ್ಣ
સંપૂર્ણ સંકલન,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
સંપૂર્ણ ભૂલ,ಸಂಪೂರ್ಣ ದೋಷ
સંપૂર્ણ મહત્તમ,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
સંપૂર્ણ લઘુત્તમ,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
સંપૂર્ણ મૂલ્ય,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
સંપૂર્ણ વેગ,ಸಂಪೂರ್ಣ ವೇಗ
અમૂર્ત બીજગણિત,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
અમૂર્ત જૂથ સિદ્ધાંત,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
પ્રવેગ,ವೇಗವರ್ಧನೆ
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
સ્વીકાર્ય પસંદગી સમૂહ,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
સ્વીકાર્ય ગુણવત્તા સ્તર,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
સ્વીકાર્ય શ્રેણી,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
સ્વીકાર્ય નમૂના,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
સંચિત ભૂલ,ಸಂಚಿತ ದೋಷ
ચોકસાઈ,ನಿಖರತೆ
અભિનય બળ,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
ક્રિયા,ಕ್ರಮ
ક્રિયા અને પ્રતિક્રિયા,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
વાસ્તવિક વિજ્ઞાન,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
તીવ્ર કોણીય ત્રિકોણ,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
એસાયક્લિક,ಅಸೈಕ್ಲಿಕ್
ઉમેરો,ಸೇರಿಸಿ
ઉમેરનાર,ಸೇರಿಸುವವನು
વધુમાં,ಜೊತೆಗೆ
વધારાનું સૂત્ર,ಸೇರ್ಪಡೆ ಸೂತ್ರ
જટિલ સંખ્યાઓનો ઉમેરો,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
કાર્યોનો ઉમેરો,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
મેટ્રિસિસનો ઉમેરો,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
બહુપદીનો ઉમેરો,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
સંભાવનાઓનો ઉમેરો,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
વેક્ટરનો ઉમેરો,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
વધારાનું પ્રમેય,ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
ઉમેરણ જૂથ,ಸಂಯೋಜಕ ಗುಂಪು
ઉમેરણ વ્યસ્ત,ಸಂಯೋಜಕ ವಿಲೋಮ
ઉમેરણ મિલકત,ಸಂಯೋಜಕ ಆಸ್ತಿ
ઉમેરણ,ಸಂಕಲನ
સંલગ્નતા મેટ્રિક્સ,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
અડીને,ಪಕ್ಕದ
અડીને આવેલા ખૂણા,ಪಕ್ಕದ ಕೋನಗಳು
અડીને શિરોબિંદુ,ಪಕ್ಕದ ಶೃಂಗ
સંલગ્ન,ಹೊಂದು
સંલગ્ન,ಪಕ್ಕದ
સંલગ્ન નિર્ણાયક,ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ
સંલગ્ન વિભેદક સમીકરણ,ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
સંલગ્ન સમીકરણ,ಸಂಯೋಜಿತ ಸಮೀಕರಣ
સંલગ્ન મેટ્રિક્સ,ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
મેટ્રિક્સનો સંલગ્ન ભાગ,ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ
એડજ્યુગેટ મેટ્રિક્સ,ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
સ્વીકાર્ય નિર્ણય કાર્ય,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
સ્વીકાર્ય પૂર્વધારણા,ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ
એરોડાયનેમિક બળ,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
એરોડાયનેમિક્સ,ವಾಯುಬಲವಿಜ್ಞಾನ
સંલગ્ન ભૂમિતિ,ಅಫೈನ್ ಜ್ಯಾಮಿತಿ
affine મેપિંગ,ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್
સંલગ્ન રૂપાંતર,ಅಫೈನ್ ರೂಪಾಂತರ
એકંદર ચલો,ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ
બીજગણિત,ಬೀಜಗಣಿತ
