Tamil,Telugu
கருக்கலைப்பு,అబార్ట్
டைமரை நிறுத்துங்கள்,అబార్ట్ టైమర్
முழுமையான முகவரி,సంపూర్ణ చిరునామా
முழுமையான முகவரி,సంపూర్ణ చిరునామా
முழுமையான அசெம்பிளர்,సంపూర్ణ సమీకరించేవాడు
முழுமையான குறியீடு,సంపూర్ణ కోడ్
முழுமையான குறியீட்டு முறை,సంపూర్ణ కోడింగ్
முழுமையான கட்டளை,సంపూర్ణ ఆదేశం
முழுமையான ஒருங்கிணைப்பு,సంపూర్ణ కోఆర్డినేట్
முழுமையான தரவு,సంపూర్ణ డేటా
முழுமையான பிழை,సంపూర్ణ లోపం
முழுமையான வெளிப்பாடு,సంపూర్ణ వ్యక్తీకరణ
முழுமையான அறிவுறுத்தல்,సంపూర్ణ సూచన
முழுமையான ஏற்றி,సంపూర్ణ లోడర్
முழுமையான வரிசை,సంపూర్ణ క్రమం
முழுமையான நிரலாக்க,సంపూర్ణ ప్రోగ్రామింగ్
முழுமையான சொல்,సంపూర్ణ పదం
துல்லியமான மதிப்பு,సంపూర్ణ విలువ
முழுமையான திசையன்,సంపూర్ణ వెక్టర్
சுருக்கம்,నైరూప్య
சுருக்கம்,సంగ్రహించడం
சுருக்க சின்னம்,నైరూప్య చిహ్నం
முடுக்கம் காலம்,త్వరణం కాలం
முடுக்கம் நேரம்,త్వరణం సమయం
உச்சரிப்பு,యాస
ஏற்பு சோதனை,అంగీకార పరీక్ష
அணுகல்,యాక్సెస్
அணுகல் கை,యాక్సెస్ ఆర్మ్
அணுகல் ஏற்பாடு,యాక్సెస్ అమరిక
அணுகல் அதிகாரம்,యాక్సెస్ అథారిటీ
அணுகல் கட்டணம்,యాక్సెస్ ఛార్జ్
அணுகல் வகுப்பு,యాక్సెస్ క్లాస్
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
அணுகல் சூழல்,యాక్సెస్ ఎన్విరాన్మెంట్
அணுகல் இடைவெளி,యాక్సెస్ గ్యాప్
அணுகல் அட்டவணை,ప్రాప్యత సూచిక
அணுகல் வரி,యాక్సెస్ లైన్
அணுகல் பொறிமுறை,యాక్సెస్ మెకానిజం
அணுகல் முறை,యాక్సెస్ పద్ధతి
அணுகல் முறை வழக்கமான,యాక్సెస్ పద్ధతి దినచర్య
அணுகல் பயன்முறை,యాక్సెస్ మోడ్
அணுகல் உரிமை,హక్కును యాక్సెస్ చేయండి
அணுகல் ஸ்கேன்,యాక్సెస్ స్కాన్
அணுகல் நேரம்,ప్రాప్యత సమయం
கணக்கியல்,అకౌంటింగ్
கணக்கியல் நிதி அமைப்பு,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
கணக்கியல் இயந்திரம்,అకౌంటింగ్ మెషిన్
கணக்கு எண்,ఖాతా సంఖ్య
திரட்டுதல் இனப்பெருக்கம்,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
குவிப்பான்,సంచితం
குவிப்பான் பதிவு,సంచిత రిజిస్టర్
திரட்டல் ஷிப்ட் வழிமுறை,సంచిత షిఫ్ట్ సూచన
துல்லியம்,ఖచ్చితత్వం
துல்லியம் கட்டுப்பாட்டு தன்மை,ఖచ్చితత్వ నియంత్రణ పాత్ర
துல்லியம் கட்டுப்பாட்டு அமைப்பு,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
ஏஸ் பைலட்,ఏస్ పైలట్
தன்மையை ஒப்புக் கொள்ளுங்கள்,పాత్రను గుర్తించండి
ஒலி கப்ளர்,ఎకౌస్టిక్ కప్లర్
ஒலி இணைப்பு,శబ్ద కలపడం
ஒலி தாமத வரி,శబ్ద ఆలస్యం రేఖ
ஒலி நினைவகம்,శబ్ద జ్ఞాపకశక్తి
ஒலி மோடம்,ఎకౌస్టిక్ మోడెమ్
