Bengali,Tamil
অ্যাবাকাস,அபாகஸ்
অস্বাভাবিক সমাপ্তি,அசாதாரண நிறுத்தம்
গর্ভপাত,கருக்கலைப்பு
পরম,அறுதி
পরম ঠিকানা,முழுமையான முகவரி
পরম ঠিকানা,முழுமையான முகவரி
পরম সংযোজনকারী,முழுமையான அசெம்பிளர்
পরম কোড,முழுமையான குறியீடு
পরম আদেশ,முழுமையான கட்டளை
পরম তথ্য,முழுமையான தரவு
পরম নির্দেশ,முழுமையான அறிவுறுத்தல்
পরম মোড,முழுமையான பயன்முறை
পরম পথ,முழுமையான பாதை
পরম প্রোগ্রামিং,முழுமையான நிரலாக்கம்
বিমূর্ত ক্লাস,சுருக்க வர்க்கம்
বিমূর্ত তথ্য প্রকার,சுருக்க தரவு வகை
বিমূর্ত মেশিন,சுருக்க இயந்திரம்
বিমূর্ত প্রতীক,சுருக்க சின்னம்
বিমূর্ত বাক্য গঠন,சுருக்க தொடரியல்
স্বীকৃতি যাচাইকরণ,ஏற்றுக்கொள்ளும் சோதனை
অ্যাক্সেস প্রমাণীকরণ,அணுகல் அங்கீகாரம்
প্রবেশাধিকার কোড,அணுகல் குறியீடு
প্রবেশাধিকার নিয়ন্ত্রণ,நுழைவு கட்டுப்பாடு
অ্যাক্সেস স্ক্যান,அணுகல் ஸ்கேன்
আনুষঙ্গিক,துணை
অ্যাকাউন্ট,கணக்கு
অ্যাকাউন্ট আইডি,கணக்கு ஐடி
সঞ্চয়কারী,திரட்டி
সঠিকতা,துல்லியம்
অ্যাক্সেস,அணுகல்
অ্যাক্সেস নিয়ন্ত্রণ বাইট,அணுகல் கட்டுப்பாட்டு பைட்
অ্যাক্সেস সূচক,அணுகல் குறியீடு
অ্যাক্সেস কী,அணுகல் விசை
অ্যাক্সেস ম্যাট্রিক্স,அணுகல் அணி
অ্যাক্সেস মোড,அணுகல் முறை
প্রবেশাধিকার,அணுகல் சலுகை
অ্যাক্সেস নিরাপত্তা,அணுகல் பாதுகாப்பு
অ্যাক্সেস সার্ভার,அணுகல் சேவையகம்
অ্যাক্সেস সময়,அணுகல் நேரம்
স্বীকৃতি,ஒப்புகை
ধ্বনিবিদ্যা,ஒலியியல்
সংক্ষিপ্ত রূপ,சுருக்கம்
কর্ম বার্তা,செயல் செய்தி
সক্রিয়করণ,செயல்படுத்துதல்
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),செயலில் உள்ள சர்வர் பக்கம் (ASP)
সক্রিয় সংস্করণ,செயலில் உள்ள பதிப்பு
অ্যাসাইক্লিক,அசைக்ளிக்
অ্যাসাইক্লিক গ্রাফ,அசைக்ளிக் வரைபடம்
অ্যাডা ভাষা,அட மொழி
অ্যাডাপ্টার,அடாப்டர்
যোগ করুন,கூட்டு
ফাইল যুক্ত কর,கோப்பை சேர்க்க
অপারেশন যোগ করুন,செயல்பாட்டைச் சேர்க்கவும்
যোগকারী,சேர்ப்பான்
ঠিকানা,முகவரி
ঠিকানা বাস,முகவரி பேருந்து
ঠিকানা ফাইল,முகவரி கோப்பு
ঠিকানা বিন্যাস,முகவரி வடிவம்
ঠিকানা জেনারেটর,முகவரி ஜெனரேட்டர்
ঠিকানা লাইন,முகவரி வரி
ঠিকানা ম্যাপিং,முகவரி மேப்பிங்
ঠিকানা নির্দেশক,முகவரி சுட்டி
ঠিকানা রেজিস্টার,முகவரி பதிவு
ঠিকানা রেজোলিউশন,முகவரி தீர்மானம்
ঠিকানা অনুবাদ,முகவரி மொழிபெயர்ப்பு
ঠিকানাযুক্ত স্মৃতি,நினைவாற்றலை உரையாற்றினார்
সম্বোধন,உரையாற்றுவது
পর্যাপ্ততার মানদণ্ড,போதுமான அளவுகோல்கள்
সংলগ্ন,இணைந்த
প্রশাসন,நிர்வாகம்
প্রশাসক,நிர்வாகி
অ্যাডোবি অ্যাক্রোব্যাট,அடோப் அக்ரோபேட்
অ্যাডোবি ফটোশপ,அடோ போட்டோஷாப்
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி)
উন্নত তথ্য,மேம்பட்ட தரவு
উন্নত তথ্য সিস্টেম,மேம்பட்ட தகவல் அமைப்பு
উন্নত প্রযুক্তি (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
প্রতিনিধি,முகவர்
সমষ্টি,திரட்டுதல்
বায়ুবাহিত কম্পিউটার সিস্টেম,வான்வழி கணினி அமைப்பு
aldus পেজ মেকার,அல்டஸ் பக்க தயாரிப்பாளர்
সতর্কতা বাক্স,எச்சரிக்கை பெட்டி
algol,அல்கோல்
অ্যালগরিদম,அல்காரிதம்
অ্যালগরিদম বিশ্লেষণ,அல்காரிதம் பகுப்பாய்வு
অ্যালগরিদম দক্ষতা,அல்காரிதம் திறன்
উপনাম,மாற்றுப்பெயர்
প্রান্তিককরণ,சீரமைப்பு
বরাদ্দ,ஒதுக்கீடு
বর্ণানুক্রমিক,அகரவரிசை
আলফানিউমেরিক,எண்ணெழுத்து
আলফানিউমেরিক কী বোর্ড,எண்ணெழுத்து விசைப்பலகை
আলফা-পরীক্ষা,ஆல்பா-சோதனை
আলফা-সংস্করণ,ஆல்பா பதிப்பு
alt কী,alt விசை
আলতাভিস্তা,அல்டாவிஸ்டா
অস্পষ্টতা,தெளிவின்மை
অস্পষ্ট ব্যাকরণ,தெளிவற்ற இலக்கணம்
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII)
এনালগ,அனலாக்
এনালগ কম্পিউটার,அனலாக் கணினி
এনালগ ডিভাইস,அனலாக் சாதனம்
এনালগ মডেম,அனலாக் மோடம்
এনালগ থেকে ডিজিটাল কনভার্টার (ADC),அனலாக் டு டிஜிட்டல் மாற்றி (ADC)
এবং,மற்றும்
এবং সার্কিট,மற்றும் சுற்று
এবং গেট,மற்றும் வாயில்
এবং অপারেশন নয় (বর্জন),மற்றும் செயல்பாடு அல்ல (விலக்கு)
অ্যানিমেশন,இயங்குபடம்
টীকা,சிறுகுறிப்பு
ব্যতিক্রম,ஒழுங்கின்மை
পূর্ববর্তী,முன்னோடி
