Telugu,Odiya
అసాధారణ,ଅସ୍ୱାଭାବିକ |
అబార్ట్,ପରିତ୍ୟାଗ
అబ్రేషన్,ଅଳିଆ ଆବେଗ
ఆకస్మిక,ଆକସ୍ମିକ
సంపూర్ణ క్షేత్ర బలం,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
సంపూర్ణ ఉష్ణోగ్రత,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
సంపూర్ణ విలువ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
గ్రహించండి,ଶୋଷଣ
శోషణ సహ-సమర్థత,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
శోషణ నష్టం,ଶୋଷଣୀୟ କ୍ଷତି |
నైరూప్య,ବିସ୍ତୃତ
యాక్సిలెరోమీటర్,ଆକ୍ସଲେରୋମିଟର |
అంగీకార పరీక్ష,ଗ୍ରହଣ ପରୀକ୍ଷା
యాక్సెస్,ପ୍ରବେଶ
యాక్సెస్ నియంత్రణ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
యాక్సెస్ పాయింట్,ପ୍ରବେଶ ବିନ୍ଦୁ
ప్రాప్యత సమయం,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
సౌలభ్యాన్ని,ଅଭିଗମ୍ୟତା |
సంచిత కణం,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
ఖచ్చితత్వం,ସଠିକତା
ఖచ్చితమైనది,ସଠିକ୍
అచ్రోమాటిక్ లెన్స్,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
ఆమ్లము,ଏସିଡ୍ |
యాసిడ్ ప్రూఫ్,ଏସିଡ୍ ପ୍ରମାଣ |
ఆమ్లత్వం,ଅମ୍ଳତା
రసీదు బిట్,ସ୍ୱୀକୃତି ବିଟ୍
శబ్ద,ଆକାଶବାଣୀ |
ఎకౌస్టిక్ కమ్యూనికేషన్,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
