Tamil,Gujarati
அசாதாரணமானது,અસામાન્ય
கருக்கலைப்பு,ગર્ભપાત
சிராய்ப்பு,ઘર્ષણ
திடீரென்று,અચાનક
முழுமையான புல வலிமை,સંપૂર્ણ ક્ષેત્ર શક્તિ
முழுமையான வெப்பநிலை,સંપૂર્ણ તાપમાન
துல்லியமான மதிப்பு,અબાધિત મૂલ્ય
உறிஞ்சும்,શોષવું
உறிஞ்சுதல் சக செயல்திறன்,સહ-કાર્યક્ષમ
உறிஞ்சுதல் இழப்பு,શોષણ
சுருக்கம்,નિષ્ક્રિય
முடுக்கமானி,પ્રવેગમાપક
ஏற்பு சோதனை,સ્વીકૃતિ કસોટી
அணுகல்,પ્રવેશ
நுழைவு கட்டுப்பாடு,વપરાશ નિયંત્રણ
அணுகல் புள்ளி,પ્રવેશ -બિંદુ
அணுகல் நேரம்,પ્રવેશ સમય
அணுகல்,ઉપલ્બધતા
குவிப்பான் செல்,સંકુચિત સેલી
துல்லியம்,ચોકસાઈ
துல்லியமானது,ચોક્કસ
முடிச்சு லென்ஸ்,ઘેટાંના લેન્સ
அமிலம்,તેજાબ
அமில ஆதாரம்,એસિડ પ્રૂફ
அமிலத்தன்மை,અમલ્ય
ஒப்புதல் பிட்,સ્વીકૃતિ
ஒலி,ધ્વનિશાસ્ત્ર
ஒலி தொடர்பு,ધ્વનિશાસ્ત્ર
ஒலி பரவல்,ધ્વનિ -પ્રસરણ
ஒலி சமநிலைப்படுத்தி,ધ્વનિ -બરાબરી
ஒலி கருத்து,ધ્વનિ -પ્રતિસાદ
ஒலி வடிகட்டி,ધ્વનિ ફિલ્ટર
ஒலி மின்மறுப்பு,ધ્વનિ અવરોધ
ஒலி முகமூடி,ધ્વનિ -માસ્કીંગ
ஒலி சக்தி,ધ્વનિની શક્તિ
சட்டவிரோத சொத்து,ધ્વનિપક્ષીય મિલકત
ஒலி எதிர்வினை,ધ્વનિની પ્રતિક્રિયા
ஒலி ரிஃப்ளெக்ஸ்,ધ્વનિ -પ્રતિબિંબ
ஒலி ஓடு,ધ્વનિ ટાઇલ
ஒலி அலை,ધ્વનિ તરંગ
ஒலியியல் உறிஞ்சுதல்,શ્રવ -શોષણ
ஒலியியல் விழிப்புணர்வு மாறிலி,શ્રવણશક્તિ એટેન્યુએશન
ஒலியியல் ஈரமாக்குதல்,શ્રવણની ભીનાશ
ஒலியியல் தாமத வரி,ધ્વનિ વિલંબ રેખા
ஒலியியல் விலகல்,ધ્વનિની વિકૃતિ
ஒலியியல் குழாய்,શ્રવણ નલિક
ஒலியியல் ஆற்றல்,શ્રવણશક્તિ
ஒலியியல் கருத்து,શ્રવણશક્તિ
ஒலியியல் வடிகட்டி,શ્રદ્ધ ફિલ્ટર
ஒலியியல் மின்மறுப்பு,શ્રવણનો અવરોધ
ஒலியியல் பரப்புதல் மாறிலி,ધ્વનિ -પ્રચાર
ஒலியியல் எதிர்ப்பு,શ્રવણ પ્રતિકાર
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ
ஒலியியல்,ધ્વનિશાસ્ત્ર
கையகப்படுத்தல்,સંપાદન
சுருக்கம்,ટૂંકાક્ષર
செயல் பகுதி,કાર્યવાહી ક્ષેત્ર
செயல்படுத்தப்பட்ட இழை,સક્રિય ફિલામેન્ટ
செயலில்,સક્રિય
செயலில் உள்ள பகுதி,સક્રિય ક્ષેત્ર
செயலில் சாளரம்,સક્રિય બારી
தகவமைப்பு,અનુકૂલનક્ષમતા
அடாப்டர் (அடாப்டர்),એડેપ્ટર (એડેપ્ટર)
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન
முகவரி புத்தகம்,સરનામા પુસ્તિકા
முகவரி பஸ்,સરનાવ બસ
முகவரி தீர்மானம்,ઠરાવ
அருகிலுள்ள சேனல் குறுக்கீடு,સંલગ્ન ચેનલ દખલ
அருகிலுள்ள சேனல் தேர்வு,સંલગ્ન ચેનલ પસંદગી
அருகிலுள்ள அதிர்வெண்,સંલગ્ન આવર્તન
அருகிலுள்ள அதிர்வெண் சேனல்,સંલગ્ન આવર્તન ચેનલ
அருகிலுள்ள படம் கேரியர்,અડીને ચિત્ર વાહક
அருகிலுள்ள ஒலி கேரியர்,અડીને ધ્વનિ વાહક
அருகிலுள்ள நிலையம்,સંલગ્ન મથક
சரிசெய்யக்கூடியது,ગોઠવણપાત્ર
சரிசெய்யக்கூடிய மின்தேக்கி,ગોઠવણપાત્ર કન્ડેન્સર
அழுத்தம் சரிசெய்தல்,ગોઠવણ
குறடு சரிசெய்தல்,સમાયોજન
சரிசெய்தல்,સમાયોજન
நிர்வாகி,વહીવટકર્તા
மேம்பட்ட தொழில்நுட்பம்,અદ્યતન ટેકનોલોજી
வான்வழி,હવાઈ
வான்வழி வரிசை,હવાઈ ​​એરે
வான்வழி பூஸ்டர்,હવાઈ ​​બૂસ્ટર
வான்வழி மின்னோட்டம்,હવાઈ ​​પ્રવાહ
வான்வழி பூமி சுவிட்ச்,હવાઈ ​​કમાણી સ્વીચ
வான்வழி செயல்திறன்,હવાઈ ​​કાર્યક્ષમતા
வான்வழி மின்மறுப்பு,હવાઈ ​​અવરોધ
வான்வழி தூண்டல்,હવાઈ ​​લિટક્શન
வான்வழி இன்சுலேட்டர்,હવાઈ ​​ઇન્સ્યુલેટર
வான்வழி ஏற்றுதல் சுருள்,હવાઈ ​​લોડિંગ કોઇલ
வான்வழி புகைப்படம்,હવાઈ ​​ફોટોગ્રાફી
வான்வழி சக்தி,હવાઈ ​​શક્તિ
வான்வழி கதிர்வீச்சு,હવાઈ ​​કિરણોત્સર્ગ
வான்வழி எதிர்வினை,હવાઈ ​​પ્રતિક્રિયા
ஏரோடைனமிக்ஸ்,વાયુમિશ્રણશાસ્ત્ર
ஏஜென்சி,સંસ્થા
காற்று அழுத்தி,હવાઈ ​​સંકોચન
ஏர் மின்தேக்கி,હવાઈ ​​કન્ડેન્સર
குளிா்ந்த காற்று,હવાઈ ​​ઠંડુ
காற்று கோர்ட் சுருள்,હવાઈ ​​બાંધેલી કોથળી
ஏர் கண்டிஷனிங்,વાતાનુકૂલન
ஆல்பெடோ,અલ્બેડો
வழிமுறை,અલ્ગોરિધમનો
மாற்றுப்பெயர்ச்சி,પરવાના
சீரமைத்தல்,સંલગ્ન
சீரமைப்பு,ગોઠવણી
அனைத்து அலை வான்வழி,બધા તરંગ હવાઈ
ஒதுக்கீடு,ફાળવણી
அகரவரிசை,વર્ણાનુક્રમ
