Odiya,Hindi
ଆବଦ୍ଧ,"उपशमन, कमी"
ସଂକ୍ଷିପ୍ତକରଣ,संक्षिप्‍ति
ଅପହରଣ,अपहरण
ଆବେରୀ,प्रास्थगन
ଦକ୍ଷତା,योग्यता
Ab initio,"आदित:, आरंभ से"
ସକ୍ଷମ,योग्य
ଅସ୍ୱାଭାବିକ |,अपसामान्य
ଚତୁରତା,"उन्मूलन, समाप्‍ति"
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,पद समाप्‍ति
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,"ऊपर उल्लिखित, उपर्युक्‍त"
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,ऊपर उद्‍धृत
ଉପରେ କହିଲା,उपर्युक्‍त
ଅନୁପସ୍ଥିତି,"अनुपस्थिति, गैरहाजि़री, अभाव"
ଅଧ୍ୟାପୀ,"अनुपस्थित, ग़ैरहाजि़र"
ଅନୁପସ୍ଥିତତା,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,अनुपस्थिति-विवरण
ସଂପୂର୍ଣ୍ଣ,"पूर्ण, निरपेक्ष"
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,पूर्ण एकाधिकार
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,पूर्ण स्वामित्व
ଶୋଷଣ,"आमेलन, अवशोषण"
ବିସ୍ତୃତ,सार
ବିସ୍ତୃତ,सार-विवरण
ଅବ urd ଧ |,"अर्थहीन, बेतुका"
ପ୍ରଚୁରତା,प्रचुरता
ଶକ୍ତିର ଅପବ୍ୟବହାର |,शक्‍ति का दुरुपयोग
ଅପମାନଜନକ ଭାଷା |,गाली-गलौज
ଏକାଡେମିକ୍ |,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
ଏକାଡେମିକ୍ ଆଲୋଚନା,शास्त्रीय चर्चा
ଏକାଡେମିକ୍ ଛୁଟି |,अकादमिक छुट्टी
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,शैक्षिणिक अर्हता
ଏକାଡେମିକ୍ ରେକର୍ଡ |,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
ଧ୍ୟାନଦେଇ,"मान लेना, अधिमिलन होना"
ଗ୍ରହଣ କର,"स्वीकार करना, मानना"
ଗ୍ରହଣ,"स्वीकृति, प्रतिग्रहण"
ଅଫିସ୍ ଗ୍ରହଣ,पद-स्वीकृति
ଟେଣ୍ଡର ଗ୍ରହଣ,निविदा की स्वीकृति
ପ୍ରବେଶ,पहुंच
ପ୍ରବେଶ,"राज्यारोहण, पदारोहण, परिग्रहण"
ଆନୁଷଙ୍ଗିକ,"अनुषंगी, उपसाधन"
