Marathi,Bengali
अॅबॅकस,অ্যাবাকাস
असामान्य समाप्ती,অস্বাভাবিক সমাপ্তি
गर्भपात,গর্ভপাত
निरपेक्ष,পরম
परिपूर्ण पत्ता,পরম ঠিকানা
निरपेक्ष संबोधन,পরম ঠিকানা
परिपूर्ण असेंबलर,পরম সংযোজনকারী
परिपूर्ण कोड,পরম কোড
निरपेक्ष आज्ञा,পরম আদেশ
परिपूर्ण डेटा,পরম তথ্য
परिपूर्ण सूचना,পরম নির্দেশ
परिपूर्ण मोड,পরম মোড
परिपूर्ण मार्ग,পরম পথ
परिपूर्ण प्रोग्रामिंग,পরম প্রোগ্রামিং
अमूर्त वर्ग,বিমূর্ত ক্লাস
अमूर्त डेटा प्रकार,বিমূর্ত তথ্য প্রকার
अमूर्त मशीन,বিমূর্ত মেশিন
अमूर्त चिन्ह,বিমূর্ত প্রতীক
अमूर्त वाक्यरचना,বিমূর্ত বাক্য গঠন
स्वीकृती चाचणी,স্বীকৃতি যাচাইকরণ
प्रवेश प्रमाणीकरण,অ্যাক্সেস প্রমাণীকরণ
प्रवेश कोड,প্রবেশাধিকার কোড
प्रवेश नियंत्रण,প্রবেশাধিকার নিয়ন্ত্রণ
प्रवेश स्कॅन,অ্যাক্সেস স্ক্যান
ऍक्सेसरी,আনুষঙ্গিক
खाते,অ্যাকাউন্ট
खाते आयडी,অ্যাকাউন্ট আইডি
संचयक,সঞ্চয়কারী
अचूकता,সঠিকতা
प्रवेश,অ্যাক্সেস
ऍक्सेस कंट्रोल बाइट,অ্যাক্সেস নিয়ন্ত্রণ বাইট
प्रवेश निर्देशांक,অ্যাক্সেস সূচক
प्रवेश की,অ্যাক্সেস কী
ऍक्सेस मॅट्रिक्स,অ্যাক্সেস ম্যাট্রিক্স
प्रवेश मोड,অ্যাক্সেস মোড
प्रवेश विशेषाधिकार,প্রবেশাধিকার
प्रवेश सुरक्षा,অ্যাক্সেস নিরাপত্তা
ऍक्सेस सर्व्हर,অ্যাক্সেস সার্ভার
प्रवेश वेळ,অ্যাক্সেস সময়
पोचपावती,স্বীকৃতি
ध्वनीशास्त्र,ধ্বনিবিদ্যা
परिवर्णी शब्द,সংক্ষিপ্ত রূপ
क्रिया संदेश,কর্ম বার্তা
सक्रियकरण,সক্রিয়করণ
सक्रिय सर्व्हर पृष्ठ (एएसपी),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
सक्रिय आवृत्ती,সক্রিয় সংস্করণ
अॅसायक्लिक,অ্যাসাইক্লিক
अॅसायक्लिक आलेख,অ্যাসাইক্লিক গ্রাফ
अडा भाषा,অ্যাডা ভাষা
अडॅप्टर,অ্যাডাপ্টার
जोडा,যোগ করুন
फाइल जोडा,ফাইল যুক্ত কর
ऑपरेशन जोडा,অপারেশন যোগ করুন
जोडणारा,যোগকারী
पत्ता,ঠিকানা
पत्ता बस,ঠিকানা বাস
पत्ता फाइल,ঠিকানা ফাইল
पत्त्याचे स्वरूप,ঠিকানা বিন্যাস
पत्ता जनरेटर,ঠিকানা জেনারেটর
पत्ता ओळ,ঠিকানা লাইন
पत्ता मॅपिंग,ঠিকানা ম্যাপিং
पत्ता सूचक,ঠিকানা নির্দেশক
पत्ता नोंदवही,ঠিকানা রেজিস্টার
पत्ता ठराव,ঠিকানা রেজোলিউশন
पत्ता अनुवाद,ঠিকানা অনুবাদ
संबोधित मेमरी,ঠিকানাযুক্ত স্মৃতি
संबोधित करणे,সম্বোধন
पर्याप्तता निकष,পর্যাপ্ততার মানদণ্ড
संलग्न,সংলগ্ন
प्रशासन,প্রশাসন
प्रशासक,প্রশাসক
adobe acrobat,অ্যাডোবি অ্যাক্রোব্যাট
अडोब फोटोशाॅप,অ্যাডোবি ফটোশপ
अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
प्रगत डेटा,উন্নত তথ্য
प्रगत माहिती प्रणाली,উন্নত তথ্য সিস্টেম
प्रगत तंत्रज्ञान (AT),উন্নত প্রযুক্তি (AT)
एजंट,প্রতিনিধি
एकत्रीकरण,সমষ্টি
एअरबोर्न संगणक प्रणाली,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus पृष्ठ निर्माता,aldus পেজ মেকার
इशारा बॉक्स,সতর্কতা বাক্স
अल्गोल,algol
अल्गोरिदम,অ্যালগরিদম
अल्गोरिदम विश्लेषण,অ্যালগরিদম বিশ্লেষণ
अल्गोरिदम कार्यक्षमता,অ্যালগরিদম দক্ষতা
उर्फ,উপনাম
संरेखन,প্রান্তিককরণ
वाटप,বরাদ্দ
वर्णमाला,বর্ণানুক্রমিক
अल्फान्यूमेरिक,আলফানিউমেরিক
अल्फान्यूमेरिक की बोर्ड,আলফানিউমেরিক কী বোর্ড
अल्फा-चाचणी,আলফা-পরীক্ষা
अल्फा आवृत्ती,আলফা-সংস্করণ
alt की,alt কী
altavista,আলতাভিস্তা
अस्पष्टता,অস্পষ্টতা
अस्पष्ट व्याकरण,অস্পষ্ট ব্যাকরণ
अमेरिकन राष्ट्रीय मानक संस्था (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI)
अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII),আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII)
अॅनालॉग,এনালগ
अॅनालॉग संगणक,এনালগ কম্পিউটার
अॅनालॉग डिव्हाइस,এনালগ ডিভাইস
अॅनालॉग मॉडेम,এনালগ মডেম
अॅनालॉग ते डिजिटल कनव्हर्टर (ADC),এনালগ থেকে ডিজিটাল কনভার্টার (ADC)
आणि,এবং
आणि सर्किट,এবং সার্কিট
आणि गेट,এবং গেট
आणि ऑपरेशन नाही (अपवर्जन),এবং অপারেশন নয় (বর্জন)
अॅनिमेशन,অ্যানিমেশন
भाष्य,টীকা
विसंगती,ব্যতিক্রম
पूर्ववर्ती,পূর্ববর্তী
आगाऊ पेजिंग,প্রত্যাশিত পেজিং
विरोधी सममित,বিরোধী প্রতিসম
अँटीव्हायरस प्रोग्राम,অ্যান্টিভাইরাস প্রোগ্রাম
ऍपलेट,অ্যাপলেট
अनुप्रयोग विकासक,অ্যাপ্লিকেশন ডেভেলপার
अनुप्रयोग प्रोग्रामिंग,অ্যাপ্লিকেশন প্রোগ্রামিং
ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API),অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)
अनुप्रयोग सॉफ्टवेअर,অ্যাপ্লিকেশন সফ্টওয়্যার
उपयोजक भाषा,প্রয়োগমূলক ভাষা
अंदाजे सिद्धांत,আনুমানিক তত্ত্ব
आर्किटेक्चर,স্থাপত্য
क्षेत्र हस्तांतरण,এলাকা স্থানান্তর
युक्तिवाद,যুক্তি
अंकगणित आणि तर्कशास्त्र एकक,গাণিতিক এবং যুক্তিবিদ্যা ইউনিট
अंकगणित तपासणी,গাণিতিক চেক
अंकगणित स्थिरांक,গাণিতিক ধ্রুবক
अंकगणित डेटा,গাণিতিক তথ্য
अंकगणित सूचना,গাণিতিক নির্দেশনা
अंकगणित आणि तर्कशास्त्र एकक (ALU),পাটিগণিত এবং যুক্তি ইউনিট (ALU)
अर्पानेट,আরপানেট
रचना,অ্যারে
अॅरे कॅशे,অ্যারে ক্যাশে
अॅरे संगणक,অ্যারে কম্পিউটার
अॅरे घटक,অ্যারে উপাদান
अॅरे नाव,অ্যারের নাম
अॅरे प्रोसेसर,অ্যারে প্রসেসর
बाण दर्शक बटणे,তীর চিহ্ন
उच्चार,উচ্চারণ
उच्चार बिंदू,উচ্চারণ বিন্দু
कृत्रिम कॉम्पॅक्शन,কৃত্রিম কম্প্যাকশন
कृत्रिम नियंत्रण,কৃত্রিম নিয়ন্ত্রণ
कृत्रिम बुद्धिमत्ता,কৃত্রিম বুদ্ধিমত্তা
चढणारा,আরোহী
चढत्या क्रमवारी,আরোহী সাজানোর
ASCII बेटिकल ऑर्डर,ASCII বেটিকাল অর্ডার
ASCII नियंत्रण वर्ण,ASCII নিয়ন্ত্রণ চরিত্র
ASCII फाइल,ASCII ফাইল
ASCII फॉन्ट,ASCII ফন্ট
ASCII हस्तांतरण,ASCII স্থানান্তর
प्रसर गुणोत्तर,আনুমানিক অনুপাত
एएसपीआय,এএসপিআই
ASR टाइमर,ASR টাইমার
एकत्र करणे,একত্রিত করা
असेंबलर,সংযোজনকারী
विधानसभा,সমাবেশ
विधानसभा भाषा,এসেম্বলি
प्रतिपादन,দাবী
असाइनमेंट,নিয়োগ
संघटना,সংঘ
सहयोगी पत्ता,সহযোগী ঠিকানা
सहयोगी स्मृती,সহযোগী স্মৃতি
asteric,asteric
असममित,অপ্রতিসম
असिंक्रोनस,অ্যাসিঙ্ক্রোনাস
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
असिंक्रोनस हस्तांतरण,অ্যাসিঙ্ক্রোনাস স্থানান্তর
एसिंक्रोनस ट्रान्सफर मोड (एटीएम),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
अणू,পরমাণু
संलग्न दस्तऐवज,সংযুক্ত নথি
संलग्न फाइल,সংযুক্ত ফাইল
संलग्नक,সংযুক্তি
विशेषता,বৈশিষ্ট্য
ऑडिओ,শ্রুতি
ऑडिट प्रोग्रामिंग,অডিট প্রোগ্রামিং
तपासणीचे सूत्र,নিরীক্ষা পথ
वाढ,বৃদ্ধি
प्रमाणीकरण प्रोटोकॉल,প্রমাণীকরণ প্রোটোকল
ऑथरिंग सिस्टम,অথরিং সিস্টেম
अधिकृतता,অনুমোদন
स्वयं गोषवारा,স্বয়ংক্রিয় বিমূর্ত
ऑटोबूटिंग,অটোবুটিং
ऑटोकॅड,অটোক্যাড
ऑटोलॉग चालू,অটোলগ চালু
स्वयंचलित,স্বয়ংক্রিয়
ऑटोमेटा सिद्धांत,স্বয়ংক্রিয় তত্ত্ব
स्वयंचलित संगणन,স্বয়ংক্রিয় কম্পিউটিং
स्वयंचलित डेटा प्रक्रिया,স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ
स्वयंचलित त्रुटी सुधारणा,স্বয়ংক্রিয় ত্রুটি সংশোধন
स्वयंचलित कार्य,স্বয়ংক্রিয় ফাংশন
स्वयंचलित अनुक्रमणिका,স্বয়ংক্রিয় সূচীকরণ
स्वयंचलित लायब्ररी कॉल,স্বয়ংক্রিয় লাইব্রেরি কল
स्वयंचलित प्रोग्रामिंग,স্বয়ংক্রিয় প্রোগ্রামিং
स्वयंचलित पुनर्प्राप्ती कार्यक्रम,স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম
स्वयंचलित दिनचर्या,স্বয়ংক্রিয় রুটিন
