English,Odiya
abiogenesis,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
abnormal,ପରମାନନ୍ଦ
abomasum,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
aborted organ,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
aborted seed,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
abortion,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
absolute weed,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
absorbed cation,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
absorption,ଅବଶୋଷଣ
abyssinian mustard,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
acaricide,1. ଆକାରିସାଇଡ୍ |
accentric,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
accentuate (cell),ବୃଦ୍ଧି (କକ୍ଷ)
accepted tolerance,ଅନୁମୋଦିତ ସହନଶୀଳତା |
accessory,1. ଅତିରିକ୍ତ 2.accessory 3.accessory
acclimatization,ଆଡାପ୍ଟେସନ୍
accumulation,ଜମା
accuracy,1. ସଠିକତା 2. ସଠିକତା |
acervulus,1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |
acetification,1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |
acidification,1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |
acidimeter,1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |
acidity,ଅମ୍ଳତା |
acidophilic,ଏସିଡୋଫାଇଲ୍ |
acidulated rock phosphate,ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |
aciduric,ଅମ୍ଳଯୁକ୍ତ |
acquifer,ଜଳଜଳ
acquisition,ଅଧିଗ୍ରହଣ
acre,ଏକର
acreage,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
acrocentric chromosome,ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |
acropetal,ଆଗକୁ ଦେଖିବା
acrosome,ଆକ୍ରୋସୋମ୍ |
actinomycetes,ଆକ୍ଟିନୋମାଇସେଟ୍ସ |
active root zone,ସକ୍ରିୟ କୋର୍ |
acute,1. କ୍ରୋଧିତ 2. ତୀବ୍ର
adaptability,ଅନୁକୂଳତା
adaptation,କଷ୍ଟମାଇଜେସନ୍
adhesion,1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |
adipose,sebaceous
adjustment equation,ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ
adobe soil,ଆଡୋବ ମାଟି |
adulterant,ବ୍ୟଭିଚାର
adventitious,ଏକ୍ଟୋପିକ୍
aecidiospore,Isidiospore Isidium Spore |
aeolian process,ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |
aeolian,ଭେଣ୍ଟ୍ରାଲ୍ |
aerate,ବିମାନକୁ
aerial,1. ବାୟୁ 2. ଆକାଶୀ |
aerometer,1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |
aerosol,ଏରୋସୋଲ୍ |
aestivation,1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |
aetiology (etiology),ରୋଗ ବିଜ୍ଞାନ
afforestation,ବୃକ୍ଷରୋପଣ
agitation,1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |
agmark,ଆଗମାର୍କ |
agrarian,1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି
agricultural clinic,କୃଷି ଚିକିତ୍ସାଳୟ
agricultural labour,1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |
agricultural marketing,କୃଷି ମାର୍କେଟିଂ |
agricultural technology,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
agriculture,1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |
agrisilviculture,କୃଷି ଜଙ୍ଗଲ
agrobiodiversity,କୃଷି ଜ odi ବ ବିବିଧତା |
agrobiological defects,କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |
agrobiology,କୃଷି ଜୀବ ବିଜ୍ଞାନ |
agroclimatic diversity,କୃଷି-ଜଳବାୟୁ ବିବିଧତା |
agroclimatic zoning,agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |
agroforestry,କୃଷି ଜଙ୍ଗଲ
agrology,କୃଷି
agronomy,ଆଗ୍ରୋନୋମିକ୍
agropastoral,କୃଷି ପାଳକ
agroprocessing,ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |
agrostology,ଘାସ ବିଜ୍ଞାନ |
agrotype,ଫସଲ ପ୍ରକାର |
air plant,ଏପିଫାଇଟ୍ |
akiochi soil,aikiochi ମାଟି |
albinism,ରଙ୍ଗ ଅନ୍ଧତା |
alfisols,ଆଲଫିସୋଲ୍ |
algae,ଶାଗ
algal disease,ଆଲଗା ରୋଗ
alkali water,କ୍ଷାର ଜଳ |
alkaline,କ୍ଷାର
allele,ବିକଳ୍ପ
allelochemicals,ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |
allelomorph,ଆଲେଲେ
allelopathy,ଆଲେଲୋପାଥି
alley cropping,ଭେଟି ଫସଲ |
allocarpy,ସମାପ୍ତି
allogamy,ଫର୍ଟିଲାଇଜେସନ୍
