Gujarati,Kannada
ગર્ભપાત,ಸ್ಥಗಿತಗೊಳಿಸು
ગર્ભપાત સમય,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
અબાધિત સંબોધન,ಸಂಪೂರ್ಣ ವಿಳಾಸ
પૂર્ણ સંબોધન,ಸಂಪೂರ್ಣ ವಿಳಾಸ
સંપૂર્ણ સંમેલન,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
પૂર્ણ સંહિતા,ಸಂಪೂರ್ಣ ಕೋಡ್
પૂર્ણ સંહિતા,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
પૂર્ણ આદેશ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
સંપૂર્ણ સંકલન,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
અબાધિત આંકડા,ಸಂಪೂರ್ಣ ಡೇಟಾ
નિરપેક્ષ ભૂલ,ಸಂಪೂರ್ಣ ದೋಷ
પૂર્ણ અભિવ્યક્તિ,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
અબાધિત સૂચના,ಸಂಪೂರ್ಣ ಸೂಚನೆ
અબાધિત લોડર,ಸಂಪೂರ್ಣ ಲೋಡರ್
સંપૂર્ણ,ಸಂಪೂರ್ಣ ಕ್ರಮ
પૂર્ણ કાર્યક્રમ,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
અબાધિત મુદત,ಸಂಪೂರ್ಣ ಪದ
અબાધિત મૂલ્ય,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
અબાધિત વેક્ટર,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
નિષ્ક્રિય,ಅಮೂರ್ತ
યોગ્યતા,ಅಮೂರ್ತಗೊಳಿಸುವ
સાર -સારાંશ,ಅಮೂರ್ತ ಚಿಹ್ನೆ
પ્રવેગશ ગાળો,ವೇಗವರ್ಧನೆ ಅವಧಿ
પ્રવેગકોનો સમય,ವೇಗವರ್ಧಕ ಸಮಯ
ઉચ્ચારણ,ಉಚ್ಚಾರಣಾ
સ્વીકૃતિ કસોટી,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
પ્રવેશ,ಪ್ರವೇಶ
પ્રવેશ હાથ,ಪ್ರವೇಶ
પ્રવેશ -વ્યવસ્થા,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
પ્રવેશ સત્તાવાર,ಪ್ರವೇಶ
પ્રવેશ -ખર્ચ,ಪ್ರವೇಶ
પ્રવેશ -વર્ગ,ಪ್ರವೇಶ ವರ್ಗ
પ્રવેશ -આધાર વ્યવસ્થાપન,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
પર્યાવરણ,ಪ್ರವೇಶ ಪರಿಸರ
પ્રવેશ અંતર,ಪ್ರವೇಶದ ಅಂತರ
પ્રવેશ -સૂચિ,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
પ્રવેશ -રેખા,ಪ್ರವೇಶ
પ્રવેશ -પદ્ધતિ,ಪ್ರವೇಶ ಕಾರ್ಯ
પ્રવેશ પદ્ધતિ,ಪ್ರವೇಶ ವಿಧಾನ
પ્રવેશ -પદ્ધતિ,ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ
પ્રવેશ -પદ્ધતિ,ಪ್ರವೇಶ ಕ್ರಮ
પ્રવેશ -હક,ಪ್ರವೇಶ ಬಲ
પ્રવેશ -સ્કેન,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
પ્રવેશ સમય,ಪ್ರವೇಶ ಸಮಯ
નામું,ಲೆಕ್ಕಪತ್ರ
હિસાબ -પદ્ધતિ પદ્ધતિ,ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ
હિસાબ -વ્યવસ્થા,ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ
ખાતા નંબર,ಖಾತೆ ಸಂಖ್ಯೆ
સંચયી પ્રજનનકર્તા,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು
એકઠા કરનાર,ಸಂಗ್ರಹಣೆದಾರ
સંચિત રજિસ્ટર,ಸಂಚಯಕ ನೋಂದಣಿ
સંચય -પાળી સૂચના,ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ
ચોકસાઈ,ನಿಖರತೆ
ચોકસાઈ નિયંત્રણ,ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ
ચોકસાઈ નિયંત્રણ પદ્ધતિ,ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ
પાસાનો પાસાનો પો,ಏಸ್ ಪೈಲಟ್
પાત્ર સ્વીકારવું,ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ
ધ્વનિકર્તા,ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್
ધ્વનિ -જોડાણ,ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ
ધ્વનિ વિલંબ રેખા,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ધ્વનિમૂર્તિ,ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ
ધ્વનિ -મોડેમ,ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್
ધ્વનિ સંકેત,ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ
ધ્વનિ સંગ્રહ,ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ
ટૂંકાક્ષર,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
ક્રિયા,ಕ್ರಿಯಾಶೀಲತೆ
કાર્ય -ચક્ર,ಕ್ರಿಯಾಶೀಲತೆ
ક્રિયા -રેખ,ಕ್ರಿಯಾಶೀಲ ರೇಖೆ
ક્રિયા,ಕ್ರಿಯಾಶೀಲ
કાર્ય -સ્પષ્ટીકરણ,ಕ್ರಿಯಾಶೀಲತೆ
સક્રિય,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
સક્રિય,ಸಕ್ರಿಯ
સક્રિય ફાઈલ,ಸಕ್ರಿಯ ಫೈಲ್
સક્રિય રેખા,ಸಕ್ರಿಯ ರೇಖೆ
સક્રિય કડી,ಸಕ್ರಿಯ ಲಿಂಕ್
સક્રિય માસ્ટર ફાઇલ,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್
સક્રિય મુખ્ય વસ્તુ,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ
સક્રિય ઉપગ્રહ,ಸಕ್ರಿಯ ಉಪಗ್ರಹ
સક્રિય કેન્દ્ર,ಸಕ್ರಿಯ ನಿಲ್ದಾಣ
સક્રિય સંગ્રહ,ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ
પ્રવૃત્તિ,ಚಟುವಟಿಕೆ
પ્રવૃત્તિ સ્તરે,ಚಟುವಟಿಕೆ ಮಟ್ಟ
પ્રવૃત્તિ લોડિંગ,ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್
