Punjabi,Odiya
ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
ਅਲੌਕਿਕ,ପରମାନନ୍ଦ
1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
ਲੀਨ cation,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
ਸਮਾਈ,ଅବଶୋଷଣ
ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
1. ਐਕਰੀਸਾਈਡ,1. ଆକାରିସାଇଡ୍ |
centripetal,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
ਪ੍ਰਸਾਰਨ (ਸੈੱਲ),ବୃଦ୍ଧି (କକ୍ଷ)
ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ,ଅନୁମୋଦିତ ସହନଶୀଳତା |
1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ,1. ଅତିରିକ୍ତ 2.accessory 3.accessory
ਅਨੁਕੂਲਨ,ଆଡାପ୍ଟେସନ୍
ਇਕੱਠਾ ਕਰਨਾ,ଜମା
1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ,1. ସଠିକତା 2. ସଠିକତା |
1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ,1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |
1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ,1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |
1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ,1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |
1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ,1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |
