Gujarati,Hindi
અબેકસ,"1.एबेकस ,2. गिनतारा"
અસામાન્ય સમાપ્તિ,असामान्य समापन
ગર્ભપાત,अवरोधन
સંપૂર્ણ,"1. निरपेक्ष ,2. परम"
સંપૂર્ણ સરનામું,निरपेक्ष पता
સંપૂર્ણ સંબોધન,निरपेक्ष पताभिगमन
સંપૂર્ણ એસેમ્બલર,निरपेक्ष कोडांतरक
સંપૂર્ણ કોડ,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
સંપૂર્ણ આદેશ,निरपेक्ष समादेश
સંપૂર્ણ ડેટા,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
સંપૂર્ણ સૂચના,निरपेक्ष अनुदेश
સંપૂર્ણ મોડ,निरपेक्ष विधा
સંપૂર્ણ માર્ગ,निरपेक्ष पथ
સંપૂર્ણ પ્રોગ્રામિંગ,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
અમૂર્ત વર્ગ,अमूर्त वर्ग
અમૂર્ત ડેટા પ્રકાર,अमूर्त आंकड़ा प्रकार
અમૂર્ત મશીન,अमूर्त मशीन
અમૂર્ત પ્રતીક,अमूर्त प्रतीक
અમૂર્ત વાક્યરચના,अमूर्त वाक्य विन्यास
સ્વીકૃતિ પરીક્ષણ,स्वीकृति परीक्षण
ઍક્સેસ પ્રમાણીકરણ,अभिगम प्रमाणन
ઍક્સેસ કોડ,"1. अभिगम कूट ,2. अभिगम कोड"
વપરાશ નિયંત્રણ,अभिगम नियंत्रण
એક્સેસ સ્કેન,अभिगम क्रमवीक्षण
સહાયક,सहयंत्र
એકાઉન્ટ,लेखा
એકાઉન્ટ ID,"1. एकाउंट आई डी ,2. लेखा पहचान"
સંચયક,संचायक
ચોકસાઈ,"1. विशुद्धता ,2. यर्थाथता"
ઍક્સેસ,अभिगम
એક્સેસ કંટ્રોલ બાઈટ,अभिगम नियंत्रण बाइट
એક્સેસ ઇન્ડેક્સ,अभिगम सूचक
ઍક્સેસ કી,अभिगम कुंजी
એક્સેસ મેટ્રિક્સ,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
ઍક્સેસ મોડ,अभिगम विधा
એક્સેસ વિશેષાધિકાર,अभिगम विशेषाधिकार
ઍક્સેસ સુરક્ષા,अभिगम सुरक्षा
ઍક્સેસ સર્વર,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
ઍક્સેસ સમય,अभिगम काल
સ્વીકૃતિ,अभिस्वीकृति
ધ્વનિશાસ્ત્ર,ध्वनिकी
ટૂંકાક્ષર,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप"
ક્રિયા સંદેશ,क्रिया संदेश
સક્રિયકરણ,सक्रियण
સક્રિય સર્વર પૃષ્ઠ (ASP),सक्रिय सर्वर पृष्ठ
સક્રિય સંસ્કરણ,सक्रिय वर्जन
એસાયક્લિક,अचक्रीय
એસાયક્લિક ગ્રાફ,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ"
અદા ભાષા,एडा कंप्यूटर भाषा
એડેપ્ટર,"1. अनुकूलक ,2. अनुकूलित्र"
ઉમેરો,योग (करना)
ફાઇલ ઉમેરો,योग संचिका
કામગીરી ઉમેરો,"1. जोड़ संक्रिया ,2. योग संक्रिया"
ઉમેરનાર,योजक
સરનામું,पता
સરનામું બસ,पता बस
સરનામું ફાઇલ,पता संचिका
સરનામું ફોર્મેટ,पता आरूप
સરનામું જનરેટર,पता जनक
એડ્રેસ લાઇન,पता पंक्ति
સરનામું મેપિંગ,पता प्रतिचित्रण
સરનામું નિર્દેશક,पता संकेतक
સરનામું રજીસ્ટર,पता पंजी
સરનામું રિઝોલ્યુશન,पता विघटन
સરનામા અનુવાદ,पता अनुवाद
સંબોધિત મેમરી,"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी"
સંબોધન,पताभिगमन
પર્યાપ્તતા માપદંડ,"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी"
સંલગ્ન,संलग्न
વહીવટ,"1. प्रबंधन ,2. नियंत्रण"
સંચાલક,"1. प्रबंधक ,2. नियंत्रक"
એડોબ એક્રોબેટ,ऐडोब एक्रोबेट
એડોબ ફોટોશોપ,ऐडोब फोटोशोप
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
અદ્યતન ડેટા,"1. उन्नत आंकड़ा ,2. उन्नत डाटा"
અદ્યતન માહિતી સિસ્ટમ,उन्नत सूचना तंत्र
અદ્યતન ટેકનોલોજી (AT),उन्नत प्रौद्योगिकी (ए टी)
એજન્ટ,कर्मक
એકત્રીકરણ,समुच्चयन
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,विमानवाहित कंप्यूटर तंत्र
aldus પૃષ્ઠ નિર્માતા,एल्डस पेज-मेक
ચેતવણી બોક્સ,सचेत पेटी
algol,ऐल्गॉल (कंप्यूटर भाषा)
અલ્ગોરિધમ,"1.  एल्गोरिथ्म ,2. कलन विधि"
અલ્ગોરિધમ વિશ્લેષણ,"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण"
અલ્ગોરિધમ કાર્યક્ષમતા,एल्गोरिथ्म दक्षता
ઉપનામ,"1. एलिआस ,2. उपनाम ,3. उर्फ"
ગોઠવણી,संरेखण
ફાળવણી,"1. आवंटन ,2. नियतन"
આલ્ફાબેટીક,"1.अक्षरात्मक ,2. वर्णानुक्रम"
આલ્ફાન્યૂમેરિક,अक्षरांकीय
આલ્ફાન્યૂમેરિક કી બોર્ડ,"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड"
આલ્ફા-પરીક્ષણ,अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
આલ્ફા-સંસ્કરણ,"1. अल्फा वर्जन ,2. अल्फा रूप"
alt કી,आल्ट कुंजी
અલ્ટાવિસ્ટા,आल्टाविस्टा
અસ્પષ્ટતા,अनेकार्थकता
અસ્પષ્ટ વ્યાકરણ,संदिग्ध व्याकरण
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),अमेरिकी मानक कट (आस्की)
એનાલોગ,"1. अनुरुप ,2. एनालॉग"
એનાલોગ કમ્પ્યુટર,"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
એનાલોગ ઉપકરણ,"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस"
એનાલોગ મોડેમ,"1. एनालॉग मोडेम ,2. अनुरुप मोडेम"
