Gujarati,English
ગર્ભિત અંગ,Aborted organ
ગર્ભિત બીજ,Aborted seed
ગર્ભપાત,Abortion
પૂર્ણ નીંદણ,Absolute weed
સમારકામ,Absorbed cation
સમાવેશ,Absorption
એબિસિનિયન સરસવ,Abyssinian mustard
વાસ્તવિકતા,Acaricide
ઉચ્ચારણ,Accentric
ઉકાળો (કોષ),Accentuate (cell)
સ્વીકૃત સહનશીલતા,Accepted tolerance
સહાયક,Accessory
સ્વાર્થીકરણ,Acclimatization
સંચય,Accumulation
ચોકસાઈ,Accuracy
એકરખાંશ,Acervulus
સુશોભિતતા,Acetification
એસ્બરેશન,Acidification
અમ્લમાપક,Acidimeter
અમલ્ય,Acidity
અમ્લ્ક,Acidophilic
એસિડ્યુલેટેડ રોક ફોસ્ફેટ,Acidulated rock phosphate
કષ્ટાત્મક,Aciduric
પાણીમાં જતું,Aquifer
સંપાદન,Acquisition
એકર,Acre
એકર વિસ્તાર,Acreage
સંકુચિત રંગસૂત્ર,Acrocentric chromosome
આછું,Acropetal
આછક,Acrosome
કૃત્ય,Actinomycetes
સક્રિય રુટ ક્ષેત્ર,Active root zone
તીવ્ર,Acute
અનુકૂલનક્ષમતા,Adaptability
અનુકૂલન,Adaptation
સંલગ્નતા,Adhesion
ચરબીયુક્ત,Adipose
સમાયોજન સમીકરણ,Adjustment equation
ગોરી માટી,Adobe soil
વ્યભિચાર,Adulterant
આકસ્મિક,Adventitious
જાસૂસી,Aecidiospore
વાતજ પ્રક્રિયા,Aeolian process
વાતજ,Aeolian
હાથબદલો કરવો,Aerate
હવાઈ,Aerial
વાયુવાસી,Aerometer
વિમાન,Aerosol
નિલાસ્ય,Aestivation
એટીઓલોજી (ઇટીઓલોજી),Aetiology (etiology)
વનીકરણ,Afforestation
આંદોલન,Agitation
ગુનો,Agmark
કૃષિ,Agrarian
કૃષિ ચિકિત્સક,Agricultural clinic
કૃષિ -મજૂર,Agricultural labour
કૃષિ,Agricultural marketing
કૃષિ પ્રૌ નગર,Agricultural technology
કૃષિ,Agriculture
કૃષિવિજ્icultureાની,Agrisilviculture
કૃષિવિવિધિ,Agrobiodiversity
કૃષિવિજ્ologicalાનની ખામી,Agrobiological defects
કૃષિવિજ્iologyાન,Agrobiology
કૃષિ વિવિધતા,Agroclimatic diversity
કૃષિવિજ્ingાન,Agroclimatic zoning
કૃષિ -પ્રવેશ,Agroforestry
કૃષિવિજ્ologyાન,Agrology
કૃષિવિજ્yાન,Agronomy
જૂથબદ્ધ,Agropastoral
કૃષિ કે થાંભલા,Agroprocessing
કૃષિવિજ્ologyાન,Agrostology
કૃષિવંશ,Agrotype
વિમાન,Air plant
અકીયોચી માટી,Akiochi soil
માદા,Albinism
ક alંગું,Alfisols
શેવાળ,Algae
મૂર્ત રોગ,Algal disease
ક્ષારયુક્ત પાણી,Alkali water
ક્ષુદ્ર,Alkaline
એલીલ,Allele
એલેલોકેમિકલ્સ,Allelochemicals
એલેલોમોર્ફ,Allelomorph
અખરોશ,Allelopathy
એલી પાક,Alley cropping
ફાળવણી,Allocarpy
સહ -સંબંધ,Allogamy
એલોમેટ્રી,Allometry
ફિલોપ્લોઇડ,Allopolyploid
એલોસિનાપ્સિસ (એલોસિન્ડિસિસ),Allosynapsis (allosyndesis)
વૈકલ્પિક બેરિંગ,Alternate bearing
વૈકલ્પિક જમીનનો ઉપયોગ,Alternate land use
ઠેકડેલું,Ambient
ઉદ્ધત,Ameliorant
ક્ષુત્વ,Amitosis
મરણોત્તર,Amminization
ચંદ્ર,Ammonification
એમોનિફાયર,Ammonifier
આતુર,Amorph
Amાળ,Amphimixis
અતિશય,Amphoteric
અનોખા,Anabolism
એનોરોબ,Anaerobe
Anડતું,Aneuploid
અંકિત -વાવેતર,Angle planting
પશુપાલન,Animal husbandry
પશુ ઇનકાર,Animal refuse
સજીવ,Animate energy
શિરદર્શક,Anisoploid
વાર્ષિક પ્લાન્ટ,Annual plant
વાર્ષિક,Annual
કળશ,Anthesis
એક જાતની નશરીય,Anthrax
માનવ -પરિબળ,Anthropogenic factor
એન્ટિબાઈસિસ,Antibiosis
એન્ટિબાઇટર,Antibiotic
મારોશત,Antidote
એન્ટી ox કિસડન્ટો,Antioxidants
પુષ્પ,Antitoxin
હડંગું,Annulus
Apષધ,Aphid
ક budદડી,Apical bud
મડાગાંઠ,Apical dominance
માપી (મધમાખી રાખવી),Apiculture (bee keeping)
અનુવાદ,Apomixis
એપોપ્ટોસિસ,Apoptosis
સંલગ્ન,Appendage
મોહક,Appetizer
લાગુ કરવું,Applied
જળચર નીંદણ,Aquatic weed
વૃક્ષને લગતું,Arboreal
હવાઇકરણ,Arborization
સર્વસામાન્ય રેકોર્ડ,Archaeo-botanical records
ક્ષેત્ર આંકડા,Area statistics
વિસ્તાર,Area
શુષ્ક ઇકોસિસ્ટમ,Arid ecosystem
અણીદાર,Aril
સુગંધ,Aroma
સુગંધિત છોડ,Aromatic plant
સુગંધિત ચોખા,Aromatic rice
તંગર,Arrowing
મહાપમાવર,Asepsis
ખસી,Aseptic
અજાતીય પ્રચાર,Asexual propagation
પરાકાષ્ઠા,Assay
અસ્ક્યામત,Assets
આત્મસાત,Assimilation
મંડળ,Association
આહલાદક,Astringent
અસમપ્રાપ્ત,Asynapsis
તૃષ્ણા,Atavism
અણમા,Atomizer
કૃશતા,Atrophy
સ્વતસ્તરી,Autogamy
સ્વચાલનતા,Autolysis
સ્વચાલિત થાંભલા,Autoxidation
સ્વોલપ્લોઇડ,Autopolyploid
Uxક્સિન્સ,Auxins
AWN (બરછટ),Awn (bristle)
બદામ,Almond
કુંવાર,Aloe
અમરાન્થસ,Amaranthus
ક amંગું,Ammi
અંજાન ઘાસ,Anjan grass
ગૂંજ,Anthurium
"ઓનલા, ભારતીય ગૂસબેરી","Aonla, Indian gooseberry"
સફરજન,Apple
દુર્દ્રાવી,Apricot
જાસ્મિન,Arbian jasmine
અરેકા અખરોટ,Areca nut
ખલાસી,Arjun
અફેટીડા,Asfoetida
રાખ,Ash gourd
અશોક વૃક્ષ,Ashoka tree
એશ્થમા નીંદણ (યુફોર્બિયા),Ashthma weed (euphorbia)
શતાવરીનો શતાાયણ,Asparagus
એવોકાડો,Avocado
અલ્ફાલ્ફા (લ્યુસર્ન),Alfalfa (lucerne)
કીડી,Ants
એફિડ,Aphids
સૈન્યમાં,Army worm
કૃષિ -અર્થશાસ્ત્રી,Agricultural economist
કૃષિ વિસ્તરણવાદી,Agricultural extensionist
કૃષિ -વિજ્ scientાન,Agricultural scientist
ખેતી ઈજનેર,Agriculture engineer
કેરોગવિજ્ologistાન,Agrobiologist
કૃષિવિજ્istાની,Agronomist
કૃષિવિજ્stાન,Agrophysicst
પશુ સંવર્ધક,Animal breeder
બેસિલસ વાયરસ,Bacillus virus
દંભ,Bacillus
જીવાત,Bacteria
કોઇ,Bacteriotoxin
મસાલા,Bagasse
સરવૈયા,Balance sheet
શેતરાન,Balanced fertilization
આકૃતિ,Bar diagram
ભડકો,Bark
બાહુદ માળખાં,Barometer
ઉજ્જડ,Barren
પાયો,Base
ઉજવણી,Basin
બીક,Basipetal
દરિયાકાંઠે,Basisternum
ચોમાસા,Bay monsoon
પધ્ધદનો છોડ,Bearing plant
પથારી,Bed
ઘાને,Bedder
નાળ,Bedding
બીટ દાળ,Beet molasses
ધૂન,Bellows
બેલ્ટ,Belt
લાભ આપતી કિંમતે વિશ્લેષણ,Benefit-cost analysis
પક્ષપાતી (નમૂના),Biased (sampling)
દ્વિવાર્ષિક,Biennial
દ્વિપદી,Binomial
જૈવિક,Bioagent
જૈવ,Bioclimate
બાયનર્જી,Bioenergy
જીવવિજ્icsાન,Bionomics
બાયરોએક્ટર,Bioreactor
જીવશોષ,Biosphere
જૈવિક,Biotic
જંતુઓ,Biotype
દ્વિલિંગી,Bisexual
નિસ્તેજ,Blanching
વિનોદ,Blast
મિશ્રણ,Blend
વાંક કા blવો,Blight
ફટકો,Blister
ક્રાંતિ,Blue revolution
તળિયે ગરમીનો ઓરડો,Bottom heat chamber
તળિય ગરમીની તકનીક,Bottom heat technique
ક brંગું,Bran
શાખા,Branching
શાખા -શાખા -શાખ્ય,Branchlet
ઉછેર,Breed
ઉછેર,Breeding
કોઇ,Brimming
ક brંગું,Brood
જાંબુડી,Budding
અંદાજપત્ર,Budget
બફર,Buffer
ગોળાકાર,Bulb
સંલગ્ન,Bunt
પેટા-પેદાશ,By-product
બબુલ બાવળ,Babul acacia
બાળક મકાઈ,Baby corn
બેલ,Bael
બાલ,Baill
બાલસમ,Balsam
વાંસ,Bamboo
કરડ,Banana
વડ નું વૃક્ષ,Banyan tree
જવ,Barley
બાર્નેયાર્ડ બાજરી,Barnyard millet
એક જાતનો છોડ,Basil
બેસ્ટાર્ડ દેવદાર,Bastard cedar
બેસ્ટર્ડ માયરોબાલન,Bastard myrobalan
બૌહિનીયા,Bauhinia
ખાડી,Bay berry
બીન,Bean
સલાદ,Beet
બાલ્ટડોન્ના,Belladonna
બેવકૂફ,Ber
ઠપકો આપવો,Berseem
સોપારી,Betel
બિલોમ્બી,Bilimbi
કડવી દારૂ,Bitter gourd
કાળો ગ્રામ,Black gram
કાળી નાઈટશેડ,Black nightshade
બોગૈનવિલે,Bougainvillea
બોટ,Bottle brush
બોટલ ગોળા,Bottle gourd
બ boxટ -ઝાડ,Box tree
બ્રેડ ફળો,Bread fruit
લગ્ન સમારંભ,Bridal creeper
શોરબકોર,Brinjal
વ્યાપક બીન,Broad bean
કોતરણી,Broccoli
બ્રસેલ્સ sprout,Brussel's sprout
બિયાં સાથેનો દાણો,Buckwheat
Butોરિયા,Butea
એક જાતની નાની ભડકી,Bandicoot
સહન કરવું,Bear
ભમરો,Beetle
ફોલ્લો ભમરો,Blister beetle
વાદળી બળદ,Blue bull
Bણપત્ર,Boll worm
બ butterટરફ્લાય,Butterfly
જીવાણુવિજ્ologistાની,Bacteriologist
જૈવ રસાયણાકાર,Biochemist
જીવવિજ્ologistાન,Biologist
જીવવિજ્ologistાની,Biotechnologist
વનસ્પતિશાસ્ત્ર,Botanist
