Tamil,Odiya
குறைப்பு,ଆବଦ୍ଧ
சுருக்கம்,ସଂକ୍ଷିପ୍ତକରଣ
கடத்தல்,ଅପହରଣ
நிறுத்துதல்,ଆବେରୀ
திறன்,ଦକ୍ଷତା
Ab initio,Ab initio
முடியும்,ସକ୍ଷମ
அசாதாரணமானது,ଅସ୍ୱାଭାବିକ |
ஒழிப்பு,ଚତୁରତା
இடுகை ஒழிப்பு,ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |
மேலே குறிப்பிட்டுள்ள,ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |
மேலே கூறினார்,ଉପରେ କହିଲା
இல்லாதது,ଅନୁପସ୍ଥିତି
வராதவர்,ଅଧ୍ୟାପୀ
இல்லாதது,ଅନୁପସ୍ଥିତତା
இல்லாத அறிக்கை,ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି
அறுதி,ସଂପୂର୍ଣ୍ଣ
முழுமையான ஏகபோகம்,ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |
முழுமையான உரிமை,ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା
உறிஞ்சுதல்,ଶୋଷଣ
சுருக்கம்,ବିସ୍ତୃତ
சுருக்கம்,ବିସ୍ତୃତ
அபத்தமான,ଅବ urd ଧ |
ஏராளமாக,ପ୍ରଚୁରତା
அதிகார துஷ்பிரயோகம்,ଶକ୍ତିର ଅପବ୍ୟବହାର |
தவறான மொழி,ଅପମାନଜନକ ଭାଷା |
கல்வி,ଏକାଡେମିକ୍ |
கல்வி விவாதம்,ଏକାଡେମିକ୍ ଆଲୋଚନା
கல்வி விடுப்பு,ଏକାଡେମିକ୍ ଛୁଟି |
கல்வி தகுதி,ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |
கல்வி சாதனையை,ଏକାଡେମିକ୍ ରେକର୍ଡ |
ஏற்றுக்கொள்ளுங்கள்,ଧ୍ୟାନଦେଇ
ஏற்றுக்கொள்,ଗ୍ରହଣ କର
ஏற்றுக்கொள்ளல்,ଗ୍ରହଣ
பதவியை ஏற்றுக்கொள்வது,ଅଫିସ୍ ଗ୍ରହଣ
டெண்டரை ஏற்றுக்கொள்வது,ଟେଣ୍ଡର ଗ୍ରହଣ
அணுகல்,ପ୍ରବେଶ
அணுகல்,ପ୍ରବେଶ
துணை,ଆନୁଷଙ୍ଗିକ
விபத்து,ଦୁର୍ଘଟଣା
பழக்கவழக்கமயமாக்கல்,ସୁକମ୍ଲାଇଜେସନ୍
தங்குமிடம்,ଆବାସ
துணையுடன்,ସାଥୀ
உடன்பாடு,ଆକର୍ଡ
ஒப்புதல்,ସମ୍ପତ୍ତୀ
அதன்படி,ସେହି ଅନୁଯାୟୀ |
கணக்கு,ଖାତା
பொறுப்புக்கூறல்,ଉତ୍ତରଦାୟିତ୍ୱ
பொறுப்பு,ଉତ୍ତରଦାୟୀ |
கணக்கியல்,ଆକାଉଣ୍ଟାଣ୍ଟି
கணக்காளர்,ଆକାଉଣ୍ଟାଣ୍ଟ
கணக்கு,ଖାତା ପାଇଁ
கணக்கு தலை,ଖାତା ହେଡ୍
திரட்டப்பட்ட நன்மை,ଅଭିଯୋଗ ଲାଭ
திரட்டப்பட்ட ஓய்வூதியம்,ପେନ୍ ପେନ୍ସନ୍
குவிப்பு,ଜମା
துல்லியம்,ସଠିକତା
துல்லியமானது,ସଠିକ୍
குற்றம்,ଅଭିଯୋଗ
குற்றம் சாட்டப்பட்டவர்,ଅଭିଯୁକ୍ତ
சாதனை,ସଫଳତା
ஒப்புதல்,ସ୍ୱୀକୃତି
ஒப்புதல் காரணமாக,ସ୍ୱୀକୃତି ଦେବାର |
அறிமுகம்,ପରିଚୟ
கையகப்படுத்தல்,ଅଧିଗ୍ରହଣ
விடுவித்தல்,ନିର୍ଦ୍ଦୋଷ
நாடகம்,କାର୍ଯ୍ୟ କର
நடிப்பு கொடுப்பனவு,ଅଭିନୟ ଭତ୍ତା
செயல்,କାର୍ଯ୍ୟ
