Punjabi,Gujarati
ਅਧੂਰਾ ਛੱਡਣਾ,ગર્ભપાત
ਅਧੂਰਾ ਛੱਡੋ,ગર્ભપાત સમય
निरपेक्ष an s,અબાધિત સંબોધન
ਪੂਰਨ ਪਤਾ,પૂર્ણ સંબોધન
ਸੰਪੂਰਨ ਸੰਜਮ,સંપૂર્ણ સંમેલન
ਸੰਪੂਰਨ ਕੋਡ,પૂર્ણ સંહિતા
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,પૂર્ણ સંહિતા
ਸੰਪੂਰਨ ਕਮਾਂਡ,પૂર્ણ આદેશ
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,સંપૂર્ણ સંકલન
ਸੰਪੂਰਨ ਡੇਟਾ,અબાધિત આંકડા
ਪੂਰੀ ਗਲਤੀ,નિરપેક્ષ ભૂલ
ਪੂਰਨ ਸਮੀਕਰਨ,પૂર્ણ અભિવ્યક્તિ
ਪੂਰਨ ਹਦਾਇਤ,અબાધિત સૂચના
ਸੰਪੂਰਨ ਲੋਡਰ,અબાધિત લોડર
ਸੰਪੂਰਨ ਕ੍ਰਮ,સંપૂર્ણ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,પૂર્ણ કાર્યક્રમ
ਸੰਪੂਰਨ ਅਵਧੀ,અબાધિત મુદત
ਸਹੀ ਮੁੱਲ,અબાધિત મૂલ્ય
ਸੰਪੂਰਨ ਵੈਕਟਰ,અબાધિત વેક્ટર
ਸਾਰ,નિષ્ક્રિય
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,યોગ્યતા
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,સાર -સારાંશ
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,પ્રવેગશ ગાળો
ਪ੍ਰਵੇਗ ਟਾਈਮ,પ્રવેગકોનો સમય
ਲਹਿਜ਼ਾ,ઉચ્ચારણ
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,સ્વીકૃતિ કસોટી
ਪਹੁੰਚ,પ્રવેશ
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,પ્રવેશ હાથ
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,પ્રવેશ -વ્યવસ્થા
ਪਹੁੰਚ ਅਥਾਰਟੀ,પ્રવેશ સત્તાવાર
ਐਕਸੈਸ ਚਾਰਜ,પ્રવેશ -ખર્ચ
ਐਕਸੈਸ ਕਲਾਸ,પ્રવેશ -વર્ગ
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,પ્રવેશ -આધાર વ્યવસ્થાપન
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,પર્યાવરણ
ਐਕਸੈਸ ਪਾੜਾ,પ્રવેશ અંતર
ਐਕਸੈਸ ਇੰਡੈਕਸ,પ્રવેશ -સૂચિ
ਐਕਸੈਸ ਲਾਈਨ,પ્રવેશ -રેખા
ਐਕਸੈਸ ਵਿਧੀ,પ્રવેશ -પદ્ધતિ
ਐਕਸੈਸ ਵਿਧੀ,પ્રવેશ પદ્ધતિ
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,પ્રવેશ -પદ્ધતિ
ਐਕਸੈਸ ਮੋਡ,પ્રવેશ -પદ્ધતિ
ਸਹੀ ਪਹੁੰਚ,પ્રવેશ -હક
ਐਕਸੈਸ ਸਕੈਨ,પ્રવેશ -સ્કેન
ਐਕਸੈਸ ਟਾਈਮ,પ્રવેશ સમય
ਲੇਖਾ,નામું
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,હિસાબ -પદ્ધતિ પદ્ધતિ
ਲੇਖਾ ਮਸ਼ੀਨ,હિસાબ -વ્યવસ્થા
ਅਕਾਊਂਟ ਨੰਬਰ,ખાતા નંબર
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,સંચયી પ્રજનનકર્તા
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,એકઠા કરનાર
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,સંચિત રજિસ્ટર
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,સંચય -પાળી સૂચના
ਸ਼ੁੱਧਤਾ,ચોકસાઈ
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,ચોકસાઈ નિયંત્રણ
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,ચોકસાઈ નિયંત્રણ પદ્ધતિ
ਏਸ ਪਾਇਲਟ,પાસાનો પાસાનો પો
ਅੱਖਰ ਮੰਨੋ,પાત્ર સ્વીકારવું
ਧੁਨੀ ਕਥਾ,ધ્વનિકર્તા
ਧੁਨੀ,ધ્વનિ -જોડાણ
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,ધ્વનિ વિલંબ રેખા
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,ધ્વનિમૂર્તિ
