Kannada,Tamil
ಅಬೆಲಿಯನ್ ಗುಂಪು,அபெலியன் குழு
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,அபிலியன் அரைகுழு
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,அறுதி
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,முழுமையான ஒருங்கிணைப்பு
ಸಂಪೂರ್ಣ ದೋಷ,முழுமையான பிழை
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,முழுமையான அதிகபட்சம்
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,முழுமையான குறைந்தபட்சம்
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,துல்லியமான மதிப்பு
ಸಂಪೂರ್ಣ ವೇಗ,முழுமையான வேகம்
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,சுருக்க இயற்கணிதம்
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,சுருக்க குழு கோட்பாடு
ವೇಗವರ್ಧನೆ,முடுக்கம்
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,புவியீர்ப்பு காரணமாக முடுக்கம்
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
ಸಂಚಿತ ದೋಷ,திரட்டப்பட்ட பிழை
ನಿಖರತೆ,துல்லியம்
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,செயல்படும் சக்தி
ಕ್ರಮ,நடவடிக்கை
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,செயல் மற்றும் எதிர்வினை
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,உண்மையான அறிவியல்
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,கடுமையான கோண முக்கோணம்
ಅಸೈಕ್ಲಿಕ್,அசைக்ளிக்
ಸೇರಿಸಿ,கூட்டு
ಸೇರಿಸುವವನು,சேர்ப்பான்
ಜೊತೆಗೆ,கூடுதலாக
ಸೇರ್ಪಡೆ ಸೂತ್ರ,கூட்டல் சூத்திரம்
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,சிக்கலான எண்களைச் சேர்த்தல்
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,செயல்பாடுகளைச் சேர்த்தல்
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,மெட்ரிக்குகள் சேர்த்தல்
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,நிகழ்தகவுகளைச் சேர்த்தல்
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,திசையன்கள் சேர்த்தல்
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,கூட்டல் தேற்றம்
ಸಂಯೋಜಕ ಗುಂಪು,சேர்க்கை குழு
ಸಂಯೋಜಕ ವಿಲೋಮ,தலைகீழ் சேர்க்கை
ಸಂಯೋಜಕ ಆಸ್ತಿ,சேர்க்கை சொத்து
ಸಂಕಲನ,சேர்க்கை
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,அருகாமை அணி
ಪಕ್ಕದ,அருகில்
ಪಕ್ಕದ ಕೋನಗಳು,அருகில் உள்ள கோணங்கள்
ಪಕ್ಕದ ಶೃಂಗ,அருகில் உள்ள உச்சி
ಹೊಂದು,இணை
ಪಕ್ಕದ,அருகில்
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,இணைந்த தீர்மானிப்பான்
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,இணை வேறுபாடு சமன்பாடு
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,இணைந்த சமன்பாடு
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,இணை அணி
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,மேட்ரிக்ஸின் இணைப்பு
