Gujarati,Kannada
એમ્પીયર (એકમ),ಆಂಪಿಯರ್ (ಘಟಕ)
એંગસ્ટ્રમ,ಆಂಗ್ಸ್ಟ್ರಮ್
એ-ક્લાસ એમ્પ્લીફાયર,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
એએન રેડિયો સહાય,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
a-સ્કેનીંગ પ્રસ્તુતિ,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
a-દર્શ,a-ದರ್ಶ್
A-સ્કોપ કામગીરી,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
A-T વક્ર ક્રિસ્ટલ,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
"એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન","ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
છું,ಬೆಳಗ್ಗೆ
AMU (અણુ સમૂહ એકમ),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
આર્ડ-વાર્ક*,aard-vark*
એબ-એમ્પીયર,ಅಬ್-ಆಂಪಿಯರ್
A-B વર્ગ એમ્પ્લીફાયર,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
અદાહ,ಅದಾ
A-B શક્તિ પિટક,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
અબે નંબર (અબે સતત),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
અબે રીફ્રેક્ટોમીટર,ಅಬೆ ವಕ್ರೀಕಾರಕ
અબે સાઈન સ્ટેટ,ಅಬೆ ಸೈನ್ ರಾಜ್ಯ
આપોઆપ પૂર્વગ્રહ વળતર,ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ
abcoulom,abcoulom
વિકૃતિ,"ವಿಪಥನ, ವಿಪಥನ"
વિકૃતિ સુધારક લેન્સ,ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ
આકાશ વિકૃતિ,ಆಕಾಶ ವಿಪಥನ
અફરદ,abfarad
એબેનરી,ಎಬೆನ್ರಿ
ઇબોની અસર,ಎಬೊನಿ ಎಫೆಕ್ಟ್
અસામાન્ય ધ્રુવીકરણ,ಅಸಹಜ ಧ್ರುವೀಕರಣ
અસામાન્ય ટ્રાન્સમિશન,ಅಸಹಜ ಪ್ರಸರಣ
પેરાનોર્મલ પ્રતિબિંબ,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ
અસામાન્ય રીફ્રેક્શન*,ಅಸಹಜ ವಕ್ರೀಭವನ*
પેરાનોર્મલ પ્રતિકાર,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ
ab-om,ab-om
"પ્રબળતા, નિષ્ફળતા","ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ"
"જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત","ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ"
ઘણી વાર કૂદકો,ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು
હાથ*,ಕೈ*
પ્રતિબિંબ ગુમાવ્યું,ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ
ગુમ થયેલ સ્પેક્ટ્રમ,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
સંપૂર્ણ પ્રવેગક,ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ
સંપૂર્ણ વાસ્તવિકતા,ಸಂಪೂರ್ಣ ವಾಸ್ತವ
સંપૂર્ણ સરનામું,ಸಂಪೂರ್ಣ ವಿಳಾಸ
જિયો-રિલેટિવ અલ્ટીમીટર,ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್
ભૌગોલિક ઊંચાઈ,ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ
સંપૂર્ણ એમ્પીયર,ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್
સંપૂર્ણ ઉત્કલન બિંદુ,ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು
સંપૂર્ણ તેજ,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ
સંપૂર્ણ ક્ષમતા,ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ
ચોક્કસ ઊંચાઈ,ಸಂಪೂರ್ಣ ಎತ್ತರ
સંપૂર્ણ રંગદ્રવ્ય,ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ
"સંપૂર્ણ રૂપરેખાંકન, અસ્પષ્ટ રૂપરેખાંકન","ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ"
સંપૂર્ણ કૂલમ્બ,ಸಂಪೂರ್ಣ ಕೂಲಂಬ್
સંપૂર્ણ અંધકાર,ಸಂಪೂರ್ಣ ಕತ್ತಲೆ
સંપૂર્ણ સમયપત્રક,ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ
સંપૂર્ણ ઘનતા*,ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*
સંપૂર્ણ ડ્રેનેજ,ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ
સંપૂર્ણ EMU (ઇલેક્ટ્રોમેગ્નેટિક એકમ),ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ)
સંપૂર્ણ ESU (સ્થિર એકમ),ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ)
સંપૂર્ણ કાર્યક્ષમતા,ಸಂಪೂರ್ಣ ದಕ್ಷತೆ
સંપૂર્ણ ઇલેક્ટ્રોમીટર,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್
સંપૂર્ણ આવર્તન સંપૂર્ણ આવર્તન,ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ
સંપૂર્ણ ભેજ,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
