Hindi,Telugu
वैस्‍टम‍िन्‍स्‍टर मठ,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
मालखाना,పదవీ విరమణ
दासता का उन्मूलन,బానిసత్వ నిర్మూలన
आदिवासी,ఆదివాసి
अब्राहम काल,అబ్రహం యుగం
प्रवासी ज़मींदार,గైర్హాజరు భూస్వాములు
अकादमी; विद्वत्परिषद,అకాడమీ
अक्रा सम्मेलन,అక్ర సమావేశం
"प्रोद्भूत सामग्री, उपचित सामग्री",సంపాదన
"परसंस्कृति-ग्रहण, उत्संस्करण",సంస్కారము
एसेलडामा,అసెల్డామా
एकियायी,అచెయన్ (=అచియన్)
एकीयायी लीग,అచీయన్ లీగ్ (=అచియన్ లీగ్)
एक्रोपोलिस,అక్రోపోలిస్
"शाही रोज़नामचा, दैनिक समाचार",ఆక్టా డియుర్నా
सीनेट का कार्यवृत्त,ఆక్టా సెనాటస్
"अपर प्रपत्र, एक्टे एडिशनेल",యాక్టే అడిషనల్
सक्रिय रिकार्ड,యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
अपकीर्त्ति अधिनियम,సాధించేవారి చర్య
दंड विमुक्ति एवं विस्मरण अधिनियम,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",సెటిల్మెంట్ చట్టం
संविदा मुद्रा,ప్రకటన ఒప్పంద ముద్ర
आडुलम गुटवादी,అడుల్లామైట్స్
विपक्षी,విరోధి
2. शत्रु,విరోధి
युग,అయాన్
इरेरियम,ఏరోరియం
"आकाशी युद्ध, हवाई लड़ाई",వైమానిక యుద్ధం
"एटोलियन लीग, एटोलियायी संघ",ఏటోలియన్ లీగ్
"काल, युग",వయస్సు
"काल-प्रभावन, जीर्णन",వృద్ధాప్యం (=వృద్ధాప్యం)
जीर्णन-प्रक्रिया,వృద్ధాప్య ప్రక్రియ
एजिलायी,అగెలై
शौर्य युग,శౌర్య యుగం
"प्रबोध युग, ज्ञानोदय युग",జ్ఞానోదయం వయస్సు
पेरीक्लीज़ युग,పెరికిల్స్ వయస్సు
तर्क प्रधान युग,కారణం వయస్సు
भूमि सुधारवाद,వ్యవసాయం
भूमि सुधारवादी आंदोलन,వ్యవసాయ ఉద్యమం
एलबियन,అల్బియాన్
अलबम,ఆల్బమ్
"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन",ఆల్డర్మాన్
कुलांकित आयुध,అల్లుడు చేతులు
मैत्री,సఖ్యత
एम्फिकटिआनी परिषद,యాంఫిక్యోనిక్ కౌన్సిల్
ऊपर देo : Amphictyonic Council,యాంఫిక్యోనిక్ లీగ్
"रंगवाट, रंगभूमि, अखाड़ा",యాంఫీ థియేటర్
(मृद्भांडों का) अमरीनाल वर्ग,అమ్రి నల్ గ్రూప్ (కుండల)
"काल-वैषम्य, काल-दोष",అనాక్రోనిజం
काल-वैषम्ययुक्त,అనాక్రోనిస్టిక్
पूर्वज,పూర్వీకుడు
पितृ-पूजा,పూర్వీకుల ఆరాధన
कुल-परंपरा,పూర్వీకులు
2. वंश,పూర్వీకులు
3. वंश-क्रम,పూర్వీకులు
4. उच्च कुल,పూర్వీకులు
"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था",ప్రాచీన పాలన
"पुरातन, प्राचीन",ప్రాచీన
प्राचीन गाथा,పురాతన బల్లాడ్
प्राचीन मत,పురాతన నమ్మకం
प्राचीन प्रथा,ప్రాచీన ఆచారం
प्राचीन हतिहास,పురాతన చరిత్ర
प्राचीन स्मारक,పురాతన స్మారక చిహ్నాలు
