Marathi,Hindi
अँपिअर (युनिट),ऐम्पियर (मात्रक)
angstrum,ऐंगस्ट्रम
ए-क्लास अॅम्प्लिफायर,ए-वर्ग प्रवर्धक
एएन रेडिओ सहाय,ए.एन रेडियो सहाय
एक-स्कॅनिंग सादरीकरण,ए-क्रमवीक्षण प्रस्तुति
a-darsh,ए-दर्श
ए-स्कोप कामगिरी,ए-स्कोप प्रदर्शन
A-T वक्र क्रिस्टल,ए-टी कर्तित क्रिस्टल
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
आहे,पूर्वाह्न
AMU (अणु वस्तुमान एकक),ए.एम.यू. (परमाणु संहति मात्रक)
आर्ड-वार्क*,आर्ड-वार्क*
ab-ampere,ऐब-ऐम्पियर
A-B वर्ग अॅम्प्लिफायर,ए-बी वर्ग प्रवर्धक
adah,आदितः
A-B शक्ती पिटक,ए-बी शक्ति पिटक
abc = संरेखन चार्ट = nomograph,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
अबे क्रमांक (अबे स्थिरांक),ऐबे संख्या (ऐबे नियतांक)
abe refractometer,ऐबे अपवर्तनमापी
अबे साइन राज्य,ऐबे ज्या अवस्था
स्वयंचलित पूर्वाग्रह भरपाई,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
विकृती,"विपथन, अपेरण"
विकृती सुधारक लेन्स,विपथन संशोधक लेन्स
आकाश विकृती,आकाश-विपथन
abfarad,एबफैराड
एबेनरी,एबहेनरी
इबोनी प्रभाव,ऐबनी प्रभाव (ऐबनी नियम)
असामान्य ध्रुवीकरण,अपसामान्य ध्रुवण
असामान्य प्रसार,अपसामान्य संचरण
अलौकिक प्रतिबिंब,अपसामान्य परावर्तन
असामान्य अपवर्तन*,अपसामान्य अपवर्तन*
अलौकिक प्रतिकार,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"प्राबल्य, अपयश","पूर्वपात, विफलन"
"संलग्न, सहसा, उभे, विभक्त, खंडित","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
अनेकदा उडी मारते,सहसा जंप
हात*,भुज*
हरवलेले प्रतिबिंब,लुप्त परावर्तन
गहाळ स्पेक्ट्रम,लुप्त स्पैक्ट्रम
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","निरपेक्ष, परम, अचर, परिशुद्ध"
परिपूर्ण प्रवेग,निरपेक्ष त्वरण
परिपूर्ण वास्तव,निरपेक्ष यथार्थता
परिपूर्ण पत्ता,निरपेक्ष पता
भौगोलिक उच्चांक,भूसापेक्ष तुंगतामापी
भौगोलिक उंची,भूसापेक्ष तुंगता
परिपूर्ण अँपिअर,निरपेक्ष ऐम्पियर
परिपूर्ण उकळत्या बिंदू,परम क्वथनांक
परिपूर्ण प्रकाश,निरपेक्ष तेजमापीय दीप्ति
परिपूर्ण क्षमता,निरपेक्ष धारिता
परिपूर्ण उंची,निरपेक्ष ऊँचाई
परिपूर्ण रंगद्रव्य,निरपेक्ष वर्णाक
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन","निरपेक्ष विन्यास, असंदिग्ध विन्यास"
परिपूर्ण कूलॉम्ब,निरपेक्ष कूलॉम
पूर्ण अंधार,पूर्ण अंधकार
परिपूर्ण वेळापत्रक,निरपेक्ष कालनिर्धारण
परिपूर्ण घनता*,निरपेक्ष घनत्व*
पूर्ण निचरा,निरपेक्ष अपवहन
संपूर्ण EMU (विद्युत चुंबकीय एकक),निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक)
संपूर्ण ESU (स्थिर एकक),निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक)
परिपूर्ण कार्यक्षमता,निरपेक्ष दक्षता
परिपूर्ण इलेक्ट्रोमीटर,निरपेक्ष विद्युतमापी
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति"
परिपूर्ण आर्द्रता,निरपेक्ष आर्द्रता
परिपूर्ण घटना,निरपेक्ष आपतन
परिपूर्ण अपवर्तक निर्देशांक,निरपेक्ष अपवर्तनांक
पूर्ण अस्थिरता,निरपेक्ष अस्‍थायित्व
पूर्ण अस्थिरता,निरपेक्ष अस्‍थायित्व
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता","निरपेक्ष तीव्रता, निरपेक्ष उग्रता"
अस्थेनियाची परिपूर्ण मर्यादा,शैथिल्य की निरपेक्ष सीमा
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,निरपेक्ष ज्योतिर्मयता देहली
परिपूर्ण प्रकाश वक्र,निरपेक्ष ज्योति वक्र
परिपूर्ण परिमाण,निरपेक्ष कांतिमान
परिपूर्ण बॅरोमीटर,निरपेक्ष दाबांतरमापी
सर्वोच्च सर्वोच्च,परम उच्चिष्ठ
पूर्ण टोक,निरपेक्ष चरम सीमांक
परिपूर्ण सर्वात कमी,परम निम्निष्ठ
परिपूर्ण गती,निरपेक्ष संवेग
परिपूर्ण गती,निरपेक्ष गति
परिपूर्ण संगीत,निरपेक्ष संगीत
परिपूर्ण निरीक्षण,निरपेक्ष प्रेक्षण
परिपूर्ण ओम,निरपेक्ष ओम
परिपूर्ण अभिमुखता,निरपेक्ष दिगविन्यास
परिपूर्ण विद्युत ऋणात्मकता,निरपेक्ष विद्युत्-शीलता
परिपूर्ण गुरुत्व,निरपेक्ष तारत्व
परिपूर्ण दबाव,निरपेक्ष दाब
परिपूर्ण मालमत्ता,निरपेक्ष गुणधर्म
परिपूर्ण स्केलर,निरपेक्ष अदिश
तापमानाचे अंतिम प्रमाण*,ताप का परम मापक्रम*
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता"
पूर्ण ताण,निरपेक्ष प्रतिबल
परिपूर्ण सममिती,निरपेक्ष सममिति
परिपूर्ण गती शरीर,निरपेक्ष गति-निकाय
परिपूर्ण एकक प्रणाली,निरपेक्ष मात्रक पद्धति
परिपूर्ण तापमान,परम ताप
परिपूर्ण वेळ,निरपेक्ष काल
निरपेक्ष एकके,निरपेक्ष मात्रक
परिपूर्ण मूल्य,निरपेक्ष मान
पूर्णांक कॅल्क्युलेटर,पूर्णाक अभिकलित्र
परिपूर्ण वेग,निरपेक्ष वेग
परिपूर्ण चिकटपणा,निरपेक्ष श्यानता
परिपूर्ण वजन,निरपेक्ष भार
पूर्ण शून्य*,परम शून्य*
शून्याचा पूर्ण विभाजक,शून्य का निरपेक्ष भाजक
शोषून घेणे,अवशोषण करना
शोषक निर्देशांक*,अवशोषणांक*
शोषलेली ऊर्जा,अवशोषित ऊर्जा
"शोषक, शोषक","अवशोषक, अवशोषी"
शोषक माध्यम*,अवशोषी माध्यम*
शोषण क्षमता,अवशोषण सामर्थ्य
शोषण,अवशोषणांश
शोषणमापक*,अवशोषणमापी*
शोषणमापन*,अवशोषणामिति*
शोषण,अवशोषण
शोषण - बँड*,अवशोषण - बैन्ड*
शोषण सर्किट,अवशोषण परिपथ
शोषण गुणांक,अवशोषण-गुणांक
शोषण स्तंभ,अवशोषण-स्तम्भ
अवशोषण स्थिर,अवशोषण-स्थिरांक
शोषण सातत्य,अवशोषण सांतत्यक
शोषण क्षेत्र,अवशोषण-परिक्षेत्र
शोषण प्रवाह,अवशोषण-धारा
शोषण वक्र*,अवशोषण वक्र*
शोषण फ्रॅक्चर,अवशोषण भंग
शोषण कोर,अवशोषण कोर
शोषण घटक,अवशोषण गुणक
शोषण फिल्टर,अवशोषण फिल्टर
शोषण फ्लेम फोटोमेट्री*,अवशोषण ज्वाला प्रकाशमिति*
शोषण हायग्रोमीटर,अवशोषण आर्द्रतामापी
शोषण घातांक,अवशोषण घातांक
शोषण सीमांत,अवशोषण सीमांत
शोषण रेखा,अवशोषण रेखा
शोषण नुकसान,अवशोषणजन्य हानि
शोषण मॉड्यूलेशन,अवशोषण माडुलन
प्रकाश शोषण,प्रकाश अवशोषण
रेडिएशन उर्जेचे शोषण,विकिरण ऊर्जा का अवशोषण
शोषण शिखर,अवशोषण शिखर
शोषण फोटोमेट्री,अवशोषण प्रकाशमिति
शोषण प्रमाण,अवशोषण अनुपात
शोषण श्रेणी*,अवशोषण श्रेणी*
शोषण स्पेक्ट्रम फोटोमेट्री*,अवशोषण स्पेक्ट्रम प्रकाशमिति*
शोषण स्पेक्ट्रम*,अवशोषण स्पेक्ट्रम*
"शोषक नळी, शोषक नळी","अवशोषण नली, अवशोषण नाल"
शोषण हायग्रोमीटर,अवशोषण तरगमापी
शोषक*,अवशोषी*
शोषक बाष्पीभवक,अवशोषी क्षीणकारी
शोषण कायदा*,अवशोषण नियम*
शोषण माध्यम,अवशोषण माध्यम
"शोषक क्षमता, शोषकता*","अवशोषण क्षमता, अवशोषकता*"
शोषण*,अवशोषकता*
स्टुडिओ सजावट,स्टूडिओ सज्जा
गुणोत्तर गुणोत्तर,बाहुल्य अनुपात
उद्धटपणा,ऐबवोल्ट
बद्दल,ऐबवाट
गती वाढवणे,त्वरित करना
प्रवेग-थांबा अंतर,त्वरण-विराम दूरी
घाई केली,त्वरित
द्रुत वेळ प्रभाव चाचणी,त्वरित कालप्रभावन परीक्षण
जलद प्रवाह,त्वरित प्रवाह
जलद गती,त्वरित गति
द्रुत शरीर,त्वरित निकाय
प्रवेगक तोलणारा,त्वरक तुला
प्रवेगक इलेक्ट्रोड*,त्वरक इलैक्ट्रोड*
प्रवेगक वेळ*,त्वरक काल*
प्रवेगक टप्पा,त्वरक प्रावस्था
प्रवेगक दर,त्वरक दर
प्रवेगक व्होल्टेज*,त्वरक वोल्टता*
प्रवेग,त्वरण
प्रवेगक ज्वलन,त्वरणिक अपदहन
प्रवेग गुणांक,त्वरण गुणांक
प्रवेग घटक,त्वरण घटक
गुरुत्वाकर्षणामुळे प्रवेग,गुरूत्वीय त्वरण
प्रवेग घटक,त्वरण गुणक
प्रवेगक शुल्क,त्वरणिक प्रतिभरण
गुरुत्वाकर्षणाचा प्रवेग,गुरूत्व त्वरण
प्रवेग क्षमता,त्वरण विभव
प्रवेग कायदा,त्वरण-नियम
प्रवेग प्रक्रिया,त्वरण-प्रक्रम
प्रवेग क्षेत्र,त्वरण प्रेदश
प्रवेग पद्धत,त्वरण प्रविधी
"प्रवेग सहिष्णुता, प्रवेग सहिष्णुता","त्वरण सहिष्णुता, त्वरण सहनसीमा"
प्रवेग वेक्टर,त्वरण-सदिश
प्रवेग-व्होल्टेज,त्वरण-वोल्टता
प्रवेग लहर,त्वरण तरंग
प्रवेगक,त्वरक
"प्रवेग, प्रवेगक*","त्वरित्र, त्वरक*"
प्रवेगक समीकरण,त्वरक समीकरण
प्रवेगक*,त्वरणलेखी*
प्रवेगमापक,त्वरणमापी
एक्सीलरोमीटर जुळणी,त्वरणमापीय सुमेलन
prestresser,प्राक्प्रबलक
वैध वर्ण,मान्य वर्ण
स्वीकृती कोन,स्वीकरण-कोण
स्वीकृती तपशील,स्वीकरण-विनिर्देश
स्वीकार्य चाचणी,स्वीकारी परीक्षण
"स्वीकारणारा*, स्वीकारणारा","ग्राही*, स्वीकारी"
रिसेप्टर अणू,ग्राही परमाणु
रिसेप्टर बाँड,ग्राही आबंध
रिसीव्हर सर्किट,ग्राही परिपथ
रिसेप्टर पातळी,ग्राही स्तर
दाता रेणू,आदाता अणु
रिसेप्टर गुणधर्म,ग्राही गुणधर्म
रिसेप्टर गुणधर्म पातळी,ग्राही गुणधर्म तल
प्रवेगक नळी,त्वरक नली
"प्रवेश, प्रतीक्षा, प्रवेश","अभिगम, प्रतीक्षा, अभिगम्यता"
भुज प्रवेश,अभिगम भुज
प्रवेश प्रणाली,अभिगम-तंत्र
प्रवेश वेळ,अभिगम काल
प्रवेशयोग्यता,अभिगम्यता
"अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे","अतिरिक्त, सहायक, गौण (वि, ), उपसाधन"
अतिरिक्त निर्बंध,अतिरिक्त प्रतिबन्ध
संधी योगायोग,संयोगी संपात
अपघाती सुधारणा,संयोगी संपात-संशोधन
अपघाती बायोजेनेसिस,आकस्मिक द्विजनन
अपघाती वळवणे,आकस्मिक द्विअपवर्तन
अभ्यागत त्रुटी,आगन्तुक त्रुटि
"अचानक थांबणे, अचानक पकडणे","आकस्मिक रोक, आकस्मिक जकड़"
अपघाती प्रेषण,आकस्मिक संचारण
यादृच्छिक भिन्नता,आकस्मिक विचरण
समायोजन,समंजन
स्थानबद्ध,प्रतिस्थित
संचित त्रुटी,संचित त्रुटि
"जमा करणे, जमा करणे","संचय, संचयन"
ऊर्जा साठवण,ऊर्जा संचय
संचयक*,संचायक*
अचूकता,यथार्थता
वास्तव,यथार्थ
वास्तविक साधन निरीक्षण,यथार्थ उपकरण प्रेक्षण
अचूक श्रेणी मार्कर,यथार्थ परास चिह्नक
अचूक स्कॅनिंग,यथार्थ क्रमवीक्षण
सराव,अभ्यसन
प्रवेगक सेल*,त्वरक कोष्ठ*
अक्रोमॅटिक लेन्स*,अवर्णक लेन्स*
अक्रोमॅटिक*,अवर्णक*
अॅक्रोमॅटिक विश्लेषक,अवर्णक विश्लेषक
वारंवारता तटस्थ अँटेना,आवृत्ति निरपेक्ष ऐन्टेना
अक्रोमॅटिक आकार,अवर्णक आकृति
अक्रोमॅटिक फ्रिंज,अवर्णक फ्रिंज
अक्रोमॅटिक लेन्स*,अवर्णक लेन्स*
अक्रोमॅटिक पॉइंट पथ,अवर्णक बिन्दु पथ
अॅक्रोमॅटिक लेन्स,अवर्णक अभिदृश्य लेन्स
अॅक्रोमॅटिक प्रिझम,अवर्णक प्रिज़्म
अॅक्रोमॅटिक टेलिस्कोप,अवर्णक दूरदर्शक
रंगद्रव्य*,अवर्णकता*
अॅक्रोमॅटायझेशन*,अवर्णीकरण*
अक्रोमॅटिकता*,अवर्णकता*
"लवचिक, अपवर्तक, अपवर्तक","एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी"
"एकोर्न नळी, बंजू नळी","एकॉर्न नली, बंजु नली"
सूक्ष्म झडप,लघु वाल्व
इकोफोनी,एकूफ़ोनी
ध्वनिक,ध्वानिक
ध्वनिक शोषकता,ध्वानिक अवशोषकता
