Assamese,Marathi
ৱেষ্টমিনিষ্টাৰৰ এবে,वेस्टमिन्स्टरचे मठाधीश
এবডিটৰী,निषिद्ध
দাসত্ব বিলুপ্ত কৰা,गुलामगिरीचे उच्चाटन
আদিবাসী,आदिवासी
আব্ৰাহাম যুগ,अब्राहम युग
অনুপস্থিত ঘৰৰ মালিক,अनुपस्थित जमीनदार
একাডেমী,अकादमी
আক্ৰা সন্মিলন,अक्रा परिषद
এক্ৰুৱেল,जमा
সংস্কৃতিকৰণ,संवर्धन
এচেলডামা,एसेलडामा
আখিয়ান (=আচিয়ান),आचियन (=अचियन)
আচায়ান লীগ (=আচিয়ান লীগ),आचियन लीग (=अचियन लीग)
এক্ৰ&#39;পলিছ,एक्रोपोलिस
এক্টা ডিউৰ্না,Acta Diurna
এক্টা চেনেটাছ,Acta Senatus
এক্টে এডিচনেল,ऍक्ट अॅडिशनल
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
প্ৰাপ্তিৰ কাৰ্য্য,प्राप्तकर्त्याची कृती
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,नुकसानभरपाई आणि विस्मरणाचा कायदा
বন্দোবস্তৰ আইন,सेटलमेंटचा कायदा
এড কন্ট্ৰেক্টাছ ছীল,जाहिरात करार सील
এডুলামাইটছ,अदुल्लामाइट्स
বিৰোধী,विरोधक
বিৰোধী,विरोधक
ইয়ন,एऑन
এৰেৰিয়াম,एरेरियम
আকাশী যুদ্ধ,हवाई युद्ध
এটলিয়ান লীগ,एटोलियन लीग
বয়স,वय
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),वृद्धत्व (=वृद्धत्व)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,वृद्धत्व प्रक्रिया
আগেলাই,अगेलाय
অশ্বাৰোহীৰ যুগ,पराक्रमाचे वय
এজ অৱ ইংলাইটমেণ্ট,ज्ञानाचे वय
পেৰিক্লিছৰ বয়স,पेरिकल्सचे वय
যুক্তিৰ বয়স,कारण वय
কৃষিবাদ,कृषीवाद
কৃষি আন্দোলন,कृषी चळवळ
এলবিয়ন,अल्बिओन
এলবাম,अल्बम
এলডাৰমেন,अल्डरमन
আলোকসজ্জা বাহু,मोहक हात
এমিটি,मैत्री
এম্ফিক্টয়নিক কাউন্সিল,एम्फेक्टियोनिक परिषद
এম্ফিক্টয়নিক লীগ,एम्फेक्टियोनिक लीग
এম্ফিথিয়েটাৰ,अॅम्फिथिएटर
অমৰি নল গোট (মৃৎশিল্পৰ),अमरी नल गट (मातीचा)
এনাক্ৰ’নিজম,अनाक्रोनिझम
এনাক্ৰ’নিষ্টিক,अनाक्रोनिस्टिक
পূৰ্বপুৰুষ,पूर्वज
পূৰ্বপুৰুষ পূজা,पूर्वजांची पूजा
বংশ,वंशपरंपरा
বংশ,वंशपरंपरा
বংশ,वंशपरंपरा
বংশ,वंशपरंपरा
Ancien শাসন ব্যৱস্থা,प्राचीन राजवट
পৌৰাণিক,प्राचीन
প্ৰাচীন বেলাড,प्राचीन बालगीत
প্ৰাচীন বিশ্বাস,प्राचीन श्रद्धा
প্ৰাচীন প্ৰথা,प्राचीन प्रथा
প্ৰাচীন ইতিহাস,प्राचीन इतिहास
প্ৰাচীন কীৰ্তিচিহ্ন,प्राचीन स्मारके
উপাখ্যান,किस्सा
এঞ্জেলট,अँजेलोट
এঞ্জেলছ,एंजलस
এঞ্জেভিন (=anjevin),अँजेविन (=अंजेविन)
কোণ,कोन
এংলিকান,अँग्लिकन
এংলিকান কমিউনিয়ন,अँग्लिकन कम्युनियन
এংলিকানিজম,अँग्लिकनवाद
এংলো-ফ’ব,अँग्लो-फोब
এংলো-ফ’বিয়া,अँग्लो-फोबिया
এংলো-চেক্সন,अँग्लो-सॅक्सन
এংলো-চেক্সনবাদ,अँग्लो-सॅक्सोनवाद
এনালিষ্ট,अॅनालिस्ट
এনালছ,इतिहास
সংলগ্নকৰণ,संलग्नीकरण
এণ্টে-বেলাম,अँटी-बेलम
এণ্টে তাৰিখ,पूर्वीची तारीख
কেৰাণীবাদ বিৰোধী,कारकुनविरोधी
কেৰাণী বিৰোধী আইন,कारकुनी विरोधी कायदा
প্ৰাচীনতা,पुरातन वास्तू
ভাড়া বিৰোধী,विरोधी भाडे
ভাড়া বিৰোধী,विरोधी भाडे
চেমিটিজম বিৰোধী,सेमिटिझम विरोधी
এঞ্জেক,अँझॅक
এপেলা,अपेला
আৰালু,अरालू
আৰ্ক বিচপ,आर्च बिशप
আৰ্ক ডাচি,आर्च डची
আৰ্ক ড্যুক,आर्च ड्यूक
আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ),आर्काइफ (=अभिलेख संग्रह)
আৰ্কিপিস্কোপেট,आर्किपिस्कोपेट
অভিজাত শ্ৰেণী,अभिजात वर्ग
অভিজাত,कुलीन
অভিজাত স্নোবৰী,खानदानी स्नोबरी
এৰিষ্ট&#39;টেলিয়ান,अॅरिस्टोटेलियन
আৰ্মাডা,आरमार
আৰ্মাডা (=স্পেনিছ আৰ্মাডা),आरमार (=स्पॅनिश आरमार)
আৰ্মৰিষ্ট (=armourist),आर्मोरिस्ट (= आर्मरिस्ट)
কৱচ (=কৱচ),चिलखत (= चिलखत)
আৰ্মৰিষ্ট,आर्मरिस्ट
আৰ্য্য,आर्यन
আৰ্য্য,आर्यन
আস্কৰী,अस्करी
Assignat,नियुक्त करा
Assize,Assize
Assize,Assize
Assize,Assize
এছাইজ অৱ আৰ্মছ এক্ট,शस्त्रास्त्र कायद्याची मदत
ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ,डॅरेन प्रेझेंटमेंटची मदत
মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ,मॉर्ट &#39;डी&#39; पूर्वजांची मदत
নভেল ডিচেইচিনৰ এছাইজ,कादंबरी Disseisin च्या Assize
অত্যাচাৰ,अत्याचार
আক্ৰমণ,हल्ला
অলিক কাউন্সিল,ऑलिक कौन्सिल
গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ),देवीची कुर्‍हाड (= देवी कुर्हाड)
অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ),अक्ष (=रोम-बर्लिन-टोकियो अक्ष)
বেবিলন,बॅबिलोन
বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব),बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद)
বচনাল ভক্ত,बचनाल भक्त
বাচনালিয়া,बचनालिया
অবিবাহিত লোক,बॅचलर
বাগদাদ চুক্তি,बगदाद करार
বাল্কন লীগ,बाल्कन लीग
বাল্কন চুক্তি,बाल्कन करार
বাল্কন যুদ্ধ,बाल्कन युद्धे
বাল্টিক চুক্তি,बाल्टिक करार
ডাকাত,डाकू
বাণ্ডুং সন্মিলন,बांडुंग परिषद
নিৰ্বাসন,हद्दपार
বেনাৰ,बॅनर
বৰ্বৰ,रानटी
বাৰ্বিকান,बार्बिकन
বৰদলৈ সত্যাগ্ৰহ,बारडोली सत्याग्रह
বাৰ্ন বাৰ্নাৰ্ছ,धान्याचे कोठार बर्नर्स
বেৰন,जहागीरदार
বেৰনেজ,बॅरोनेज
বেৰনছ মেজৰ,Barones majores
বেৰনেছ নাবালক,बॅरोन्स अल्पवयीन
বেৰনেছ,जहागीरदार
বেৰনেট,बॅरोनेट
বেৰনেটেজ,बॅरोनेटेज
বেৰনেটেজ,बॅरोनेटेज
বেৰনেটচি,बॅरोनेटसी
বেৰনি,बॅरोनी
বেৰাকুন,बॅराकून
বেৰাকুন,बॅराकून
বেৰিকেড (=barricade),बॅरिकेड (= बॅरिकेडो)
বেৰিকেড (=barricade),बॅरिकेड (= बॅरिकेडो)
বেৰিকেড (=barricade),बॅरिकेड (= बॅरिकेडो)
বেচ কেম্প,बेस कॅम्प
বেচিলিকা,बॅसिलिका
বেচিলিকা,बॅसिलिका
বাষ্টিলা,बॅस्टिला
বেষ্টিল,बॅस्टिल
বেষ্টিল,बॅस्टिल
বেটাৰি,बॅटरी
যুদ্ধ,लढाई
বাটলে-এৰে,Batlle-array
যুদ্ধৰ চিঞৰ,लढाई रडणे
যুদ্ধৰ ডিন,लढाई दिन
যুদ্ধক্ষেত্ৰ,युद्धक्षेत्र
যুদ্ধ গীত,लढाई भजन
স্পাৰ্ছৰ যুদ্ধ,स्पर्सची लढाई
ষ্টেণ্ডাৰ্ডৰ যুদ্ধ,स्टँडर्डची लढाई
যুদ্ধজাহাজ,युद्धनौका
যুদ্ধজাহাজ-শক্তি,युद्धनौका-शक्ती
Bayeux টেপেষ্ট্ৰি,Bayeux टेपेस्ट्री
বিকন,बीकन
বিকন টাৱাৰ,बीकन टॉवर
বিভাৰ,बीव्हर
বিভাৰ,बीव्हर
সাগৰৰ ভিক্ষাৰী,समुद्राचे भिकारी
বেলিকোজ,बेलिकोज
বেলিকোজ,बेलिकोज
বেলিকোজ,बेलिकोज
বেলিকোচিটি,बेलिकोसिटी
বেলোনা,बेलोना
বেনিফিচ,फायदा
ধৰ্মগুৰুসকলৰ লাভ,धर्मगुरूंचा लाभ
বেনেলাক্স,बेनेलक्स
বাৰ্লিন ডিক্রী,बर्लिन डिक्री
Berserker,बेसरकर
Besant (=বেজান্ট),बेझंट (=बेझंट)
বেথেল,बेथेल
বিব্লিঅ&#39;লেটাৰ,बिब्लिओलेटर
গ্ৰন্থবিজ্ঞান,ग्रंथदिंडी
বিগ বাৰ্থা,मोठा बर्था
কুসংস্কাৰ,धर्मांध
বিলেটিং,बिलेटिंग
বিল অৱ এটেইণ্ডাৰ,अटेंडरचे बिल
অধিকাৰৰ বিল,अधिकारांचे विधेयक
জীৱনীকাৰ,चरित्रकार
জন্মৰ কাহিনী,जन्मकथा
বিভক,बिव्होक
বিভক,बिव्होक
বিভক,बिव्होक
বিজোনিয়া,बिझोनिया
ক&#39;লা চৰাই চোৱা,काळा पक्षी
ক&#39;লা পতাকা,काळा झेंडा
ব্লেক হোল,कृष्ण विवर
ব্লেক হোল,कृष्ण विवर
ক&#39;লা ভৰি (=scab),काळा पाय (= खरुज)
ক&#39;লা চাৰ্ট,काळा शर्ट
ব্লেজন,ब्लेझोन
ব্লেজন,ब्लेझोन
ব্লেজনাৰী,झगमगाट
ব্লেজনাৰী,झगमगाट
ব্লিটজক্ৰিগ,ब्लिट्झक्रीग
ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ),रक्तहीन क्रांती (=वैभवशाली क्रांती)
