Kannada,Punjabi
ಆಂಪಿಯರ್ (ಘಟಕ),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
ಆಂಗ್ಸ್ಟ್ರಮ್,angstrum
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
a-ದರ್ಶ್,a-ਦਰਸ਼
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ","AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
ಬೆಳಗ್ಗೆ,am
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
aard-vark*,ਆਰਡ-ਵਰਕ*
ಅಬ್-ಆಂಪಿಯರ್,ਐਬ-ਐਂਪੀਅਰ
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ಅದಾ,adah
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
ಅಬೆ ವಕ್ರೀಕಾರಕ,abe refractometer
