Tamil,Malayalam
அசாதாரணமானது,വിലക്ഷണമായ
கருக்கலைப்பு,ഉപേക്ഷിക്കുക
சிராய்ப்பு,വധനം
திடீரென்று,ആകസ്മികമായ
முழுமையான புல வலிமை,കേവല ഫീൽഡ് ശക്തി
முழுமையான வெப்பநிலை,കേവല താപനില
துல்லியமான மதிப்பு,യഥാർത്ഥ മൂല്യം
உறிஞ்சும்,ഉള്ക്കൊള്ളുക
உறிஞ்சுதல் சக செயல்திறன்,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
உறிஞ்சுதல் இழப்பு,ആഗിരണം നഷ്ടം
சுருக்கம்,വേര്പെട്ടുനില്ക്കുന്ന
முடுக்கமானி,ആക്സിലറോമീറ്റർ
ஏற்பு சோதனை,സ്വീകാര്യത പരിശോധന
அணுகல்,പ്രവേശനം
நுழைவு கட்டுப்பாடு,പ്രവേശന നിയന്ത്രണം
அணுகல் புள்ளி,പ്രവേശന പോയിന്റ്
அணுகல் நேரம்,ആക്സസ് സമയം
அணுகல்,പ്രവേശനക്ഷമത
குவிப்பான் செல்,സഞ്ചിത സെൽ
துல்லியம்,കൃതത
துல்லியமானது,സൂക്ഷ്മമായ
முடிச்சு லென்ஸ்,അച്രോമാറ്റിക് ലെൻസ്
அமிலம்,പുളിപ്പുള്ള
அமில ஆதாரம்,ആസിഡ് തെളിവ്
அமிலத்தன்மை,അസിഡിറ്റി
ஒப்புதல் பிட்,അംഗീകാര ബിറ്റ്
ஒலி,അക്കോസ്റ്റിക്
ஒலி தொடர்பு,അക്കോസ്റ്റിക് ആശയവിനിമയം
ஒலி பரவல்,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
ஒலி சமநிலைப்படுத்தி,അക്കോസ്റ്റിക് ഇക്വൈസർ
ஒலி கருத்து,അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
ஒலி வடிகட்டி,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
ஒலி மின்மறுப்பு,അക്കോസ്റ്റിക് ഇംപാസ്
ஒலி முகமூடி,അക്കോസ്റ്റിക് മാസ്കിംഗ്
ஒலி சக்தி,അക്കോസ്റ്റിക് പവർ
சட்டவிரோத சொத்து,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
ஒலி எதிர்வினை,അക്കോട്ടിക് റിയാൻസ്
ஒலி ரிஃப்ளெக்ஸ்,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
ஒலி ஓடு,അക്കോസ്റ്റിക് ടൈൽ
ஒலி அலை,അക്ക ou സ്റ്റിക് തരംഗം
ஒலியியல் உறிஞ்சுதல்,ശബ്ദ ആഗിരണം
ஒலியியல் விழிப்புணர்வு மாறிலி,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
ஒலியியல் ஈரமாக்குதல்,അക്കോസ്റ്റിക്കൽ നനവ്
ஒலியியல் தாமத வரி,അക്കോസ്റ്റിക്കൽ കാലതാമസം
ஒலியியல் விலகல்,അക്കോസ്റ്റിക്കൽ വക്രമാനം
ஒலியியல் குழாய்,അക്കോസ്റ്റിക്കൽ നാളം
ஒலியியல் ஆற்றல்,അക്കോസ്റ്റിക്കൽ എനർജി
ஒலியியல் கருத்து,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
ஒலியியல் வடிகட்டி,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
ஒலியியல் மின்மறுப்பு,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
ஒலியியல் பரப்புதல் மாறிலி,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
ஒலியியல் எதிர்ப்பு,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,ശബ്ദപരമായി ഇൻസുലേറ്റ്
ஒலியியல்,അക്കോസ്റ്റിക്സ്
கையகப்படுத்தல்,കൈവശപ്പെടുത്തൽ
சுருக்கம்,സംക്ഷേപം
செயல் பகுதி,പ്രവർത്തന മേഖല
செயல்படுத்தப்பட்ட இழை,സജീവമാക്കിയ ഫിലമെന്റ്
செயலில்,സജീവമായ
செயலில் உள்ள பகுதி,സജീവ ഏരിയ
செயலில் சாளரம்,സജീവ വിൻഡോ
தகவமைப்பு,പൊരുത്തപ്പെടലി
அடாப்டர் (அடாப்டர்),അഡാപ്റ്റർ (അഡാപ്റ്റർ)
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
முகவரி புத்தகம்,മേൽവിലാസ പുസ്തകം
முகவரி பஸ்,വിലാസ ബസ്
முகவரி தீர்மானம்,വിലാസ മിഴിവ്
அருகிலுள்ள சேனல் குறுக்கீடு,തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
அருகிலுள்ள சேனல் தேர்வு,തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
அருகிலுள்ள அதிர்வெண்,അടുത്തുള്ള ആവൃത്തി
அருகிலுள்ள அதிர்வெண் சேனல்,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
அருகிலுள்ள படம் கேரியர்,തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
அருகிலுள்ள ஒலி கேரியர்,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
அருகிலுள்ள நிலையம்,അടുത്തുള്ള സ്റ്റേഷൻ
சரிசெய்யக்கூடியது,കമീകരിക്കുന്ന
சரிசெய்யக்கூடிய மின்தேக்கி,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
அழுத்தம் சரிசெய்தல்,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
குறடு சரிசெய்தல்,റെഞ്ച് ക്രമീകരിക്കുന്നു
சரிசெய்தல்,കമപ്പെടുത്തല്
நிர்வாகி,ഭരണാധിപന്
மேம்பட்ட தொழில்நுட்பம்,നൂതന സാങ്കേതികവിദ്യ
வான்வழி,ഏരിയൽ
வான்வழி வரிசை,ഏരിയൽ അറേ
வான்வழி பூஸ்டர்,ഏരിയൽ ബൂസ്റ്റർ
வான்வழி மின்னோட்டம்,ഏരിയൽ കറന്റ്
வான்வழி பூமி சுவிட்ச்,എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്
வான்வழி செயல்திறன்,ഏരിയൽ കാര്യക്ഷമത
வான்வழி மின்மறுப்பு,ഏരിയൽ ഇതര
வான்வழி தூண்டல்,ഏരിയൽ ഉൾപ്പെടുത്തൽ
வான்வழி இன்சுலேட்டர்,ഏരിയൽ ഇൻസുലേറ്റർ
வான்வழி ஏற்றுதல் சுருள்,ഏരിയൽ ലോഡിംഗ് കോയിൽ
வான்வழி புகைப்படம்,ഏരിയൽ ഫോട്ടോഗ്രഫി
வான்வழி சக்தி,ഏരിയൽ പവർ
வான்வழி கதிர்வீச்சு,ആകാശ വികിരണ ഏലിസ്റ്റൻസ്
வான்வழி எதிர்வினை,ഏരിയൽ റിപ്രീൻസ്
ஏரோடைனமிக்ஸ்,എയറോഡൈനാമിക്സ്
ஏஜென்சி,നിര്വ്വഹണം
காற்று அழுத்தி,എയർ കംപ്രസ്സർ
ஏர் மின்தேக்கி,എയർ കണ്ടൻസർ
குளிா்ந்த காற்று,വായു തണുപ്പിച്ചു
காற்று கோர்ட் சுருள்,എയർ കോർഡ് കോയിൽ
ஏர் கண்டிஷனிங்,എയർ കണ്ടീഷനിംഗ്
ஆல்பெடோ,ആൽബിഡോ
வழிமுறை,അൽഗോരിതം
மாற்றுப்பெயர்ச்சி,അപരനാത്മകം
சீரமைத்தல்,വിന്യസിക്കുന്നു
சீரமைப்பு,വിന്യാപകമായ
அனைத்து அலை வான்வழி,എല്ലാ തരംഗ ഏരിയലും
ஒதுக்கீடு,പങ്കുവയ്ക്കല്
அகரவரிசை,അക്ഷരകമായ
எண்ணெழுத்து,ആൽഫാന്യൂമെറിക്
எண்ணெழுத்து எழுத்து,ആൽഫാന്യൂമെറിക് പ്രതീകം
எண்ணெழுத்து தகவல்,ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ
மாற்று மின்னோட்டம் (ஏ.சி.),ഇതര കറന്റ് (A.C.)
மாற்று,ഒന്നിടവിട്ടമ്മ
மின்மாற்றி,പകര്പ്പ്
உயரம்,ഉയരം
அப்போஜியின் உயரம்,അപ്പോഗിയുടെ ഉയരം
பெரிஜியின் உயரம்,പെരിജിയുടെ ഉയരം
அமெச்சூர் வானொலி தொடர்பு,അമേച്വർ റേഡിയോ ആശയവിനിമയം
சூழ்நிலை,അന്തരീതം
சுற்றுப்புற மைக்ரோஃபோன்,അന്തരീക്ഷ മൈക്രോഫോൺ
சுற்றுப்புற நிலை,അന്തരീക്ഷ അവസ്ഥ
சுற்றுப்புற விளக்குகள்,ആംബിയന്റ് ലൈറ്റിംഗ്
சுற்றுப்புற சத்தம்,ആംബിയന്റ് ശബ്ദം
சுற்றுப்புற வெப்பநிலை,ആംബിയന്റ് താപനില
அமெரிக்கன் ஸ்டாண்டர்ட் கோட்,അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്
ஆம்பியர்,Ampere
ஆம்பியர் மீட்டர்,ആമ്പിയർ മീറ്റർ
பெருக்கம்,ആംപ്ലിഫിക്കേഷൻ
பெருக்க காரணி,ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ
பெருக்கி,ആംപ്ലിഫയർ
பெருக்கி ஆதாயம்,ആംപ്ലിഫയർ നേട്ടം
பெருக்கி சத்தம்,ആംപ്ലിഫയർ ശബ്ദം
உபகரணங்கள் பெருக்குதல்,ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു
கிளிஸ்ட்ரான் பெருக்குதல்,Klystron ആംപ്ലിഫൈയിംഗ്
பெருக்குதல் அலகு,ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്
வீச்சு,വ്യാശമുള്ള
வீச்சு விலகல்,വ്യാപ്തി വികസനം
வீச்சு உல்லாசப் பயணம்,ആംപ്ലിഡ്യൂഡ് ആസക്തി
வீச்சு காரணி,വ്യാപ്തി ഘടകം
அலைவீச்சு வரம்பு,ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ
வீச்சு பண்பேற்றப்பட்டது,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു
வீச்சு பண்பேற்றம்,ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ
ஒப்புமை (அனலாக்),അനലോഗ് (അനലോഗ്)
அனலாக் சுற்று,അനലോഗ് സർക്യൂട്ട്
அனலாக் கணினி,അനലോഗ് കമ്പ്യൂട്ടർ
அனலாக் ரேடியோ அதிர்வெண் சேனல்,അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ
அனலாக் பிரதிநிதித்துவம்,അനലോഗ് പ്രാതിനിധ്യം
அனலாக் சிக்னல்,അനലോഗ് സിഗ്നൽ
டிஜிட்டலுக்கு அனலாக்,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
டிஜிட்டல் மாற்றிக்கு அனலாக்,ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്
அனலாக் வீடியோ,അനലോഗ് വീഡിയോ
ஒப்பீட்டு,അനസ്)
ஒப்புமை,അനലോഗി
பகுப்பாய்வு,വിശകലനം
தரவின் பகுப்பாய்வு,ഡാറ്റയുടെ വിശകലനം
பகுப்பாய்வு அடர்த்தி,അനലിറ്റിക്കൽ സാന്ദ്രത
பகுப்பாய்வு செய்யுங்கள்,വിശകലനം ചെയ്യുക
பகுப்பாய்வி,വിശകലന
துணை உபகரணங்கள்,അനുബന്ധ ഉപകരണങ്ങൾ
மற்றும் வாயில்,ഗേറ്റിലും
மோதலின் கோணம்,കൂട്ടിയിടിയുടെ കോണിൽ
துருவமுனைப்பு கோணம்,ധ്രുവീകരണത്തിന്റെ കോണിൽ
சுழற்சியின் கோணம்,ഭ്രമണത്തിന്റെ ആംഗിൾ
ஆங்ஸ்ட்ரோம் (Å),Angstrom (å)
கோண,കോകാരുമായ
கோண முடுக்கம்,കോണീയ ത്വരണം
கோண ஒருங்கிணைப்புகள்,കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ
கோண அழிவு,കോണീയ വ്യതിചലനം
கோண சிதறல்,കോണീയ ചിതറിപ്പോയത്
கோண இடப்பெயர்ச்சி,കോണീയ സ്ഥാനചലനം
கோண பிழை,കോണീയ പിശക്
கோண அதிர்வெண்,കോണീയ ആവൃത്തി
கோண உந்தம்,കോണീയ ആക്കം
கோண இயக்கம்,കോണീയ ചലനം
கோண வேகம்,കോണീയ പ്രവേഗം
இயங்குபடம்,ജീവസഞ്ചാരണം
நேர்மறை,ആനോഡ്
நேர்மறை பேட்டரி,അനോഡ് ബാറ്ററി
நேர்மறை பண்பு,ആനോഡ് സ്വഭാവം
நேர்மறை சுற்று,അനോഡ് സർക്യൂട്ട്
அனோட் சிதறல்,ആനോഡ് ഡിസ്പിപ്പ്
அனோட் செயல்திறன்,ആനോഡ് കാര്യക്ഷമത
அனோட் உள்ளீட்டு சக்தி,ആനോഡ് ഇൻപുട്ട് പവർ
அனோட் மாடுலேஷன்,ആനോഡ് പരിഷ്കരണം
ஆண்டெனா,ഏരിയെല്
ஆண்டெனா பீம் அகலம்,ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്
ஆண்டெனா பூஸ்டர்,ആന്റിന ബൂസ്റ്റർ
ஆண்டெனா மாற்ற சுவிட்ச்,ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്
ஆண்டெனா சுருள்,ആന്റിന കോയിൽ
ஆண்டெனா உள்ளமைவு,ആന്റിന കോൺഫിഗറേഷൻ
ஆண்டெனா கப்ளர்,ആന്റിന കപ്ലർ
ஆண்டெனா குறுக்கு துருவ முறை,ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ
ஆண்டெனா நடப்பு,ആന്റിന കറന്റ്
ஆண்டெனா டைரக்டிவிட்டி ஆதாயம்,ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം
ஆண்டெனா டூப்ளெக்சர்,ആന്റിന ഡ്യുപ്ലെർസർ
ஆண்டெனா பயனுள்ள பகுதி,ആന്റിന ഫലപ്രദമായ പ്രദേശം
ஆண்டெனா செயல்திறன்,ആന്റിന കാര്യക്ഷമത
ஆண்டெனா ஊட்டம்,ആന്റിന ഫീഡ്
ஆண்டெனா கால் அச்சு,ആന്റിന ഫൂട്ട് പ്രിന്റ്
ஆண்டெனா ஆதாயம்,ആന്റിന നേട്ടം
ஆண்டெனா உயரம்,ആന്റിന ഉയരം
ஆண்டெனா மின்மறுப்பு,ആന്റിന ഇംപെഡൻസ്
ஆண்டெனா தூண்டல்,ആന്റിന ഇൻഡക്റ്റൻസ്
ஆண்டெனா முறை,ആന്റിന പാറ്റേൺ
ஆண்டெனா பிளெக்ஸர்,ആന്റിന പ്ലെക്സർ
ஆண்டெனா துருவமுனைப்பு,ആന്റിന പോളൈസേഷൻ
ஆண்டெனா சக்தி,ആന്റിന പവർ
ஆண்டெனா சக்தி ஆதாயம்,ആന്റിന പവർ ലാഭം
ஆண்டெனா கதிர்வீச்சு எதிர்ப்பு,ആന്റിന റേഡിയേഷൻ പ്രതിരോധം
ஆண்டெனா எதிர்வினை,ആന്റിന റിനോപ്പൻസ്
ஆண்டெனா பிரதிபலிப்பாளர்,ആന്റിന റിഫ്ലക്ടർ
ஆண்டெனா எதிர்ப்பு,ആന്റിന റെസിസ്റ്റൻസ്
ஆண்டெனா அதிர்வு அதிர்வெண்,ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി
ஆண்டெனா இடைவெளி,ആന്റിന സ്പെയ്സിംഗ്
ஆண்டெனா மாறுதல் அறை,ആന്റിന സ്വിച്ചിംഗ് റൂം
ஆண்டெனா டியூனிங் சுருள்,ആന്റിന ട്യൂണിംഗ് കോയിൽ
ஆண்டெனா ட்யூனிங் ஹட்,ആന്റിന ട്യൂണിംഗ് ഹട്ട്
துவாரம்,അപ്പേണ്ടർ
Apogee,അപ്പോജി
அபோஜி ராக்கெட்,അപ്പോജി റോക്കറ്റ്
