English,Assamese
abacus,abacus
abnormal termination,অস্বাভাৱিক সমাপ্তি
abort,abort
absolute,নিৰপেক্ষ
absolute address,নিৰপেক্ষ ঠিকনা
absolute addressing,নিৰপেক্ষ সম্বোধন
absolute assembler,নিৰপেক্ষ এছেম্বলাৰ
absolute code,নিৰপেক্ষ ক&#39;ড
absolute command,নিৰপেক্ষ আদেশ
absolute data,নিৰপেক্ষ তথ্য
absolute instruction,নিৰপেক্ষ নিৰ্দেশনা
absolute mode,নিৰপেক্ষ ধৰণ
absolute path,নিৰপেক্ষ পথ
absolute programming,নিৰপেক্ষ প্ৰগ্ৰেমিং
abstract class,বিমূৰ্ত শ্ৰেণী
abstract data type,বিমূৰ্ত তথ্যৰ ধৰণ
abstract machine,বিমূৰ্ত মেচিন
abstract symbol,বিমূৰ্ত চিহ্ন
abstract syntax,বিমূৰ্ত বাক্যবিন্যাস
acceptance testing,গ্ৰহণযোগ্যতা পৰীক্ষা
access authentication,প্ৰৱেশ প্ৰমাণীকৰণ
access code,প্ৰৱেশ ক&#39;ড
access control,প্ৰৱেশ নিয়ন্ত্ৰণ
access scan,এক্সেছ স্কেন
accessory,আনুষংগিক বস্তু
account,একাউণ্ট
account ID,একাউণ্ট আইডি
accumulator,এক্যুলেটৰ
accuracy,শুদ্ধতা
acess,acess
acess control byte,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
acess index,acess index
acess key,acess key
acess matrix,acess মেট্ৰিক্স
acess mode,প্ৰৱেশ ধৰণ
acess privilege,acess বিশেষাধিকাৰ
acess security,acess security
acess server,এচেছ চাৰ্ভাৰ
acess time,acess সময়
acknowledgement,স্বীকৃতি
acoustics,শব্দবিজ্ঞান
acronym,সংক্ষিপ্ত ৰূপ
action message,কাৰ্য্য বাৰ্তা
activation,সক্ৰিয়কৰণ
active server page (ASP),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
active version,সক্ৰিয় সংস্কৰণ
acyclic,অচক্ৰীয়
acyclic graph,অচক্ৰীয় গ্ৰাফ
Ada language,আদা ভাষা
adapter,এডাপ্টাৰ
add,যোগ কৰা
add file,ফাইল যোগ কৰক
add operation,অপাৰেচন যোগ কৰক
adder,adder
address,ঠিকনা
address bus,ঠিকনা বাছ
address file,ঠিকনা নথিপত্ৰ
address format,ঠিকনা বিন্যাস
address generator,ঠিকনা উৎপাদক
address line,ঠিকনা ৰেখা
address mapping,ঠিকনা মেপিং
address pointer,ঠিকনা পইণ্টাৰ
address register,ঠিকনা পঞ্জীয়ন
address resolution,ঠিকনা সমাধান
address translation,ঠিকনা অনুবাদ
addressed memory,ঠিকনাযুক্ত মেমৰি
addressing,সম্বোধন কৰা
adequacy criteria,পৰ্যাপ্ততাৰ মাপকাঠী
adjoint,সংযুক্ত
administration,প্ৰশাসন
administrator,প্ৰশাসক
adobe acrobat,এডোব এক্ৰ&#39;বেট
adobe photoshop,এডোব ফটোশ্বপ
Advance Business Application Programming (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
advanced data,উন্নত তথ্য
advanced information system,উন্নত তথ্য ব্যৱস্থা
advanced technology (AT),উন্নত প্ৰযুক্তি (AT)
agent,এজেণ্ট
aggregation,একত্ৰীকৰণ
airborne computer system,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus page maker,aldus পৃষ্ঠা নিৰ্মাতা
alert box,সতৰ্কবাণী বাকচ
algol,এলগোল
algorithm,এলগৰিদম
algorithm analysis,এলগৰিদম বিশ্লেষণ
algorithm efficiency,এলগৰিদম দক্ষতা
alias,alias
alignment,প্ৰান্তিককৰণ
allocation,আবণ্টন
alphabetic,বৰ্ণানুক্ৰমিক
alphanumeric,আলফানিউমেৰিক
alphanumeric key board,আলফানিউমেৰিক কি বৰ্ড
alpha-test,আলফা-পৰীক্ষা
alpha-version,আলফা-সংস্কৰণ
