Kannada,Punjabi
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ವಿಪಥನ,ਵਿਗਾੜ
ಅಸಹಜ ಪ್ರಸರಣ,ਅਸਧਾਰਨ ਸੰਚਾਰ
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,ਪੂਰਨ ਨਮੀ
ಸಂಪೂರ್ಣ ವೇಗ,ਪੂਰਨ ਗਤੀ
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,ਪੂਰਨ ਨਿਰੀਖਣ
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,ਪੂਰਨ ਤਾਪਮਾਨ
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,ਪੂਰਨ ਜ਼ੀਰੋ
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,ਸੋਖਣਾ
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,ਸਮਾਈ ਸਮਰੱਥਾ
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ਸਮਾਈ
ಹೀರಿಕೊಳ್ಳುವ,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ਸਮਾਈ
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,ਗੁਣਾ ਅਨੁਪਾਤ
ವೇಗವನ್ನು,ਤੇਜ਼ ਕਰੋ
ಆತುರಪಟ್ಟರು,ਜਲਦੀ
ವೇಗವರ್ಧನೆ,ਪ੍ਰਵੇਗ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
ವೇಗವರ್ಧಕ,ਐਕਸਲੇਟਰ
ವೇಗವರ್ಧಕ,ਐਕਸਲੇਟਰ
ವೇಗವರ್ಧಕ,ਐਕਸਲੇਰੋਮੀਟਰ
ಪ್ರಿಸ್ಟ್ರೆಸರ್,prestresser
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
ಸ್ವೀಕರಿಸುವವರು,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
ದಾನಿ ಅಣು,ਦਾਨੀ ਅਣੂ
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
ಪ್ರವೇಶಿಸುವಿಕೆ,ਪਹੁੰਚਯੋਗਤਾ
"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
ಪ್ರವೇಶ ಸಮಯ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
ಸಂದರ್ಶಕರ ದೋಷ,ਵਿਜ਼ਟਰ ਗਲਤੀ
ಹೊಂದಾಣಿಕೆ,ਵਿਵਸਥਾ
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,ਇਕੱਠਾ ਕੀਤਾ
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
ಸಂಚಯಕ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ನಿಖರತೆ,ਸ਼ੁੱਧਤਾ
ರಿಯಾಲಿಟಿ,ਅਸਲੀਅਤ
ವರ್ಣರಹಿತ ಮಸೂರ,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
ವರ್ಣರಹಿತ,ਅਕ੍ਰੋਮੈਟਿਕ
ವರ್ಣರಹಿತತೆ,ਰੰਗੀਨਤਾ
ಅಕೌಸ್ಟಿಕ್,ਧੁਨੀ
ಧ್ವನಿ ನಿರೋಧಕ,ਸਾਊਂਡਪਰੂਫ਼
ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್,ਧੁਨੀ ਫੋਨੋਨ
ಧ್ವನಿ ಘಟಕ,ਆਵਾਜ਼ ਯੂਨਿਟ
ಅಕೌಸ್ಟಿಕ್,ਧੁਨੀ
ಧ್ವನಿ ಜನರೇಟರ್,ਆਵਾਜ਼ ਜਨਰੇਟਰ
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,ਸਰਗਰਮੀ
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,ਸਰਗਰਮੀ ਊਰਜਾ
"ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್","ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
ಸಕ್ರಿಯ,ਕਿਰਿਆਸ਼ੀਲ
ಕ್ರಿಯಾಶೀಲತೆ,ਸਰਗਰਮੀ
ನಿಜವಾದ ಒತ್ತಡ,ਅਸਲ ਤਣਾਅ
ಗುಸುಗುಸು,ਘੁਸਰ-ਮੁਸਰ
ಒಟ್ಟುಗೂಡಿಸಲು,ਸੰਪੇਕਸ਼ਤ
"ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)","ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)"
"ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)","ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)"
ಸಂಯೋಜಕ,additive
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,adhesion
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ
ಅಡಿಯಾಬಟ್,adiabat
ಅಡಿಯಾಬಾಟಿಕ್,adiabatic
ಶಾಖ ನಿರೋಧಕ,ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ
ಬಾಂಧವ್ಯ,ਲਗਾਵ
ಹೊಂದಾಣಿಕೆ,ਵਿਵਸਥਿਤ
ನುಗ್ಗುವಿಕೆ,ਪ੍ਰਵੇਸ਼
ಹೊರಹೀರುವಿಕೆ,ਸੋਸ਼ਣ
ಮುಂದೆ,ਅੱਗੇ
ಪ್ರಗತಿಪರ,ਪ੍ਰਗਤੀਸ਼ੀਲ
"ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)","ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)"
ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್,ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ
ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ,ਹਵਾਈ ਸਰਵੇਖਣ
ಗಾಳಿಯ ವೇಗ,ਹਵਾ ਦੀ ਗਤੀ
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ,ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ,ਐਰੋਡਾਇਨਾਮਿਕ
ವಾಯುಬಲವಿಜ್ಞಾನ,ਐਰੋਡਾਇਨਾਮਿਕਸ
ಏರೋನಾಟಿಕಲ್,ਏਅਰੋਨੌਟਿਕਲ
ಏರೋನಾಟಿಕ್ಸ್,ਐਰੋਨਾਟਿਕਸ
ಗಾಳಿಯ ನಾಡಿ,ਹਵਾ ਦੀ ਨਬਜ਼
"ವಾತಾವರಣ, ಅನಿಲಗೋಳ","ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ"
ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ,ਫੋਕਸ ਸਿਸਟਮ
ಹಿಂಭಾಗದ ದಹನ,ਵਾਪਸ ਇਗਨੀਸ਼ਨ
ಹಿಂಬದಿ ಬೆಳಕು,ਵਾਪਸ ਰੋਸ਼ਨੀ
ಕನ್ಕ್ಯುಶನ್,ਉਲਝਣ
"ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ","ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ"
ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ,ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ
"ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ","ਬੁਢਾਪਾ, ਬੁਢਾਪਾ"
ಸಮಯದ ಪರಿಣಾಮ,ਸਮਾਂ ਪ੍ਰਭਾਵ
