Odiya,Bengali
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,আবেলিয়ান গ্রুপ
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,আবেলিয়ান সেমিগ্রুপ
abscissa,abscissa
ସଂପୂର୍ଣ୍ଣ,পরম
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,পরম মিলন
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,পরম ত্রুটি
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,পরম সর্বোচ্চ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,পরম সর্বনিম্ন
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,পরম মান
ସଂପୂର୍ଣ୍ଣ ବେଗ,পরম বেগ
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,বিমূর্ত বীজগণিত
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,বিমূর্ত গ্রুপ তত্ত্ব
ତ୍ୱରଣ,ত্বরণ
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,গ্রহণযোগ্য পছন্দ সেট
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,গ্রহণযোগ্য মানের স্তর
ଗ୍ରହଣୀୟ ପରିସର |,গ্রহণযোগ্য পরিসীমা
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
ଗ୍ରହଣୀୟ ନମୁନା,গ্রহণযোগ্য নমুনা
ସଂଗୃହିତ ତ୍ରୁଟି |,সঞ্চিত ত্রুটি
ସଠିକତା,সঠিকতা
ଅଭିନୟ ଶକ୍ତି,অভিনয় শক্তি
କାର୍ଯ୍ୟ,কর্ম
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,কর্ম এবং প্রতিক্রিয়া
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,বাস্তব বিজ্ঞান
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,তীব্র কোণযুক্ত ত্রিভুজ
acyclic,অ্যাসাইক্লিক
ଯୋଡନ୍ତୁ |,যোগ করুন
ଆଡର୍,যোগকারী
ଯୋଗ,সংযোজন
ଯୋଗ ସୂତ୍ର,সংযোজন সূত্র
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |,জটিল সংখ্যার সংযোজন
କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ,ফাংশন সংযোজন
ମାଟ୍ରିକ୍ସର ଯୋଗ,ম্যাট্রিক্সের সংযোজন
ବହୁଭାଷୀ ଯୋଗ |,বহুপদ সংযোজন
ସମ୍ଭାବ୍ୟତାର ଯୋଗ |,সম্ভাবনার সংযোজন
ଭେକ୍ଟର ଯୋଗ,ভেক্টর সংযোজন
ଯୋଗ ତତ୍ତ୍ୱ,সংযোজন উপপাদ্য
ଯୋଗୀ ଗୋଷ୍ଠୀ |,সংযোজনকারী গ্রুপ
ଯୋଗୀ ଓଲଟା |,সংযোজন বিপরীত
ଯୋଗୀ ସମ୍ପତ୍ତି |,সংযোজক সম্পত্তি
ଯୋଗୀତା |,সংযোজন
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,অন্তিক ম্যাট্রিক্স
ସଂଲଗ୍ନ,সংলগ্ন
ସଂଲଗ୍ନ କୋଣ,সন্নিহিত কোণ
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,সংলগ্ন শীর্ষবিন্দু
ସଂଲଗ୍ନ,সংলগ্ন
ସଂଲଗ୍ନ,সংলগ্ন
ନିର୍ଣ୍ଣୟକାରୀ,সংলগ্ন নির্ধারক
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
ସମୀକରଣ,সংলগ্ন সমীকরণ
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,সংলগ্ন ম্যাট্রিক্স
ମାଟ୍ରିକ୍ସର ଯୋଗ,ম্যাট্রিক্সের সংলগ্ন
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ଗ୍ରହଣୀୟ ଅନୁମାନ,গ্রহণযোগ্য অনুমান
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,এরোডাইনামিক বল
ଏରୋଡାଇନାମିକ୍ସ |,বায়ুগতিবিদ্যা
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,affine জ্যামিতি
ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |,affine ম্যাপিং
ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |,affine রূপান্তর
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,একত্রিত ভেরিয়েবল
ବୀଜ ବିବେଚନା,বীজগণিত
ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |,বীজগণিতভাবে বন্ধ
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,বীজগণিত সমীকরণ
ବୀଜ ବର୍ଣ୍ଣନା,বীজগাণিতিক এক্সপ্রেশন
ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |,বীজগাণিতিক ফর্ম
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,বীজগণিতীয় ফাংশন
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,বীজগণিত জ্যামিতি
ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |,বীজগণিতের বহুত্ব
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,বীজগণিত ব্যবস্থা
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,সমস্ত পূর্ণসংখ্যা সমস্যা
ବଣ୍ଟନ ସମସ୍ୟା,বরাদ্দ সমস্যা
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,বর্ণানুক্রমিক স্বরলিপি
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,বর্ণানুক্রমিক অক্ষর
ବିକଳ୍ପ କୋଣ,বিকল্প কোণ
ବିକଳ୍ପ ଫର୍ମ |,বিকল্প ফর্ম
ବିକଳ୍ପ ଗୋଷ୍ଠୀ,বিকল্প গোষ্ঠী
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,বিকল্প ম্যাট্রিক্স
ବିକଳ୍ପ କ୍ରମ |,বিকল্প সিরিজ
ବିକଳ୍ପ ଅନୁମାନ,বিকল্প অনুমান
ବିକଳ୍ପ ଅପ୍ଟିମା |,বিকল্প অপটিমা
ବିକଳ୍ପ ଫଳାଫଳ |,বিকল্প ফলাফল
ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |,এনালগ থেকে ডিজিটাল রূপান্তরকারী
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,অ্যানালগ কম্পিউটার
ବିଶ୍ଳେଷଣ |,বিশ্লেষণ
କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |,সহভক্তির বিশ্লেষণ
ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,গণনা তথ্য বিশ্লেষণ
ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |,বৈচিত্র্যের বিশ্লেষণ
ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |,বিশ্লেষণাত্মক জ্যামিতি
ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ,বিশ্লেষণমূলক ফাংশন
କୋଣ,কোণ
ଯୋଗାଯୋଗ କୋଣ,যোগাযোগের কোণ
ବିଘ୍ନର କୋଣ |,বিচ্যুতি কোণ
ଉଦାସୀନତାର କୋଣ,বিষণ্নতা কোণ
ବିଘ୍ନର କୋଣ |,বিচ্যুতি কোণ
ବିଭାଜନର କୋଣ |,বিবর্তন কোণ
ଉଚ୍ଚତାର କୋଣ,উচ্চতা কোণ
ଘଟଣାର କୋଣ,ঘটনার কোণ
ପ୍ରୋଜେକ୍ଟର କୋଣ,অভিক্ষেপ কোণ
ପ୍ରତିଫଳନ କୋଣ,প্রতিফলন কোণ
ପ୍ରତିଫଳନ କୋଣ,প্রতিসরণ কোণ
ଘୂର୍ଣ୍ଣନ କୋଣ,ঘূর্ণন কোণ
ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |,মোট প্রতিফলনের কোণ
କୋଣାର୍କ ତ୍ୱରଣ |,কৌণিক ত্বরণ
କୋଣାର୍କ ଗତି |,কৌণিক গতি
କୋଣାର୍କ ଗତି,কৌণিক গতি
କୋଣାର୍କ ବେଗ |,কৌণিক বেগ
annulus,অ্যানুলাস
ଉତ୍ତର ଦିଅ,উত্তর
ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |,বিরোধী – ডেরিভেটিভ
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,অপ্রতিসম ফাংশন
ପ୍ରଯୁଜ୍ୟ |,প্রযোজ্য
ପ୍ରୟୋଗ,আবেদন
ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,প্রয়োগ করা জ্যামিতি
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,ফলিত গণিত
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,ফলিত পরিসংখ্যান
ପାଖାପାଖି,আন্দাজ
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,প্রায় একটানা ফাংশন
ଆନୁମାନିକ ପଦ୍ଧତି |,আনুমানিক পদ্ধতি
ଆନୁମାନିକ ସମାଧାନ,আনুমানিক সমাধান
ଆନୁମାନିକ ସମସ୍ୟା,আনুমানিক সমস্যা
ଆନୁମାନିକ ସମ୍ପତ୍ତି,আনুমানিক সম্পত্তি
ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |,যোগ্যতা পরীক্ষার ব্যাটারি
ଅର୍ଗାନ୍ ଚିତ୍ର |,Argand ডায়াগ্রাম
ମନଇଚ୍ଛା ମନୋନୀତ |,নির্বিচারে নির্বাচিত
ଇଚ୍ଛାଧୀନ |,ইচ্ছামত
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,নির্বিচারে ধ্রুবক
ଇଚ୍ଛାଧୀନ ଉପାଦାନ |,নির্বিচারে উপাদান
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,নির্বিচারে পয়েন্ট
ଆର୍କେମିଡିଆନ୍ ନିୟମ |,আর্কিমিডিয়ান আইন
ଆର୍କିମିଡିସ୍ ନୀତି |,আর্কিমিডিসের নীতি
ଆର୍କ ଲମ୍ବ |,চাপ দৈর্ঘ্য
ବୃତ୍ତର ଆର୍କ |,বৃত্তের চাপ
ଆର୍କ ସାଇନ ବଣ୍ଟନ |,আর্ক সাইন ডিস্ট্রিবিউশন
ଆର୍କ ସାଇନ ପରିବର୍ତ୍ତନ,চাপ সাইন রূপান্তর
କ୍ଷେତ୍ର,এলাকা
ଆରେଲ୍ ଟେକ୍ସଚର୍ |,আঞ্চলিক টেক্সচার
ଜଟିଳ ସଂଖ୍ୟାର ଯୁକ୍ତି,জটিল সংখ্যার যুক্তি
ଗାଣିତିକ ଅର୍ଥ |,গাণিতিক গড়
ଗାଣିତିକ କାର୍ଯ୍ୟ,গাণিতিক অপারেশন
ଗାଣିତିକ ଏକକ,পাটিগণিত একক
ବ୍ୟବସ୍ଥା,ব্যবস্থা
ଆରେ,অ্যারে
କୃତ୍ରିମ ଉପଗ୍ରହ |,কৃত্রিম উপগ্রহ
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,কৃত্রিম পরিবর্তনশীল
ଆରୋହଣ,আরোহণ
ଆରୋହଣ,আরোহী
ତୀବ୍ରତାର କ୍ରମ,মাত্রার আরোহী ক্রম
ଆରୋହଣ କ୍ରମ |,আরোহী সিরিজ
ଏକତ୍ରକାରୀ ଭାଷା |,সংযোজনকারী ভাষা
ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା,নিয়োগ সমস্যা
ସହଯୋଗୀ ନିୟମ |,সহযোগী আইন
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,অপারেটরদের সহযোগী আইন
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,সহযোগী অপারেশন
ସହଯୋଗୀତା |,সহযোগীতা
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,ধরে নেওয়া গড়
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,অনুমান সম্ভাব্যতা বন্টন
ଅନୁମାନ,ধৃষ্টতা
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,জ্যোতিষশাস্ত্র
ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର,মহাকাশচারী প্রকৌশলী
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ,জ্যোতির্বিজ্ঞানী
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,জ্যোতির্বিদ্যা ঘড়ি
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,জ্যোতির্বিদ্যা
ଅସୀମିତ ବକ୍ର,অপ্রতিসম বক্ররেখা
ଅସୀମତା |,অসমতা
asymptote,উপসর্গ
ଅସ୍ମିପଟୋଟିକ୍ |,অ্যাসিম্পোটিক
ଅସାମାଜିକ ଭାବରେ ଦକ୍ଷ ଆକଳନକାରୀ |,লক্ষণগতভাবে দক্ষ অনুমানকারী
ଅସାମାଜିକ ଭାବରେ ନିରପେକ୍ଷ ଆକଳନକାରୀ |,asymptotically নিরপেক্ষ অনুমানকারী
ଅସ୍ମିତିକ ଆଚରଣ |,অ্যাসিম্পোটিক আচরণ
ଅସ୍ମିପଟୋଟିକ୍ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন
ଅସ୍ମିପଟୋଟିକ୍ ବିସ୍ତାର |,অ্যাসিম্পোটিক সম্প্রসারণ
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,বায়ুমণ্ডলীয় চাপ
ଅନିୟମିତତାରେ |,এলোমেলোভাবে
ଗୁଣ,বৈশিষ্ট্য
ଗୁଣବତ୍ତା ନମୁନା ପ୍ରକ୍ରିୟା,বৈশিষ্ট্য নমুনা পদ্ধতি
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,অগমেন্টেড ম্যাট্রিক্স
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,স্বয়ংক্রিয় সম্পর্ক সহগ
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,স্বয়ংক্রিয় সম্পর্ক ফাংশন
ଅଟୋକୋଭାରିଆନ୍ସ |,স্বয়ংক্রিয়তা
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,স্বয়ংক্রিয় কম্পিউটার
ଆତ୍ମସମ୍ମାନ,অটোরিগ্রেশন
ସହାୟକ ସମୀକରଣ,সহায়ক সমীকরণ
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (ASN ବକ୍ର),গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ)
axiom,স্বতঃসিদ্ধ
ସ୍ୱୀକୃତିପ୍ରାପ୍ତ ଉପାୟ |,স্বতঃসিদ্ধ পদ্ধতি
ସମ୍ଭାବ୍ୟତାର axiom |,সম্ভাব্যতার স্বতঃসিদ্ধ
ଅକ୍ଷ,অক্ষ
ଅବସିସା ର ଅକ୍ଷ |,আবসিসার অক্ষ
ପୃଥିବୀର ଅକ୍ଷ,পৃথিবীর অক্ষ
ବିପ୍ଳବର ଅକ୍ଷ,বিপ্লবের অক্ষ
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,ঘূর্ণনের অক্ষ
ସ୍ପିନ୍ ର ଅକ୍ଷ |,ঘূর্ণনের অক্ষ
ବ୍ୟାକ୍-ପ୍ରତିସ୍ଥାପନ,ফিরে প্রতিস্থাপন
ପଛୁଆ ପାର୍ଥକ୍ୟ |,পশ্চাদপদ পার্থক্য
ପଛୁଆ-ଇଣ୍ଟରପୋଲେସନ୍ ସୂତ୍ର |,পশ্চাদগামী-ইন্টারপোলেশন সূত্র
ସନ୍ତୁଳନ,ভারসাম্য
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,সুষম নকশা
ତୂଳନା ପତ୍ର,ব্যালেন্স শীট
ବାଲିଷ୍ଟିକ୍ କ୍ଷେପଣାସ୍ତ୍ର |,ক্ষেপণাস্ত্র
ବାଲିଷ୍ଟିକ୍,ব্যালিস্টিক
ଦଣ୍ଡିକା,বার
ଆଧାର,ভিত্তি
ମୂଳ କୋଣ,ভিত্তি কোণ
ଲୋଗାରିଦମର ଆଧାର |,লগারিদমের ভিত্তি
ମ basic ଳିକ,মৌলিক
ମ basic ଳିକ ସମ୍ଭାବ୍ୟ ସମାଧାନ |,মৌলিক সম্ভাব্য সমাধান
ମ basic ଳିକ ସମାଧାନ |,মৌলিক সমাধান
ମ basic ଳିକ ଭେରିଏବଲ୍ |,মৌলিক পরিবর্তনশীল
ଆଧାର,ভিত্তি
ଆଧାର ଉପାଦାନ |,ভিত্তি উপাদান
ଆଧାର ମ୍ୟାଟ୍ରିକ୍ସ |,ভিত্তি ম্যাট্রিক্স
ଏକ ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,একটি ভেক্টর স্থান ভিত্তি
ସବ୍ ସ୍ପେସ୍ ର ଆଧାର |,সাবস্পেস ভিত্তি
ବାଏସିଆନ୍ ଆକଳନ |,Bayesian অনুমান
ବାଇସ୍ ନିୟମ |,বেইস আইন
ବାଇସ୍ ଥିଓରେମ୍ |,বেইসের উপপাদ্য
ବର୍ନୁଲି ବଣ୍ଟନ |,বার্নোলি বিতরণ
ବର୍ନୁଲି ସଂଖ୍ୟା |,বার্নোলি নম্বর
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,Bernoulli সম্ভাব্যতা ফাংশন
ବର୍ନୁଲିଙ୍କ ସମୀକରଣ |,বার্নউলির সমীকরণ
ବେରୀ କାର୍ଯ୍ୟ,বেরি ফাংশন
ସର୍ବୋତ୍ତମ ଫିଟ୍ |,শ্রেষ্ঠ মিল
