Kannada,Punjabi
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
ಅಧಿಸಾಮಾನ್ಯ,ਅਲੌਕਿਕ
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,ਲੀਨ cation
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ਸਮਾਈ
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
1. ಅಕಾರಿಸೈಡ್,1. ਐਕਰੀਸਾਈਡ
ಕೇಂದ್ರಾಭಿಮುಖ,centripetal
ವರ್ಧನೆ (ಕೋಶ),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
