Marathi,Assamese
अॅबॅकस,abacus
असामान्य समाप्ती,অস্বাভাৱিক সমাপ্তি
गर्भपात,abort
निरपेक्ष,নিৰপেক্ষ
परिपूर्ण पत्ता,নিৰপেক্ষ ঠিকনা
निरपेक्ष संबोधन,নিৰপেক্ষ সম্বোধন
परिपूर्ण असेंबलर,নিৰপেক্ষ এছেম্বলাৰ
परिपूर्ण कोड,নিৰপেক্ষ ক&#39;ড
निरपेक्ष आज्ञा,নিৰপেক্ষ আদেশ
परिपूर्ण डेटा,নিৰপেক্ষ তথ্য
परिपूर्ण सूचना,নিৰপেক্ষ নিৰ্দেশনা
परिपूर्ण मोड,নিৰপেক্ষ ধৰণ
परिपूर्ण मार्ग,নিৰপেক্ষ পথ
परिपूर्ण प्रोग्रामिंग,নিৰপেক্ষ প্ৰগ্ৰেমিং
अमूर्त वर्ग,বিমূৰ্ত শ্ৰেণী
अमूर्त डेटा प्रकार,বিমূৰ্ত তথ্যৰ ধৰণ
अमूर्त मशीन,বিমূৰ্ত মেচিন
अमूर्त चिन्ह,বিমূৰ্ত চিহ্ন
अमूर्त वाक्यरचना,বিমূৰ্ত বাক্যবিন্যাস
स्वीकृती चाचणी,গ্ৰহণযোগ্যতা পৰীক্ষা
प्रवेश प्रमाणीकरण,প্ৰৱেশ প্ৰমাণীকৰণ
प्रवेश कोड,প্ৰৱেশ ক&#39;ড
प्रवेश नियंत्रण,প্ৰৱেশ নিয়ন্ত্ৰণ
प्रवेश स्कॅन,এক্সেছ স্কেন
ऍक्सेसरी,আনুষংগিক বস্তু
खाते,একাউণ্ট
खाते आयडी,একাউণ্ট আইডি
संचयक,এক্যুলেটৰ
अचूकता,শুদ্ধতা
प्रवेश,acess
ऍक्सेस कंट्रोल बाइट,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
प्रवेश निर्देशांक,acess index
प्रवेश की,acess key
ऍक्सेस मॅट्रिक्स,acess মেট্ৰিক্স
प्रवेश मोड,প্ৰৱেশ ধৰণ
प्रवेश विशेषाधिकार,acess বিশেষাধিকাৰ
प्रवेश सुरक्षा,acess security
ऍक्सेस सर्व्हर,এচেছ চাৰ্ভাৰ
प्रवेश वेळ,acess সময়
पोचपावती,স্বীকৃতি
ध्वनीशास्त्र,শব্দবিজ্ঞান
परिवर्णी शब्द,সংক্ষিপ্ত ৰূপ
क्रिया संदेश,কাৰ্য্য বাৰ্তা
सक्रियकरण,সক্ৰিয়কৰণ
सक्रिय सर्व्हर पृष्ठ (एएसपी),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
सक्रिय आवृत्ती,সক্ৰিয় সংস্কৰণ
अॅसायक्लिक,অচক্ৰীয়
अॅसायक्लिक आलेख,অচক্ৰীয় গ্ৰাফ
अडा भाषा,আদা ভাষা
अडॅप्टर,এডাপ্টাৰ
जोडा,যোগ কৰা
फाइल जोडा,ফাইল যোগ কৰক
ऑपरेशन जोडा,অপাৰেচন যোগ কৰক
जोडणारा,adder
पत्ता,ঠিকনা
पत्ता बस,ঠিকনা বাছ
पत्ता फाइल,ঠিকনা নথিপত্ৰ
पत्त्याचे स्वरूप,ঠিকনা বিন্যাস
पत्ता जनरेटर,ঠিকনা উৎপাদক
पत्ता ओळ,ঠিকনা ৰেখা
पत्ता मॅपिंग,ঠিকনা মেপিং
पत्ता सूचक,ঠিকনা পইণ্টাৰ
पत्ता नोंदवही,ঠিকনা পঞ্জীয়ন
पत्ता ठराव,ঠিকনা সমাধান
पत्ता अनुवाद,ঠিকনা অনুবাদ
संबोधित मेमरी,ঠিকনাযুক্ত মেমৰি
संबोधित करणे,সম্বোধন কৰা
पर्याप्तता निकष,পৰ্যাপ্ততাৰ মাপকাঠী
संलग्न,সংযুক্ত
प्रशासन,প্ৰশাসন
प्रशासक,প্ৰশাসক
adobe acrobat,এডোব এক্ৰ&#39;বেট
अडोब फोटोशाॅप,এডোব ফটোশ্বপ
अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
प्रगत डेटा,উন্নত তথ্য
प्रगत माहिती प्रणाली,উন্নত তথ্য ব্যৱস্থা
प्रगत तंत्रज्ञान (AT),উন্নত প্ৰযুক্তি (AT)
एजंट,এজেণ্ট
एकत्रीकरण,একত্ৰীকৰণ
एअरबोर्न संगणक प्रणाली,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus पृष्ठ निर्माता,aldus পৃষ্ঠা নিৰ্মাতা
इशारा बॉक्स,সতৰ্কবাণী বাকচ
अल्गोल,এলগোল
अल्गोरिदम,এলগৰিদম
अल्गोरिदम विश्लेषण,এলগৰিদম বিশ্লেষণ
अल्गोरिदम कार्यक्षमता,এলগৰিদম দক্ষতা
उर्फ,alias
संरेखन,প্ৰান্তিককৰণ
वाटप,আবণ্টন
वर्णमाला,বৰ্ণানুক্ৰমিক
अल्फान्यूमेरिक,আলফানিউমেৰিক
अल्फान्यूमेरिक की बोर्ड,আলফানিউমেৰিক কি বৰ্ড
अल्फा-चाचणी,আলফা-পৰীক্ষা
अल्फा आवृत्ती,আলফা-সংস্কৰণ
alt की,alt কি&#39;
altavista,আলতাভিস্তা
अस्पष्टता,অস্পষ্টতা
अस्पष्ट व्याकरण,অস্পষ্ট ব্যাকৰণ
अमेरिकन राष्ट्रीय मानक संस्था (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
अॅनालॉग,এনালগ
अॅनालॉग संगणक,এনালগ কম্পিউটাৰ
अॅनालॉग डिव्हाइस,এনালগ ডিভাইচ
अॅनालॉग मॉडेम,এনালগ মডেম
अॅनालॉग ते डिजिटल कनव्हर्टर (ADC),এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC)
आणि,আৰু
आणि सर्किट,AND বৰ্তনী
आणि गेट,AND গেট
आणि ऑपरेशन नाही (अपवर्जन),AND অপাৰেচন নহয় (বৰ্জন)
अॅनिमेशन,এনিমেচন
भाष्य,টীকাকৰণ
विसंगती,বিজুতি
पूर्ववर्ती,পূৰ্বসূৰী
आगाऊ पेजिंग,প্ৰত্যাশিত পেজিং
विरोधी सममित,এন্টি-চিমেট্ৰিক
अँटीव्हायरस प्रोग्राम,এন্টিভাইৰাছ প্ৰগ্ৰেম
ऍपलेट,applet
अनुप्रयोग विकासक,এপ্লিকেচন ডেভেলপাৰ
अनुप्रयोग प्रोग्रामिंग,এপ্লিকেচন প্ৰগ্ৰেমিং
ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API),এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)
अनुप्रयोग सॉफ्टवेअर,এপ্লিকেচন চফ্টৱেৰ
उपयोजक भाषा,প্ৰয়োগমূলক ভাষা
अंदाजे सिद्धांत,আনুমানিক তত্ত্ব
आर्किटेक्चर,স্থাপত্য
क्षेत्र हस्तांतरण,এলেকা হস্তান্তৰ
युक्तिवाद,তৰ্কাতৰ্কি
अंकगणित आणि तर्कशास्त्र एकक,গাণিতিক আৰু যুক্তিৰ একক
अंकगणित तपासणी,গাণিতিক পৰীক্ষা
अंकगणित स्थिरांक,গাণিতিক ধ্ৰুৱক
अंकगणित डेटा,গাণিতিক তথ্য
अंकगणित सूचना,গাণিতিক নিৰ্দেশনা
अंकगणित आणि तर्कशास्त्र एकक (ALU),গাণিতিক আৰু যুক্তি একক (ALU)
अर्पानेट,ARPANET
रचना,এৰে
अॅरे कॅशे,এৰে কেচ
अॅरे संगणक,এৰে কম্পিউটাৰ
अॅरे घटक,এৰে উপাদান
अॅरे नाव,এৰেৰ নাম
अॅरे प्रोसेसर,এৰে প্ৰচেছৰ
बाण दर्शक बटणे,কাঁড় চিহ্নসমূহ
उच्चार,আৰ্টিকুলেচন
उच्चार बिंदू,আৰ্টিকুলেচন পইণ্ট
कृत्रिम कॉम्पॅक्शन,কৃত্ৰিম সংকোচন
कृत्रिम नियंत्रण,কৃত্ৰিম নিয়ন্ত্ৰণ
कृत्रिम बुद्धिमत्ता,কৃত্ৰিম বুদ্ধিমত্তা
चढणारा,আৰোহী
चढत्या क्रमवारी,আৰোহী সজাই পৰাই তোলা
ASCII बेटिकल ऑर्डर,ASCII betical ক্ৰম
ASCII नियंत्रण वर्ण,ASCII নিয়ন্ত্ৰণ আখৰ
ASCII फाइल,ASCII নথিপত্ৰ
ASCII फॉन्ट,ASCII ফন্ট
ASCII हस्तांतरण,ASCII স্থানান্তৰ
प्रसर गुणोत्तर,এস্পেক্ট ৰেচিঅ&#39;
एएसपीआय,এ এছ পি আই
ASR टाइमर,ASR টাইমাৰ
एकत्र करणे,একত্ৰিত কৰা
असेंबलर,এছেম্বলাৰ
विधानसभा,সভা
विधानसभा भाषा,সমাবেশ ভাষা
प्रतिपादन,assertion
असाइनमेंट,আবণ্টন কৰা কাৰ্য
संघटना,সংস্থা
सहयोगी पत्ता,সহযোগী ঠিকনা
सहयोगी स्मृती,সহযোগী স্মৃতিশক্তি
asteric,এস্টেৰিক
असममित,অসমতাপূৰ্ণ
असिंक्रोनस,এচিনক্ৰ&#39;নাছ
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),ডিজিটেল গ্রাহক লাইন (ADSL)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
असिंक्रोनस हस्तांतरण,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
एसिंक्रोनस ट्रान्सफर मोड (एटीएम),এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM)
अणू,পৰমাণু
संलग्न दस्तऐवज,সংলগ্ন নথিপত্ৰ
संलग्न फाइल,সংলগ্ন ফাইল
संलग्नक,সংলগ্নক
विशेषता,বৈশিষ্ট্য
ऑडिओ,অডিঅ&#39;
ऑडिट प्रोग्रामिंग,অডিট প্ৰগ্ৰেমিং
तपासणीचे सूत्र,অডিট ট্ৰেইল
वाढ,বৃদ্ধি কৰা
प्रमाणीकरण प्रोटोकॉल,প্ৰমাণীকৰণ প্ৰটোকল
ऑथरिंग सिस्टम,লেখক ব্যৱস্থা
अधिकृतता,অনুমোদন
स्वयं गोषवारा,অটো বিমূৰ্ত
ऑटोबूटिंग,স্বয়ংক্ৰিয় বুট কৰা
ऑटोकॅड,অটোকেড
ऑटोलॉग चालू,অটোলগ অন
स्वयंचलित,automata
ऑटोमेटा सिद्धांत,automata তত্ত্ব
स्वयंचलित संगणन,স্বয়ংক্ৰিয় কম্পিউটিং
स्वयंचलित डेटा प्रक्रिया,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
स्वयंचलित त्रुटी सुधारणा,স্বয়ংক্ৰিয় ভুল সংশোধন
स्वयंचलित कार्य,স্বয়ংক্ৰিয় কাৰ্য্য
स्वयंचलित अनुक्रमणिका,স্বয়ংক্ৰিয় সূচীভুক্তকৰণ
स्वयंचलित लायब्ररी कॉल,স্বয়ংক্ৰিয় লাইব্ৰেৰী কল
स्वयंचलित प्रोग्रामिंग,স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং
स्वयंचलित पुनर्प्राप्ती कार्यक्रम,স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম
स्वयंचलित दिनचर्या,স্বয়ংক্ৰিয় ৰুটিন
स्वयंचलित प्रणाली पुनर्प्राप्ती,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
स्वयंचलित टेलर मशीन (एटीएम),স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM)
ऑटोमेशन,অটোমেচন
ऑटो प्ले,অটোপ্লে
स्वयं जतन करा,স্বয়ংক্ৰিয় সংৰক্ষণ কৰক
सहाय्यक,সহায়ক
सहाय्यक मेमरी,সহায়ক স্মৃতিশক্তি
सहायक स्टोरेज,সহায়ক সংৰক্ষণ
उपलब्ध यादी,উপলব্ধ তালিকা
उपलब्ध वेळ,উপলব্ধ সময়
सरासरी,গড়
awk (भाषा),awk (ভাষা)
बॅकएंड,বেকএণ্ড
बॅकएंड प्रोसेसर,বেকএণ্ড প্ৰচেছৰ
बॅकफेस काढणे,বেকফেচ আঁতৰোৱা
पार्श्वभूमी प्रक्रिया,পটভূমি প্ৰক্ৰিয়াকৰণ
बॅकिंग स्टोअर,বেকিং ষ্ট&#39;ৰ
बॅकपॅचिंग,বেকপেচিং
बॅकस्पेस,বেকস্পেচ
बॅकट्रॅकिंग,পিছুৱাই যোৱা
बॅकअप,বেক-আপ
बॅकअप मेमरी,বেক-আপ মেমৰি
मागास त्रुटी पुनर्प्राप्ती,পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ
ताळेबंद,বেলেন্স শ্বীট
बँड,বেণ্ড
बँड रुंदी,বেণ্ডৰ প্ৰস্থ
बँकरचा अल्गोरिदम,বেংকাৰৰ এলগৰিদম
बार कोड,বাৰ ক&#39;ড
बार कोड स्कॅनर,বাৰ ক&#39;ড স্ক্যানাৰ
बार आलेख,বাৰ গ্ৰাফ
मूळ पत्ता,ভিত্তি ঠিকনা
बेस बँड,বেচ বেণ্ড
आधार क्रमांक,ভিত্তি সংখ্যা
बेस टेबल,ভিত্তি টেবুল
बेसिक,প্ৰাথমিক
मूलभूत नियंत्रण,মূল নিয়ন্ত্ৰণ
मूलभूत इनपुट,মূল ইনপুট
मूलभूत सूचना,মূল নিৰ্দেশনা
मूलभूत आउटपुट,মূল আউটপুট
मूलभूत पायरी,মূল পদক্ষেপ
तुकडी,বেটছ
बॅच फाइल,বেচ ফাইল
बॅच स्थिती,বেচৰ অৱস্থান
बॅच प्रक्रिया,বেচ প্ৰচেছিং
बॅच सिस्टम,বেচ ব্যৱস্থা
बॉड,baud
बॉड दर,বড হাৰ
तुळई,আলোকৰশ্মি
बेंचमार्क,বেঞ্চমাৰ্ক
द्विदिश संप्रेषण,দ্বিমুখী যোগাযোগ
द्विदिश दुवा,দ্বিমুখী সংযোগ
बायनरी कोड,বাইনাৰী ক&#39;ড
बायनरी अंक,বাইনাৰী অংক
बायनरी इनपुट आउटपुट सिस्टम (BIOS),বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS)
बायनरी संख्या,বাইনাৰী সংখ্যা
बायनरी ऑपरेटर,বাইনাৰী অপাৰেটৰ
बायनरी संबंध,বাইনাৰী সম্পৰ্ক
बायनरी शोध,বাইনাৰী সন্ধান
बायनरी सर्च ट्री (BST),বাইনাৰী সন্ধান গছ (BST)
बायनरी हस्तांतरण,বাইনাৰী স্থানান্তৰ
बायनरी झाड,বাইনাৰী গছ
द्विध्रुवीय मेमरी,বাইপোলাৰ মেম’ৰী
जन्म मृत्यू मॉडेल,জন্ম মৃত্যুৰ আৰ্হি
जन्म मृत्यू प्रक्रिया,জন্ম মৃত্যু প্ৰক্ৰিয়া
बिट,বিট
थोडा दोष,বিট দোষ
बिट नकाशा,বিট মেপ
बिट मॅप पिक्सेल (BMP),বিট মেপ পিক্সেল (BMP)
बिट मॅट्रिक्स,বিট মেট্ৰিক্স
बिट नमुना,বিট পেটাৰ্ণ
बिट स्थिती,বিটৰ অৱস্থান
बिट दर,বিট হাৰ
ब्लॅक बॉक्स चाचणी,ব্লেক বক্স পৰীক্ষা
लुकलुकणे,টিপটিপিয়াই
ब्लॉक,অৱৰুদ্ধ কৰা
ब्लॉक कॅशे,ব্লক কেচ
ब्लॉक चेक,ব্লক চেক কৰক
ब्लॉक कॉपी,ব্লক কপি
ब्लॉक आकृती,ব্লক ডায়াগ্ৰাম
ब्लॉकिंग नेटवर्क,নেটৱাৰ্ক ব্লক কৰা
बोर्ड,ব’ৰ্ড
पुस्तक चिन्ह,বুক মাৰ্ক
बुलियन बीजगणित,বুলিয়ান বীজগণিত
बुलियन संबंध,বুলিয়ান সম্পৰ্ক
बूट विभाजन,বুট বিভাজন
बूट strapping,বুট ষ্ট্ৰেপিং
बूट-स्ट्रॅप लोडर,বুট-ষ্ট্ৰেপ লোডাৰ
पूल,সেঁতু
ब्रॉडबँड नेटवर्किंग,ব্ৰডবেণ্ড নেটৱৰ্কিং
प्रसारण,সম্প্ৰচাৰ
रेडिओ प्रसारित करा,সম্প্ৰচাৰ ৰেডিঅ&#39;
ब्राउझ करा,ব্ৰাউজ কৰক
ब्राउझर,ব্ৰাউজাৰ
बी-वृक्ष,বি-বৃক্ষ
बबल मेमरी,বুদবুদ স্মৃতিশক্তি
बबल क्रमवारी,বুদবুদ সজাই পৰাই তোলা
बादली,বাল্টি
मित्र प्रणाली,বন্ধু ব্যৱস্থা
बजेट प्रभावी नियंत्रण,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
बफर,বাফাৰ
किडा,পোক
बस,বাছ
बाइट,বাইট
बाइट कोड,বাইট ক&#39;ড
c,গ
C++,C++
कॅशे,cache
कॅशे बफर,কেশ্ব বাফাৰ
कॅशे मेमरी,কেশ্ব মেমৰি
गणना,গণনা কৰা
कॅल्क्युलेटर,কেলকুলেটৰ
कॅल्क्युलेटर चिप,কেলকুলেটৰ চিপ
कॉल,কল কৰা
नावाने कॉल करा,নামেৰে ফোন কৰক
संदर्भानुसार कॉल करा,ৰেফাৰেন্সৰ দ্বাৰা কল কৰক
मूल्यानुसार कॉल करा,মূল্যৰ দ্বাৰা কল কৰক
व्हेरिएबल्सद्वारे कॉल करा,চলকৰ দ্বাৰা কল কৰক
कॉल गेट,গেট কল কৰক
रद्द करा,বাতিল কৰক
रद्द करा बटण,বাতিল বুটাম
प्रामाणिक,canonical
प्रामाणिक स्वरूप,কেননিক ৰূপ
क्षमता,ক্ষমতা
क्षमता यादी,ক্ষমতা তালিকা
क्षमता,ক্ষমতা
कॅप्स लॉक की,caps লক চাবি
कार्ड,কাৰ্ড
कार्ड रीडर,কাৰ্ড ৰিডাৰ
मुख्यत्वे,কাৰ্ডিনালিটি
वाहक,বাহক
वाहक बँड,বাহক বেণ্ড
वाहक लोड,বাহক বোজা
वाहक सिग्नल,বাহক সংকেত
वाहक लहर,বাহক তৰংগ
वाहून नेणे,কঢ়িওৱা
कॅरी अंक,carry digit
ध्वज घेऊन जा,পতাকা কঢ়িয়াই নিয়া
काडतूस डिस्क,কাৰ্টিজ ডিস্ক
कॅस्केड,cascade
केस,ঘটনা
कॅथोड रे ट्यूब (सीआरटी),কেথড ৰে টিউব (CRT)
कॅथोड रे ट्यूब (सीआरटी),কেথ&#39;ড ৰে টিউব (CRT)
CD ROM डिस्क ड्राइव्ह,CD ROM ডিষ্ক ড্ৰাইভ
सेल,কোষ
सेल अॅनिमेशन,কোষ এনিমেচন
भ्रमणध्वनी,চেলুলাৰ ফোন
केंद्रीय स्मृती,কেন্দ্ৰীয় স্মৃতিশক্তি
सेंट्रल प्रोसेसिंग युनिट (CPU),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
केंद्रीकृत प्रणाली,কেন্দ্ৰীভূত ব্যৱস্থা
प्रमाणित टेप,প্ৰমাণিত টেপ
साखळी,শিকলি
साखळी डेटा,শৃংখল তথ্য
साखळी दुवा,শৃংখল সংযোগ
चेनिंग,চেইনিং
चॅनल,চেনেল
चॅनेल व्यस्त टोन,চেনেল ব্যস্ত সুৰ
चॅनेल क्षमता,চেনেলৰ ক্ষমতা
चॅनेल नियंत्रक,চেনেল নিয়ন্ত্ৰক
चॅनेल त्रुटी,চেনেলৰ ভুল
चॅनेल कार्यक्रम,চেনেল প্ৰগ্ৰেম
चॅनेल विश्वसनीयता,চেনেলৰ নিৰ্ভৰযোগ্যতা
चॅनेल सेट,চেনেল ছেট
वर्ण,চৰিত্ৰ
वर्ण कोड,আখৰৰ ক&#39;ড
वर्ण की,আখৰৰ চাবি
वर्ण वाचक,চৰিত্ৰ পাঠক
वर्ण आकार,আখৰৰ আকাৰ
तक्ता,তালিকা
