Odiya,Marathi
ଆବାକସ୍ |,अॅबॅकस
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,असामान्य समाप्ती
ପରିତ୍ୟାଗ,गर्भपात
ସଂପୂର୍ଣ୍ଣ,निरपेक्ष
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,परिपूर्ण पत्ता
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,निरपेक्ष संबोधन
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,परिपूर्ण असेंबलर
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,परिपूर्ण कोड
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,निरपेक्ष आज्ञा
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,परिपूर्ण डेटा
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,परिपूर्ण सूचना
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,परिपूर्ण मोड
ସଂପୂର୍ଣ୍ଣ ପଥ,परिपूर्ण मार्ग
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,परिपूर्ण प्रोग्रामिंग
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,अमूर्त वर्ग
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,अमूर्त डेटा प्रकार
ବିସ୍ତୃତ ମେସିନ୍ |,अमूर्त मशीन
ବିସ୍ତୃତ ପ୍ରତୀକ |,अमूर्त चिन्ह
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,अमूर्त वाक्यरचना
ଗ୍ରହଣ ପରୀକ୍ଷା,स्वीकृती चाचणी
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,प्रवेश प्रमाणीकरण
ପ୍ରବେଶ କୋଡ୍,प्रवेश कोड
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,प्रवेश नियंत्रण
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,प्रवेश स्कॅन
ଆନୁଷଙ୍ଗିକ,ऍक्सेसरी
ଖାତା,खाते
ଖାତା ID,खाते आयडी
ଜମାକାରୀ,संचयक
ସଠିକତା,अचूकता
acess,प्रवेश
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,ऍक्सेस कंट्रोल बाइट
acess index,प्रवेश निर्देशांक
acess କି,प्रवेश की
acess matrix,ऍक्सेस मॅट्रिक्स
acess ମୋଡ୍ |,प्रवेश मोड
acess ଅଧିକାର,प्रवेश विशेषाधिकार
acess ସୁରକ୍ଷା |,प्रवेश सुरक्षा
acess ସର୍ଭର |,ऍक्सेस सर्व्हर
ଆକସେସ୍ ସମୟ |,प्रवेश वेळ
ସ୍ୱୀକୃତି,पोचपावती
ଆକାଶବାଣୀ,ध्वनीशास्त्र
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,परिवर्णी शब्द
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,क्रिया संदेश
ସକ୍ରିୟ,सक्रियकरण
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),सक्रिय सर्व्हर पृष्ठ (एएसपी)
ସକ୍ରିୟ ସଂସ୍କରଣ |,सक्रिय आवृत्ती
acyclic,अॅसायक्लिक
acyclic ଗ୍ରାଫ୍ |,अॅसायक्लिक आलेख
ଅଦା ଭାଷା |,अडा भाषा
ଆଡାପ୍ଟର,अडॅप्टर
ଯୋଡନ୍ତୁ |,जोडा
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,फाइल जोडा
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,ऑपरेशन जोडा
ଆଡର୍,जोडणारा
ଠିକଣା,पत्ता
ଠିକଣା ବସ୍,पत्ता बस
ଠିକଣା ଫାଇଲ୍ |,पत्ता फाइल
ଠିକଣା ଫର୍ମାଟ୍,पत्त्याचे स्वरूप
ଠିକଣା ଜେନେରେଟର,पत्ता जनरेटर
ଠିକଣା ରେଖା,पत्ता ओळ
ଠିକଣା ମ୍ୟାପିଂ,पत्ता मॅपिंग
ଠିକଣା ସୂଚକ,पत्ता सूचक
ଠିକଣା ରେଜିଷ୍ଟର,पत्ता नोंदवही
ଠିକଣା ରେଜୋଲୁସନ,पत्ता ठराव
ଠିକଣା ଅନୁବାଦ,पत्ता अनुवाद
ଠିକଣା ସ୍ମୃତି,संबोधित मेमरी
ଠିକଣା,संबोधित करणे
ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ,पर्याप्तता निकष
ଯୋଗ,संलग्न
ପ୍ରଶାସନ,प्रशासन
ପ୍ରଶାସକ,प्रशासक
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,adobe acrobat
ଆଡୋବ ଫଟୋଶପ୍ |,अडोब फोटोशाॅप
ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
ଉନ୍ନତ ତଥ୍ୟ,प्रगत डेटा
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,प्रगत माहिती प्रणाली
ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT),प्रगत तंत्रज्ञान (AT)
ଏଜେଣ୍ଟ,एजंट
ଏକୀକରଣ,एकत्रीकरण
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,एअरबोर्न संगणक प्रणाली
aldus ପୃଷ୍ଠା ନିର୍ମାତା |,aldus पृष्ठ निर्माता
ଆଲର୍ଟ ବାକ୍ସ,इशारा बॉक्स
ଆଲଗୋଲ୍,अल्गोल
ଆଲଗୋରିଦମ |,अल्गोरिदम
ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |,अल्गोरिदम विश्लेषण
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,अल्गोरिदम कार्यक्षमता
ଛଦ୍ମନାମ,उर्फ
ଶ୍ରେଣୀବଦ୍ଧତା |,संरेखन
ଆବଣ୍ଟନ,वाटप
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,वर्णमाला
ବର୍ଣ୍ଣମାଳା,अल्फान्यूमेरिक
ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |,अल्फान्यूमेरिक की बोर्ड
ଆଲଫା-ପରୀକ୍ଷା,अल्फा-चाचणी
ଆଲଫା-ସଂସ୍କରଣ |,अल्फा आवृत्ती
alt କି,alt की
altavista,altavista
ଅସ୍ପଷ୍ଟତା |,अस्पष्टता
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,अस्पष्ट व्याकरण
ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI),अमेरिकन राष्ट्रीय मानक संस्था (ANSI)
ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII),अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII)
analog,अॅनालॉग
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,अॅनालॉग संगणक
analog ଉପକରଣ,अॅनालॉग डिव्हाइस
ଆନାଗଲ୍ ମୋଡେମ୍ |,अॅनालॉग मॉडेम
ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC),अॅनालॉग ते डिजिटल कनव्हर्टर (ADC)
ଏବଂ,आणि
ଏବଂ ସର୍କିଟ |,आणि सर्किट
ଏବଂ ଫାଟକ |,आणि गेट
ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର),आणि ऑपरेशन नाही (अपवर्जन)
ଆନିମେସନ୍,अॅनिमेशन
ଟିପ୍ପଣୀ,भाष्य
ଅନୋମାଲିୟା |,विसंगती
ପ୍ରାଚୀନ,पूर्ववर्ती
ଆଶାକର୍ମୀ ପେଜିଂ |,आगाऊ पेजिंग
ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |,विरोधी सममित
ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |,अँटीव्हायरस प्रोग्राम
ଆପଲେଟ୍,ऍपलेट
ପ୍ରୟୋଗ ବିକାଶକାରୀ,अनुप्रयोग विकासक
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,अनुप्रयोग प्रोग्रामिंग
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API),ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,अनुप्रयोग सॉफ्टवेअर
ପ୍ରୟୋଗ ଭାଷା |,उपयोजक भाषा
ଆନୁମାନିକ ତତ୍ତ୍। |,अंदाजे सिद्धांत
ସ୍ଥାପତ୍ୟ,आर्किटेक्चर
କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |,क्षेत्र हस्तांतरण
ଯୁକ୍ତି,युक्तिवाद
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |,अंकगणित आणि तर्कशास्त्र एकक
ଗାଣିତିକ ଯାଞ୍ଚ |,अंकगणित तपासणी
ଗାଣିତିକ ସ୍ଥିର |,अंकगणित स्थिरांक
ଗାଣିତିକ ତଥ୍ୟ,अंकगणित डेटा
ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ,अंकगणित सूचना
ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU),अंकगणित आणि तर्कशास्त्र एकक (ALU)
ARPANET,अर्पानेट
ଆରେ,रचना
ଆରେ କ୍ୟାଚ୍,अॅरे कॅशे
ଆରେ କମ୍ପ୍ୟୁଟର |,अॅरे संगणक
ଆରେ ଉପାଦାନ |,अॅरे घटक
ଆରେ ନାମ,अॅरे नाव
ଆରେ ସଞ୍ଚାଳକ,अॅरे प्रोसेसर
ତୀର କିଗୁଡ଼ିକ,बाण दर्शक बटणे
ଆର୍ଟିକିଲେସନ୍,उच्चार
ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |,उच्चार बिंदू
କୃତ୍ରିମ ସଙ୍କୋଚନ |,कृत्रिम कॉम्पॅक्शन
କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |,कृत्रिम नियंत्रण
କୃତ୍ରିମ ବୁଦ୍ଧି,कृत्रिम बुद्धिमत्ता
ଆରୋହଣ,चढणारा
ଆରୋହଣ କ୍ରମ,चढत्या क्रमवारी
ASCII ବେଟିକାଲ୍ କ୍ରମ |,ASCII बेटिकल ऑर्डर
ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |,ASCII नियंत्रण वर्ण
ASCII ଫାଇଲ୍ |,ASCII फाइल
ASCII ଫଣ୍ଟ |,ASCII फॉन्ट
ASCII ସ୍ଥାନାନ୍ତର |,ASCII हस्तांतरण
ଆନୁମାନିକ ଅନୁପାତ,प्रसर गुणोत्तर
ASPI,एएसपीआय
ASR ଟାଇମର୍ |,ASR टाइमर
ଏକତ୍ର ହୁଅ,एकत्र करणे
ଏକତ୍ରକାରୀ,असेंबलर
ସଭା,विधानसभा
ସଭା ଭାଷା |,विधानसभा भाषा
ଧାରଣା,प्रतिपादन
ଆସାଇନମେଣ୍ଟ,असाइनमेंट
ସଙ୍ଗଠନ,संघटना
ସହଯୋଗୀ ଠିକଣା,सहयोगी पत्ता
ସହଯୋଗୀ ସ୍ମୃତି,सहयोगी स्मृती
ନକ୍ଷତ୍ର,asteric
ଅସୀମିତ |,असममित
ଅସନ୍ତୁଳିତ |,असिंक्रोनस
ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL),असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL)
ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM),असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM)
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |,असिंक्रोनस हस्तांतरण
ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍),एसिंक्रोनस ट्रान्सफर मोड (एटीएम)
ପରମାଣୁ,अणू
ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |,संलग्न दस्तऐवज
ସଂଲଗ୍ନ ଫାଇଲ୍ |,संलग्न फाइल
ସଂଲଗ୍ନ,संलग्नक
ଗୁଣ,विशेषता
ଅଡିଓ,ऑडिओ
ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |,ऑडिट प्रोग्रामिंग
ଅଡିଟ୍ ଟ୍ରେଲ୍ |,तपासणीचे सूत्र
ବୃଦ୍ଧି,वाढ
ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |,प्रमाणीकरण प्रोटोकॉल
ଲେଖକ ପ୍ରଣାଳୀ,ऑथरिंग सिस्टम
ପ୍ରାଧିକରଣ,अधिकृतता
ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |,स्वयं गोषवारा
ଅଟୋବୋଟିଂ,ऑटोबूटिंग
ଅଟୋକ୍ୟାଡ୍ |,ऑटोकॅड
ଅଟୋଲୋଜି ଅନ୍,ऑटोलॉग चालू
ଅଟୋମେଟା |,स्वयंचलित
ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |,ऑटोमेटा सिद्धांत
ସ୍ୱୟଂଚାଳିତ ଗଣନା,स्वयंचलित संगणन
ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |,स्वयंचलित डेटा प्रक्रिया
ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |,स्वयंचलित त्रुटी सुधारणा
ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ,स्वयंचलित कार्य
ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |,स्वयंचलित अनुक्रमणिका
ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |,स्वयंचलित लायब्ररी कॉल
ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |,स्वयंचलित प्रोग्रामिंग
ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |,स्वयंचलित पुनर्प्राप्ती कार्यक्रम
ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |,स्वयंचलित दिनचर्या
ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର,स्वयंचलित प्रणाली पुनर्प्राप्ती
ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍),स्वयंचलित टेलर मशीन (एटीएम)
ସ୍ୱୟଂଚାଳିତ,ऑटोमेशन
ସ୍ଵତଃ ଚଳିତ,ऑटो प्ले
ଅଟୋସେଭ୍ |,स्वयं जतन करा
ସହାୟକକାରୀ,सहाय्यक
ସହାୟକ ସ୍ମୃତି,सहाय्यक मेमरी
ସହାୟକ ଷ୍ଟୋରେଜ୍,सहायक स्टोरेज
ଉପଲବ୍ଧ ତାଲିକା |,उपलब्ध यादी
ଉପଲବ୍ଧ ସମୟ |,उपलब्ध वेळ
ହାରାହାରି,सरासरी
awk (ଭାଷା),awk (भाषा)
ବ୍ୟାକେଣ୍ଡ୍ |,बॅकएंड
ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |,बॅकएंड प्रोसेसर
ବ୍ୟାକଫେସ୍ ଅପସାରଣ |,बॅकफेस काढणे
ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |,पार्श्वभूमी प्रक्रिया
ବ୍ୟାକିଂ ଷ୍ଟୋର |,बॅकिंग स्टोअर
ବ୍ୟାକପ୍ୟାଚ୍,बॅकपॅचिंग
ବ୍ୟାକସ୍ପେସ୍ |,बॅकस्पेस
ବ୍ୟାକଟ୍ରାକ୍,बॅकट्रॅकिंग
ବ୍ୟାକ୍ ଅପ୍ |,बॅकअप
ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |,बॅकअप मेमरी
ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର,मागास त्रुटी पुनर्प्राप्ती
ତୂଳନା ପତ୍ର,ताळेबंद
ବ୍ୟାଣ୍ଡ,बँड
