Tamil,Bengali
வெஸ்ட்மின்ஸ்டர் அபே,ওয়েস্টমিনস্টারের অ্যাবে
துறவு,বর্জনীয়
அடிமைத்தனத்தை ஒழித்தல்,দাসত্বের সমাপ্তি
பழங்குடியினர்,আদিবাসী
ஆபிரகாம் சகாப்தம்,আব্রাহাম যুগ
இல்லாத நில உரிமையாளர்கள்,অনুপস্থিত জমির মালিক
கலைக்கூடம்,একাডেমী
அக்ரா மாநாடு,আকরা সম্মেলন
திரட்டல்கள்,সঞ্চয়
வளர்ப்பு,সংগ্রহ
அசெல்டாமா,অ্যাসেলডামা
அச்சேயன் (=ஆச்சியன்),আচিয়ান (=আচিয়ান)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),আচিয়ান লীগ (=আচিয়ান লীগ)
அக்ரோபோலிஸ்,অ্যাক্রোপলিস
ஆக்டா டைர்னா,Acta Diurna
ஆக்டா செனடஸ்,Acta Senatus
Acte Additionel,অ্যাক্ট অ্যাডিশনেল
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
அடையும் செயல்,প্রাপ্তির কাজ
இழப்பீடு மற்றும் மறதியின் செயல்,ক্ষতিপূরণ এবং বিস্মৃতির আইন
தீர்வு சட்டம்,নিষ্পত্তির আইন
விளம்பர ஒப்பந்த முத்திரை,বিজ্ঞাপন চুক্তি সীল
அதுலமைட்டுகள்,আদুল্লামাইটস
எதிரி,প্রতিপক্ষ
எதிரி,প্রতিপক্ষ
ஏயோன்,Aeon
ஏரேரியம்,এরারিয়াম
வான்வழிப் போர்,বায়বীয় যুদ্ধ
ஏட்டோலியன் லீக்,এটোলিয়ান লীগ
வயது,বয়স
முதுமை (=வயதான),বার্ধক্য (=বার্ধক্য)
வயதான செயல்முறை,বার্ধক্য প্রক্রিয়া
அகெலாய்,এগেলাই
வீரத்தின் வயது,বীরত্বের বয়স
அறிவாற்றல் வயது,এনলাইটমেন্টের বয়স
பெரிக்கிள்ஸ் வயது,পেরিক্লেসের বয়স
பகுத்தறிவு வயது,কারণ বয়স
விவசாயம்,কৃষিবাদ
விவசாய இயக்கம்,কৃষি আন্দোলন
அல்பியன்,অ্যালবিয়ন
ஆல்பம்,অ্যালবাম
ஆல்டர்மேன்,অল্ডারম্যান
கவர்ச்சியான ஆயுதங்கள்,লোভনীয় অস্ত্র
அமிட்டி,বন্ধুত্ব
ஆம்ஃபிக்டியோனிக் கவுன்சில்,অ্যাম্ফিক্টোনিক কাউন্সিল
ஆம்ஃபிக்டியோனிக் லீக்,Amphictyonic লীগ
ஆம்பிதியேட்டர்,অ্যাম্ফিথিয়েটার
அம்ரி நல் குழு (மட்பாண்டங்கள்),আমরি নল দল (মৃৎপাত্রের)
அனாக்ரோனிசம்,অ্যানাক্রোনিজম
காலமற்ற,অ্যানাক্রোনিস্টিক
மூதாதையர்,পূর্বপুরুষ
முன்னோர் வழிபாடு,পূর্ব পুরুষের পুজা
பரம்பரை,বংশ
பரம்பரை,বংশ
பரம்பரை,বংশ
பரம்பரை,বংশ
பண்டைய ஆட்சி,প্রাচীন শাসন
பண்டைய,প্রাচীন
பழங்கால பாலாட்,প্রাচীন গীতিনাট্য
பண்டைய நம்பிக்கை,প্রাচীন বিশ্বাস
பண்டைய வழக்கம்,প্রাচীন রীতি
பண்டைய வரலாறு,প্রাচীন ইতিহাস
பழங்கால நினைவுச்சின்னங்கள்,প্রাচীন স্মৃতিস্তম্ভ
சிறுகதை,উপাখ্যান
ஏஞ்சலோட்,অ্যাঞ্জেলট
ஏஞ்சலஸ்,এঞ্জেলাস
ஆஞ்செவின் (=அஞ்செவின்),অ্যাঞ্জেভিন (=এনজেভিন)
கோணங்கள்,কোণ
ஆங்கிலிகன்,অ্যাংলিকান
ஆங்கிலிகன் ஒற்றுமை,অ্যাংলিকান কমিউনিয়ন
ஆங்கிலிக்கனிசம்,অ্যাংলিকানিজম
ஆங்கிலோ-போப்,অ্যাংলো-ফোব
ஆங்கிலோ-ஃபோபியா,অ্যাংলো-ফোবিয়া
ஆங்கிலோ-சாக்சன்,অ্যাংলো-স্যাক্সন
ஆங்கிலோ-சாக்சோனிசம்,অ্যাংলো-স্যাক্সোনিজম
அன்னாலிஸ்ட்,অ্যানালিস্ট
அன்னல்,ইতিহাস
இணைப்பு,সংযোজন
ஆன்டி-பெல்லம்,এন্টে-বেলাম
முன் தேதி,তারিখের আগে
மதகுருத்துவத்திற்கு எதிரானது,করণিকবাদ বিরোধী
மதகுருவுக்கு எதிரான சட்டம்,অ্যান্টি-ক্লারিক্যাল আইন
பழமை,প্রাচীনত্ব
எதிர்ப்பு வாடகை,ভাড়া বিরোধী
எதிர்ப்பு வாடகை,ভাড়া বিরোধী
யூத எதிர்ப்பு,সেমিটিজম বিরোধী
அன்சாக்,আনজাক
அப்பெல்லா,আপেলা
அரலு,আরালু
பேராயர்,আর্চ বিশপ
ஆர்ச் டச்சி,আর্চ ডুচি
ஆர்ச் டியூக்,আর্চ ডিউক
காப்பகம் (=காப்பக சேகரிப்பு),আর্কিফ (= আর্কাইভাল সংগ্রহ)
ஆர்க்கிபிஸ்கோபேட்,আর্কিপিস্কোপেট
பிரபுத்துவம்,আভিজাত্য
பிரபு,অভিজাত
பிரபுத்துவ ஸ்னோபரி,আভিজাত্য স্নোবারি
அரிஸ்டாட்டிலியன்,এরিস্টটলীয়
அர்மடா,আরমাডা
அர்மடா (=ஸ்பானிய அர்மடா),আরমাদা (=স্প্যানিশ আরমাদা)
கவசக்காரர் (=கவசக்காரர்),আর্মোরিস্ট (= আর্মারিস্ট)
கவசம் (=கவசம்),বর্ম (= বর্ম)
ஆயுதக்கடைக்காரர்,আর্মারিস্ট
ஆர்யன்,আরিয়ান
ஆர்யன்,আরিয়ান
அஸ்காரி,আসকারী
ஒதுக்கு,বরাদ্দ
உதவு,সহায়তা
உதவு,সহায়তা
உதவு,সহায়তা
ஆயுதச் சட்டம்,অস্ত্র আইনের সহায়তা
அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்,ড্যারিন প্রেজেন্টমেন্টের সহায়তা
மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்,মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা
நாவல் Disseisin Assize,নভেল ডিসিসিনের অ্যাসাইজ
கொடுமை,নৃশংসতা
தாக்குதல்,আক্রমণ
ஆலிக் கவுன்சில்,অলিক কাউন্সিল
கோடரியின் கோடாரி (=கெடெஸ் கோடாரி),দেবীর কুঠার (=দেহী কুঠার)
அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு),অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ)
பாபிலோன்,ব্যাবিলন
பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு),ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব)
பச்சனல் பக்தர்,বাচনাল ভক্ত
பச்சனாலியா,বাচনালিয়া
இளங்கலை,ব্যাচেলর
பாக்தாத் ஒப்பந்தம்,বাগদাদ চুক্তি
பால்கன் லீக்,বলকান লীগ
பால்கன் ஒப்பந்தம்,বলকান চুক্তি
பால்கன் போர்கள்,বলকান যুদ্ধ
பால்டிக் ஒப்பந்தம்,বাল্টিক চুক্তি
கொள்ளைக்காரன்,দস্যু
பாண்டுங் மாநாடு,বান্দুং সম্মেলন
நாடுகடத்தல்,নির্বাসন
பதாகை,ব্যানার
காட்டுமிராண்டித்தனம்,অসভ্য
பார்பிகன்,বারবিকান
பர்தோலி சத்தியாகிரகம்,বারদোলী সত্যাগ্রহ
பார்ன் பர்னர்ஸ்,শস্যাগার বার্নার্স
பரோன்,ব্যারন
பாரோனேஜ்,ব্যারোনেজ
பரோன்ஸ் மேஜர்கள்,ব্যারনস মেজরস
பரோன்ஸ் மைனர்கள்,ব্যারোনস মাইনরস
பரோனஸ்,ব্যারনেস
பரோனெட்,ব্যারোনেট
பரோனேடேஜ்,ব্যারোনেটেজ
