Marathi,Telugu
असामान्य,అసాధారణ
गर्भपात,అబార్ట్
घर्षण,అబ్రేషన్
अचानक,ఆకస్మిక
परिपूर्ण फील्ड सामर्थ्य,సంపూర్ణ క్షేత్ర బలం
परिपूर्ण तापमान,సంపూర్ణ ఉష్ణోగ్రత
परिपूर्ण मूल्य,సంపూర్ణ విలువ
शोषून घ्या,గ్రహించండి
शोषण सह-कार्यक्षम,శోషణ సహ-సమర్థత
शोषण तोटा,శోషణ నష్టం
गोषवारा,నైరూప్య
एक्सेलरोमीटर,యాక్సిలెరోమీటర్
स्वीकृती चाचणी,అంగీకార పరీక్ష
प्रवेश,యాక్సెస్
प्रवेश नियंत्रण,యాక్సెస్ నియంత్రణ
प्रवेश बिंदू,యాక్సెస్ పాయింట్
प्रवेश वेळ,ప్రాప్యత సమయం
प्रवेशयोग्यता,సౌలభ్యాన్ని
संचयक सेल,సంచిత కణం
अचूकता,ఖచ్చితత్వం
अचूक,ఖచ్చితమైనది
अ‍ॅक्रोमॅटिक लेन्स,అచ్రోమాటిక్ లెన్స్
आम्ल,ఆమ్లము
आम्ल पुरावा,యాసిడ్ ప్రూఫ్
आंबटपणा,ఆమ్లత్వం
पावती बिट,రసీదు బిట్
ध्वनिक,శబ్ద
ध्वनिक संप्रेषण,ఎకౌస్టిక్ కమ్యూనికేషన్
ध्वनिक प्रसार,శబ్ద వ్యాప్తి
ध्वनिक समतुल्य,ఎకౌస్టిక్ ఈక్వలైజర్
ध्वनिक अभिप्राय,శబ్ద అభిప్రాయం
ध्वनिक फिल्टर,శబ్ద వడపోత
ध्वनिक प्रतिबाधा,శబ్ద ఇంపెడెన్స్
ध्वनिक मास्किंग,ఎకౌస్టిక్ మాస్కింగ్
ध्वनिक शक्ती,శబ్ద శక్తి
ध्वनिक मालमत्ता,శబ్ద ఆస్తి
ध्वनिक प्रतिक्रिया,శబ్ద ప్రతిచర్య
ध्वनिक प्रतिक्षेप,ఎకౌస్టిక్ రిఫ్లెక్స్
ध्वनिक टाइल,శబ్ద టైల్
ध्वनिक लाट,శబ్ద వేవ్
ध्वनिक शोषण,శబ్ద శోషణ
ध्वनीविषयक क्षीणन स्थिर,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
ध्वनिकी ओलसर,శబ్ద డంపింగ్
