Assamese,Punjabi
এচিড’ইড,ਐਸਿਡੌਇਡ
ইঅ’লিয়ান মাটি,ਏਓਲੀਅਨ ਮਿੱਟੀ
গোট খোৱা,ਕੁੱਲ
সংগ্ৰহ,ਐਗਰੀਗੇਸ਼ਨ
কৃষি বিজ্ঞান,ਖੇਤੀ ਵਿਗਿਆਨ
কৃষি বিজ্ঞান,ਖੇਤੀ ਵਿਗਿਆਨ
এ-দিগন্ত,ਏ-ਹੋਰੀਜ਼ਨ
আও-দিগন্ত,ਆਉ-ਦਿਮਾਗ
আও-দিগন্ত,ਆਉ—ਅੰਦਾਜ਼
মাটিৰ বায়ু ক্ষমতা,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
মাটিৰ বায়ুৰ পৰিমাণ,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
এয়াৰ পিকনোমিটাৰ,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
এলিটিক মাটি,ਐਲੀਟਿਕ ਮਿੱਟੀ
জলজ মাটি,ਐਲਵੀਅਲ ਮਿੱਟੀ
এম্ফোলাইট’ইড,ਐਮਫੋਲੀਟੋਇਡ
এনিয়ন,ਐਨੀਅਨ
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
আৰিছ,ਅਰਿਸ
আছলাৰ মিহি শিলৰ কাম,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
আছলাৰ শিলৰ কাম,ਐਸ਼ਲਰ ਚਿਣਾਈ
এজ’নেল মাটি,ਅਜੋਨਲ ਮਿੱਟੀ
পিঠিৰ অভিনেতা,ਪਿਛਲਾ ਅਦਾਕਾਰ
পিছফালৰ খোলা,ਪਿਛਲਾ arch
বেক বেণ্ড,ਬੈਕ ਬੈਂਡ
পিছফালৰ ব্ৰাছ,ਪਿੱਛੇ ਬੁਰਸ਼
বেক চেক,ਵਾਪਸ ਜਾਂਚ
বেক কাউণ্টাৰ,ਪਿੱਛੇ ਕਾਊਂਟਰ
পিঠি কাটি থকা,ਵਾਪਸ ਕੱਟਣਾ
