Punjabi,Gujarati
ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ,અજૈવિક પ્રજનન
ਅਲੌਕਿਕ,પેરાનોર્મલ
1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ,1. ચોથું પેટ 2. Evomasome
ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ,સ્ટોમેટલ વૃદ્ધિ અંગ
ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ,રૂંધાયેલ વૃદ્ધિ બીજ
1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ,1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર
1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ,1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ
ਲੀਨ cation,શોષિત કેશન
ਸਮਾਈ,શોષણ
ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ,એબિસિનિયન મસ્ટર્ડ
1. ਐਕਰੀਸਾਈਡ,1. એકેરિસાઇડ
centripetal,કેન્દ્રબિંદુ
ਪ੍ਰਸਾਰਨ (ਸੈੱਲ),એમ્પ્લીફિકેશન (કોષ)
ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ,મંજૂર સહનશીલતા
1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ,1. વધારાની 2. સહાયક 3. સહાયક
ਅਨੁਕੂਲਨ,અનુકૂલન
ਇਕੱਠਾ ਕਰਨਾ,સંચય
1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ,1. શુષ્કતા 2. ચોકસાઇ
1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ,1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ
1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ,1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન
1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ,1. એસિડીકરણ 2. એસિડીકરણ
1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ,1. એસિડિમીટર 2. એસિડિમીટર
ਐਸਿਡਿਟੀ,એસિડિટી
ਐਸਿਡੋਫਾਈਲ,એસિડોફાઇલ
ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ,એસિડિફાઇડ રોક ફોસ્ફેટ
ਤੇਜ਼ਾਬ,એસિડિફાઇડ
aquifer,જલભર
ਪ੍ਰਾਪਤੀ,સંપાદન
ਏਕੜ,એકર
1. ਖੇਤਰ 2. ਖੇਤਰ,1. વિસ્તાર 2. વિસ્તાર
ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ,અંતિમ બિંદુ રંગસૂત્ર
ਅਗਾਂਹਵਧੂ,આગળ દેખાતું
acrosome,એક્રોસમ
ਐਕਟਿਨੋਮਾਈਸੀਟਸ,એક્ટિનોમીસેટ્સ
ਸਰਗਰਮ ਕੋਰ,સક્રિય કોર
1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ,1. ગુસ્સે 2. તીવ્ર
ਅਨੁਕੂਲਤਾ,અનુકૂલનક્ષમતા
ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ,કસ્ટમાઇઝેશન
1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ,1. સંલગ્નતા 2. સંલગ્નતા
sebaceous,સેબેસીયસ
ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ,ગોઠવણ સમીકરણ
ਅਡੋਬ ਮਿੱਟੀ,એડોબ માટી
ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ,ભેળસેળ કરનાર
ਐਕਟੋਪਿਕ,એક્ટોપિક
ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ,ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ
ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ,એરોડાયનેમિક પ્રક્રિયા
ਵੈਂਟ੍ਰਲ,વેન્ટ્રલ
ਹਵਾ ਦੇਣ ਲਈ,વાયુયુક્ત કરવું
1. ਹਵਾ 2. ਆਕਾਸ਼ੀ,1. હવા 2. આકાશી
1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ,1. એરોમીટર 2. એરોમીટર 3. એરોમીટર
ਐਰੋਸੋਲ,એરોસોલ
1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ,1. પુષ્પવૃત્તિ 2. ઉનાળાની નિષ્ક્રિયતા
ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ,રોગનું વિજ્ઞાન
ਜੰਗਲਾਤ,વનીકરણ
1. ਅੰਦੋਲਨ 2. ਗੜਬੜ,1. આંદોલન 2. અશાંતિ
ਐਗਮਾਰਕ,એગમાર્ક
1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ,1. જમીન સંબંધિત 2. કૃષિ
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,કૃષિ ક્લિનિક
1. ਖੇਤੀ ਮਜ਼ਦੂਰ 2. ਖੇਤੀ ਮਜ਼ਦੂਰ,1. ખેત મજૂરી 2. ખેત મજૂરી
ਖੇਤੀਬਾੜੀ ਮੰਡੀਕਰਨ,કૃષિ માર્કેટિંગ
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,કૃષિ ટેકનોલોજી
1. ਖੇਤੀ 2. ਖੇਤੀ 3. ਖੇਤੀ ਵਿਗਿਆਨ,1. કૃષિ 2. ખેતી 3. કૃષિ વિજ્ઞાન
ਖੇਤੀਬਾੜੀ ਜੰਗਲਾਤ,કૃષિ વનસંવર્ધન
ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ,કૃષિ જૈવવિવિધતા
ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ,કૃષિ કાર્બનિક ખામીઓ
ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ,કૃષિ જીવવિજ્ઞાન
ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ,કૃષિ-આબોહવાની વિવિધતા
ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ,એગ્રોક્લાઇમેટિક ઝોનની રચના
ਖੇਤੀ ਜੰਗਲਾਤ,કૃષિ વનીકરણ
ਖੇਤੀ ਵਿਗਿਆਨ,કૃષિ વિજ્ઞાન
ਖੇਤੀ ਵਿਗਿਆਨਕ,કૃષિવિજ્ઞાન
ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ,કૃષિ પશુપાલન
