English,Malayalam
Aberration,അപഭ്രംശം
Ablation,അബ്ലേഷൻ
Ablative,അബ്ലേറ്റീവ്
Ablative linear,അബ്ലേറ്റീവ് ലീനിയർ
Ablative material,അബ്ലേറ്റീവ് മെറ്റീരിയൽ
Abort,ഉപേക്ഷിക്കുക
Abrasion,അബ്രേഷൻ
Abrasion electrode,അബ്രഷൻ ഇലക്ട്രോഡ്
Abrasion test,അബ്രഷൻ ടെസ്റ്റ്
Abrasiveness,ഉരച്ചിലുകൾ
Absolute address assembly,സമ്പൂർണ്ണ വിലാസ അസംബ്ലി
Absolute gain,സമ്പൂർണ്ണ നേട്ടം
Absolute object module,കേവല ഒബ്ജക്റ്റ് മൊഡ്യൂൾ
Absolute pressure,സമ്പൂർണ്ണ സമ്മർദ്ദം
Absolute system of units,യൂണിറ്റുകളുടെ സമ്പൂർണ്ണ സംവിധാനം
Absolute temperature,കേവല താപനില
Absolute time,സമ്പൂർണ്ണ സമയം
Absolute truth,പരമമായ സത്യം
Absolute velocity,കേവല വേഗത
Absolute weight,സമ്പൂർണ്ണ ഭാരം
Absolute zero,കേവല പൂജ്യം
Absorbed light,ആഗിരണം ചെയ്യപ്പെട്ട പ്രകാശം
Absorbency,ആഗിരണം
Absorber,അബ്സോർബർ
Absorbing boundary,ആഗിരണം ചെയ്യുന്ന അതിർത്തി
Absorbing components,ഘടകങ്ങൾ ആഗിരണം ചെയ്യുന്നു
Absorptance,ആഗിരണം
Absorption,ആഗിരണം
Absorption coefficient,ആഗിരണം ഗുണകം
Absorption cross section,ആഗിരണം ക്രോസ് സെക്ഷൻ
Absorption spectroscope,ആഗിരണം സ്പെക്ട്രോസ്കോപ്പ്
Absorption wavemeter,ആഗിരണം വേവ്മീറ്റർ
Absorptivity,ആഗിരണം
Accelerated aging,ത്വരിതപ്പെടുത്തിയ വാർദ്ധക്യം
Accelerated aging test,ത്വരിതപ്പെടുത്തിയ പ്രായമാകൽ പരിശോധന
Accelerated life test,ത്വരിതപ്പെടുത്തിയ ജീവിത പരിശോധന
Accelerating agent,ത്വരിതപ്പെടുത്തുന്ന ഏജന്റ്
Acceleration,ത്വരണം
Acceleration limit,ത്വരിതപ്പെടുത്തൽ പരിധി
Acceleration protection,ത്വരിതപ്പെടുത്തൽ സംരക്ഷണം
Acceleration stress,ത്വരിതപ്പെടുത്തൽ സമ്മർദ്ദം
Acceleration tolerance,ത്വരിതപ്പെടുത്തൽ സഹിഷ്ണുത
Accelerator,ആക്സിലറേറ്റർ
Accelerograph,ആക്സിലറോഗ്രാഫ്
Accelerometer,ആക്സിലറോമീറ്റർ
Acceptance angle,സ്വീകാര്യത ആംഗിൾ
Acceptance criteria,സ്വീകാര്യത മാനദണ്ഡം
Acceptance sampling,സ്വീകാര്യത സാമ്പിൾ
Acceptance specification,സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ
Acceptance test,സ്വീകാര്യത പരിശോധന
Acceptibility,സ്വീകാര്യത
Acceptor circuit,സ്വീകരിക്കുന്ന സർക്യൂട്ട്
Acceptor impurity,സ്വീകരിക്കുന്ന അശുദ്ധി
Acceptor level,സ്വീകരിക്കുന്ന നില
Acceptor material,സ്വീകരിക്കുന്ന മെറ്റീരിയൽ
Accessibility,പ്രവേശനക്ഷമത
Access time,പ്രവേശന സമയം
Accident investigation,അപകട അന്വേഷണം
Accident prevention,അപകട പ്രതിരോധം
Accident proneness,അപകട സാധ്യത
Acclimatization,അക്ലിമൈസേഷൻ
Accomodation,താമസം
A.c.conductivity,ചാലകത
Accumulator,അക്യുമുലേറ്റർ
Accuracy,കൃത്യത
Acetic acid,അസറ്റിക് ആസിഡ്
Acetic anhydride,അസറ്റിക് അൻഹൈഡ്രൈഡ്
Acetone chloroform system,അസെറ്റോൺ ക്ലോറോഫോം സിസ്റ്റം
Acetylene,അസറ്റലീൻ
Acicular,അക്യുലാർ
Acid-base equilibrium,ആസിഡ്-ബേസ് സന്തുലിതാവസ്ഥ
Acid rock,ആസിഡ് പാറ
A. C. Interruption,എസി തടസ്സം
