Hindi,Gujarati
"1.एबेकस ,2. गिनतारा",અબેકસ
असामान्य समापन,અસામાન્ય સમાપ્તિ
अवरोधन,ગર્ભપાત
"1. निरपेक्ष ,2. परम",સંપૂર્ણ
निरपेक्ष पता,સંપૂર્ણ સરનામું
निरपेक्ष पताभिगमन,સંપૂર્ણ સંબોધન
निरपेक्ष कोडांतरक,સંપૂર્ણ એસેમ્બલર
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",સંપૂર્ણ કોડ
निरपेक्ष समादेश,સંપૂર્ણ આદેશ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",સંપૂર્ણ ડેટા
निरपेक्ष अनुदेश,સંપૂર્ણ સૂચના
निरपेक्ष विधा,સંપૂર્ણ મોડ
निरपेक्ष पथ,સંપૂર્ણ માર્ગ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",સંપૂર્ણ પ્રોગ્રામિંગ
अमूर्त वर्ग,અમૂર્ત વર્ગ
अमूर्त आंकड़ा प्रकार,અમૂર્ત ડેટા પ્રકાર
अमूर्त मशीन,અમૂર્ત મશીન
अमूर्त प्रतीक,અમૂર્ત પ્રતીક
अमूर्त वाक्य विन्यास,અમૂર્ત વાક્યરચના
स्वीकृति परीक्षण,સ્વીકૃતિ પરીક્ષણ
अभिगम प्रमाणन,ઍક્સેસ પ્રમાણીકરણ
"1. अभिगम कूट ,2. अभिगम कोड",ઍક્સેસ કોડ
अभिगम नियंत्रण,વપરાશ નિયંત્રણ
अभिगम क्रमवीक्षण,એક્સેસ સ્કેન
सहयंत्र,સહાયક
लेखा,એકાઉન્ટ
"1. एकाउंट आई डी ,2. लेखा पहचान",એકાઉન્ટ ID
संचायक,સંચયક
"1. विशुद्धता ,2. यर्थाथता",ચોકસાઈ
अभिगम,ઍક્સેસ
अभिगम नियंत्रण बाइट,એક્સેસ કંટ્રોલ બાઈટ
अभिगम सूचक,એક્સેસ ઇન્ડેક્સ
अभिगम कुंजी,ઍક્સેસ કી
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",એક્સેસ મેટ્રિક્સ
अभिगम विधा,ઍક્સેસ મોડ
अभिगम विशेषाधिकार,એક્સેસ વિશેષાધિકાર
अभिगम सुरक्षा,ઍક્સેસ સુરક્ષા
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",ઍક્સેસ સર્વર
अभिगम काल,ઍક્સેસ સમય
अभिस्वीकृति,સ્વીકૃતિ
ध्वनिकी,ધ્વનિશાસ્ત્ર
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",ટૂંકાક્ષર
क्रिया संदेश,ક્રિયા સંદેશ
सक्रियण,સક્રિયકરણ
