Tamil,Kannada
அபெலியன் குழு,ಅಬೆಲಿಯನ್ ಗುಂಪು
அபிலியன் அரைகுழு,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
abscissa,ಅಬ್ಸಿಸ್ಸಾ
அறுதி,ಸಂಪೂರ್ಣ
முழுமையான ஒருங்கிணைப்பு,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
முழுமையான பிழை,ಸಂಪೂರ್ಣ ದೋಷ
முழுமையான அதிகபட்சம்,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
முழுமையான குறைந்தபட்சம்,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
துல்லியமான மதிப்பு,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
முழுமையான வேகம்,ಸಂಪೂರ್ಣ ವೇಗ
சுருக்க இயற்கணிதம்,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
சுருக்க குழு கோட்பாடு,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
முடுக்கம்,ವೇಗವರ್ಧನೆ
புவியீர்ப்பு காரணமாக முடுக்கம்,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
திரட்டப்பட்ட பிழை,ಸಂಚಿತ ದೋಷ
துல்லியம்,ನಿಖರತೆ
செயல்படும் சக்தி,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
நடவடிக்கை,ಕ್ರಮ
செயல் மற்றும் எதிர்வினை,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
உண்மையான அறிவியல்,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
கடுமையான கோண முக்கோணம்,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
அசைக்ளிக்,ಅಸೈಕ್ಲಿಕ್
கூட்டு,ಸೇರಿಸಿ
சேர்ப்பான்,ಸೇರಿಸುವವನು
கூடுதலாக,ಜೊತೆಗೆ
கூட்டல் சூத்திரம்,ಸೇರ್ಪಡೆ ಸೂತ್ರ
சிக்கலான எண்களைச் சேர்த்தல்,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
செயல்பாடுகளைச் சேர்த்தல்,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
மெட்ரிக்குகள் சேர்த்தல்,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
நிகழ்தகவுகளைச் சேர்த்தல்,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
திசையன்கள் சேர்த்தல்,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
கூட்டல் தேற்றம்,ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
சேர்க்கை குழு,ಸಂಯೋಜಕ ಗುಂಪು
தலைகீழ் சேர்க்கை,ಸಂಯೋಜಕ ವಿಲೋಮ
சேர்க்கை சொத்து,ಸಂಯೋಜಕ ಆಸ್ತಿ
சேர்க்கை,ಸಂಕಲನ
அருகாமை அணி,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
அருகில்,ಪಕ್ಕದ
அருகில் உள்ள கோணங்கள்,ಪಕ್ಕದ ಕೋನಗಳು
அருகில் உள்ள உச்சி,ಪಕ್ಕದ ಶೃಂಗ
இணை,ಹೊಂದು
அருகில்,ಪಕ್ಕದ
இணைந்த தீர்மானிப்பான்,ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ
இணை வேறுபாடு சமன்பாடு,ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
இணைந்த சமன்பாடு,ಸಂಯೋಜಿತ ಸಮೀಕರಣ
இணை அணி,ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
மேட்ரிக்ஸின் இணைப்பு,ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ
adjugate matrix,ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ
காற்றியக்க விசை,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
காற்றியக்கவியல்,ವಾಯುಬಲವಿಜ್ಞಾನ
