English,Bengali
abacus,অ্যাবাকাস
abnormal termination,অস্বাভাবিক সমাপ্তি
abort,গর্ভপাত
absolute,পরম
absolute address,পরম ঠিকানা
absolute addressing,পরম ঠিকানা
absolute assembler,পরম সংযোজনকারী
absolute code,পরম কোড
absolute command,পরম আদেশ
absolute data,পরম তথ্য
absolute instruction,পরম নির্দেশ
absolute mode,পরম মোড
absolute path,পরম পথ
absolute programming,পরম প্রোগ্রামিং
abstract class,বিমূর্ত ক্লাস
abstract data type,বিমূর্ত তথ্য প্রকার
abstract machine,বিমূর্ত মেশিন
abstract symbol,বিমূর্ত প্রতীক
abstract syntax,বিমূর্ত বাক্য গঠন
acceptance testing,স্বীকৃতি যাচাইকরণ
access authentication,অ্যাক্সেস প্রমাণীকরণ
access code,প্রবেশাধিকার কোড
access control,প্রবেশাধিকার নিয়ন্ত্রণ
access scan,অ্যাক্সেস স্ক্যান
accessory,আনুষঙ্গিক
account,অ্যাকাউন্ট
account ID,অ্যাকাউন্ট আইডি
accumulator,সঞ্চয়কারী
accuracy,সঠিকতা
acess,অ্যাক্সেস
acess control byte,অ্যাক্সেস নিয়ন্ত্রণ বাইট
acess index,অ্যাক্সেস সূচক
acess key,অ্যাক্সেস কী
acess matrix,অ্যাক্সেস ম্যাট্রিক্স
acess mode,অ্যাক্সেস মোড
acess privilege,প্রবেশাধিকার
acess security,অ্যাক্সেস নিরাপত্তা
acess server,অ্যাক্সেস সার্ভার
acess time,অ্যাক্সেস সময়
acknowledgement,স্বীকৃতি
acoustics,ধ্বনিবিদ্যা
acronym,সংক্ষিপ্ত রূপ
action message,কর্ম বার্তা
activation,সক্রিয়করণ
active server page (ASP),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
active version,সক্রিয় সংস্করণ
acyclic,অ্যাসাইক্লিক
acyclic graph,অ্যাসাইক্লিক গ্রাফ
Ada language,অ্যাডা ভাষা
adapter,অ্যাডাপ্টার
add,যোগ করুন
add file,ফাইল যুক্ত কর
add operation,অপারেশন যোগ করুন
adder,যোগকারী
address,ঠিকানা
address bus,ঠিকানা বাস
address file,ঠিকানা ফাইল
address format,ঠিকানা বিন্যাস
address generator,ঠিকানা জেনারেটর
address line,ঠিকানা লাইন
address mapping,ঠিকানা ম্যাপিং
address pointer,ঠিকানা নির্দেশক
address register,ঠিকানা রেজিস্টার
address resolution,ঠিকানা রেজোলিউশন
address translation,ঠিকানা অনুবাদ
addressed memory,ঠিকানাযুক্ত স্মৃতি
addressing,সম্বোধন
adequacy criteria,পর্যাপ্ততার মানদণ্ড
adjoint,সংলগ্ন
administration,প্রশাসন
administrator,প্রশাসক
adobe acrobat,অ্যাডোবি অ্যাক্রোব্যাট
adobe photoshop,অ্যাডোবি ফটোশপ
Advance Business Application Programming (ABAP),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
advanced data,উন্নত তথ্য
advanced information system,উন্নত তথ্য সিস্টেম
advanced technology (AT),উন্নত প্রযুক্তি (AT)
agent,প্রতিনিধি
aggregation,সমষ্টি
airborne computer system,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus page maker,aldus পেজ মেকার
alert box,সতর্কতা বাক্স
algol,algol
algorithm,অ্যালগরিদম
