Assamese,Marathi
এবেলিয়ান গোট,अबेलियन गट
abelian অৰ্ধগোট,अबेलियन अर्धसमूह
abscissa,abscissa
নিৰপেক্ষ,निरपेक्ष
নিৰপেক্ষ অভিসৰণ,परिपूर्ण अभिसरण
নিৰপেক্ষ ভুল,पूर्ण त्रुटी
নিৰপেক্ষ সৰ্বোচ্চ,परिपूर्ण कमाल
নিৰপেক্ষ নূন্যতম,परिपूर्ण किमान
নিৰপেক্ষ মূল্য,परिपूर्ण मूल्य
নিৰপেক্ষ বেগ,परिपूर्ण वेग
বিমূৰ্ত বীজগণিত,अमूर्त बीजगणित
বিমূৰ্ত গোট তত্ত্ব,अमूर्त गट सिद्धांत
বেগ বৃদ্ধি,प्रवेग
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,गुरुत्वाकर्षणामुळे प्रवेग
গ্ৰহণযোগ্য পছন্দৰ ছেট,स्वीकार्य निवड संच
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,स्वीकार्य गुणवत्ता पातळी
গ্ৰহণযোগ্য পৰিসৰ,स्वीकार्य श्रेणी
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,स्वीकार्य विश्वसनीयता पातळी
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,स्वीकार्य नमुना
সঞ্চিত ভুল,संचित त्रुटी
শুদ্ধতা,अचूकता
ক্ৰিয়াশীল শক্তি,अभिनय शक्ती
কাৰ্য কৰা,क्रिया
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,क्रिया आणि प्रतिक्रिया
কৃষি বিজ্ঞান,वास्तविक विज्ञान
তীব্ৰ কোণীয়া ত্ৰিভুজ,तीव्र कोन त्रिकोण
অচক্ৰীয়,अॅसायक्लिक
যোগ কৰা,जोडा
adder,जोडणारा
যোগ,या व्यतिरिक्त
যোগ সূত্ৰ,जोड सूत्र
জটিল সংখ্যাৰ সংযোজন,जटिल संख्यांची बेरीज
ফলনসমূহৰ সংযোজন,कार्ये जोडणे
মেট্ৰিক্সৰ সংযোজন,मॅट्रिक्स जोडणे
বহুপদ যোগ কৰা,बहुपदी जोडणे
সম্ভাৱনাৰ সংযোজন,संभाव्यता जोडणे
ভেক্টৰৰ সংযোজন,वेक्टर जोडणे
যোগ উপপাদ্য,अतिरिक्त प्रमेय
যোগকৰণ গোট,मिश्रित गट
যোগকৰণৰ বিপৰীত,additive inverse
যোগসূত্ৰৰ বৈশিষ্ট্য,अतिरिक्त गुणधर्म
যোগকৰণ,जोड
সংলগ্নতা মেট্ৰিক্স,संलग्नता मॅट्रिक्स
পাৰ্শ্বৱৰ্তী,समीप
কাষৰীয়া কোণ,समीप कोन
কাষৰীয়া শিখৰ,समीप शिरोबिंदू
adjoin,संलग्न
সংলগ্ন,शेजारील
সংযুক্ত নিৰ্ণায়ক,संलग्न निर्धारक
সংযুক্ত অৱভেদ্য সমীকৰণ,संलग्न विभेदक समीकरण
সংযুক্ত সমীকৰণ,संलग्न समीकरण
সংলগ্ন মেট্ৰিক্স,संलग्न मॅट्रिक्स
মেট্ৰিক্সৰ সংযুক্ত,मॅट्रिक्सचा संलग्न
এডজুগেট মেট্ৰিক্স,मॅट्रिक्स समायोजित करा
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,स्वीकार्य निर्णय कार्य
গ্ৰহণযোগ্য অনুমান,स्वीकार्य गृहीतक
বায়ুগতিবিদ্যা বল,वायुगतिकीय शक्ती
বায়ুগতিবিদ্যা,वायुगतिकी
affine জ্যামিতি,affine भूमिती
affine মেপিং,affine मॅपिंग
affine ৰূপান্তৰ,affine परिवर्तन
চলকসমূহ একত্ৰিত কৰা,एकत्रित व्हेरिएबल्स
বীজগণিত,बीजगणित
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,बीजगणितानुसार बंद
বীজগণিতীয় সমীকৰণ,बीजगणितीय समीकरण
বীজগণিতীয় প্ৰকাশ,बीजगणितीय अभिव्यक्ती
বীজগণিতীয় ৰূপ,बीजगणितीय फॉर्म
বীজগণিতীয় ফলন,बीजगणितीय कार्य
