Malayalam,Hindi
ആസിഡോയിഡ്,एसीडायड
അയോലിയൻ മണ്ണ്,जलोढ़ मृदा
ആകെത്തുകയായുള്ള,समुच्चय
സമാഹരണം,समुच्चयन
അഗ്രോളജി,सस्य मृदा विज्ञान
അഗ്രോണമി,सस्य विज्ञान
എ-ചക്രവാളം,"A-संस्तर, A-होराइजन"
Ao-ചക്രവാളം,Ao-संस्तर/Ao-होराइजन
Aoo-ചക്രവാളം,Aoo-संस्तर/होराइजन
മണ്ണിന്റെ വായു ശേഷി,मृदा की वायु धारिता
മണ്ണിന്റെ വായു ഉള്ളടക്കം,मृदा का वायु अंग
എയർ പിക്നോമീറ്റർ,वायु पिक्नोमीटर
അല്ലിറ്റിക് മണ്ണ്,एलीटिक मृदा
എക്കൽ മണ്ണ്,जलोढ़ मृदा
ആംഫോളിറ്റോയ്ഡ്,एम्फोलीटायड
അനിയോൺ,ऋणायन
"പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
ആരിസ്,कोर
അഷ്ലാർ നല്ല കൊത്തുപണി,बारीक वराश्म चिनाई
ആഷ്ലാർ കൊത്തുപണി,वराश्म चिनाई
അസോണൽ മണ്ണ്,अस्तरीय मृदा/अक्षेत्रीय मृदा
പിന്നണി നടൻ,कर्ष खनित्र
പിന്നിലെ കമാനം,पश्च डाट
ബാക്ക് ബാൻഡ്,पश्च पट्ट
ബാക്ക് ബ്രഷ്,उपटा प्रलेप
തിരികെ പരിശോധിക്കുക,पश्च रोधक
ബാക്ക് കൗണ്ടർ,पश्च पटल
ബാക്ക് കട്ടിംഗ്,पश्च कर्तन
ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ,उपटा झोंका अवमंदक
ബാക്ക് ഡ്രെയിനേജ്,पश्च नली
ബാക്ക് ഡ്രോപ്പ്,पश्च पट
തിരികെ പൂരിപ്പിക്കുക,पृष्ठ भरण
ബാക്ക് ഫില്ലറ്റ്,पश्च पट्टिका
ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്,पृष्ठ पल्ला कब्जा
ബാക്ക് ഫ്ലോ കണക്ഷൻ,प्रतीप प्रवाह संयोजन
ബാക്ക് ഫ്ലോ പ്രിവന്റർ,प्रतीप प्रवाह निरोधक
ബാക്ക് ഗേജ്,पश्चांतर
പിന്നിലെ ഗട്ടർ,पश्च नली
പിന്നിലെ അടുപ്പ്,अग्निस्थान पृष्ठ
പിന്തുണ,पीठ/पृष्ठ भाग
ബാക്കിംഗ് ബോർഡ്,पिछला तख्ता
പിന്നിലെ മർദ്ദം,पश्च दाब
ബാക്ക് പ്രോപ്പ്,पश्च टेक
പിന്നാമ്പുറ കാഴ്ച,पश्चावलोकन
പിൻ വെള്ളം,पश्चजल
തടസ്സപ്പെടുത്തുക,व्यारोध
ബാഗ് വർക്ക്,थैला पुशताबंदो
ബാലസ്റ്റ്,गिट्टी
പന്ത് കളിമണ്ണ്,बॉल मृत्तिका
ബോൾ കോൺ ക്ലാമ്പ്,बॉल शंकुआकार शिकंजा
മുള്ളുകമ്പി,काँटेदार तार
ബാർ നായ,छड़ कुत्ता
ബാർജ് ബോർഡ്,त्रयंकी पार्श्व फलक
ബേരിയം സൾഫേറ്റ് പരിശോധന,बेरियम सल्फेट परीक्षण
തടയണ,बैराज
ബാരറ്റ്,बरेट
അടിസ്ഥാനം,क्षार
അടിസ്ഥാന കൈമാറ്റം,बेस विनिमय
അടിസ്ഥാന ലൈൻ,आधार रेखा
നിലവറ,तहखाना/अधोभवन
ബേസ്മെൻറ് മതിൽ,अधोगृह भित्ति
അടിസ്ഥാന പ്ലേറ്റ്,आधार पट्टिका
"അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന",समायोज्य आधार पट्टिका
അടിസ്ഥാന സാച്ചുറേഷൻ,क्षार संतृप्ति
ബസോയ്ഡ്,बेसाइड
ബാറ്റ്,रोड़ा
ബാത്ത് ആൻഡ് ഡബ്ല്യുസി,स्नानागर व शौच कुण्ड
ബാറ്റർ കുറ്റി,सलामी खूँटी
ബാറ്റർ പിയർ,सलामी पाया
ബാറ്റർ ഭരണം,सलामी नियम
ബോൾക്ക് (ബാക്ക്),बॉक
ബേ,खंडक
ചുമക്കുന്നയാൾ,धारक
വഹിക്കാനുള്ള ശേഷി,धारण क्षमता
ബെയറിംഗ് പൈൽ,धारक पाइल
ബെയറിംഗ് സ്ട്രാറ്റം,धारक स्तर
കിടക്ക,आधार तल
ബെഡ്ഡിംഗ് വിമാനം,संस्तरण तल
കിടക്ക ജോയിന്റ്,पड़ी दरज
കിടക്ക പാറ,अश्माधार
കിടപ്പുമുറി,शयन कक्ष
തേനീച്ചമെഴുകിൽ,मधुमोम
മണി പെട്ടി,बैल बॉक्स
ബെല്ലിംഗ് ബക്കറ്റ്,बैलिंग बकेट
ബെല്ലോഫ്രം,बैलोफ्राम
ബെഞ്ച് ചെയ്ത അടിത്തറ,पैड़ीदार नींव
ബെഞ്ചിംഗ്,पैड़ी बनाना
ബെഞ്ച് മാർക്ക്,निदेश तलचिह्न
ആനുകൂല്യ ചെലവ് വിശകലനം,हितलाभ लागत विश्लेषण
ബെർം,उपतट
ബെവൽഡ് ക്ലോഷർ,ढालू डेली
"ബി-ചക്രവാളം,&quot;ബി-",संस्तर/B-होराइजन
ബിയാറ്റ്,बीएट
ബൈൻഡർ,बंधक
ബൈൻഡിംഗ് മെറ്റീരിയൽ,बंधक पदार्थ
ബയോട്ടിന്റെ സിദ്ധാന്തം,बायोट का सिद्धांत
ബിറ്റുമെൻ,बीटूमन
കറുത്ത പരുത്തി മണ്ണ്,काली मृदा
കറുത്ത ഭൂമി,काली मिट्टी
കറുത്ത ടർഫ് മണ്ണ്,काली शाब्दल मृदा
ബ്ലേഡ്,फलक
ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്,वात्या भट्टी धातुमल सीमेंट
ബ്ലോക്കി ഘടന,खंडीय संरचना
ബോഗി പ്രതിരോധം,बोगी संचलन प्रतिरोध
ബോഗ്-ഇരുമ്പ് അയിര്,दलदल लोह खनित्र
ബോണ്ട്,चाल (चिनाई की)
ബന്ധിത അംഗം,बद्ध अवयव
ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്,बद्ध प्रत्ययित तनन
ബോണ്ട് കല്ല്,बंधक पत्थर
കെട്ടിയ വെള്ളം,बद्ध जल
ബോക്സ് ഗട്ടർ,पेटिकाकार नाली
ബ്രേസ്,बंधनी
ബ്രിക്ക്-ഓൺ-എഡ്ജ്,खड़ी ईंट
കടിഞ്ഞാൺ,ब्राइडल
തെളിച്ചം,द्युति
തവിട്ട് മണ്ണ്,भूरी मृदा
കെട്ടിടം,भवन
ബിൽഡിംഗ് സർവേയർ,भवन सर्वेक्षक
ബഫർ,बफर (रोधक)
ബഫർ കർവ്,रोधनवक या अनुपामन वक
ബഫറിംഗ്,रोधन
ബഫറിംഗ് ശേഷി,रोधन क्षमता
ബണ്ടർ,बन्दर
ബട്രസ്,पुश्ता
സി-ചക്രവാളം,c-संस्तर/c-होराइजन
കേബിൾ,तार/केबल
കേബിൾ മോൾഡിംഗ്,तारगढ़ाई
കേബിളിംഗ്,केबिल तंत्र
ചെറിയമുറി,केबिन
ക്യാബിൻ ഹുക്ക്,केबिन अंकुश
കാബിനറ്റ്,मंजूषा
കാബോൾട്ട് ഉപേക്ഷിച്ചു,ध्वनि शोषण चादर
കഫറ്റീരിയ,कैफेटेरिया
കൂട്ടിൽ,पिंजरा
കൂട് നിർമ്മാണം,पिंजरानुमा निर्माण
കയീൻ ഫോർമുല,केनसूत्र
കൈസൺ,कैसन (या कॉफर)
കെയ്സൺ രോഗം,कैसन रोग
കൈസൺ ഫൗണ്ടേഷൻ,केसन नींव
കൈസൺ ചിത,कैसन पाइल
കാൽക്കറിയസ് ഇഷ്ടിക,चूनेदार ईंट
സുഷിരമുള്ള കളിമണ്ണ്,चूनेदार मिट्टी
സുഷിരമുള്ള പുറംതോട്,चूनेदार पपड़ी
കാൽസിഫിക്കേഷൻ,केल्सीकरण
കാൽസിനേഷൻ,निस्तापन
കാൽസൈൻ,कैलसाइन
കാൽസൈറ്റ്,कैल्साइट
കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്,कैल्शियम एल्यूमिनेट सीमेंट
കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക,कैल्शियम सिलीकेट ईंट
കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്,कैल्शियम सिलिकेट हाईड्रेट
കാലിച്ചെ,कालीचे
കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ,कैलिफोर्निया असर अनुपात
കാലിപ്പർ,केलिपर
കലോറിമീറ്റർ,कैलोरीमीटर
കാംബർ,न्युब्ज़ता/कैम्बर
കനാൽ,नहर
മേലാപ്പ്,कैनॉपी
കാന്റിലിവർ ഫൂട്ടിംഗ്,बहुधारन पद
തൊപ്പി,टोपी
ശേഷി,धारिता
എയിൽ ട്രാക്കിന്റെ ശേഷി,रेल पथ क्षमता
തൊപ്പി കേബിൾ,टोपी कंडरा
കാപ്പിലാരിറ്റി,केशिकत्व
കാപ്പിലറി ബ്രേക്ക്,केशिका विच्छेद
കാപ്പിലറി ഒഴുക്ക്,केशिका प्रवाह
കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം,केशिका आर्द्रता या केशिका जल
കാപ്പിലറി പോർ സ്പേസ്,केशिका रंध्र अवकाश
കാപ്പിലറി പൊറോസിറ്റി,केशिका रंध्रता
കാപ്പിലറി സ്പേസ്,केशिका अवकाश
ക്യാപ്‌ചർ വേഗത,प्रग्रहण वेग
കാർബണേഷൻ,कार्बोनेशन
കാർബൺ കറുപ്പ്,कार्बन काजल
കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി,ढलने योग्य उच्च तापसह
കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു,स्वस्थान ढली
കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ,यथास्थान बनाई पाइल
ജാതി,कैस्टर
എറിയുന്ന കല്ല്,ढला पत्थर
കാറ്റലിസ്റ്റ്,उत्प्रेरक
കാറ്റെന,मृदा श्रृंखला
പൂച്ച മുഖം,विडाल मुख
പൂച്ചയുടെ തല,कैट हैड
കാറ്റേഷൻ,धनायन
പൂച്ച നടത്തം,कैट बॉक
കാവിറ്റേഷൻ കേടുപാടുകൾ,कोटरन क्षति
സെലൈറ്റ്,सेलाइट
സെല്ലുലാർ കോൺക്രീറ്റ്,कोशिकीय कंक्रीट
സെല്ലുലാർ നിർമ്മാണം,कोशिकीय निर्माण
സിമന്റ്,सीमेंट
"സിമന്റ്, ബിറ്റുമിനസ്",बिटुमनी सीमेंट
"സിമന്റ്, ഉയർന്ന ശക്തി",शीघ्र सामर्थ्य सीमेंट
"സിമന്റ്, ഹൈഡ്രോളിക്",जलीय सीमेंट
"സിമന്റ്, കുറഞ്ഞ ചൂട്",न्यून ऊष्मा सीमेंट
"സിമന്റ്, കൊത്തുപണി",चिनाई सीमेंट
"സിമന്റ്, പ്രകൃതി",प्राकृतिक सीमेंट
"സിമന്റ്, പോർട്ട്ലാൻഡ്",पोर्टलैंड सीमेंट
"സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്",पोर्टलैंड वात्या-भट्टी धातुमल सीमेंट
"സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ",पोर्टलैंड पोजोलॉन सीमेंट
"സിമന്റ്, സ്ലാഗ്",सीमेंट धातुमल
"സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം",सल्फेट प्रतिरोधी सीमेंट
"സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്",सुपरसल्फेटेड सीमेंट
"സിമന്റ്, വെള്ള",श्वेत सीमेंट
സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം,सीमेंट मिलावा अनुपात
സിമന്റ് ഉള്ളടക്കം,सीमेंट अंश
സിമന്റ് ജെൽ,सेमेंट जेल
സിമന്റ് തോക്ക്,सीमेंट गन
സിമന്റ് ചൂള,सीमेंट भट्टी
സിമന്റ് പെയിന്റ്,सीमेंट प्रलेप
സിമന്റ് പ്ലാസ്റ്റർ,सीमेंट प्लास्टर
സിമന്റ് പാറ,सीमेंट शैल
സിമന്റ് സ്ലറി,सीमेंट घोल
സിമന്റ് സംഭരണം,सीमेंट भंडारण
സിമന്റേഷൻ പ്രക്രിയ,सीमेंटीकरण प्रक्रम
കേന്ദ്രീകരിക്കുന്നു,ढूला
കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും,ढूला बनाना
സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്,केन्द्रीय मिश्रित कंक्रीट
സെൻട്രൽ മിക്സർ,केन्द्रीय मिश्रक
അപകേന്ദ്ര ഫാൻ,अपकेन्द्री पंखा
ചോക്ക്,खड़िया
ചാംഫർ,शैम्फर
ചേംഫർ സ്ട്രിപ്പ്,निष्कोणन पत्ती
ചാനൽ ബീം,चैनल धरन
സ്വഭാവസവിശേഷത ലോഡ്,अभिलाक्षणिक भार
സ്വഭാവ ശക്തി,अभिलाक्षणिक सामर्थ्य
ചാർജ്ജ് ഓഫ്,शुल्क माफी
ചാർജിംഗ്,भरण
പരിശോധിക്കുന്നു,तरेड़न
കെമിക്കൽ ബോണ്ട്,रासायनिक आबंध
ചെർനോസെം,चर्नोजेम
