Kannada,Odiya
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
ವ್ಯಭಿಚಾರ,ଅବକ୍ଷୟ
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,ଦାସତ୍ୱ ରଦ୍ଦ
ಮೂಲನಿವಾಸಿಗಳು,ଆଦିବାସୀ
ಅಬ್ರಹಾಂ ಯುಗ,ଅବ୍ରହାମ ଏରା
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
ಅಕಾಡೆಮಿ,ଏକାଡେମୀ |
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,ଆକ୍ରା ସମ୍ମିଳନୀ |
ಸಂಚಯಗಳು,ଆକ୍ରୁଏଲ୍ |
ಸಂಸ್ಕಾರ,ଆକଲଚ୍ୟୁଚର୍
ಅಸೆಲ್ಡಾಮಾ,ଆକେଲଡାମା |
ಅಚೆಯನ್ (=ಅಚಿಯನ್),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
ಆಕ್ರೊಪೊಲಿಸ್,ଆକ୍ରୋପଲିସ୍ |
ಆಕ್ಟಾ ಡೈರ್ನಾ,ଆକ୍ଟା ଡିଆର୍ନା |
ಆಕ್ಟಾ ಸೆನಾಟಸ್,ଆକ୍ଟା ସେନାଟସ୍ |
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,ଆକ୍ଟ ଆଡେଲ୍ |
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
ವಸಾಹತು ಕಾಯಿದೆ,ସମାଧାନ ନିୟମ
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
ಅಡುಲಮೈಟ್ಸ್,ଆଡୁଲାମାଇଟ୍ସ |
ಎದುರಾಳಿ,ଶତ୍ରୁ
ಎದುರಾಳಿ,ଶତ୍ରୁ
ಏಯಾನ್,ଆଓନ୍
ಏರೋರಿಯಮ್,ଏରାରିୟମ୍ |
ವೈಮಾನಿಕ ಯುದ್ಧ,ବାୟୁ ଯୁଦ୍ଧ |
ಏಟೋಲಿಯನ್ ಲೀಗ್,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
ವಯಸ್ಸು,ବୟସ
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
ಅಗೆಲೈ,ଆଗେଲାଇ |
ಅಶ್ವದಳದ ವಯಸ್ಸು,Ival ିଭାଲିର ବୟସ |
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,ଜ୍ଞାନର ବୟସ |
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,ପେରିକଲ୍ସର ବୟସ |
ಕಾರಣದ ವಯಸ್ಸು,କାରଣର ବୟସ |
ಕೃಷಿಧರ್ಮ,କୃଷିବାଦ
ಕೃಷಿ ಚಳುವಳಿ,କୃଷି ଆନ୍ଦୋଳନ |
ಅಲ್ಬಿಯಾನ್,ଆଲବିଅନ୍ |
ಆಲ್ಬಮ್,ଆଲବମ୍
ಆಲ್ಡರ್ಮನ್,ଆଲଡରମ୍ୟାନ୍ |
ಸೂಚಿಸುವ ತೋಳುಗಳು,ଭ୍ରାନ୍ତ ବାହୁ |
ಸೌಹಾರ್ದತೆ,ବନ୍ଧୁତା
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
ಆಂಫಿಥಿಯೇಟರ್,ଆମ୍ଫିଥେଟର
ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
ಅನಾಕ್ರೊನಿಸಂ,ଆନାକ୍ରୋନିଜିମ୍ |
ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
ಪೂರ್ವಜ,ପୂର୍ବପୁରୁଷ
ಪೂರ್ವಜರ ಆರಾಧನೆ,ପୂର୍ବପୁରୁଷ ପୂଜା |
ಪೂರ್ವಜರು,ପିତୃପୁରୁଷ
ಪೂರ್ವಜರು,ପିତୃପୁରୁଷ
ಪೂರ್ವಜರು,ପିତୃପୁରୁଷ
ಪೂರ್ವಜರು,ପିତୃପୁରୁଷ
ಪ್ರಾಚೀನ ಆಡಳಿತ,ପ୍ରାଚୀନ ଶାସନ
ಪ್ರಾಚೀನ,ପ୍ରାଚୀନ
ಪ್ರಾಚೀನ ಲಾವಣಿ,ପ୍ରାଚୀନ ବାଲାଡ୍ |
ಪ್ರಾಚೀನ ನಂಬಿಕೆ,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
ಪ್ರಾಚೀನ ಪದ್ಧತಿ,ପ୍ରାଚୀନ ପ୍ରଥା
ಪುರಾತನ ಇತಿಹಾಸ,ପ୍ରାଚୀନ ଇତିହାସ
ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು,ପ୍ରାଚୀନ ସ୍ମାରକୀ
ಉಪಾಖ್ಯಾನ,ଉପନ୍ୟାସ
ಏಂಜೆಲೋಟ್,ଆଞ୍ଜେଲଟ୍ |
ಏಂಜೆಲಸ್,ଆଞ୍ଜେଲସ୍ |
ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್),ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍)
ಕೋನಗಳು,କୋଣ
ಆಂಗ್ಲಿಕನ್,ଅଙ୍ଗଲିକାନ୍ |
ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್,ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |
ಆಂಗ್ಲಿಕನಿಸಂ,ଅଙ୍ଗଲିକାନିଜିମ୍ |
ಆಂಗ್ಲೋ-ಫೋಬ್,ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |
ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ,ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |
ಅನಾಲಿಸ್ಟ್,ଆନ୍ନାଲିଷ୍ଟ |
ಆನಲ್ಸ್,ବାର୍ଷିକ
ಅನುಬಂಧ,ସଂଲଗ୍ନ
ಆಂಟೆ-ಬೆಲ್ಲಮ್,ଆଣ୍ଟେ-ବେଲମ୍ |
ಹಿಂದಿನ ದಿನಾಂಕ,ଆଣ୍ଟେ ତାରିଖ |
ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ,ଧର୍ମ-ବିରୋଧୀ
ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ,ଧର୍ମ-ବିରୋଧୀ ନିୟମ
ಪ್ರಾಚೀನತೆ,ପ୍ରାଚୀନତା
ಬಾಡಿಗೆ ವಿರೋಧಿ,ଆଣ୍ଟି-ଭଡା
ಬಾಡಿಗೆ ವಿರೋಧಿ,ଆଣ୍ଟି-ଭଡା
ಯೆಹೂದ್ಯ ವಿರೋಧಿ,ବିରୋଧୀ ଦଳ
ಅಂಜಾಕ್,ଅଞ୍ଜାକ |
ಅಪೆಲ್ಲಾ,ଆପେଲା |
ಅರಳು,ଅରୁଲୁ |
ಆರ್ಚ್ ಬಿಷಪ್,ଆର୍ ବିଶପ୍ |
ಆರ್ಚ್ ಡಚಿ,ଆର୍ ଡୁଚି |
ಆರ್ಚ್ ಡ್ಯೂಕ್,ଆର୍ ଡ୍ୟୁକ୍ |
ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ)
ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್,ଆର୍କିପିସ୍କୋପେଟ୍ |
ಶ್ರೀಮಂತವರ್ಗ,ଆଭିମୁଖ୍ୟ
ಶ್ರೀಮಂತ,ଆରିଷ୍ଟୋକ୍ରାଟ୍ |
ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ,ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |
ಅರಿಸ್ಟಾಟಲ್,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |
ನೌಕಾಪಡೆ,ଆର୍ମଡା |
ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ),ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା)
ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ),ବାହୁବଳୀ (= ବାହୁବଳୀ)
ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ),ବାହୁବଳୀ (= ବାହୁବଳୀ)
ಶಸ್ತ್ರಾಗಾರ,ବାହୁବଳୀ |
ಆರ್ಯನ್,ଆର୍ଯ୍ୟନ୍
ಆರ್ಯನ್,ଆର୍ଯ୍ୟନ୍
ಅಸ್ಕರಿ,ଆସ୍କାରି |
ನಿಯೋಜಿಸಿ,ନ୍ୟସ୍ତ କରନ୍ତୁ |
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್,ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |
ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ,ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |
ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್,ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |
ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್,ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |
ದೌರ್ಜನ್ಯ,ଅତ୍ୟାଚାର
ದಾಳಿ,ଆକ୍ରମଣ
ಆಲಿಕ್ ಕೌನ್ಸಿಲ್,ଆୟୁଲିକ୍ ପରିଷଦ |
ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ),ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି)
ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್),ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍)
ಬ್ಯಾಬಿಲೋನ್,ବାବିଲ
ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ),ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ)
ಬಚ್ಚನಾಳ ಭಕ್ತ,ବ୍ୟାଚାନାଲ ଭକ୍ତ
ಬಚ್ಚನಾಲಿಯಾ,ବ୍ୟାଚାନାଲିଆ |
ಪದವಿ,ଅବିବାହିତ
ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ,ବାଗଦାଦ ଚୁକ୍ତି |
ಬಾಲ್ಕನ್ ಲೀಗ್,ବାଲକାନ୍ ଲିଗ୍ |
ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ,ବାଲକାନ୍ ଚୁକ୍ତି |
ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು,ବାଲକାନ ଯୁଦ୍ଧ |
ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ,ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |
ಡಕಾಯಿತ,ବୃନ୍ଦାବନ
ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ,ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |
ಬಹಿಷ್ಕಾರ,ବହିଷ୍କାର |
ಬ್ಯಾನರ್,ବ୍ୟାନର |
ಅನಾಗರಿಕ,ବର୍ବର
ಬಾರ್ಬಿಕನ್,ବାର୍ବିକାନ୍ |
ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ,ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |
ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು,ବାର୍ ବର୍ନର୍ସ |
ಬ್ಯಾರನ್,ବରୁଣ |
ಬ್ಯಾರನೇಜ್,ବରୁଣ
ಬರೋನ್ಸ್ ಮೇಜರ್,ବାରୋନସ୍ ମେଜୋରସ୍ |
ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು,ବାରୋନସ୍ ମାଇନୋରସ୍ |
ಬ್ಯಾರನೆಸ್,ବରୁଣେସ୍ |
ಬ್ಯಾರೊನೆಟ್,ବରୁଣେଟ୍ |
ಬ್ಯಾರೊನೆಟೇಜ್,ବରୁଣେଟେଜ୍ |
ಬ್ಯಾರೊನೆಟೇಜ್,ବରୁଣେଟେଜ୍ |
ಬ್ಯಾರೊನೆಟ್ಸಿ,ବାରୋନେଟସି |
ಬರೋನಿ,ବାରୋନି |
ಬ್ಯಾರಕೂನ್,ବାରାକୁନ୍ |
ಬ್ಯಾರಕೂನ್,ବାରାକୁନ୍ |
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ)
ಮೂಲ ಶಿಬಿರ,ବେସ୍ କ୍ୟାମ୍ପ୍ |
ಬೆಸಿಲಿಕಾ,ବେସିଲିକା |
ಬೆಸಿಲಿಕಾ,ବେସିଲିକା |
ಬಸ್ತಿಲಾ,ବସ୍ତିଲା |
ಬಾಸ್ಟಿಲ್,ବସ୍ତିଲ୍ |
ಬಾಸ್ಟಿಲ್,ବସ୍ତିଲ୍ |
ಬ್ಯಾಟರಿ,ବ୍ୟାଟେରୀ
ಕದನ,ଯୁଦ୍ଧ
ಬ್ಯಾಟಲ್-ಅರೇ,ବଟଲ୍-ଆରେ |
ಯುದ್ಧದ ಕೂಗು,ଯୁଦ୍ଧ କାନ୍ଦ |
ಬ್ಯಾಟಲ್ ಡಿನ್,ଯୁଦ୍ଧ ଡିନ |
ಯುದ್ಧಭೂಮಿ,ଯୁଦ୍ଧ କ୍ଷେତ୍ର |
ಯುದ್ಧ ಸ್ತೋತ್ರ,ଯୁଦ୍ଧ ଭଜନ
ಸ್ಪರ್ಸ್ ಕದನ,ସ୍ପର୍ସର ଯୁଦ୍ଧ |
ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್,ମାନାଙ୍କ ଯୁଦ୍ଧ |
ಯುದ್ಧನೌಕೆ,ଯୁଦ୍ଧ ଜାହାଜ |
ಯುದ್ಧನೌಕೆ-ಬಲ,ଯୁଦ୍ଧ-ଶକ୍ତି |
ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ,ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |
ದಾರಿದೀಪ,ବିକନ୍ |
ದಾರಿದೀಪ ಗೋಪುರ,ବିକନ୍ ଟାୱାର୍ |
ಬೀವರ್,ବିଭର୍ |
ಬೀವರ್,ବିଭର୍ |
ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು,ସମୁଦ୍ରର ଭିକାରୀ |
ಬೆಲ್ಲಿಕೋಸ್,ବେଲିକୋଜ୍ |
ಬೆಲ್ಲಿಕೋಸ್,ବେଲିକୋଜ୍ |
ಬೆಲ್ಲಿಕೋಸ್,ବେଲିକୋଜ୍ |
ಬೆಲ್ಲಿಕೋಸಿಟಿ,ବେଲିକୋସିଟି |
ಬೆಲೋನಾ,ବେଲୋନା |
ಪ್ರಯೋಜನ,ଉପକାର
ಧರ್ಮಗುರುಗಳ ಲಾಭ,ପାଦ୍ରୀମାନଙ୍କର ଲାଭ
ಬೆನೆಲಕ್ಸ್,ବେନେଲକ୍ସ |
ಬರ್ಲಿನ್ ತೀರ್ಪು,ବର୍ଲିନ୍ ଆଦେଶ |
ಬರ್ಸರ್ಕರ್,ବର୍ସରକର |
ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್),ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ)
ಬೆತೆಲ್,ବ Bethel ଥେଲ୍ |
ಗ್ರಂಥಪಾಲಕ,Bibliolater
ಗ್ರಂಥಾರಾಧನೆ,ଗ୍ରନ୍ଥସମୂହ
ದೊಡ್ಡ ಬರ್ತಾ,ବିଗ୍ ବର୍ଥା |
ಮತಾಂಧ,ବିଗଟ୍ |
ಬಿಲ್ಲೆಟಿಂಗ್,ବିଲିଂ
ಅಟೈಂಡರ್ ಬಿಲ್,ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |
ಹಕ್ಕುಗಳ ಮಸೂದೆ,ଅଧିକାର ବିଲ୍ |
ಜೀವನಚರಿತ್ರೆಕಾರ,ଜୀବନୀ
ಜನ್ಮ ಕಥೆಗಳು,ଜନ୍ମ କାହାଣୀ |
ತಾತ್ಕಾಲಿಕ,ବିଭିଆକ୍ |
ತಾತ್ಕಾಲಿಕ,ବିଭିଆକ୍ |
ತಾತ್ಕಾಲಿಕ,ବିଭିଆକ୍ |
ಬಿಜೋನಿಯಾ,ବିଜୋନିଆ |
ಕಪ್ಪು ಪಕ್ಷಿಗಳು,କଳା ପକ୍ଷୀ
ಕಪ್ಪು ಬಾವುಟ,କଳା ପତାକା
ಕಪ್ಪು ರಂಧ್ರ,ବ୍ଲାକ୍ ହୋଲ୍ |
