Kannada,Bengali
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,অ্যাবায়োটিক প্রজনন
ಅಧಿಸಾಮಾನ್ಯ,প্যারানরমাল
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. চতুর্থ পেট 2. Evomasome
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,স্টোমাটাল বৃদ্ধি অঙ্গ
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,স্তব্ধ বৃদ্ধি বীজ
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,শোষিত ক্যাটান
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,আবিসিনিয়ান সরিষা
1. ಅಕಾರಿಸೈಡ್,1. অ্যাক্যারিসাইড
ಕೇಂದ್ರಾಭಿಮುಖ,কেন্দ্রমুখী
ವರ್ಧನೆ (ಕೋಶ),পরিবর্ধন (কোষ)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,অনুমোদিত সহনশীলতা
1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ,1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক
ರೂಪಾಂತರ,অভিযোজন
ಶೇಖರಣೆ,সঞ্চয়
1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ,1. শূন্যতা 2. নির্ভুলতা
1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್,1. অ্যাসারভাউলাস 2. স্পোরোফাইট
1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್,1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন
1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ,1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন
1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್,1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার
ಆಮ್ಲೀಯತೆ,অম্লতা
ಅಸಿಡೋಫೈಲ್,অ্যাসিডোফাইল
ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್,অম্লীয় রক ফসফেট
ಆಮ್ಲೀಕೃತ,অ্যাসিডযুক্ত
ಜಲಚರ,aquifer
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ,অধিগ্রহণ
ಎಕರೆ,একর
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,1. এলাকা 2. এলাকা
ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್,শেষ বিন্দু ক্রোমোজোম
ಮುಂದೆ ನೋಡುವ,দূরদর্শী
ಅಕ್ರೋಸೋಮ್,acrosome
ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್,actinomycetes
ಸಕ್ರಿಯ ಕೋರ್,সক্রিয় কোর
1. ಉಗ್ರ 2. ತೀವ್ರ,1. উগ্র 2. তীব্র
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,অভিযোজনযোগ্যতা
ಗ್ರಾಹಕೀಕರಣ,কাস্টমাইজেশন
1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,1. আনুগত্য 2. আনুগত্য
ಮೇದಸ್ಸಿನ,sebaceous
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,সমন্বয় সমীকরণ
ಅಡೋಬ್ ಮಣ್ಣು,adobe মাটি
ಕಲಬೆರಕೆ,ভেজাল
ಅಪಸ್ಥಾನೀಯ,ectopic
ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್,ইসিডিওস্পোর ইসিডিয়াম স্পোর
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ,এরোডাইনামিক প্রক্রিয়া
ಕುಹರದ,ventral
ಗಾಳಿ ಹಾಕಲು,বায়ু করা
1. ಗಾಳಿ 2. ಆಕಾಶಿ,1. বায়ু 2. আকাশী
1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್,1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার
ಏರೋಸಾಲ್,এরোসল
1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ,1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা
ರೋಗದ ವಿಜ್ಞಾನ,রোগের বিজ্ঞান
ಅರಣ್ಯೀಕರಣ,বনায়ন
1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ,1. আন্দোলন 2. অশান্তি
ಅಗ್ಮಾರ್ಕ್,এগমার্ক
1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ,1. জমি সংক্রান্ত 2. কৃষি
ಕೃಷಿ ಕ್ಲಿನಿಕ್,কৃষি ক্লিনিক
1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ,1. কৃষি শ্রম 2. কৃষি শ্রম
ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,কৃষি বিপণন
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,কৃষি প্রযুক্তি
1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ,1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান
ಕೃಷಿ ಅರಣ್ಯ,কৃষি বনায়ন
ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ,কৃষি জীববৈচিত্র্য
ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು,কৃষি জৈব ত্রুটি
ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ,কৃষি জীববিজ্ঞান
ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ,কৃষি-জলবায়ু বৈচিত্র্য
ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ,কৃষি জলবায়ু অঞ্চল সৃষ্টি
ಕೃಷಿ ಅರಣ್ಯ,কৃষি বনবিদ্যা
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষিবিদ্যা
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষিবিজ্ঞান
ಕೃಷಿ ಪಶುಪಾಲಕ,কৃষি যাজক
ಬೆಳೆ ಸಂಸ್ಕರಣೆ,ফসল প্রক্রিয়াকরণ
ಹುಲ್ಲು ವಿಜ್ಞಾನ,ঘাস বিজ্ঞান
ಬೆಳೆ ಪ್ರಕಾರ,ফসলের ধরন
ಎಪಿಫೈಟ್,এপিফাইট
ಐಕಿಯೋಚಿ ಮಣ್ಣು,aikiochi মাটি
ಬಣ್ಣಗುರುಡು,বর্ণান্ধতা
ಅಲ್ಫಿಸೋಲ್,আলফিসল
ಪಾಚಿ,শৈবাল
ಪಾಚಿ ರೋಗ,শেওলা রোগ
ಕ್ಷಾರ ನೀರು,ক্ষার জল
ಕ್ಷಾರೀಯ,ক্ষারীয়
ಪರ್ಯಾಯ,বিকল্প
