Kannada,Gujarati
ಅಬ್ಯಾಕಸ್,અબેકસ
ಅಸಹಜ ಮುಕ್ತಾಯ,અસામાન્ય સમાપ્તિ
ಸ್ಥಗಿತಗೊಳಿಸು,ગર્ભપાત
ಸಂಪೂರ್ಣ,સંપૂર્ણ
ಸಂಪೂರ್ಣ ವಿಳಾಸ,સંપૂર્ણ સરનામું
ಸಂಪೂರ್ಣ ವಿಳಾಸ,સંપૂર્ણ સંબોધન
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,સંપૂર્ણ એસેમ્બલર
ಸಂಪೂರ್ಣ ಕೋಡ್,સંપૂર્ણ કોડ
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,સંપૂર્ણ આદેશ
ಸಂಪೂರ್ಣ ಡೇಟಾ,સંપૂર્ણ ડેટા
ಸಂಪೂರ್ಣ ಸೂಚನೆ,સંપૂર્ણ સૂચના
ಸಂಪೂರ್ಣ ಮೋಡ್,સંપૂર્ણ મોડ
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,સંપૂર્ણ માર્ગ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,સંપૂર્ણ પ્રોગ્રામિંગ
ಅಮೂರ್ತ ವರ್ಗ,અમૂર્ત વર્ગ
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,અમૂર્ત ડેટા પ્રકાર
ಅಮೂರ್ತ ಯಂತ್ರ,અમૂર્ત મશીન
ಅಮೂರ್ತ ಚಿಹ್ನೆ,અમૂર્ત પ્રતીક
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,અમૂર્ત વાક્યરચના
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,સ્વીકૃતિ પરીક્ષણ
ಪ್ರವೇಶ ದೃಢೀಕರಣ,ઍક્સેસ પ્રમાણીકરણ
ಪ್ರವೇಶ ಕೋಡ್,ઍક્સેસ કોડ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,વપરાશ નિયંત્રણ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,એક્સેસ સ્કેન
ಪರಿಕರ,સહાયક
ಖಾತೆ,એકાઉન્ટ
ಖಾತೆ ID,એકાઉન્ટ ID
ಸಂಚಯಕ,સંચયક
ನಿಖರತೆ,ચોકસાઈ
ಪ್ರವೇಶ,ઍક્સેસ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,એક્સેસ કંટ્રોલ બાઈટ
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,એક્સેસ ઇન્ડેક્સ
ಪ್ರವೇಶ ಕೀ,ઍક્સેસ કી
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,એક્સેસ મેટ્રિક્સ
ಪ್ರವೇಶ ಮೋಡ್,ઍક્સેસ મોડ
ಪ್ರವೇಶ ಸವಲತ್ತು,એક્સેસ વિશેષાધિકાર
ಪ್ರವೇಶ ಭದ್ರತೆ,ઍક્સેસ સુરક્ષા
ಪ್ರವೇಶ ಸರ್ವರ್,ઍક્સેસ સર્વર
ಪ್ರವೇಶ ಸಮಯ,ઍક્સેસ સમય
ಸ್ವೀಕೃತಿ,સ્વીકૃતિ
ಅಕೌಸ್ಟಿಕ್ಸ್,ધ્વનિશાસ્ત્ર
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ટૂંકાક્ષર
ಕ್ರಿಯೆಯ ಸಂದೇಶ,ક્રિયા સંદેશ
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,સક્રિયકરણ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),સક્રિય સર્વર પૃષ્ઠ (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,સક્રિય સંસ્કરણ
ಅಸೈಕ್ಲಿಕ್,એસાયક્લિક
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,એસાયક્લિક ગ્રાફ
ಅದಾ ಭಾಷೆ,અદા ભાષા
ಅಡಾಪ್ಟರ್,એડેપ્ટર
ಸೇರಿಸಿ,ઉમેરો
ಕಡತವನ್ನು ಸೇರಿಸು,ફાઇલ ઉમેરો
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,કામગીરી ઉમેરો
ಸೇರಿಸುವವನು,ઉમેરનાર
ವಿಳಾಸ,સરનામું
ವಿಳಾಸ ಬಸ್,સરનામું બસ
ವಿಳಾಸ ಫೈಲ್,સરનામું ફાઇલ
ವಿಳಾಸ ಸ್ವರೂಪ,સરનામું ફોર્મેટ
ವಿಳಾಸ ಜನರೇಟರ್,સરનામું જનરેટર
ವಿಳಾಸ ಸಾಲು,એડ્રેસ લાઇન
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,સરનામું મેપિંગ
ವಿಳಾಸ ಪಾಯಿಂಟರ್,સરનામું નિર્દેશક
ವಿಳಾಸ ನೋಂದಣಿ,સરનામું રજીસ્ટર
ವಿಳಾಸ ನಿರ್ಣಯ,સરનામું રિઝોલ્યુશન
ವಿಳಾಸ ಅನುವಾದ,સરનામા અનુવાદ
ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ,સંબોધિત મેમરી
ಉದ್ದೇಶಿಸಿ,સંબોધન
ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು,પર્યાપ્તતા માપદંડ
ಪಕ್ಕದ,સંલગ્ન
ಆಡಳಿತ,વહીવટ
ನಿರ್ವಾಹಕ,સંચાલક
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,એડોબ એક્રોબેટ
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,એડોબ ફોટોશોપ
ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP),એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP)
ಸುಧಾರಿತ ಡೇಟಾ,અદ્યતન ડેટા
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,અદ્યતન માહિતી સિસ્ટમ
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),અદ્યતન ટેકનોલોજી (AT)
ಏಜೆಂಟ್,એજન્ટ
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,એકત્રીકરણ
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್,aldus પૃષ્ઠ નિર્માતા
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,ચેતવણી બોક્સ
ಆಲ್ಗೋಲ್,algol
ಅಲ್ಗಾರಿದಮ್,અલ્ગોરિધમ
ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ,અલ્ગોરિધમ વિશ્લેષણ
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,અલ્ગોરિધમ કાર્યક્ષમતા
ಅಲಿಯಾಸ್,ઉપનામ
ಜೋಡಣೆ,ગોઠવણી
ಹಂಚಿಕೆ,ફાળવણી
ವರ್ಣಮಾಲೆಯ,આલ્ફાબેટીક
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,આલ્ફાન્યૂમેરિક
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್,આલ્ફાન્યૂમેરિક કી બોર્ડ
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ,આલ્ફા-પરીક્ષણ
ಆಲ್ಫಾ-ಆವೃತ್ತಿ,આલ્ફા-સંસ્કરણ
ಆಲ್ಟ್ ಕೀ,alt કી
ಅಲ್ಟಾವಿಸ್ತಾ,અલ્ટાવિસ્ટા
ಅಸ್ಪಷ್ಟತೆ,અસ્પષ્ટતા
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,અસ્પષ્ટ વ્યાકરણ
