Punjabi,Gujarati
abacus,અબેકસ
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,અસામાન્ય સમાપ્તિ
ਅਧੂਰਾ ਛੱਡੋ,ગર્ભપાત
ਅਸੀਮ,સંપૂર્ણ
ਪੂਰਾ ਪਤਾ,સંપૂર્ણ સરનામું
ਪੂਰਨ ਸੰਬੋਧਨ,સંપૂર્ણ સંબોધન
ਪੂਰਨ ਅਸੈਂਬਲਰ,સંપૂર્ણ એસેમ્બલર
ਪੂਰਨ ਕੋਡ,સંપૂર્ણ કોડ
ਪੂਰਨ ਹੁਕਮ,સંપૂર્ણ આદેશ
ਪੂਰਨ ਡਾਟਾ,સંપૂર્ણ ડેટા
ਪੂਰਨ ਹਿਦਾਇਤ,સંપૂર્ણ સૂચના
ਪੂਰਨ ਮੋਡ,સંપૂર્ણ મોડ
ਪੂਰਨ ਮਾਰਗ,સંપૂર્ણ માર્ગ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,સંપૂર્ણ પ્રોગ્રામિંગ
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,અમૂર્ત વર્ગ
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,અમૂર્ત ડેટા પ્રકાર
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,અમૂર્ત મશીન
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,અમૂર્ત પ્રતીક
ਸੰਖੇਪ ਸੰਟੈਕਸ,અમૂર્ત વાક્યરચના
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,સ્વીકૃતિ પરીક્ષણ
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,ઍક્સેસ પ્રમાણીકરણ
ਐਕਸੈਸ ਕੋਡ,ઍક્સેસ કોડ
ਪਹੁੰਚ ਕੰਟਰੋਲ,વપરાશ નિયંત્રણ
ਐਕਸੈਸ ਸਕੈਨ,એક્સેસ સ્કેન
ਸਹਾਇਕ,સહાયક
ਖਾਤਾ,એકાઉન્ટ
ਖਾਤਾ ID,એકાઉન્ટ ID
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,સંચયક
ਸ਼ੁੱਧਤਾ,ચોકસાઈ
ਪਹੁੰਚ,ઍક્સેસ
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,એક્સેસ કંટ્રોલ બાઈટ
ਐਕਸੈਸ ਇੰਡੈਕਸ,એક્સેસ ઇન્ડેક્સ
ਪਹੁੰਚ ਕੁੰਜੀ,ઍક્સેસ કી
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,એક્સેસ મેટ્રિક્સ
ਪਹੁੰਚ ਮੋਡ,ઍક્સેસ મોડ
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,એક્સેસ વિશેષાધિકાર
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,ઍક્સેસ સુરક્ષા
ਪਹੁੰਚ ਸਰਵਰ,ઍક્સેસ સર્વર
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ઍક્સેસ સમય
ਮਾਨਤਾ,સ્વીકૃતિ
ਧੁਨੀ ਵਿਗਿਆਨ,ધ્વનિશાસ્ત્ર
ਸੰਖੇਪ ਸ਼ਬਦ,ટૂંકાક્ષર
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,ક્રિયા સંદેશ
ਸਰਗਰਮੀ,સક્રિયકરણ
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),સક્રિય સર્વર પૃષ્ઠ (ASP)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,સક્રિય સંસ્કરણ
acyclic,એસાયક્લિક
acyclic ਗ੍ਰਾਫ਼,એસાયક્લિક ગ્રાફ
ਅਦਾ ਭਾਸ਼ਾ,અદા ભાષા
ਅਡਾਪਟਰ,એડેપ્ટર
ਸ਼ਾਮਲ ਕਰੋ,ઉમેરો
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,ફાઇલ ઉમેરો
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,કામગીરી ઉમેરો
ਜੋੜਨ ਵਾਲਾ,ઉમેરનાર
ਪਤਾ,સરનામું
ਪਤਾ ਬੱਸ,સરનામું બસ
ਐਡਰੈੱਸ ਫਾਈਲ,સરનામું ફાઇલ
ਪਤਾ ਫਾਰਮੈਟ,સરનામું ફોર્મેટ
ਪਤਾ ਜਨਰੇਟਰ,સરનામું જનરેટર
ਐਡਰੈੱਸ ਲਾਈਨ,એડ્રેસ લાઇન
ਪਤਾ ਮੈਪਿੰਗ,સરનામું મેપિંગ
ਪਤਾ ਸੰਕੇਤਕ,સરનામું નિર્દેશક
ਪਤਾ ਰਜਿਸਟਰ,સરનામું રજીસ્ટર
ਪਤਾ ਹੱਲ,સરનામું રિઝોલ્યુશન
ਪਤਾ ਅਨੁਵਾਦ,સરનામા અનુવાદ
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,સંબોધિત મેમરી
ਸੰਬੋਧਨ,સંબોધન
ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ,પર્યાપ્તતા માપદંડ
adjoint,સંલગ્ન
ਪ੍ਰਸ਼ਾਸਨ,વહીવટ
ਪ੍ਰਬੰਧਕ,સંચાલક
ਅਡੋਬ ਐਕਰੋਬੈਟ,એડોબ એક્રોબેટ
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,એડોબ ફોટોશોપ
ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP),એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP)
ਉੱਨਤ ਡਾਟਾ,અદ્યતન ડેટા
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,અદ્યતન માહિતી સિસ્ટમ
ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.),અદ્યતન ટેકનોલોજી (AT)
ਏਜੰਟ,એજન્ટ
ਏਕੀਕਰਨ,એકત્રીકરણ
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
aldus ਪੇਜ ਮੇਕਰ,aldus પૃષ્ઠ નિર્માતા
ਚੇਤਾਵਨੀ ਬਾਕਸ,ચેતવણી બોક્સ
ਐਲਗੋਲ,algol
ਐਲਗੋਰਿਦਮ,અલ્ગોરિધમ
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,અલ્ગોરિધમ વિશ્લેષણ
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,અલ્ગોરિધમ કાર્યક્ષમતા
ਉਪਨਾਮ,ઉપનામ
ਅਲਾਈਨਮੈਂਟ,ગોઠવણી
ਵੰਡ,ફાળવણી
ਵਰਣਮਾਲਾ,આલ્ફાબેટીક
ਅੱਖਰ ਅੰਕੀ,આલ્ફાન્યૂમેરિક
ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ,આલ્ફાન્યૂમેરિક કી બોર્ડ
ਅਲਫ਼ਾ-ਟੈਸਟ,આલ્ફા-પરીક્ષણ
ਅਲਫ਼ਾ-ਵਰਜਨ,આલ્ફા-સંસ્કરણ
alt ਕੁੰਜੀ,alt કી
altavista,અલ્ટાવિસ્ટા
ਅਸਪਸ਼ਟਤਾ,અસ્પષ્ટતા
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,અસ્પષ્ટ વ્યાકરણ
