Tamil,Bengali
உயிரற்ற இனப்பெருக்கம்,অ্যাবায়োটিক প্রজনন
அமானுஷ்ய,প্যারানরমাল
1. நான்காவது வயிறு 2. எவோமாசோம்,1. চতুর্থ পেট 2. Evomasome
வயிற்று வளர்ச்சி உறுப்பு,স্টোমাটাল বৃদ্ধি অঙ্গ
வளர்ச்சி குன்றிய விதை,স্তব্ধ বৃদ্ধি বীজ
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা
உறிஞ்சப்பட்ட கேஷன்,শোষিত ক্যাটান
உறிஞ்சுதல்,শোষণ
அபிசீனிய கடுகு,আবিসিনিয়ান সরিষা
1. காரக்கொல்லி,1. অ্যাক্যারিসাইড
மையவிலக்கு,কেন্দ্রমুখী
பெருக்கம் (செல்),পরিবর্ধন (কোষ)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,অনুমোদিত সহনশীলতা
1.கூடுதல் 2.துணை 3.துணை,1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক
தழுவல்,অভিযোজন
திரட்சி,সঞ্চয়
1.vacuracy 2. துல்லியம்,1. শূন্যতা 2. নির্ভুলতা
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,1. অ্যাসারভাউলাস 2. স্পোরোফাইট
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন
1. அமிலமானி 2. அமிலமானி,1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার
அமிலத்தன்மை,অম্লতা
அமிலத்தன்மை,অ্যাসিডোফাইল
