English,Telugu
Abaxial surface,అబాక్సియల్ ఉపరితలం
Abdomen,ఉదరం
Abdominal aorta,ఉదర బృహద్ధమని
Abdominal ganglia,ఉదర గాంగ్లియా
Abelmoschus esculentus,అబెల్మోస్చస్ ఎస్కులెంటస్
Aberration,అబెర్రేషన్
Abies,అబీస్
Abingdon tortoise,అబింగ్డన్ తాబేలు
Abiogenesis,అబియోజెనిసిస్
Abiotic,అబియోటిక్
Abiotic factor,అబియోటిక్ కారకం
Abnormal urine,అసాధారణ మూత్రం
ABO blood group,అబో బ్లడ్ గ్రూప్
Abscisic acid,అబ్సిసిక్ ఆమ్లం
Abscission,అబ్సిసిషన్
Absorb,గ్రహించండి
Absorption peak,శోషణ శిఖరం
Absorption,శోషణ
Acacia catechu,అకాసియా కాటెచు
Acaria arabica,అకారియా అరబికా
Acaprin,అకాప్రిన్
Acceptable sexual behaviour,ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన
Accessory gland,అనుబంధ గ్రంథి
Accessory gland,అనుబంధ గ్రంథి
Accessory organ,అనుబంధ అవయవం
Acclimatization,అలవాటు
Acclimatize,అలవాటు
Accommodation (focusing),వసతి
Accommodation of eye,కంటి వసతి
Accretionary growth,అక్రెషన్ పెరుగుదల
Accumulation,చేరడం
Accumulation of organic matter,సేంద్రీయ పదార్థాలు చేరడం
Accumulation of soil,నేల చేరడం
Acellular,ఎసిల్యులర్
Acellular organism,ఎసెల్యులర్ జీవి
Acetabulum,ఎసిటాబులం
Acetaldehyde,ఎసిటాల్డిహైడ్
Acetyl coenzyme,ఎసిటైల్ కోఎంజైమ్
Achatina,అచతినా
Achene type,అచెనే రకం
Achene,అచెన్
Achlamydosporeae,అచ్లామిడోస్పోరే
Acid rain,ఆమ్ల వర్షము
Acidic,ఆమ్ల
Acidic gas,ఆమ్ల వాయువు
Acidity,ఆమ్లత్వం
Acinar cell,అసినార్ సెల్
Acoelomate,Acoelomate
Aconitum,అకోనిటమ్
Acorn worm,ఎకార్న్ పురుగు
Acoustic zoning,ఎకౌస్టిక్ జోనింగ్
Acquired character,సంపాదించిన పాత్ర
Acquired immunity,రోగనిరోధక శక్తిని సంపాదించింది
Acquired immuno deficiency syndrome (AIDS),ఇమ్యునో లోపం (AIDS)
Acrania,అక్రినియా
Acridine dye,యాక్రిడిన్ డై
Acrocentric,అక్రోసెంట్రిక్
Acromion,అక్రోమియన్
Acropetal sequence,అక్రోపెటల్ సీక్వెన్స్
Acropetal order,అక్రోపెటల్ ఆర్డర్
Acrosin,అక్రోసిన్
Actin,ఆక్టిన్
Actin-like protein,ఆక్టిన్ లాంటి ప్రోటీన్
Actinomorphic,ఆక్టినోమోర్ఫిక్
Actinomycetes,ఆక్టినోమైసెట్స్
Action potential,చర్య సామర్థ్యం
Activated sludge,సక్రియం చేయబడిన బురద
Activated sludge floc,సక్రియం చేయబడిన బురద ఫ్లోక్
Activation energy,యాక్టివేషన్ ఎనర్జీ
Active absorption,క్రియాశీల శోషణ
Active immunity,క్రియాశీల రోగనిరోధక శక్తి
Active radiation,క్రియాశీల రేడియేషన్
Active site,క్రియాశీల సైట్
Activin,యాక్టివిన్
Acuminate,అక్యూమినేట్
Adamsia,ఆడమియా
Adaptability,అనుకూలత
Adaptation,అనుసరణ
Adaptation to light regime,కాంతి పాలనకు అనుసరణ
Adaptation to water scarcity,నీటి కొరతకు అనుసరణ
Adaptive characteristics,అనుకూల లక్షణాలు
Adaptive immunity,అనుకూల రోగనిరోధక శక్తి
Adaptive radiation,అడాప్టివ్ రేడియేషన్
Adaptive trait,అనుకూల లక్షణం
Adaxial surface,అడాక్సియల్ ఉపరితలం
Addictive disorder,వ్యసనపరుడైన రుగ్మత
