Punjabi,Malayalam
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,എ.സി തുല്യമായ സർക്യൂട്ട്
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
ਪੂਰਨ ਜ਼ੀਰੋ,കേവല പൂജ്യം
ਸਮਾਈ ਗੁਣਾਂਕ,ആഗിരണം ഗുണകം
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,ആഗിരണം സ്പെക്ട്രം
ਰੀਸੈਪਟਰ ਐਟਮ,റിസപ്റ്റർ ആറ്റം
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,ഇലക്ട്രോൺ വിളവെടുപ്പ്
ਮੋਰੀ ਸਟੋਰੇਜ਼,ദ്വാര സംഭരണം
ਸਰਗਰਮੀ ਊਰਜਾ,സജീവമാക്കൽ ഊർജ്ജം
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,സജീവ ആംപ്ലിഫയർ
ਸਰਗਰਮ diode ਸਰਕਟ,സജീവ ഡയോഡ് സർക്യൂട്ട്
ਸਰਗਰਮ ਫਿਲਟਰ,സജീവ ഫിൽട്ടർ
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
ਸਰਗਰਮ ਲੋਡ,സജീവ ലോഡ്
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
ਸਰਗਰਮ ਖੇਤਰ,സജീവമായ പ്രദേശം
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
ਜੋੜਨ ਵਾਲਾ,ചേർക്കുന്നയാൾ
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
ਪ੍ਰਵੇਸ਼,നുഴഞ്ഞുകയറ്റം
ਏਰੀਅਲ,ഏരിയൽ
pep ਬਾਰੰਬਾਰਤਾ,പെപ് ആവൃത്തി
ੲੇ. ਸੀ,എയർ കണ്ടീഷണർ
ਅਲਾਈਨਮੈਂਟ,വിന്യാസം
ਐਲਗੋਰਿਦਮ,അൽഗോരിതം
ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ,എല്ലാ പാസ് ഫിൽട്ടറും
ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ,അലോയ് ജംഗ്ഷൻ
ਧਿਆਨ,ശോഷണം
ਬਦਲਵੇਂ ਮੌਜੂਦਾ,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
ਅੰਬੀਨਟ ਤਾਪਮਾਨ,അന്തരീക്ഷ ഊഷ്മാവ്
ਬਾਈਪੋਲਰ,ബൈപോളാർ
ਵਾਧਾ,ആംപ്ലിഫിക്കേഷൻ
ਐਂਪਲੀਫਾਇਰ,ആംപ്ലിഫയർ
ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ,ആംപ്ലിഫയർ കാര്യക്ഷമത
ਮਾਪ,അളവുകൾ
ਐਪਲੀਟਿਊਡ attenuation,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,angstrom യൂണിറ്റ്
ਐਨਾਲਾਗ ਸਰਕਟ,അനലോഗ് സർക്യൂട്ട്
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,അനലോഗ് കമ്പ്യൂട്ടർ
ਐਨਾਲਾਗ ਫਿਲਟਰ,അനലോഗ് ഫിൽട്ടർ
ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ,അനലോഗ് മൾട്ടിമീറ്റർ
ਐਨਾਲਾਗ ਸਵਿੱਚ,അനലോഗ് സ്വിച്ച്
ਅਤੇ ਗੇਟ,ഒപ്പം ഗേറ്റും
ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ,കോണീയ ആവൃത്തി
"anion, anion","അയോൺ, അയോൺ"
ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ,അനീലിംഗ് താപനില
ਐਨੋਡ,ആനോഡ്
ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ,ആനോഡ് ആംപ്ലിഫയർ
anodyne,അനോഡൈൻ
ਐਂਟੀਨਾ,ആന്റിന
ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ,ആന്റിന ഘടകം
ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ,ആന്റിലോഗിൻ ആംപ്ലിഫയർ
antiresonant ਸਰਕਟ,antiresonant സർക്യൂട്ട്
ਦੁਆਰਕ ਕਾਲ,ദ്വാരക കാലഘട്ടം
ਵਰਚੁਅਲ ਪਾਵਰ,വെർച്വൽ പവർ
ਤਾਰ ਕੁਨੈਕਸ਼ਨ,വയർ കണക്ഷൻ
ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ,ഏകദേശ വോൾട്ടേജ് നേട്ടം
armstrong modulator,ആംസ്ട്രോങ് മോഡുലേറ്റർ
ਐਂਟੀਨਾ ਐਰੇ,ആന്റിന അറേ
"ਆਕਾਰ ਅਨੁਪਾਤ, ਆਕਾਰ ਅਨੁਪਾਤ","വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം"
ਫਲੋਟਿੰਗ ਸਰਕਟ (ਮੁਫ਼ਤ ਓਪਰੇਟਿੰਗ ਸਰਕਟ),ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്)
ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
ਫਲੋਟਿੰਗ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ
ਅਸਮਿਤ ਜੰਕਸ਼ਨ,അസമമായ ജംഗ്ഷൻ
ਅਸਿੰਕ੍ਰੋਨਸ ਕੈਲਕੁਲੇਟਰ,അസിൻക്രണസ് കാൽക്കുലേറ്റർ
ਪ੍ਰਮਾਣੂ,ആണവ
ਪਰਮਾਣੂ ਨੰਬਰ,ആറ്റോമിക നമ്പർ
ਪਰਮਾਣੂ ਬਣਤਰ,ആറ്റോമിക് ഘടന
ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ,ഓഡിയോ ആംപ്ലിഫയർ
ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ,ഓഡിയോ ആംപ്ലിഫയർ
ਆਡੀਓ ਕੈਸੇਟ,ഓഡിയോ കാസറ്റ്
ਆਡੀਓ ਸਰਕਟ,ഓഡിയോ സർക്യൂട്ട്
ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ,കേൾക്കാവുന്ന ആവൃത്തി
ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਕੰਟਰੋਲ,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം
ਬਰਫ਼ਬਾਰੀ,ഹിമപാതം
ਔਸਤ ਖੋਜੀ,ശരാശരി ഡിറ്റക്ടർ
ਧੁਰੀ ਮੋਡ,അക്ഷീയ മോഡ്
ਧੁਰੀ ਅਨੁਪਾਤ,അക്ഷീയ അനുപാതം
ਐਂਟੀਨਾ,ആന്റിന
ਵਾਪਸ ਇਲੈਕਟ੍ਰੋਮੋਟਿਵ ਫੋਰਸ,ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്
ਪਿਛਲਾ ਖੇਤਰ,പിൻ പ്രദേശം
ਵਾਪਸ ਸਕੈਟਰ,തിരികെ ചിതറിക്കിടക്കുക
ਪਿਛੋਕੜ ਚਾਰਜ,പശ്ചാത്തല ചാർജ്
ਪਾਸੇ ਦਾ ਰੌਲਾ,സൈഡ് ശബ്ദം
ਪਿਛਾਖੜੀ,പിന്നോക്കാവസ്ഥ
