Bengali,English
অ্যাম্পিয়ার (একক),A (Ampere unit of current)
অ্যাংস্ট্রাম,A (angstrom)
A-শ্রেণীর পরিবর্ধক,A amplifier
এএন রেডিও সহায়,A-N radio range
একটি-স্ক্যানিং উপস্থাপনা,A-scan presentation
a-দর্শ,A-scope
A-স্কোপ কর্মক্ষমতা,A-scope display
A-T বাঁকা স্ফটিক,A-T Cut crystal
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন",A.c-d.c. gain
am,A.M. (ante meridiem)
এএমইউ (পারমাণবিক ভর একক),A.m.u. (atomic mass unit)
আর্ড-ওয়ার্ক*,Aard-vark
ab-ampere,Ab ampere
A-B শ্রেণীর পরিবর্ধক,AB amplifier
adah,Ab initio
A-B শক্তি পিটক,AB power pack
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,Abac=alignment chart=nomograph
আবে নম্বর (আবে ধ্রুবক),Abbe number (=Abbe constant)
abe রিফ্র্যাক্টোমিটার,ABBE refractometer
অ্যাবে সাইন স্টেট,Abbe sine condition
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,Abc (automatic bias compensation)
abcoulom,Abcoulomb
"aberration, aberration",Aberration
বিকৃতি সংশোধনকারী লেন্স,Aberration corrector lens
আকাশ বিকৃতি,Aberration of light
আবফারদ,Abfarad
ইবেনরি,Abhenry
আবলুস প্রভাব,Abney effect (=Abney law)
অস্বাভাবিক মেরুকরণ,Abnormal polarisation
অস্বাভাবিক সংক্রমণ,Abnormal propagation
অলৌকিক প্রতিফলন,Abnormal reflection
অস্বাভাবিক প্রতিসরণ*,Abnormal refraction
অস্বাভাবিক প্রতিরোধ,Abnormal resistance
ab-om,Abohm
"preponderance, ব্যর্থতা",Abortion
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত",Abrupt
প্রায়ই লাফ দেয়,Abrupt jump
হাত*,Abscissa
হারিয়ে যাওয়া প্রতিফলন,Absent reflection
অনুপস্থিত বর্ণালী,Absent spectrum
"পরম, পরম, ধ্রুবক, নিখুঁত",Absolute
পরম ত্বরণ,Absolute acceleration
পরম বাস্তবতা,Absolute accuracy
পরম ঠিকানা,Absolute address-specific address
ভূ-আপেক্ষিক উচ্চতা মিটার,Absolute altimeter
ভূতাত্ত্বিক উচ্চতা,Absolute altitude
পরম অ্যাম্পিয়ার,Absolute ampere
পরম ফুটন্ত বিন্দু,Absolute boilling point
পরম আলোকসজ্জা,Absolute bolometric luminosity
পরম ক্ষমতা,Absolute capacity
পরম উচ্চতা,Absolute ceiling
পরম রঙ্গক,Absolute colour index
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন",Absolute configuration
পরম কুলম্ব,Absolute coulomb
সম্পূর্ণ অন্ধকার,Absolute darkness
পরম সময়সূচী,Absolute dating
পরম ঘনত্ব*,Absolute density
পরম নিষ্কাশন,Absolute drift
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),Absolute e.m.u.
পরম ESU (স্থির শক্তি ইউনিট),Absolute e.s.u.
পরম দক্ষতা,Absolute efficiency
পরম ইলেক্ট্রোমিটার,Absolute electrometer
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,Absolute frequency
পরম আর্দ্রতা,Absolute humidity
পরম ঘটনা,Absolute incidence
পরম প্রতিসরাঙ্ক সূচক,Absolute index of refraction
পরম অস্থিরতা,Absolute instability
পরম অস্থিরতা,Absolute intensity
"পরম তীব্রতা, পরম তীব্রতা",Absolute length
অ্যাথেনিয়ার পরম সীমা,Absolute limit of hysteresis
পরম আলোকসজ্জা সিল,Absolute luminance threshold
পরম হালকা বক্ররেখা,Absolute luminosity curve
পরম মাত্রা,Absolute magnitude
পরম ব্যারোমিটার,Absolute manometer
সর্বোচ্চ সর্বোচ্চ,Absolute maximum
পরম চরম,Absolute maximum rating
পরম সর্বনিম্ন,Absolute minimum
পরম গতিবেগ,Absolute momentum
পরম গতি,Absolute motion
