ab initio,"आरंभत, प्रारंभापासून"
abatement,"कमी करणे, मंदी"
abbreviation,"संक्षेप, संक्षेपाक्षर"
abduction,अपह्‌रण
abeyance,"आस्थागत, तहकुबी"
ability,"समर्थता, योग्यता"
able,समर्थ
abnormal,"असामान्य, प्रमाणाबाहेर"
abolition,"निरास, समाप्‍त करणे, नाश"
abolitionof post,पद समाप्ती
above mentioned,"उपरोल्लिखित, वर उल्लेखिलेले, उपरोक्त"
above quoted,"उपरोद्धृत, वर उद्धृत केलेला"
above said,"उपरोक्‍त, उपर्युक्‍त"
absence,"अभाव, अनुपस्थिती, गैरहजर"
absentee,"अनुपस्थित व्यक्‍ति, गैरहजर व्यक्‍ति"
absentee statement,अनुपस्थिती विवरण-पत्र
absenteeism,अनुपस्थिती प्रवृत्ती
absolute,"आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय"
absolute monopoly,"पूर्ण एकाधिकार, पूर्ण मक्तेदारी"
absolute ownership,"पूर्ण स्वामित्व, संपूर्ण अधिकार"
absorption,"शोषण, समावेशन"
abstract,"संक्षेप, गोशवारा, सारांश"
abstractstatement,"संक्षिप्‍त विवरणपत्र, संक्षीप्‍त निवेदन"
absurd,"असंगत, असमंजस, अयोग्य, हास्यास्पद"
abundance,"विपूलता, पुष्कळ"
abuse of power,सत्तेचा दुरुपयोग
abusive language,"अपशब्द, अपमानास्पद भाषा, शिवीगाळ"
academic,"विद्याविषयक, शैक्षणिक, तात्विक"
academic discussion,1. तात्विक चर्चा 2. शैक्षणिक चर्चा
academic leave,"शैक्षणिक रजा, शैक्षणिक सुट्‌टी"
academic qualification,"विद्याविषयक अर्हता, शैक्षणिक अर्हता"
academic record,"विद्याविषयक नोंद, शैक्षणिक लेख"
accede,1. पदावर येणे 2. प्रविष्‍ट होणे 3. होकार देणे
accept,स्वीकारणे
acceptance,"स्वीकृति, स्वीकार"
acceptance of office,कार्यालय स्वीकृती
acceptance of tender,निविदा स्वीकृती
access,"शिरकाव, पोच, प्रवेश"
accession,"अनुवृद्धि, राज्यारोहण, अधिकारप्राप्‍ति"
accessory,"उपसाधक, सहायक"
accident,"अपघात, दुर्घटना"
acclimatization,"वातावरणात रुळवणे, वातावरणात रुळणे"
accommodation,"स्थान, जागा, निवास"
accompanist,साथीदार
accord,"ऐकमत्य, जमने, जुळणे"
accordance,"ऐकमत, संवाद, मेळ, एकरूपता"
accordingly,"तदन्वये, तसाच, तदनुसार, परिणामत:"
account,"जमाखर्च, लेखा"
account for,"स्पष्‍टीकरण देणे, खुलासा करणे"
account head,लेखा शीर्ष
accountability,जवाबदारी
accountable,जवाबदार
accountancy,"लेखाशास्त्र, लेखा विधी"
accountant,1. लेखापाल 2. हिशोबनीस
accrued benefit,उपार्जित लाभ
accrued pension,उपार्जित निवृत्तीवेतन
accumulation,"संचय, संचयन, साचणे"
accuracy,अचूकपणा
accurate,"अचूक, तंतोतंत, बरोबर"
accuse,"आरोप ठेवणे, दोषारोप करणे"
accused,"आरोप असलेला, आरोपी"
achievement,"संपादणूक, कामगिरी, उपलब्धि"
acknowledgement,"अभिस्वीकृती, कबुली, पोच"
acknowledgement due,पोच देय
acquaintance,"परिचय, परिचित"
acquisition,"संपादन, अधिग्रहण"
acquittance,"ऋणमुक्‍ति, भरपाई"
act,"कृती, क्रिया, कार्य, अधिनियम"
act of God,"दैवी आपत्ति, दैवकृत्य"
act of misconduct,गैरवर्तणुकीचे कृत्य
acting allowance,हंगामी सेवा भत्ता
action,"कार्य, कृती, कृत्य, क्रिया, कार्यवाही, कारवाई"
action plan,कार्ययोजना
active,"सक्रिय, प्रत्यक्ष, क्रियाशील, उद्योगी"
actively,सक्रिय
activist,"सक्रियता वादी, कर्मठ कार्यकर्ता"
acts of commission and omission,"कृताकृत, चुकभूल"
actual,"प्रत्यक्ष, वास्तविक"
actuals,"प्रत्यक्ष रकमा, वास्तविक आकडे"
ad hoc,"तदर्थ, वाढ"
ad hoc claim,तदर्थ दावा
ad hoc committee,तदर्थ समिती
ad hoc increase,तदर्थ वाढ़
ad hoc payment,"तदर्थ भुगतान, तदर्थ रोकड"
ad valorem duty,मूल्यानुसार कर
adaptation,"जुळणी, अनुकुलन"
addition,"भर, बेरीज"
addition and alteration,"भर व फेरफार, वृध्दि व बदल"
additional charge,अतिरिक्‍त कार्यभार
additional fund,अतिरिक्‍त निधी
additional grant,अतिरिक्‍त अनुदान
additional information,अतिरिक्‍त सूचना
additional pay,अतिरिक्‍त वेतन
address,"पत्ता, विनंतीपत्र, अभिभाषण, संबोधन"
address of welcome,स्वागतपर भाषण
addressee,प्रेषिती
adequate,"पर्याप्‍त, पुरेसा, समुचित, योग्य"
adhere to,"बिलगणे, चिकटणे"
adjacent,लगतचा
adjoining (=contiguous),लागुन असलेला
adjournment,"1. स्थगनकाल, स्थगन 2. तहकुबीकरण"
adjournment motion,"स्थगन प्रस्ताव, तहकुबीचा प्रस्ताव"
adjudge,"न्यायनिर्णीत करणे, निर्णय देणे"
adjudicate,अभिनिर्णय करणे
adjudication,अभिनिर्णये
adjudicator,अभिनिर्णेता
adjustment,"समायोजन, अनुयोजन"
administer,"प्रशासन करणे, प्रबंध करणे, कारभार पाहणे"
administer oath,शपथ देणे
administration,"प्रशासन, प्रबंध, कारभार, व्यवस्था, अंमलबजावणी"
administration of justice,"न्यायदान, न्यायप्रशासन"
administrative,"प्रशासनिक, प्रशासकीय"
administrative action,प्रशासनिक कार्यवाही
administrative appraisal,प्रशासनिक मूल्यांकन
administrative approval,प्रशासनिक मान्यता
administrative authority,प्रशासनिक प्राधिकारी
administrative control,प्रशासनिक नियंत्रण
administrative decision,प्रशासनिक निर्णय
administrative department,प्रशासनिक विभाग
administrative head,प्रशासनिक मुख्य
administrative headquarters,प्रशासनिक मुख्यालय
administrative measures,प्रशासनिक उपाय
administrative power,"प्रशासकीय शक्‍ती, प्रशासकीय बळ"
administrative sanction,प्रशासकीय मंजुरी
administrative technique,"प्रशासकीय प्रक्रिया, प्रशासकीय तंत्र"
administrative tribunal,"प्रशासकीय कोर्ट, प्रशासनिक प्राधिकरण"
admissibility,"1. अनुज्ञेयता 2. ग्राह्‌यता, स्वीकार्यता"
admissible expenditure,"स्वीकार्य व्यय, अधिग्रहित खर्च"
admit,"प्रवेश देणे, दाखल करुन घेणे, कबूल करणे, स्वीकार करणे"
admit card,प्रवेशपत्र
admitted,"अनुज्ञान, स्वीकृत, कबूल केलेला, प्रवेशित"
admonish,"कानउघाडणी करणे, समज देणे, ताकीद देणे"
adoptee,दत्तक
adoption,"दत्तकग्रहण, दत्तविधान, स्वीकृती, अंगीकार"
adoptor,"दत्तकगृहीता, दत्तक घेणारा"
adult,"प्रौढ, वयस्क"
adult franchise,प्रौढ मताधिकार
adulteration,"अपमिश्रण करणे, भेसळ करणे"
adultery,"जारकर्म, व्यभिचार"
advance,"आगाऊ, अग्रिम"
advance booking,आगाऊ नोंदणी
advance copy,आगाऊ प्रत
advance payment,1. अग्रिम वेतन 2. आगाऊ भरणा
advanced increment,आगाऊ वेतनवाढ
adverse entry,प्रतिकूल नोंद
adverse remarks,प्रतिकूल शेरा
adverse report,प्रतिकूल अहवाल
advertisement,जाहिरात
advice,"सल्ला, उपदेश, सूचना"
advice of payment,"प्रदान सूचना, भरणाकरण्याचीसूचना"
advisory committee,सल्लागार समिती
advisory council,सल्लागार परिषद
advocate,"समर्थन करणे, पक्षसमर्थक, वकील"
affairs,"कारभार, व्यवहार, घडामोडी"
affidavit,शपथपत्र
affiliation,1. संलग्नीकरण 2. पितृनिश्‍चय 3. जोडण्याचे कार्य
affirmation,"प्रतिज्ञाकरण, दृढीकरण, होकार"
affirmative,"होकारार्थी, अस्तिवाची, दृढकारी, निर्णायक"
afford,"परवडणे, मिळवून देणे"
aforesaid,"पूर्वी सांगितलेला, पूर्वोक्‍‌त"
afresh,नव्याने
against,"प्रतिकूल, विरुद्ध, नावे, समोर"
age,"वय, युग"
age certificate,"वयाचा दाखला, आयु प्रमाणपत्र"
age for suffrage,मताधिकार योग्य वय
age limit,"आयुसिमा, वयोमर्यादा"
age of retirement,सेवानिवृत्ती वय
age of superannuation,नियत सेवावधि
agency,"अभिकरण, एजन्सी"
agenda,कार्यसूची
aggregation,"एकूण समूह, समुच्चय"
aggrieved,"पीडित, व्यथित"
agitation,"अंदोलन, क्षोभ"
AGM (annual general meeting),वार्षिक साधारण सभा
agreement,"संमति, एक-वाक्यता, मेळ, करार"
agreement form,"करार प्रपत्र, करारनामा"
agriculture,"कृषि, शेती"
agro-industry,"कृषि उद्योग, कृषि व्यवसाय"
aid,"साह्‌य, मदत"
alarm,"भयसूचना, धोक्याचा इशारा, गजर"
alertness,"दक्षता, सावधपणा"
alias,"ऊर्फ, उपनाम"
all inclusive cost,"सर्वसमावेशक राशी, एकुण किंमत"
All India Services,अखिल भारतीय सेवा
all rights reserved,"सर्वाधिकार, सुरक्षित"
allegation,"अभिकथन, आळ, आरोप"
allegiance,"निष्‍ठा, राजनिष्‍ठा"
alliance,"1. सख्यसंबंध 2. तह, तडजोडिचा करार, युति"
allied services,"संलग्न सेवा, संबंधित सुविधा"
allocation,"वाटप, वाटणी, विभागणी"
allotment,"नियत रक्कम, नियत वाटप, भागवाटप, विभागणी, वाटणी, आबंटण"
allotment letter,वाटणीपत्रक. आंबटण पत्र
allottee,"आंवटिती, लाभार्थी"
allow an appeal,दाखल करुन घेणे
allowable,"अनुमतियोग्य, अनुज्ञेय"
allowable expenses,"अनुमतियोग्य व्यय, अनुज्ञेय खर्च"
allowance,"सवलत, सूट, मुभा, भत्ता"
alphabetic order,"वर्णानुक्रम, अकारादिक्रम"
altercation,बाचाबाची
alternate,"एक सोडून एक, एकांतरित"
alternative,"विकल्प, पर्याय, वैकल्पिक"
amalgamation,एकत्रीकरण
amended draft,"सुधारलेला मसुदा, संशोधित प्रारूप"
amendment,"दुरुस्ती, सुधारणा, संशोधन"
amenity,सुखसोयी
amicable,"सलोख्याचा, सौहार्दपूर्ण, मैत्रीपूर्ण"
ammunition,दारुगोळा
amortization of debt,"कर्जफेडीची तरतूद, ऋणमुक्‍ति"
amount,"रक्कम, मात्रा, राशी"
amount of pension,सेवानिवृत्ती रक्कम
analogous post,"अनुरूप पद, समान पद"
analysis,"पृथक्करण, विश्‍लेषण"
analytical study,"विश्‍लेषणात्मक अध्ययन, परीक्षणात्मक अभ्यास"
ancestor,पूर्वज
ancillary industry,सहाय्यभूत उद्योग
animosity,वैरभाव
annexure,जोडपत्र
anniversary,"प्रतिवार्षिक, वर्धापन दिन, पुण्यतिथि, जयंति"
announcement,घोषणा
annoyance,"त्रास, चि़ड"
annual financial statement,वार्षिक वित्तीय विवरणपत्र
annual report,वार्षिक अहवाल
annuity,"वर्षासन, वार्षिक नेमणूक"
anonymous,निनावी
anonymous complaint,निनावी तक्रार
answer sheet,उत्तरपत्रक
answerability,उत्तरक्षमता
antagonist,"विरोधभाव, विरोधी"
antecedents,"पूर्वचरित्र, पूर्ववृतान्त"
anti-corruption measure,भ्रष्‍टाचार निरोधक उपाय
anti-dumping,"पाटन-निरोधी, प्रतिपाटन"
anticipated expenditure,"प्रत्याशित खर्च, अपेक्षित खर्च"
anticipated income,अपेक्षित उपन्न
anticipation,"प्रत्याशा, अपेक्षा"
anticipatory bail,अटकपूर्व जामिन
antique,"पुरातन, जुन्यातऱ्हेचा"
apartheid,"वर्णविद्वेष, रंगभेद, वर्णसंकर"
apathy,उदासिनता
apex body,शीर्ष
apology,क्षमायाचना
appeal,"आवाहन करणे, प्रार्थना विनंती"
appearance,"उपस्थिती, हजेरी"
appeasement,"शमन, तुष्‍टीकरण"
appellate tribunal,अपील न्यायाधिकरण
appendix,परिशिष्‍ट
appliance,उपयंत्र
applicable,"लागू, प्रयोज्य"
applicant,"आवेदक, अर्जदार"
application,"आवेदनपत्र, अर्ज, विनंतीपत्र"
application form,"आवेदनपत्राचा नमुना, अर्ज"
applied,1. आवेदित 2. व्यावहारिक
apply,"अर्ज करणे, आवेदनपत्र देणे, लागू करणे, होणे"
appointee,नियुक्‍त
appointing authority,नियुक्‍ति प्राधिकारी
appointment,"नियुक्‍ति, नेमणूक"
appointment letter,"नियक्‍तिपत्र, नेमणूक पत्र"
Appointments Committee of the Cabinet,मंत्रिमंडळीय नेमणूक समिती
apportionment of wages,मजुरीचे विभाजन
appraisal,मूल्यांकन
appraiser,"मूल्यनिर्णेता, मूल्यमापण करणारा"
appreciation,गुणगौरव
apprehension,"धास्ती (स्त्री), ज्ञान, भीति, आकलन, बोध"
apprentice,शिकाऊ उमेदवार
approach,"जवळ येणे, पोचणे, दृष्‍टिकोन, प्रवेश मार्ग"
appropriate,"उचित, विनियोग करणे"
appropriate action,उचित कार्यवाही
appropriate head,उचित शिर्षक
appropriation,विनियोग
approval,मान्यता
approximate,"अदमासे, जवळपास"
aptitude test,क्षमताचाचणी
arbitrary,"स्वच्छंद, स्वेच्छानुसारी"
arbitrate,"मध्यस्थी करणे, लवादी करणे"
arbitration,"लवाद, लवादी, मध्यस्थाचे कार्य"
arbitration tribunal,लवादी न्यायालय
arbitrator,"लवाद, मध्यस्थ"
architecture,"वास्तुशास्त्र, वास्तुशिल्प"
archives,"पुराभिलेख, अभिलेखागार"
area,"क्षेत्रफळ, क्षेत्र"
