Telugu,Tamil
అబార్ట్,கருக்கலைப்பு
అబార్ట్ టైమర్,டைமரை நிறுத்துங்கள்
సంపూర్ణ చిరునామా,முழுமையான முகவரி
సంపూర్ణ చిరునామా,முழுமையான முகவரி
సంపూర్ణ సమీకరించేవాడు,முழுமையான அசெம்பிளர்
సంపూర్ణ కోడ్,முழுமையான குறியீடு
సంపూర్ణ కోడింగ్,முழுமையான குறியீட்டு முறை
సంపూర్ణ ఆదేశం,முழுமையான கட்டளை
సంపూర్ణ కోఆర్డినేట్,முழுமையான ஒருங்கிணைப்பு
సంపూర్ణ డేటా,முழுமையான தரவு
సంపూర్ణ లోపం,முழுமையான பிழை
సంపూర్ణ వ్యక్తీకరణ,முழுமையான வெளிப்பாடு
సంపూర్ణ సూచన,முழுமையான அறிவுறுத்தல்
సంపూర్ణ లోడర్,முழுமையான ஏற்றி
సంపూర్ణ క్రమం,முழுமையான வரிசை
సంపూర్ణ ప్రోగ్రామింగ్,முழுமையான நிரலாக்க
సంపూర్ణ పదం,முழுமையான சொல்
సంపూర్ణ విలువ,துல்லியமான மதிப்பு
సంపూర్ణ వెక్టర్,முழுமையான திசையன்
నైరూప్య,சுருக்கம்
సంగ్రహించడం,சுருக்கம்
నైరూప్య చిహ్నం,சுருக்க சின்னம்
త్వరణం కాలం,முடுக்கம் காலம்
త్వరణం సమయం,முடுக்கம் நேரம்
యాస,உச்சரிப்பு
అంగీకార పరీక్ష,ஏற்பு சோதனை
యాక్సెస్,அணுகல்
యాక్సెస్ ఆర్మ్,அணுகல் கை
యాక్సెస్ అమరిక,அணுகல் ஏற்பாடு
యాక్సెస్ అథారిటీ,அணுகல் அதிகாரம்
యాక్సెస్ ఛార్జ్,அணுகல் கட்டணம்
యాక్సెస్ క్లాస్,அணுகல் வகுப்பு
డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
యాక్సెస్ ఎన్విరాన్మెంట్,அணுகல் சூழல்
యాక్సెస్ గ్యాప్,அணுகல் இடைவெளி
ప్రాప్యత సూచిక,அணுகல் அட்டவணை
యాక్సెస్ లైన్,அணுகல் வரி
యాక్సెస్ మెకానిజం,அணுகல் பொறிமுறை
యాక్సెస్ పద్ధతి,அணுகல் முறை
యాక్సెస్ పద్ధతి దినచర్య,அணுகல் முறை வழக்கமான
యాక్సెస్ మోడ్,அணுகல் பயன்முறை
హక్కును యాక్సెస్ చేయండి,அணுகல் உரிமை
యాక్సెస్ స్కాన్,அணுகல் ஸ்கேன்
ప్రాప్యత సమయం,அணுகல் நேரம்
అకౌంటింగ్,கணக்கியல்
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,கணக்கியல் நிதி அமைப்பு
అకౌంటింగ్ మెషిన్,கணக்கியல் இயந்திரம்
ఖాతా సంఖ్య,கணக்கு எண்
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,திரட்டுதல் இனப்பெருக்கம்
సంచితం,குவிப்பான்
సంచిత రిజిస్టర్,குவிப்பான் பதிவு
సంచిత షిఫ్ట్ సూచన,திரட்டல் ஷிப்ட் வழிமுறை
ఖచ్చితత్వం,துல்லியம்
ఖచ్చితత్వ నియంత్రణ పాత్ర,துல்லியம் கட்டுப்பாட்டு தன்மை
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,துல்லியம் கட்டுப்பாட்டு அமைப்பு
ఏస్ పైలట్,ஏஸ் பைலட்
పాత్రను గుర్తించండి,தன்மையை ஒப்புக் கொள்ளுங்கள்
ఎకౌస్టిక్ కప్లర్,ஒலி கப்ளர்
శబ్ద కలపడం,ஒலி இணைப்பு
శబ్ద ఆలస్యం రేఖ,ஒலி தாமத வரி
శబ్ద జ్ఞాపకశక్తి,ஒலி நினைவகம்
ఎకౌస్టిక్ మోడెమ్,ஒலி மோடம்
శబ్ద సిగ్నల్,ஒலி சமிக்ஞை
శబ్ద నిల్వ,ஒலி சேமிப்பு
ఎక్రోనిం,சுருக்கம்
చర్య,செயல்
చర్య చక్రం,செயல் சுழற்சி
యాక్షన్ లైన్,செயல் வரி
చర్య సందేశం,செயல் செய்தி
చర్య స్పెసిఫికేషన్,செயல் விவரக்குறிப்பு
క్రియాశీలత,செயல்படுத்தல்
క్రియాశీల,செயலில்
యాక్టివ్ ఫైల్,செயலில் உள்ள கோப்பு
యాక్టివ్ లైన్,செயலில் வரி
క్రియాశీల లింక్,செயலில் இணைப்பு
యాక్టివ్ మాస్టర్ ఫైల్,செயலில் உள்ள முதன்மை கோப்பு
