Bengali,Punjabi
অ্যাসিডয়েড,ਐਸਿਡੌਇਡ
বায়বীয় মাটি,ਏਓਲੀਅਨ ਮਿੱਟੀ
সমষ্টি,ਕੁੱਲ
সমষ্টি,ਐਗਰੀਗੇਸ਼ਨ
কৃষিবিদ্যা,ਖੇਤੀ ਵਿਗਿਆਨ
কৃষিবিদ্যা,ਖੇਤੀ ਵਿਗਿਆਨ
A- দিগন্ত,ਏ-ਹੋਰੀਜ਼ਨ
আও-দিগন্ত,ਆਉ-ਦਿਮਾਗ
আও-দিগন্ত,ਆਉ—ਅੰਦਾਜ਼
মাটির বায়ু ক্ষমতা,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
মাটির বায়ু উপাদান,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
এয়ার পিকনোমিটার,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
অ্যালিটিক মাটি,ਐਲੀਟਿਕ ਮਿੱਟੀ
পলিমাটি,ਐਲਵੀਅਲ ਮਿੱਟੀ
অ্যামফোলাইটয়েড,ਐਮਫੋਲੀਟੋਇਡ
অ্যানিয়ন,ਐਨੀਅਨ
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
আরিস,ਅਰਿਸ
আশলার সূক্ষ্ম গাঁথনি,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
আশলার রাজমিস্ত্রি,ਐਸ਼ਲਰ ਚਿਣਾਈ
অ্যাজোনাল মাটি,ਅਜੋਨਲ ਮਿੱਟੀ
পেছনের অভিনেতা,ਪਿਛਲਾ ਅਦਾਕਾਰ
পিছনের খিলান,ਪਿਛਲਾ arch
ব্যাক ব্যান্ড,ਬੈਕ ਬੈਂਡ
পিছনের ব্রাশ,ਪਿੱਛੇ ਬੁਰਸ਼
ফিরে চেক,ਵਾਪਸ ਜਾਂਚ
পিছনে কাউন্টার,ਪਿੱਛੇ ਕਾਊਂਟਰ
পিছনে কাটা,ਵਾਪਸ ਕੱਟਣਾ
ব্যাক ড্রাফ্ট ড্যাম্পার,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
পিছনের ড্রেন,ਬੈਕ ਡਰੇਨ
ব্যাকড্রপ,ਬੈਕ ਡਰਾਪ
ব্যাক ফিল,ਵਾਪਸ ਭਰੋ
ব্যাক ফিললেট,ਬੈਕ ਫਿਲਲੇਟ
পিছনে ফ্ল্যাপ কবজা,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
পিছনে প্রবাহ সংযোগ,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
পিছনে প্রবাহ প্রতিরোধক,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
ব্যাক গেজ,ਬੈਕ ਗੇਜ
পিছনে নর্দমা,ਪਿਛਲਾ ਗਟਰ
পিছনের চুলা,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
ব্যাকিং,ਬੈਕਿੰਗ
ব্যাকিং বোর্ড,ਬੈਕਿੰਗ ਬੋਰਡ
ফিরতি চাপ,ਪਿੱਠ ਦਾ ਦਬਾਅ
পিছনে প্রপ,ਬੈਕ ਪ੍ਰੋਪ
পিছনের দৃষ্টি,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
পিঠের জল,ਵਾਪਸ ਪਾਣੀ
বিভ্রান্ত,ਘਬਰਾਹਟ
ব্যাগওয়ার্ক,ਬੈਗਵਰਕ
ব্যালাস্ট,ਬੈਲਸਟ
বল কাদামাটি,ਬਾਲ ਮਿੱਟੀ
বল শঙ্কু বাতা,ਬਾਲ ਕੋਨ ਕਲੈਂਪ
কাঁটাতার,ਕੰਡਿਆਲੀ ਤਾਰ
বার কুকুর,ਬਾਰ ਕੁੱਤਾ
বার্জ বোর্ড,ਬਾਰਜ ਬੋਰਡ
বেরিয়াম সালফেট পরীক্ষা,ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ
ব্যারেজ,ਬੈਰਾਜ
ব্যারেট,ਬੈਰੇਟ
বেস,ਅਧਾਰ
বেস বিনিময়,ਬੇਸ ਐਕਸਚੇਂਜ
বেস লাইন,ਬੇਸ ਲਾਈਨ
বেসমেন্ট,ਬੇਸਮੈਂਟ
বেসমেন্ট প্রাচীর,ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ
বেস প্লেট,ਬੇਸ ਪਲੇਟ
"বেস প্লেট, নিয়মিত","ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ"
বেস স্যাচুরেশন,ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ
বেসয়েড,ਬੇਸੌਇਡ
ব্যাট,ਬੱਲਾ
স্নান এবং WC,ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ
ব্যাটার পেগ,ਬੈਟਰ ਪੈਗ
ব্যাটার পিয়ার,ਬੈਟਰ ਪੀਅਰ
ব্যাটারের নিয়ম,ਬੈਟਰ ਨਿਯਮ
বাল্ক (বাল্ক),ਬਾਲਕ (ਬਾਲਕ)
বে,ਬੇ
বহনকারী,ਧਾਰਕ
ভারবহন ক্ষমতা,ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ
ভারবহন গাদা,ਬੇਅਰਿੰਗ ਪਾਇਲ
ভারবহন স্তর,ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ
বিছানা,ਬਿਸਤਰਾ
বেডিং প্লেন,ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼
বেড জয়েন্ট,ਬਿਸਤਰਾ ਜੋੜ
বিছানা শিলা,ਬੈੱਡ ਰੌਕ
শয়নকক্ষ,ਬੈੱਡ ਰੂਮ
মোম,ਮੋਮ
বেল বক্স,ਘੰਟੀ ਬਾਕਸ
বেলিং বালতি,ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ
বেলোফ্রাম,ਬੇਲੋਫ੍ਰਾਮ
বেঞ্চড ফাউন্ডেশন,ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ
বেঞ্চিং,ਬੈਂਚਿੰਗ
মাপকাঠি,ਬੇਂਚਮਾਰਕ
বেনিফিট খরচ বিশ্লেষণ,ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
বারম,ਬਰਮ
বেভেলড ক্লোজার,Bevelled ਬੰਦ
"বি-দিগন্ত,&quot;বি-","ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-"
বিয়াট,ਬਾਇਟ
বাইন্ডার,ਬਿੰਦਰ
বাঁধাই উপাদান,ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ
বায়োটের তত্ত্ব,ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ
বিটুমেন,ਬਿਟੂਮਨ
কালো তুলার মাটি,ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ
কালো পৃথিবী,ਕਾਲੀ ਧਰਤੀ
কালো টার্ফ মাটি,ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ
ব্লেড,ਬਲੇਡ
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ
অবরুদ্ধ কাঠামো,ਬਲਾਕੀ ਬਣਤਰ
বগি প্রতিরোধ,ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ
বগ-লোহা আকরিক,ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ
বন্ধন,ਬਾਂਡ
বন্ডেড সদস্য,ਬੰਧੂਆ ਮੈਂਬਰ
বন্ধন পোস্ট উত্তেজনা,ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ
বন্ড পাথর,ਬੰਧਨ ਪੱਥਰ
আবদ্ধ জল,ਬੰਨ੍ਹ ਪਾਣੀ
বক্স নর্দমা,ਬਾਕਸ ਗਟਰ
বন্ধনী,ਬ੍ਰੇਸ
ইট-অন-এজ,ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ
লাগাম,ਲਗਾਮ
উজ্জ্বলতা,ਚਮਕ
বাদামী মাটি,ਭੂਰੀ ਮਿੱਟੀ
বিল্ডিং,ਬਿਲਡਿੰਗ
বিল্ডিং সার্ভেয়ার,ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ
বাফার,ਬਫਰ
বাফার বক্ররেখা,ਬਫਰ ਕਰਵ
বাফারিং,ਬਫਰਿੰਗ
বাফার ক্ষমতা,ਬਫਰਿੰਗ ਸਮਰੱਥਾ
বান্দর,ਬੰਦਰ
বাট্রেস,ਬਟਰਸ
সি-দিগন্ত,ਸੀ-ਹੋਰੀਜ਼ਨ
তারের,ਕੇਬਲ
তারের ছাঁচনির্মাণ,ਕੇਬਲ ਮੋਲਡਿੰਗ
ক্যাবলিং,ਕੇਬਲਿੰਗ
কেবিন,ਕੈਬਿਨ
কেবিন হুক,ਕੈਬਿਨ ਹੁੱਕ
মন্ত্রিসভা,ਕੈਬਨਿਟ
ক্যাবল্টের পদত্যাগ,ਕੈਬੋਲਟ ਨੇ ਛੱਡ ਦਿੱਤਾ
ক্যাফেটারিয়া,ਕੈਫੇਟੇਰੀਆ
খাঁচা,ਪਿੰਜਰਾ
খাঁচা নির্মাণ,ਪਿੰਜਰੇ ਦੀ ਉਸਾਰੀ
কেইনের সূত্র,ਕੈਨ ਦਾ ਫਾਰਮੂਲਾ
কাইসন,ਕੈਸਨ
ক্যাসন রোগ,ਕੈਸਨ ਦੀ ਬਿਮਾਰੀ
ক্যাসন ফাউন্ডেশন,ਕੈਸਨ ਫਾਊਂਡੇਸ਼ਨ
Caisson pile,ਕੈਸਨ ਢੇਰ
চুনযুক্ত ইট,ਕੈਲੇਰੀਅਸ ਇੱਟ
চুনযুক্ত কাদামাটি,ਚੂਨੇ ਵਾਲੀ ਮਿੱਟੀ
চুনযুক্ত ভূত্বক,ਛਾਲੇਦਾਰ ਛਾਲੇ
ক্যালসিফিকেশন,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
ক্যালসিনেশন,ਕੈਲਸੀਨੇਸ਼ਨ
ক্যালসিন,ਕੈਲਸੀਨ
ক্যালসাইট,ਕੈਲਸਾਈਟ
ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট,ਕੈਲਸ਼ੀਅਮ-ਐਲੂਮੀਨੇਟ ਸੀਮਿੰਟ
ক্যালসিয়াম-সিলিকেট ইট,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਇੱਟ
ক্যালসিয়াম-সিলিকেট হাইড্রেট,ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਹਾਈਡਰੇਟ
ক্যালিছে,ਕੈਲੀਚੇ
ক্যালিফোর্নিয়া ভারবহন অনুপাত,ਕੈਲੀਫੋਰਨੀਆ ਬੇਅਰਿੰਗ ਅਨੁਪਾਤ
ক্যালিপার,ਕੈਲੀਪਰ
ক্যালোরিমিটার,ਕੈਲੋਰੀਮੀਟਰ
ক্যাম্বার,ਕੈਮਬਰ
খাল,ਨਹਿਰ
ক্যানোপি,ਕੈਨੋਪੀ
ক্যান্টিলিভার ফুটিং,Cantilever ਪੈਰ
ক্যাপ,ਕੈਪ
ক্ষমতা,ਸਮਰੱਥਾ
আইল ট্র্যাকের ক্ষমতা,ਏਲ ਟ੍ਰੈਕ ਦੀ ਸਮਰੱਥਾ
ক্যাপ তারের,ਕੈਪ ਕੇਬਲ
কৈশিকতা,ਕੈਪੀਲੇਰਿਟੀ
কৈশিক বিরতি,ਕੇਸ਼ਿਕਾ ਬਰੇਕ
কৈশিক প্রবাহ,ਕੇਸ਼ੀਲ ਪ੍ਰਵਾਹ
কৈশিক আর্দ্রতা বা কৈশিক জল,ਕੇਸ਼ਿਕਾ ਨਮੀ ਜਾਂ ਕੇਸ਼ੀਲ ਪਾਣੀ
কৈশিক ছিদ্র স্থান,ਕੇਸ਼ਿਕਾ ਪੋਰ ਸਪੇਸ
কৈশিক ছিদ্র,ਕੇਸ਼ਿਕਾ ਪੋਰੋਸਿਟੀ
কৈশিক স্থান,ਕੇਸ਼ੀਲ ਸਪੇਸ
ক্যাপচার বেগ,ਵੇਗ ਕੈਪਚਰ ਕਰੋ
কার্বনেশন,ਕਾਰਬਨੇਸ਼ਨ
কার্বন কালো,ਕਾਰਬਨ ਕਾਲਾ
কাস্টবল অবাধ্য,ਕਾਸਟਬਲ ਰਿਫ੍ਰੈਕਟਰੀ
কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਜਾਂ ਕਾਸਟ-ਇਨ-ਸੀਟੂ
কাস্ট-ইন-প্লেস গাদা,ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਢੇਰ
ক্যাস্টর,ਕੈਸਟਰ
ঢালাই পাথর,ਪੱਥਰ ਸੁੱਟੋ
প্রভাবক,ਉਤਪ੍ਰੇਰਕ
ক্যাটেনা,ਕੈਟੇਨਾ
বিড়ালের মুখ,ਬਿੱਲੀ ਦਾ ਚਿਹਰਾ
বিড়ালের মাথা,ਬਿੱਲੀ ਦਾ ਸਿਰ
ক্যাটান,ਕੈਸ਼ਨ
বিড়াল হাঁটা,ਬਿੱਲੀ ਵਾਕ
গহ্বরের ক্ষতি,Cavitation ਨੁਕਸਾਨ
সেলাইট,ਸੇਲੀਟ
সেলুলার কংক্রিট,ਸੈਲੂਲਰ ਕੰਕਰੀਟ
সেলুলার নির্মাণ,ਸੈਲੂਲਰ ਉਸਾਰੀ
সিমেন্ট,ਸੀਮਿੰਟ
"সিমেন্ট, বিটুমিনাস","ਸੀਮਿੰਟ, ਬਿਟੂਮਿਨਸ"
"সিমেন্ট, উচ্চ শক্তি","ਸੀਮਿੰਟ, ਉੱਚ ਤਾਕਤ"
"সিমেন্ট, জলবাহী","ਸੀਮਿੰਟ, ਹਾਈਡ੍ਰੌਲਿਕ"
"সিমেন্ট, কম তাপ","ਸੀਮਿੰਟ, ਘੱਟ ਗਰਮੀ"
"সিমেন্ট, রাজমিস্ত্রি","ਸੀਮਿੰਟ, ਚਿਣਾਈ"
"সিমেন্ট, প্রাকৃতিক","ਸੀਮਿੰਟ, ਕੁਦਰਤੀ"
"সিমেন্ট, পোর্টল্যান্ড","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ"
"সিমেন্ট, পোর্টল্যান্ড ব্লাস্ট ফার্নেস স্ল্যাগ","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ"
"সিমেন্ট, পোর্টল্যান্ড পোজোলান","ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਪੋਜ਼ੋਲਨ"
"সিমেন্ট, স্ল্যাগ","ਸੀਮਿੰਟ, ਸਲੈਗ"
"সিমেন্ট, সালফেট প্রতিরোধী","ਸੀਮਿੰਟ, ਸਲਫੇਟ ਰੋਧਕ"
"সিমেন্ট, সুপার সালফেটেড","ਸੀਮਿੰਟ, ਸੁਪਰ ਸਲਫੇਟਿਡ"
"সিমেন্ট, সাদা","ਸੀਮਿੰਟ, ਚਿੱਟਾ"
সিমেন্ট-সমষ্টি অনুপাত,ਸੀਮਿੰਟ-ਐਗਰੀਗੇਟ ਅਨੁਪਾਤ
সিমেন্ট সামগ্রী,ਸੀਮਿੰਟ ਸਮੱਗਰੀ
সিমেন্ট জেল,ਸੀਮਿੰਟ ਜੈੱਲ
সিমেন্টের বন্দুক,ਸੀਮਿੰਟ ਬੰਦੂਕ
সিমেন্টের ভাটা,ਸੀਮਿੰਟ ਭੱਠਾ
সিমেন্ট পেইন্ট,ਸੀਮਿੰਟ ਪੇਂਟ
সিমেন্ট প্লাস্টার,ਸੀਮਿੰਟ ਪਲਾਸਟਰ
সিমেন্ট শিলা,ਸੀਮਿੰਟ ਚੱਟਾਨ
সিমেন্ট স্লারি,ਸੀਮਿੰਟ ਸਲਰੀ
সিমেন্ট স্টোরেজ,ਸੀਮਿੰਟ ਸਟੋਰੇਜ਼
সিমেন্টেশন প্রক্রিয়া,ਸੀਮੈਂਟੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ
কেন্দ্রীভূত করা,ਸੈਂਟਰਿੰਗ
সেন্টারিং এবং শাটারিং,ਸੈਂਟਰਿੰਗ ਅਤੇ ਸ਼ਟਰਿੰਗ
কেন্দ্রীয় মিশ্র কংক্রিট,ਕੇਂਦਰੀ ਮਿਸ਼ਰਤ ਕੰਕਰੀਟ
কেন্দ্রীয় মিশুক,ਕੇਂਦਰੀ ਮਿਕਸਰ
কেন্দ্রাতিগ পাখা,ਸੈਂਟਰਿਫਿਊਗਲ ਪੱਖਾ
চক,ਚਾਕ
চেম্ফার,ਚੈਂਫਰ
চেম্ফার ফালা,ਚੈਂਫਰ ਪੱਟੀ
চ্যানেল বিম,ਚੈਨਲ ਬੀਮ
চরিত্রগত লোড,ਵਿਸ਼ੇਸ਼ਤਾ ਲੋਡ
চারিত্রিক শক্তি,ਗੁਣ ਸ਼ਕਤੀ
বন্ধ চার্জ,ਚਾਰਜ ਬੰਦ
চার্জিং,ਚਾਰਜ ਹੋ ਰਿਹਾ ਹੈ
চেক করা হচ্ছে,ਜਾਂਚ ਕਰ ਰਿਹਾ ਹੈ
রাসায়নিক বন্ধন,ਰਸਾਇਣਕ ਬੰਧਨ
চেরনোজেম,ਚੇਰਨੋਜ਼ਮ
চেস্টনাট মাটি,ਚੈਸਟਨਟ ਮਿੱਟੀ
চিমনি নর্দমা,ਚਿਮਨੀ ਗਟਰ
চিপ বোর্ড,ਚਿੱਪ ਬੋਰਡ
চিপিং,ਚਿੱਪਿੰਗ
চিপস,ਚਿਪਸ
চুট,ਚੂਤ
শ্রেণী (কংক্রিটের),ਕਲਾਸ (ਕੰਕਰੀਟ ਦੀ)
কাদামাটি,ਮਿੱਟੀ
কাদামাটি বিষয়বস্তু,ਮਿੱਟੀ ਦੀ ਸਮੱਗਰੀ
মাটির প্যান,ਮਿੱਟੀ ਦਾ ਪੈਨ
পরিস্কার করা,ਸਫਾਈ
পরিষ্কার কর,ਸਾਫ਼ ਕਰੋ
ক্লিট,ਕਲੀਟ
ক্লিঙ্কার,ਕਲਿੰਕਰ
ক্লিপ,ਕਲਿਪ
জমাট বাঁধা,ਜੰਮਣਾ
মোটা সমষ্টি,ਮੋਟਾ ਕੁੱਲ
মোটা দানাদার মাটি,ਮੋਟੇ ਦਾਣੇ ਵਾਲੀ ਮਿੱਟੀ
কোট,ਕੋਟ
