Telugu,Hindi
అబార్ట్,विफलन
అబార్ట్ టైమర్,विफलन कालद
సంపూర్ణ చిరునామా,निरपेक्ष पता
సంపూర్ణ చిరునామా,निरपेक्ष पताभिगमन
సంపూర్ణ సమీకరించేవాడు,निरपेक्ष कोडांतरक
సంపూర్ణ కోడ్,निरपेक्ष कूट
సంపూర్ణ కోడింగ్,निरपेक्ष कूटलेखन
సంపూర్ణ ఆదేశం,निरपेक्ष समादेश
సంపూర్ణ కోఆర్డినేట్,निरपेक्ष निर्देशांक
సంపూర్ణ డేటా,निरपेक्ष आंकड़े
సంపూర్ణ లోపం,निरपेक्ष त्रुटि
సంపూర్ణ వ్యక్తీకరణ,निरपेक्ष व्यंजक
సంపూర్ణ సూచన,निरपेक्ष अनुदेश
సంపూర్ణ లోడర్,निरपेक्ष भारक
సంపూర్ణ క్రమం,निरपेक्ष आदेश
సంపూర్ణ ప్రోగ్రామింగ్,निरपेक्ष क्रमादेशन
సంపూర్ణ పదం,निरपेक्ष पद
సంపూర్ణ విలువ,निरपेक्ष मान
సంపూర్ణ వెక్టర్,निरपेक्ष सदिश
నైరూప్య,"सारांश, अमूर्त"
సంగ్రహించడం,"सारांशन, अमूर्तकरण, साराहरण"
నైరూప్య చిహ్నం,अमूर्त प्रतीक
త్వరణం కాలం,त्वरण अवधि
త్వరణం సమయం,त्वरण काल
యాస,उच्चारण चिह्न
అంగీకార పరీక్ష,स्वीकरण परीक्षण
యాక్సెస్,अभिगम
యాక్సెస్ ఆర్మ్,अभिगम बाहु
యాక్సెస్ అమరిక,अभिगम व्यवस्था
యాక్సెస్ అథారిటీ,अभिगम प्राधिकारक
యాక్సెస్ ఛార్జ్,अभिगम शुल्क
యాక్సెస్ క్లాస్,अभिगम वर्ग
డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్,अभिगम आँकड़ासंचय प्रबंध
యాక్సెస్ ఎన్విరాన్మెంట్,अभिगम परिवेश
యాక్సెస్ గ్యాప్,अभिगम अंतराल
ప్రాప్యత సూచిక,अभिगम सूचक
యాక్సెస్ లైన్,अभिगम लाइन
యాక్సెస్ మెకానిజం,अभिगम यांत्रिकत्व
యాక్సెస్ పద్ధతి,अभिगम विधि
యాక్సెస్ పద్ధతి దినచర్య,अभिगम विधि नेमका
యాక్సెస్ మోడ్,अभिगम विधा
హక్కును యాక్సెస్ చేయండి,अभिगम अधिकार
యాక్సెస్ స్కాన్,अभिगम क्रमवीक्षण
ప్రాప్యత సమయం,अभिगम काल
అకౌంటింగ్,लेखा कार्य
అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్,लेखाकार्य वित्त तंत्र
అకౌంటింగ్ మెషిన్,लेखा यंत्र
ఖాతా సంఖ్య,खाता संख्या
పునరుత్పత్తిదారుని కూడబెట్టుకోవడం,संचयी पुनरुत्पादक
సంచితం,संचायक
సంచిత రిజిస్టర్,संचायक पंजी
సంచిత షిఫ్ట్ సూచన,संचायक विस्थापन अनुदेश
ఖచ్చితత్వం,परिशुद्धता
ఖచ్చితత్వ నియంత్రణ పాత్ర,परिशुद्धता नियंत्रण संप्रतीक
ఖచ్చితత్వ నియంత్రణ వ్యవస్థ,परिशुद्धता नियंत्रण तंत्र
ఏస్ పైలట్,उत्कृष्ठ मार्गदर्शी
పాత్రను గుర్తించండి,पावती संप्रतीक
ఎకౌస్టిక్ కప్లర్,ध्वनिक युग्मक
శబ్ద కలపడం,ध्वनिक युग्मन
శబ్ద ఆలస్యం రేఖ,ध्वनिक विलंब लाइन
శబ్ద జ్ఞాపకశక్తి,ध्वनिक स्मृति
ఎకౌస్టిక్ మోడెమ్,ध्वनिक मोडेम
శబ్ద సిగ్నల్,ध्वनिक संकेत
శబ్ద నిల్వ,ध्वनिक भंडारण
ఎక్రోనిం,परिवर्णी शब्द
చర్య,क्रिया
చర్య చక్రం,क्रिया चक्र
యాక్షన్ లైన్,क्रिया लाइन
చర్య సందేశం,क्रिया संदेश
చర్య స్పెసిఫికేషన్,क्रिया विनिर्देश
క్రియాశీలత,सक्रियण
క్రియాశీల,सक्रिय
యాక్టివ్ ఫైల్,सक्रिय संचिका
యాక్టివ్ లైన్,सक्रिय लाइन
క్రియాశీల లింక్,सक्रिय कड़ी
యాక్టివ్ మాస్టర్ ఫైల్,सक्रिय प्रधान संचिका
యాక్టివ్ మాస్టర్ ఐటెమ్,सक्रिय प्रधान मद
క్రియాశీల ఉపగ్రహం,सक्रिय उपग्रह
యాక్టివ్ స్టేషన్,सक्रिय केन्द्र
క్రియాశీల నిల్వ,सक्रिय भंडारण
కార్యాచరణ,सक्रियता
కార్యాచరణ స్థాయి,सक्रियता स्तर
కార్యాచరణ లోడింగ్,सक्रियता भारण
కార్యాచరణ నిష్పత్తి,सक्रियता अनुपात
వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా),निरपेक्ष पता
వాస్తవ కోడ్ (= సంపూర్ణ కోడ్),निरपेक्ष कूट
వాస్తవ డేటా బదిలీ రేటు,वास्तविक आँकडा स्थानांतरण दर
వాస్తవ దశాంశ బిందువు,वास्तविक दशमलव बिन्दु
వాస్తవ సూచన (= ప్రభావవంతమైన సూచన),प्रभावी अनुदेश
అసలు కీ,वास्तविक कुंजी
అసలు సమయం,वास्तविक काल
వాస్తవ పని సమయం,वास्तविक कार्य काल
సిగ్నల్ యాక్చువేటింగ్,प्रवर्तक संकेत
అనుకూలత,अनुकूलनीयता
అడాప్టర్,अनुकूलित्र
అడాప్టివ్ ఛానల్ కేటాయింపు,अनुकूली प्रणाल नियतन
అడాప్టివ్ ఇంటిగ్రేషన్,अनुकूली समाकलन
అడాప్టివ్ ట్రాన్స్వర్సల్ ఈక్వలైజర్,अनुकूली अनुप्रस्थ तुल्यकारक
ఎంట్రీ జోడించబడింది,योजित प्रविष्ट
అనుబంధం,योज्य
Adder,योजक
అడెర్ సబ్‌ట్రాక్టర్,योजक व्यवकलक
ఫైల్ జోడించండి,योजी संचिका
అదనపు అక్షరం (= ప్రత్యేక అక్షరం),विशिष्ट संप्रतीक
అదనంగా రికార్డర్,योग अभिलेख
