Assamese,Kannada
ৱেষ্টমিনিষ্টাৰৰ এবে,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
এবডিটৰী,ವ್ಯಭಿಚಾರ
দাসত্ব বিলুপ্ত কৰা,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
আদিবাসী,ಮೂಲನಿವಾಸಿಗಳು
আব্ৰাহাম যুগ,ಅಬ್ರಹಾಂ ಯುಗ
অনুপস্থিত ঘৰৰ মালিক,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
একাডেমী,ಅಕಾಡೆಮಿ
আক্ৰা সন্মিলন,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
এক্ৰুৱেল,ಸಂಚಯಗಳು
সংস্কৃতিকৰণ,ಸಂಸ್ಕಾರ
এচেলডামা,ಅಸೆಲ್ಡಾಮಾ
আখিয়ান (=আচিয়ান),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
আচায়ান লীগ (=আচিয়ান লীগ),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
এক্ৰ&#39;পলিছ,ಆಕ್ರೊಪೊಲಿಸ್
এক্টা ডিউৰ্না,ಆಕ್ಟಾ ಡೈರ್ನಾ
এক্টা চেনেটাছ,ಆಕ್ಟಾ ಸೆನಾಟಸ್
এক্টে এডিচনেল,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
প্ৰাপ্তিৰ কাৰ্য্য,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
বন্দোবস্তৰ আইন,ವಸಾಹತು ಕಾಯಿದೆ
এড কন্ট্ৰেক্টাছ ছীল,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
এডুলামাইটছ,ಅಡುಲಮೈಟ್ಸ್
বিৰোধী,ಎದುರಾಳಿ
