Punjabi,English
ਐਂਪੀਅਰ (ਯੂਨਿਟ),A (Ampere unit of current)
angstrum,A (angstrom)
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A amplifier
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,A-N radio range
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,A-scan presentation
a-ਦਰਸ਼,A-scope
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,A-scope display
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,A-T Cut crystal
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ",A.c-d.c. gain
am,A.M. (ante meridiem)
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),A.m.u. (atomic mass unit)
ਆਰਡ-ਵਰਕ*,Aard-vark
ਐਬ-ਐਂਪੀਅਰ,Ab ampere
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,AB amplifier
adah,Ab initio
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,AB power pack
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,Abac=alignment chart=nomograph
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),Abbe number (=Abbe constant)
abe refractometer,ABBE refractometer
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,Abbe sine condition
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,Abc (automatic bias compensation)
abcoulom,Abcoulomb
ਵਿਗਾੜ,Aberration
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,Aberration corrector lens
ਅਸਮਾਨ ਵਿਕਾਰ,Aberration of light
abfarad,Abfarad
ਈਬੇਨਰੀ,Abhenry
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,Abney effect (=Abney law)
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,Abnormal polarisation
ਅਸਧਾਰਨ ਸੰਚਾਰ,Abnormal propagation
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,Abnormal reflection
ਅਸਧਾਰਨ ਅਪਵਰਤਨ*,Abnormal refraction
ਅਲੌਕਿਕ ਵਿਰੋਧ,Abnormal resistance
ab-om,Abohm
"ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ",Abortion
"ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ",Abrupt
ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ,Abrupt jump
ਹੱਥ*,Abscissa
ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ,Absent reflection
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,Absent spectrum
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ",Absolute
ਪੂਰਨ ਪ੍ਰਵੇਗ,Absolute acceleration
ਪੂਰਨ ਅਸਲੀਅਤ,Absolute accuracy
ਪੂਰਾ ਪਤਾ,Absolute address-specific address
ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ,Absolute altimeter
ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ,Absolute altitude
ਪੂਰਨ ਐਂਪੀਅਰ,Absolute ampere
ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ,Absolute boilling point
ਪੂਰਨ ਪ੍ਰਕਾਸ਼,Absolute bolometric luminosity
ਪੂਰਨ ਸਮਰੱਥਾ,Absolute capacity
ਪੂਰਨ ਉਚਾਈ,Absolute ceiling
ਪੂਰਨ ਰੰਗ,Absolute colour index
"ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ",Absolute configuration
ਪੂਰਨ ਕੂਲੰਬ,Absolute coulomb
ਪੂਰਾ ਹਨੇਰਾ,Absolute darkness
ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ,Absolute dating
ਸੰਪੂਰਨ ਘਣਤਾ*,Absolute density
ਪੂਰਨ ਡਰੇਨੇਜ,Absolute drift
ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ),Absolute e.m.u.
ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ),Absolute e.s.u.
ਪੂਰਨ ਕੁਸ਼ਲਤਾ,Absolute efficiency
