Hindi,Marathi
वैस्‍टम‍िन्‍स्‍टर मठ,वेस्टमिन्स्टरचे मठाधीश
मालखाना,निषिद्ध
दासता का उन्मूलन,गुलामगिरीचे उच्चाटन
आदिवासी,आदिवासी
अब्राहम काल,अब्राहम युग
प्रवासी ज़मींदार,अनुपस्थित जमीनदार
अकादमी; विद्वत्परिषद,अकादमी
अक्रा सम्मेलन,अक्रा परिषद
"प्रोद्भूत सामग्री, उपचित सामग्री",जमा
"परसंस्कृति-ग्रहण, उत्संस्करण",संवर्धन
एसेलडामा,एसेलडामा
एकियायी,आचियन (=अचियन)
एकीयायी लीग,आचियन लीग (=अचियन लीग)
एक्रोपोलिस,एक्रोपोलिस
"शाही रोज़नामचा, दैनिक समाचार",Acta Diurna
सीनेट का कार्यवृत्त,Acta Senatus
"अपर प्रपत्र, एक्टे एडिशनेल",ऍक्ट अॅडिशनल
सक्रिय रिकार्ड,सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
अपकीर्त्ति अधिनियम,प्राप्तकर्त्याची कृती
दंड विमुक्ति एवं विस्मरण अधिनियम,नुकसानभरपाई आणि विस्मरणाचा कायदा
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",सेटलमेंटचा कायदा
संविदा मुद्रा,जाहिरात करार सील
आडुलम गुटवादी,अदुल्लामाइट्स
विपक्षी,विरोधक
2. शत्रु,विरोधक
युग,एऑन
इरेरियम,एरेरियम
"आकाशी युद्ध, हवाई लड़ाई",हवाई युद्ध
"एटोलियन लीग, एटोलियायी संघ",एटोलियन लीग
"काल, युग",वय
"काल-प्रभावन, जीर्णन",वृद्धत्व (=वृद्धत्व)
जीर्णन-प्रक्रिया,वृद्धत्व प्रक्रिया
एजिलायी,अगेलाय
शौर्य युग,पराक्रमाचे वय
"प्रबोध युग, ज्ञानोदय युग",ज्ञानाचे वय
पेरीक्लीज़ युग,पेरिकल्सचे वय
तर्क प्रधान युग,कारण वय
भूमि सुधारवाद,कृषीवाद
भूमि सुधारवादी आंदोलन,कृषी चळवळ
एलबियन,अल्बिओन
अलबम,अल्बम
