Odiya,Kannada
ଅବକାଶର ପୃଷ୍ଠ |,ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
ପେଟ,ಹೊಟ್ಟೆ
ପେଟର ଆର୍ଟା |,ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ
ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |,ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ
ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |,ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್
ଆବର୍ଗନ,ವಿರೂಪಗೊಳಿಸುವಿಕೆ
ଆବିସ୍,ಅಬ್ಬರ
ଆବିଙ୍ଗଡନ୍ କଇଁଛ |,ಅಬಿಂಗ್ಡನ್ ಆಮೆ
Abognescesis,ಕ್ಷು ತನ್ನತೆ
ଅବିଟ,ಅಸಹ್ಯವಾದ
ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |,ಉದಾಸೀಯ ಅಂಶ
ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |,ಅಸಹಜ ಮೂತ್ರ
ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |,ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್
ଅବସିସିକ୍ ଏସିଡ୍ |,ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ
ଅବସିସନ,ಕಂದಿಸುವುದು
ଶୋଷଣ,ಹೀರಿಕೊಳ್ಳಿ
ଅବଶୋଷଣ ଶିଖର |,ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ
ଶୋଷଣ,ಹೀರುವಿಕೆ
ଆକାସିଆ କ୍ୟାଚଚୁ |,ಅಕಿಯಾ ಕ್ಯಾಟೆಚು
ଆକାରିଆ ଆରବୀ |,ಅಕ್ಯಾಬಿಕಾ
ଆକ୍ରିନ,ಅಣಕಾದ
ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |,ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,ಪರಿಕರ ಗ್ರಂಥಿ
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,ಪರಿಕರ ಗ್ರಂಥಿ
ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |,ಪರಿಕರ ಅಂಗ
ସୁକମ୍ଲାଇଜେସନ୍,ಒಗ್ಗೂಡಿಸುವಿಕೆ
ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |,ಒಗ್ಗಿಸು
ଆବାସ (ଧ୍ୟାନ),ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು)
ଆଖିରେ ରହିବା,ಕಣ್ಣಿನ ವಸತಿ
ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |,ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ
ଜମା,ಸಂಗ್ರಹಣೆ
ଜମାକାରୀ ପଦାର୍ଥର ଜମା |,ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ
ମାଟିର ଜମା |,ಮಣ್ಣಿನ ಸಂಗ್ರಹ
Acellululula |,ಉಭಯಾಕಾರದ
