Assamese,Malayalam
এবেলিয়ান গোট,അബെലിയൻ ഗ്രൂപ്പ്
abelian অৰ্ধগোট,അബെലിയൻ സെമിഗ്രൂപ്പ്
abscissa,abscissa
নিৰপেক্ষ,കേവല
নিৰপেক্ষ অভিসৰণ,കേവലമായ ഒത്തുചേരൽ
নিৰপেক্ষ ভুল,സമ്പൂർണ്ണ പിശക്
নিৰপেক্ষ সৰ্বোচ্চ,കേവല പരമാവധി
নিৰপেক্ষ নূন্যতম,സമ്പൂർണ്ണ മിനിമം
নিৰপেক্ষ মূল্য,യഥാർത്ഥ മൂല്യം
নিৰপেক্ষ বেগ,കേവല വേഗത
বিমূৰ্ত বীজগণিত,അമൂർത്ത ബീജഗണിതം
বিমূৰ্ত গোট তত্ত্ব,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
বেগ বৃদ্ধি,ത്വരണം
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
গ্ৰহণযোগ্য পছন্দৰ ছেট,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,സ്വീകാര്യമായ നിലവാരം
গ্ৰহণযোগ্য পৰিসৰ,സ്വീകാര്യമായ ശ്രേണി
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,സ്വീകാര്യമായ വിശ്വാസ്യത നില
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,സ്വീകാര്യമായ സാമ്പിൾ
সঞ্চিত ভুল,സഞ്ചിത പിശക്
শুদ্ধতা,കൃത്യത
ক্ৰিয়াশীল শক্তি,പ്രവർത്തന ശക്തി
কাৰ্য কৰা,നടപടി
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,പ്രവർത്തനവും പ്രതികരണവും
কৃষি বিজ্ঞান,യഥാർത്ഥ ശാസ്ത്രം
তীব্ৰ কোণীয়া ত্ৰিভুজ,നിശിത കോണുള്ള ത്രികോണം
অচক্ৰীয়,അസൈക്ലിക്
যোগ কৰা,ചേർക്കുക
adder,ചേർക്കുന്നയാൾ
যোগ,കൂട്ടിച്ചേർക്കൽ
যোগ সূত্ৰ,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
জটিল সংখ্যাৰ সংযোজন,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
ফলনসমূহৰ সংযোজন,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
মেট্ৰিক্সৰ সংযোজন,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
বহুপদ যোগ কৰা,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
সম্ভাৱনাৰ সংযোজন,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
ভেক্টৰৰ সংযোজন,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
যোগ উপপাদ্য,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
যোগকৰণ গোট,സങ്കലന ഗ്രൂപ്പ്
যোগকৰণৰ বিপৰীত,വിപരീത വിപരീതം
যোগসূত্ৰৰ বৈশিষ্ট্য,അഡിറ്റീവ് പ്രോപ്പർട്ടി
যোগকৰণ,അഡിറ്റിവിറ്റി
সংলগ্নতা মেট্ৰিক্স,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
পাৰ্শ্বৱৰ্তী,തൊട്ടടുത്തുള്ള
কাষৰীয়া কোণ,അടുത്തുള്ള കോണുകൾ
কাষৰীয়া শিখৰ,തൊട്ടടുത്തുള്ള ശീർഷകം
adjoin,ചേരുക
সংলগ্ন,തൊട്ടടുത്തുള്ള
সংযুক্ত নিৰ্ণায়ক,അനുബന്ധ ഡിറ്റർമിനന്റ്
সংযুক্ত অৱভেদ্য সমীকৰণ,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
সংযুক্ত সমীকৰণ,അനുബന്ധ സമവാക്യം
সংলগ্ন মেট্ৰিক্স,അനുബന്ധ മാട്രിക്സ്
মেট্ৰিক্সৰ সংযুক্ত,മാട്രിക്സിന്റെ അനുബന്ധം
এডজুগেট মেট্ৰিক্স,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
গ্ৰহণযোগ্য অনুমান,അനുവദനീയമായ അനുമാനം
বায়ুগতিবিদ্যা বল,എയറോഡൈനാമിക് ശക്തി
বায়ুগতিবিদ্যা,എയറോഡൈനാമിക്സ്
affine জ্যামিতি,അഫൈൻ ജ്യാമിതി
affine মেপিং,അഫൈൻ മാപ്പിംഗ്
affine ৰূপান্তৰ,അഫൈൻ പരിവർത്തനം
চলকসমূহ একত্ৰিত কৰা,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
বীজগণিত,ബീജഗണിതം
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
বীজগণিতীয় সমীকৰণ,ബീജഗണിത സമവാക്യം
বীজগণিতীয় প্ৰকাশ,ബീജഗണിത പദപ്രയോഗം
বীজগণিতীয় ৰূপ,ബീജഗണിത രൂപം
বীজগণিতীয় ফলন,ബീജഗണിത പ്രവർത്തനം
বীজগণিতীয় জ্যামিতি,ബീജഗണിത ജ്യാമിതി
