Tamil,Marathi
ஆம்பியர் (அலகு),अँपिअर (युनिट)
ஆங்ஸ்ட்ரம்,angstrum
ஏ-வகுப்பு பெருக்கி,ए-क्लास अॅम्प्लिफायर
ஏஎன் ரேடியோ சஹே,एएन रेडिओ सहाय
ஒரு ஸ்கேனிங் விளக்கக்காட்சி,एक-स्कॅनिंग सादरीकरण
ஒரு-தர்ஷ்,a-darsh
ஏ-ஸ்கோப் செயல்திறன்,ए-स्कोप कामगिरी
ஏ-டி வளைந்த படிகம்,A-T वक्र क्रिस्टल
"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
நான்,आहे
AMU (அணு நிறை அலகு),AMU (अणु वस्तुमान एकक)
aard-vark*,आर्ड-वार्क*
ab-ஆம்பியர்,ab-ampere
A-B வகுப்பு பெருக்கி,A-B वर्ग अॅम्प्लिफायर
அட,adah
ஏ-பி சக்தி பிடகா,A-B शक्ती पिटक
abc = சீரமைப்பு விளக்கப்படம் = nomograph,abc = संरेखन चार्ट = nomograph
அபே எண் (அபே மாறிலி),अबे क्रमांक (अबे स्थिरांक)
அபே ரிஃப்ராக்டோமீட்டர்,abe refractometer
அபே சைன் நிலை,अबे साइन राज्य
தானியங்கி சார்பு இழப்பீடு,स्वयंचलित पूर्वाग्रह भरपाई
abcoulom,abcoulom
"பிறழ்வு, பிறழ்வு",विकृती
பிறழ்வு திருத்தி லென்ஸ்,विकृती सुधारक लेन्स
வானம் பிறழ்வு,आकाश विकृती
அபராட்,abfarad
எபென்ரி,एबेनरी
கருங்காலி விளைவு,इबोनी प्रभाव
அசாதாரண துருவமுனைப்பு,असामान्य ध्रुवीकरण
அசாதாரண பரிமாற்றம்,असामान्य प्रसार
அமானுஷ்ய பிரதிபலிப்பு,अलौकिक प्रतिबिंब
அசாதாரண ஒளிவிலகல்*,असामान्य अपवर्तन*
அமானுஷ்ய எதிர்ப்பு,अलौकिक प्रतिकार
ab-om,ab-om
"முன்னுரிமை, தோல்வி","प्राबल्य, अपयश"
"இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக","संलग्न, सहसा, उभे, विभक्त, खंडित"
அடிக்கடி குதிக்கிறது,अनेकदा उडी मारते
கை*,हात*
பிரதிபலிப்பு இழந்தது,हरवलेले प्रतिबिंब
ஸ்பெக்ட்ரம் காணவில்லை,गहाळ स्पेक्ट्रम
"முழுமையான, முழுமையான, நிலையான, சரியான","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
முழுமையான முடுக்கம்,परिपूर्ण प्रवेग
முழுமையான உண்மை,परिपूर्ण वास्तव
முழுமையான முகவரி,परिपूर्ण पत्ता
புவிசார்ந்த உயரமானி,भौगोलिक उच्चांक
புவியியல் உயரம்,भौगोलिक उंची
முழுமையான ஆம்பியர்,परिपूर्ण अँपिअर
முழுமையான கொதிநிலை,परिपूर्ण उकळत्या बिंदू
முழுமையான ஒளிர்வு,परिपूर्ण प्रकाश
முழுமையான கொள்ளளவு,परिपूर्ण क्षमता
முழுமையான உயரம்,परिपूर्ण उंची
முழுமையான நிறமி,परिपूर्ण रंगद्रव्य
"முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு","परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन"
முழுமையான கூலம்,परिपूर्ण कूलॉम्ब
முழு இருள்,पूर्ण अंधार
முழுமையான திட்டமிடல்,परिपूर्ण वेळापत्रक
முழுமையான அடர்த்தி*,परिपूर्ण घनता*
முழுமையான வடிகால்,पूर्ण निचरा
முழுமையான EMU (மின்காந்த அலகு),संपूर्ण EMU (विद्युत चुंबकीय एकक)
முழுமையான ESU (நிலையான அலகு),संपूर्ण ESU (स्थिर एकक)
முழுமையான செயல்திறன்,परिपूर्ण कार्यक्षमता
முழுமையான எலக்ட்ரோமீட்டர்,परिपूर्ण इलेक्ट्रोमीटर
முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்,परिपूर्ण वारंवारता परिपूर्ण वारंवारता
முழுமையான ஈரப்பதம்,परिपूर्ण आर्द्रता
முழுமையான நிகழ்வு,परिपूर्ण घटना
முழுமையான ஒளிவிலகல் குறியீடு,परिपूर्ण अपवर्तक निर्देशांक
முழுமையான உறுதியற்ற தன்மை,पूर्ण अस्थिरता
முழுமையான உறுதியற்ற தன்மை,पूर्ण अस्थिरता
"முழுமையான தீவிரம், முழுமையான தீவிரம்","परिपूर्ण तीव्रता, परिपूर्ण तीव्रता"
ஆஸ்தீனியாவின் முழுமையான வரம்பு,अस्थेनियाची परिपूर्ण मर्यादा
முழுமையான வெளிச்சம் சன்னல்,परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा
முழுமையான ஒளி வளைவு,परिपूर्ण प्रकाश वक्र
முழுமையான அளவு,परिपूर्ण परिमाण
முழுமையான காற்றழுத்தமானி,परिपूर्ण बॅरोमीटर
உச்ச உச்ச,सर्वोच्च सर्वोच्च
முழுமையான தீவிர,पूर्ण टोक
முற்றிலும் குறைந்த,परिपूर्ण सर्वात कमी
முழுமையான வேகம்,परिपूर्ण गती
முழுமையான வேகம்,परिपूर्ण गती
முழுமையான இசை,परिपूर्ण संगीत
முழுமையான கவனிப்பு,परिपूर्ण निरीक्षण
முழுமையான ஓம்,परिपूर्ण ओम
முழுமையான நோக்குநிலை,परिपूर्ण अभिमुखता
முழுமையான எலக்ட்ரோநெக்டிவிட்டி,परिपूर्ण विद्युत ऋणात्मकता
முழுமையான ஈர்ப்பு,परिपूर्ण गुरुत्व
முழுமையான அழுத்தம்,परिपूर्ण दबाव
முழுமையான சொத்து,परिपूर्ण मालमत्ता
முழுமையான அளவிடல்,परिपूर्ण स्केलर
வெப்பநிலையின் இறுதி அளவு*,तापमानाचे अंतिम प्रमाण*
"absolute synchrony, absolute synchrony","परिपूर्ण समक्रमण, परिपूर्ण समक्रमण"
முழுமையான மன அழுத்தம்,पूर्ण ताण
