Bengali,Odiya
অবসান,ଆବଦ୍ଧ
সংক্ষেপণ,ସଂକ୍ଷିପ୍ତକରଣ
অপহরণ,ଅପହରଣ
অবসান,ଆବେରୀ
ক্ষমতা,ଦକ୍ଷତା
অ্যাব initio,Ab initio
সক্ষম,ସକ୍ଷମ
অস্বাভাবিক,ଅସ୍ୱାଭାବିକ |
বিলুপ্তি,ଚତୁରତା
বিলোপ পোস্ট,ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |
উপর্যুক্ত,ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |
উপরে উদ্ধৃত,ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |
উপরে বলেছেন,ଉପରେ କହିଲା
অনুপস্থিতি,ଅନୁପସ୍ଥିତି
অনুপস্থিত,ଅଧ୍ୟାପୀ
অনুপস্থিতি,ଅନୁପସ୍ଥିତତା
অনুপস্থিত বিবৃতি,ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି
পরম,ସଂପୂର୍ଣ୍ଣ
পরম একচেটিয়া,ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |
পরম মালিকানা,ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା
শোষণ,ଶୋଷଣ
বিমূর্ত,ବିସ୍ତୃତ
অ্যাবস্ট্রাক্টস্টেটমেন্ট,ବିସ୍ତୃତ
অযৌক্তিক,ଅବ urd ଧ |
প্রাচুর্য,ପ୍ରଚୁରତା
ক্ষমতার অপব্যবহার,ଶକ୍ତିର ଅପବ୍ୟବହାର |
অবমাননাকর ভাষা,ଅପମାନଜନକ ଭାଷା |
একাডেমিক,ଏକାଡେମିକ୍ |
একাডেমিক আলোচনা,ଏକାଡେମିକ୍ ଆଲୋଚନା
একাডেমিক ছুটি,ଏକାଡେମିକ୍ ଛୁଟି |
শিক্ষাগত যোগ্যতা,ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |
একাডেমিক রেকর্ড,ଏକାଡେମିକ୍ ରେକର୍ଡ |
প্রশংসা,ଧ୍ୟାନଦେଇ
গ্রহণ,ଗ୍ରହଣ କର
গ্রহণযোগ্যতা,ଗ୍ରହଣ
অফিস গ্রহণ,ଅଫିସ୍ ଗ୍ରହଣ
দরপত্র গ্রহণ,ଟେଣ୍ଡର ଗ୍ରହଣ
অ্যাক্সেস,ପ୍ରବେଶ
প্রবেশ,ପ୍ରବେଶ
আনুষঙ্গিক,ଆନୁଷଙ୍ଗିକ
দুর্ঘটনা,ଦୁର୍ଘଟଣା
প্রশংসাপত্র,ସୁକମ୍ଲାଇଜେସନ୍
থাকার ব্যবস্থা,ଆବାସ
সহকারী,ସାଥୀ
চুক্তি,ଆକର୍ଡ
অ্যাকশন,ସମ୍ପତ୍ତୀ
তদনুসারে,ସେହି ଅନୁଯାୟୀ |
অ্যাকাউন্ট,ଖାତା
দায়িত্ব,ଉତ୍ତରଦାୟିତ୍ୱ
দায়ী,ଉତ୍ତରଦାୟୀ |
হিসাবরক্ষণ,ଆକାଉଣ୍ଟାଣ୍ଟି
হিসাবরক্ষক,ଆକାଉଣ୍ଟାଣ୍ଟ
কি কারণে,ଖାତା ପାଇଁ
অ্যাকাউন্ট হেড,ଖାତା ହେଡ୍
অর্জিত সুবিধা,ଅଭିଯୋଗ ଲାଭ
পেনশন আদায়,ପେନ୍ ପେନ୍ସନ୍
জমা,ଜମା
সঠিকতা,ସଠିକତା
নির্ভুল,ସଠିକ୍
অভিযোগ,ଅଭିଯୋଗ
অভিযুক্ত,ଅଭିଯୁକ୍ତ
অর্জন,ସଫଳତା
স্বীকৃতি,ସ୍ୱୀକୃତି
স্বীকৃতি বকেয়া,ସ୍ୱୀକୃତି ଦେବାର |
পরিচিত,ପରିଚୟ
অধিগ্রহণ,ଅଧିଗ୍ରହଣ
খালাস,ନିର୍ଦ୍ଦୋଷ
আইন,କାର୍ଯ୍ୟ କର
অভিনয় ভাতা,ଅଭିନୟ ଭତ୍ତା
কর্ম,କାର୍ଯ୍ୟ
অ্যাকশন প্ল্যান,କ୍ରିୟା ଯୋଜନା
সক্রিয়,ସକ୍ରିୟ
সক্রিয়ভাবে,ସକ୍ରିୟ ଭାବରେ |
কর্মী,କାର୍ଯ୍ୟକର୍ତ୍ତା
Of শ্বরের আইন,God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ
অসদাচরণের আইন,ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ
কমিশন ও বাদ দেওয়া আইন,କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |
আসল,ପ୍ରକୃତ
বাস্তব,କାର୍ଯ୍ୟ
অভিযোজন,ଆଡାପ୍ଟେସନ୍
সংযোজন,ଯୋଗ
অতিরিক্ত চার্জ,ଅତିରିକ୍ତ ଚାର୍ଜ
অতিরিক্ত তহবিল,ଅତିରିକ୍ତ ପାଣ୍ଠି
