Gujarati,Malayalam
ખર્ચ,ശീതീകരണം
સંક્ષેપ,ചുരുക്കല്
અપહરણ,പിടിച്ചുകൊണ്ടുപോകല്
સ્થગ,Aveyne
ક્ષમતા,കഴിവ്
આરંભ,Ab initio
કઠોર,കഴിവുള്ള
અસામાન્ય,വിലക്ഷണമായ
નાબૂદી,നിർത്തലാക്കൽ
નાબૂદી પોસ્ટ,നിർത്തലാക്കൽ പോസ്റ്റ്
ઉપર ઉલ્લેખ કર્યો છે,മുകളിൽ സൂചിപ്പിച്ച
ઉપર જણાવેલ,മുകളിൽ ഉദ്ധരിച്ചത്
ઉપર જણાવ્યું હતું કે,മുകളിൽ പറഞ്ഞത്
ગેરહાજરી,അസാന്നിദ്ധം
ગેરહાજર,ഹാജരാകാത്ത
ગેરહાજરી,ഹാജരാകാത്തീയത
અનુપસ્થિત નિવેદનો,ഹാജരാകാതിരിക്കുക
અબાધિત,കേശവം
અબાધિત ઈજારો,കേവല കുത്തക
અબાધિત માલિકી,കേവല ഉടമസ്ഥാവകാശം
સમાવેશ,ആഗിരണം
નિષ્ક્રિય,വേര്പെട്ടുനില്ക്കുന്ന
અખબારો,അനുഗമിക്കുന്നു
વાહિયાત,അസംബന്ധം
વિપુલતા,സമൃദ്ധി
સત્તાનો દુરુપયોગ,അധികാര ദുരുപയോഗം
અપશબ્દો,അധിക്ഷേപകരമായ ഭാഷ
શૈક્ષણિક,പണ്ഡിതോചിതമായ
શૈક્ષણિક ચર્ચા,അക്കാദമിക് ചർച്ച
શૈક્ષણિક રજા,അക്കാദമിക് അവധി
શૈક્ષણિક લાયકાત,വിദ്യാഭ്യാസ യോഗ്യത
વિદ્યા,അക്കാദമിക് റെക്കോർഡ്
સહયોગ કરવો,നിര്വഹിക്കുക
સ્વીકારવું,അംഗീകരിക്കുക
સ્વીકૃતિ,കൈക്കൊള്ളല്
પદની સ્વીકૃતિ,ഓഫീസിന്റെ സ്വീകാര്യത
પ્રતિજ્ ofા,ടെണ്ടർ സ്വീകാര്യത
પ્રવેશ,പ്രവേശനം
સંચાર,അപേക്ഷ
સહાયક,ഉപസാധനം
અકસ્માત,ആകസ്മികത
સ્વાર્થીકરણ,ACCLIMATIES
આવાસ,സ്ഥലസൗകരം
સંલગ્ન,അനുഗമിച്ചു
સંલગ્ન,അക്കോര്
અનુસાર,അഭാവം
તદનુસાર,അക്കാരണത്താല്
હિસાબ,കണക്ക്
જવાબદારી,ഉത്തരവാദിത്തം
જવાબદાર,ഉത്തരവാദിയായ
હિસાબની સંખ્યા,അക്കൗണ്ടൻസി
હિસાબ રાખનાર,കണക്കെഴുത്തുകാരി
માટે એકાઉન્ટ,അക്കൗണ്ട്
હિસાબનું માથું,അക്കൗണ്ട് തല
ઉપાર્જિત લાભ,വർദ്ധിച്ച ആനുകൂല്യം
ઉપાર્જિત પેન્શન,വർദ്ധിച്ച പെൻഷൻ
સંચય,കൂന്വാരം
ચોકસાઈ,കൃതത
ચોક્કસ,സൂക്ഷ്മമായ
આક્ષેપ કરવો,ബോധിപ്പിക്കുന്ന
આરોપી,കുറ്റക്കാരന്
સિદ્ધિ,നേട്ടം
સ્વીકૃતિ,അംഗീകാരം
સ્વીકૃતિ,അംഗീകാരത്തിന്റെ
પરિચય,പരിചയം
સંપાદન,കൈവശപ്പെടുത്തൽ
મુક્તિ,കുറ്റപാട്വിൽപ്പന
કૃત્ય,പവര്ത്തിക്കുക
કાર્યકારી ભથ્થું,അഭിനയ അലവൻസ്
ક્રિયા,പവര്ത്തി
કાર્ય યોજના,പ്രവർത്തന പദ്ധതി
સક્રિય,സജീവമായ
સક્રિયપણે,സജീവമായി
સક્રિયકાર્ય,ചുറുചുറുക്കുള്ളവള്
ભગવાનનો કૃત્ય,ദൈവിക പ്രവൃത്തി
ગેરવર્તન,ദുരാചാരത്തിന്റെ പ്രവർത്തനം
કમિશન અને કમિશન અને બાદબાકી,കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം
વાસ્તવિક,യഥാര്ത്ഥത്തിലുള്ള
વાસ્તવિક,വാസ്തവങ്ങൾ
અનુકૂલન,പൊരുത്തപ്പെടുത്തൽ
વધારા,കൂട്ടല്
વધારાનો ખર્ચ,അധിക നിരക്ക്
વધારાના નિધિ,അധിക ഫണ്ട്
વધારાની અનુદાન,അധിക ഗ്രാന്റ്
વધારાની માહિતી,അധിക വിവരം
વધારાનો પગાર,അധിക വേതനം
ઉમેરો અને ફેરફાર,കൂട്ടിച്ചേർക്കലും മാറ്റവും
સંબોધન,അഭിസംബോധന ചെയ്യുക
સંબોધન કરનાર,വിലാസശാല
સ્વાગતનું સરનામું,സ്വാഗത വിലാസം
પૂરતું,പരാപ്തമായ
ને અનુરૂપ બનાવવું,ഇത് പാലിക്കുക
તદર્થ,ആഡ് ഹോക്ക്
તદર્થપત્ર,AD HOC ക്ലെയിം
તદર્થ સમિતિ,താൽക്കാലിക സമിതി
તદર્થ વધારો,താൽക്കാലിക വർദ്ധനവ്
તદ્દન ચુકવણી,പരസ്യ ഹോക് പേയ്മെന്റ്
અડીને,തൊട്ടുകിടക്കുന്ന
