Assamese,Punjabi
abacus,abacus
অস্বাভাৱিক সমাপ্তি,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
abort,ਅਧੂਰਾ ਛੱਡੋ
নিৰপেক্ষ,ਅਸੀਮ
নিৰপেক্ষ ঠিকনা,ਪੂਰਾ ਪਤਾ
নিৰপেক্ষ সম্বোধন,ਪੂਰਨ ਸੰਬੋਧਨ
নিৰপেক্ষ এছেম্বলাৰ,ਪੂਰਨ ਅਸੈਂਬਲਰ
নিৰপেক্ষ ক&#39;ড,ਪੂਰਨ ਕੋਡ
নিৰপেক্ষ আদেশ,ਪੂਰਨ ਹੁਕਮ
নিৰপেক্ষ তথ্য,ਪੂਰਨ ਡਾਟਾ
নিৰপেক্ষ নিৰ্দেশনা,ਪੂਰਨ ਹਿਦਾਇਤ
নিৰপেক্ষ ধৰণ,ਪੂਰਨ ਮੋਡ
নিৰপেক্ষ পথ,ਪੂਰਨ ਮਾਰਗ
নিৰপেক্ষ প্ৰগ্ৰেমিং,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
বিমূৰ্ত শ্ৰেণী,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
বিমূৰ্ত তথ্যৰ ধৰণ,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
বিমূৰ্ত মেচিন,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
বিমূৰ্ত চিহ্ন,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
বিমূৰ্ত বাক্যবিন্যাস,ਸੰਖੇਪ ਸੰਟੈਕਸ
গ্ৰহণযোগ্যতা পৰীক্ষা,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
প্ৰৱেশ প্ৰমাণীকৰণ,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
প্ৰৱেশ ক&#39;ড,ਐਕਸੈਸ ਕੋਡ
প্ৰৱেশ নিয়ন্ত্ৰণ,ਪਹੁੰਚ ਕੰਟਰੋਲ
এক্সেছ স্কেন,ਐਕਸੈਸ ਸਕੈਨ
আনুষংগিক বস্তু,ਸਹਾਇਕ
একাউণ্ট,ਖਾਤਾ
একাউণ্ট আইডি,ਖਾਤਾ ID
এক্যুলেটৰ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
শুদ্ধতা,ਸ਼ੁੱਧਤਾ
acess,ਪਹੁੰਚ
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
acess index,ਐਕਸੈਸ ਇੰਡੈਕਸ
acess key,ਪਹੁੰਚ ਕੁੰਜੀ
acess মেট্ৰিক্স,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
প্ৰৱেশ ধৰণ,ਪਹੁੰਚ ਮੋਡ
acess বিশেষাধিকাৰ,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
acess security,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
এচেছ চাৰ্ভাৰ,ਪਹੁੰਚ ਸਰਵਰ
acess সময়,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
স্বীকৃতি,ਮਾਨਤਾ
শব্দবিজ্ঞান,ਧੁਨੀ ਵਿਗਿਆਨ
সংক্ষিপ্ত ৰূপ,ਸੰਖੇਪ ਸ਼ਬਦ
কাৰ্য্য বাৰ্তা,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
সক্ৰিয়কৰণ,ਸਰਗਰਮੀ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
সক্ৰিয় সংস্কৰণ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
অচক্ৰীয়,acyclic
অচক্ৰীয় গ্ৰাফ,acyclic ਗ੍ਰਾਫ਼
আদা ভাষা,ਅਦਾ ਭਾਸ਼ਾ
