Gujarati,Marathi
અસામાન્ય,असामान्य
ગર્ભપાત,गर्भपात
ઘર્ષણ,घर्षण
અચાનક,अचानक
સંપૂર્ણ ક્ષેત્ર શક્તિ,परिपूर्ण फील्ड सामर्थ्य
સંપૂર્ણ તાપમાન,परिपूर्ण तापमान
અબાધિત મૂલ્ય,परिपूर्ण मूल्य
શોષવું,शोषून घ्या
સહ-કાર્યક્ષમ,शोषण सह-कार्यक्षम
શોષણ,शोषण तोटा
નિષ્ક્રિય,गोषवारा
પ્રવેગમાપક,एक्सेलरोमीटर
સ્વીકૃતિ કસોટી,स्वीकृती चाचणी
પ્રવેશ,प्रवेश
વપરાશ નિયંત્રણ,प्रवेश नियंत्रण
પ્રવેશ -બિંદુ,प्रवेश बिंदू
પ્રવેશ સમય,प्रवेश वेळ
ઉપલ્બધતા,प्रवेशयोग्यता
સંકુચિત સેલી,संचयक सेल
ચોકસાઈ,अचूकता
ચોક્કસ,अचूक
ઘેટાંના લેન્સ,अ‍ॅक्रोमॅटिक लेन्स
તેજાબ,आम्ल
એસિડ પ્રૂફ,आम्ल पुरावा
અમલ્ય,आंबटपणा
સ્વીકૃતિ,पावती बिट
ધ્વનિશાસ્ત્ર,ध्वनिक
ધ્વનિશાસ્ત્ર,ध्वनिक संप्रेषण
ધ્વનિ -પ્રસરણ,ध्वनिक प्रसार
ધ્વનિ -બરાબરી,ध्वनिक समतुल्य
ધ્વનિ -પ્રતિસાદ,ध्वनिक अभिप्राय
ધ્વનિ ફિલ્ટર,ध्वनिक फिल्टर
ધ્વનિ અવરોધ,ध्वनिक प्रतिबाधा
ધ્વનિ -માસ્કીંગ,ध्वनिक मास्किंग
ધ્વનિની શક્તિ,ध्वनिक शक्ती
ધ્વનિપક્ષીય મિલકત,ध्वनिक मालमत्ता
ધ્વનિની પ્રતિક્રિયા,ध्वनिक प्रतिक्रिया
ધ્વનિ -પ્રતિબિંબ,ध्वनिक प्रतिक्षेप
ધ્વનિ ટાઇલ,ध्वनिक टाइल
ધ્વનિ તરંગ,ध्वनिक लाट
શ્રવ -શોષણ,ध्वनिक शोषण
શ્રવણશક્તિ એટેન્યુએશન,ध्वनीविषयक क्षीणन स्थिर
શ્રવણની ભીનાશ,ध्वनिकी ओलसर
ધ્વનિ વિલંબ રેખા,ध्वनिक विलंब रेखा
ધ્વનિની વિકૃતિ,ध्वनिक विकृती
શ્રવણ નલિક,ध्वनिक नलिका
શ્રવણશક્તિ,ध्वनिक ऊर्जा
શ્રવણશક્તિ,ध्वनिक अभिप्राय
શ્રદ્ધ ફિલ્ટર,ध्वनिक फिल्टर
શ્રવણનો અવરોધ,ध्वनीविषयक प्रतिबाधा
ધ્વનિ -પ્રચાર,ध्वनीविषयक प्रसार स्थिर
શ્રવણ પ્રતિકાર,ध्वनिक प्रतिकार
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,ध्वनिकरित्या इन्सुलेटेड
ધ્વનિશાસ્ત્ર,ध्वनिकी
સંપાદન,संपादन
ટૂંકાક્ષર,परिवर्णी शब्द
કાર્યવાહી ક્ષેત્ર,कृती क्षेत्र
સક્રિય ફિલામેન્ટ,सक्रिय फिलामेंट
સક્રિય,सक्रिय
સક્રિય ક્ષેત્ર,सक्रिय क्षेत्र
સક્રિય બારી,सक्रिय विंडो
અનુકૂલનક્ષમતા,अनुकूलता
એડેપ્ટર (એડેપ્ટર),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
સરનામા પુસ્તિકા,अॅड्रेस बुक
સરનાવ બસ,अ‍ॅड्रेस बस
ઠરાવ,पत्ता ठराव
સંલગ્ન ચેનલ દખલ,लगतच चॅनेल हस्तक्षेप
સંલગ્ન ચેનલ પસંદગી,लगतच चॅनेल निवड
સંલગ્ન આવર્તન,समीप वारंवारता
સંલગ્ન આવર્તન ચેનલ,समीप फ्रिक्वेन्सी चॅनेल
અડીને ચિત્ર વાહક,लगतचे चित्र वाहक
અડીને ધ્વનિ વાહક,समीप ध्वनी वाहक
સંલગ્ન મથક,समीप स्टेशन
ગોઠવણપાત્ર,समायोज्य
ગોઠવણપાત્ર કન્ડેન્સર,समायोज्य कंडेन्सर
ગોઠવણ,दबाव समायोजित करणे
સમાયોજન,पाना समायोजित करणे
સમાયોજન,समायोजन
વહીવટકર્તા,प्रशासक
અદ્યતન ટેકનોલોજી,आधुनिक तंत्रज्ञान
હવાઈ,हवाई
હવાઈ ​​એરે,एरियल अ‍ॅरे
હવાઈ ​​બૂસ્ટર,एरियल बूस्टर
હવાઈ ​​પ્રવાહ,एरियल करंट
હવાઈ ​​કમાણી સ્વીચ,एरियल अर्थिंग स्विच
હવાઈ ​​કાર્યક્ષમતા,हवाई कार्यक्षमता
હવાઈ ​​અવરોધ,हवाई प्रतिबाधा
હવાઈ ​​લિટક્શન,एरियल इंडक्टन्स
હવાઈ ​​ઇન્સ્યુલેટર,एरियल इन्सुलेटर
હવાઈ ​​લોડિંગ કોઇલ,एरियल लोडिंग कॉइल
હવાઈ ​​ફોટોગ્રાફી,एरियल फोटोग्राफी
હવાઈ ​​શક્તિ,हवाई शक्ती
હવાઈ ​​કિરણોત્સર્ગ,एरियल रेडिएशन रीस्टन्स
હવાઈ ​​પ્રતિક્રિયા,हवाई प्रतिक्रिया
વાયુમિશ્રણશાસ્ત્ર,एरोडायनामिक्स
સંસ્થા,एजन्सी
હવાઈ ​​સંકોચન,एअर कॉम्प्रेसर
હવાઈ ​​કન્ડેન્સર,एअर कंडेन्सर
હવાઈ ​​ઠંડુ,वातानुकूलित
હવાઈ ​​બાંધેલી કોથળી,एअर कोर्ड कॉइल
વાતાનુકૂલન,वातानुकुलीत
અલ્બેડો,अल्बेडो
અલ્ગોરિધમનો,अल्गोरिदम
પરવાના,अलियासिंग
સંલગ્ન,संरेखित
ગોઠવણી,संरेखन
બધા તરંગ હવાઈ,सर्व वेव्ह एरियल
ફાળવણી,वाटप
વર્ણાનુક્રમ,वर्णमाला
મૂર્તિમંત,अल्फान्यूमेरिक
વર્ણ -અક્ષર,अल्फान्यूमेरिक वर्ण
વર્ણ -મૂર્તિમંત માહિતી,अल्फान्यूमेरिक माहिती
વૈકલ્પિક વર્તમાન (એ.સી.),वैकल्पिक चालू (ए.सी.)
એકાંતરણ,वैकल्पिक
પરાકારી,अल्टरनेटर
Altંચાઈ,समुद्रसपाटीपासूनची उंची
અનુગામી alt ંચાઇ,अपोजीची उंची
પેરગીની alt ંચાઇ,पेरिगीची उंची
કલાપ્રેમી રેડિયો સંચાર,हौशी रेडिओ संप्रेषण
વાતાવરણ,वातावरण
આજુબાજુના માઇક્રોફોન,वातावरण मायक्रोफोन
આસપાસની શરત,वातावरणीय स्थिती
આસપાસની આજુબાજુની પ્રકાશ,वातावरणीय प्रकाश
આજુબાજુનો અવાજ,सभोवतालचा आवाज
આસપાસનું તાપમાન,वातावरणीय तापमान
અમેરિકન માનક સંહિતા,अमेरिकन मानक कोड
ષડયંત્ર,अँपियर
Amાંદું મીટર,अ‍ॅम्पेअर मीटर
વિસ્તૃત કરવું તે,प्रवर्धन
વિસ્તૃત પરિબળ,प्रवर्धन घटक
પ્રવેધક,एम्पलीफायर
વિપુલ લાભ,एम्पलीफायर गेन
એમ્પ્લીફાયર અવાજ,एम्पलीफायर आवाज
વિસ્તૃત સાધનસામગ્રી,एम्प्लिफाइंग उपकरणे
ક્લીસ્ટ્રોનને વિસ્તૃત કરવું,क्लीस्ट्रॉनचे विस्तार
વિસ્તૃત એકમ,एम्प्लिफाइंग युनिट
કંપનવિસ્તાર,मोठेपणा
કંપનવિસ્તારની વિકૃતિ,मोठेपणा विकृती
કંપનવિસ્તાર,मोठेपणा सहन
કંપનવિસ્તાર પરિબળ,मोठेपणा घटक
મર્યાદિત મર્યાદા,मोठेपणा मर्यादा
કંપનવિસ્તાર -મોડ્યુલેટેડ,मोठेपणा मॉड्यूलेटेड
કંપનલી -મોડ્યુલેશન,मोठेपणा मॉड्यूलेशन
એનાલોગ (એનાલોગ),एनालॉग (अ‍ॅनालॉग)
