Marathi,Odiya
अॅबॅकस,ଆବାକସ୍ |
असामान्य समाप्ती,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
गर्भपात,ପରିତ୍ୟାଗ
निरपेक्ष,ସଂପୂର୍ଣ୍ଣ
परिपूर्ण पत्ता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
निरपेक्ष संबोधन,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
परिपूर्ण असेंबलर,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
परिपूर्ण कोड,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
निरपेक्ष आज्ञा,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
परिपूर्ण डेटा,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
परिपूर्ण सूचना,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
परिपूर्ण मोड,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
परिपूर्ण मार्ग,ସଂପୂର୍ଣ୍ଣ ପଥ
परिपूर्ण प्रोग्रामिंग,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
अमूर्त वर्ग,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
अमूर्त डेटा प्रकार,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
अमूर्त मशीन,ବିସ୍ତୃତ ମେସିନ୍ |
अमूर्त चिन्ह,ବିସ୍ତୃତ ପ୍ରତୀକ |
अमूर्त वाक्यरचना,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
स्वीकृती चाचणी,ଗ୍ରହଣ ପରୀକ୍ଷା
प्रवेश प्रमाणीकरण,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
प्रवेश कोड,ପ୍ରବେଶ କୋଡ୍
प्रवेश नियंत्रण,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
प्रवेश स्कॅन,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
ऍक्सेसरी,ଆନୁଷଙ୍ଗିକ
खाते,ଖାତା
खाते आयडी,ଖାତା ID
संचयक,ଜମାକାରୀ
अचूकता,ସଠିକତା
प्रवेश,acess
ऍक्सेस कंट्रोल बाइट,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
प्रवेश निर्देशांक,acess index
प्रवेश की,acess କି
ऍक्सेस मॅट्रिक्स,acess matrix
प्रवेश मोड,acess ମୋଡ୍ |
प्रवेश विशेषाधिकार,acess ଅଧିକାର
प्रवेश सुरक्षा,acess ସୁରକ୍ଷା |
ऍक्सेस सर्व्हर,acess ସର୍ଭର |
प्रवेश वेळ,ଆକସେସ୍ ସମୟ |
पोचपावती,ସ୍ୱୀକୃତି
ध्वनीशास्त्र,ଆକାଶବାଣୀ
परिवर्णी शब्द,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
क्रिया संदेश,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
सक्रियकरण,ସକ୍ରିୟ
सक्रिय सर्व्हर पृष्ठ (एएसपी),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
सक्रिय आवृत्ती,ସକ୍ରିୟ ସଂସ୍କରଣ |
अॅसायक्लिक,acyclic
अॅसायक्लिक आलेख,acyclic ଗ୍ରାଫ୍ |
अडा भाषा,ଅଦା ଭାଷା |
अडॅप्टर,ଆଡାପ୍ଟର
जोडा,ଯୋଡନ୍ତୁ |
फाइल जोडा,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
ऑपरेशन जोडा,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
जोडणारा,ଆଡର୍
पत्ता,ଠିକଣା
पत्ता बस,ଠିକଣା ବସ୍
पत्ता फाइल,ଠିକଣା ଫାଇଲ୍ |
पत्त्याचे स्वरूप,ଠିକଣା ଫର୍ମାଟ୍
पत्ता जनरेटर,ଠିକଣା ଜେନେରେଟର
पत्ता ओळ,ଠିକଣା ରେଖା
पत्ता मॅपिंग,ଠିକଣା ମ୍ୟାପିଂ
पत्ता सूचक,ଠିକଣା ସୂଚକ
पत्ता नोंदवही,ଠିକଣା ରେଜିଷ୍ଟର
पत्ता ठराव,ଠିକଣା ରେଜୋଲୁସନ
पत्ता अनुवाद,ଠିକଣା ଅନୁବାଦ
संबोधित मेमरी,ଠିକଣା ସ୍ମୃତି
संबोधित करणे,ଠିକଣା
पर्याप्तता निकष,ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ
संलग्न,ଯୋଗ
प्रशासन,ପ୍ରଶାସନ
प्रशासक,ପ୍ରଶାସକ
adobe acrobat,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
अडोब फोटोशाॅप,ଆଡୋବ ଫଟୋଶପ୍ |
अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP),ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP)
प्रगत डेटा,ଉନ୍ନତ ତଥ୍ୟ
प्रगत माहिती प्रणाली,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
प्रगत तंत्रज्ञान (AT),ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT)
एजंट,ଏଜେଣ୍ଟ
एकत्रीकरण,ଏକୀକରଣ
एअरबोर्न संगणक प्रणाली,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
aldus पृष्ठ निर्माता,aldus ପୃଷ୍ଠା ନିର୍ମାତା |
इशारा बॉक्स,ଆଲର୍ଟ ବାକ୍ସ
अल्गोल,ଆଲଗୋଲ୍
अल्गोरिदम,ଆଲଗୋରିଦମ |
अल्गोरिदम विश्लेषण,ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |
अल्गोरिदम कार्यक्षमता,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
उर्फ,ଛଦ୍ମନାମ
संरेखन,ଶ୍ରେଣୀବଦ୍ଧତା |
वाटप,ଆବଣ୍ଟନ
वर्णमाला,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
अल्फान्यूमेरिक,ବର୍ଣ୍ଣମାଳା
